player,team,opponent,pitcher,hitter_hand,pitcher_hand,barrel_pct,iso,avg_exit_velocity,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,batting_order,confirmed_lineup,public_attention,odds
Jonathan Aranda,TB,BOS,Connelly Early,L,L,12.4,0.189,90.80000000000001,46.6,11.0,,0.0,0.0,0.0,Tropicana Field,100,72,0,None,5,Yes,,
Ben Williamson,TB,BOS,Connelly Early,R,L,1.0,0.062,88.80000000000001,40.0,0.0,,0.0,0.0,0.0,Tropicana Field,100,72,0,None,6,Yes,,
Taylor Walls,TB,BOS,Connelly Early,S,L,2.0,0.07200000000000001,82.60000000000001,15.700000000000001,0.0,,0.0,0.0,0.0,Tropicana Field,100,72,0,None,7,Yes,,
Nick Fortes,TB,BOS,Connelly Early,R,L,0.8,0.068,86.80000000000001,40.6,1.0,,0.0,0.0,0.0,Tropicana Field,100,72,0,None,8,Yes,,
Cedric Mullins,TB,BOS,Connelly Early,L,L,3.3000000000000003,0.112,88.2,30.5,5.0,,0.0,0.0,0.0,Tropicana Field,100,72,0,None,9,Yes,,
Trent Grisham,NY,CLE,Gavin Williams,L,R,12.4,0.179,90.30000000000001,43.800000000000004,8.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,1,Yes,,
Ben Rice,NY,CLE,Gavin Williams,L,R,16.7,0.341,92.30000000000001,50.6,18.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,2,Yes,,
Paul Goldschmidt,NY,CLE,Gavin Williams,R,R,11.8,0.23600000000000002,87.7,42.2,7.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,3,Yes,,
Cody Bellinger,NY,CLE,Gavin Williams,L,R,8.700000000000001,0.203,89.60000000000001,39.6,9.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,4,Yes,,
Jazz Chisholm Jr.,NY,CLE,Gavin Williams,L,R,7.300000000000001,0.162,89.5,38.800000000000004,8.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,5,Yes,,
Spencer Jones,NY,CLE,Gavin Williams,L,R,0.0,0.036000000000000004,96.80000000000001,73.3,0.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,6,Yes,,
José Caballero,NY,CLE,Gavin Williams,R,R,2.9000000000000004,0.137,83.2,26.400000000000002,5.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,7,Yes,,
Ryan McMahon,NY,CLE,Gavin Williams,L,R,9.5,0.138,90.60000000000001,49.1,6.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,8,Yes,,
J.C. Escarra,NY,CLE,Gavin Williams,L,R,4.2,0.081,88.80000000000001,31.3,0.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,9,Yes,,
Travis Bazzana,CLE,NY,Will Warren,L,R,3.8000000000000003,0.17300000000000001,88.9,36.5,4.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,1,Yes,,
José Ramírez,CLE,NY,Will Warren,S,R,7.1000000000000005,0.189,90.5,45.2,10.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,2,Yes,,
Chase DeLauter,CLE,NY,Will Warren,L,R,6.2,0.149,90.0,40.5,7.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,3,Yes,,
Kyle Manzardo,CLE,NY,Will Warren,L,R,12.5,0.169,88.60000000000001,41.1,7.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,4,Yes,,
Daniel Schneemann,CLE,NY,Will Warren,L,R,6.1000000000000005,0.124,87.5,36.800000000000004,4.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,5,Yes,,
Angel Martínez,CLE,NY,Will Warren,S,R,7.4,0.188,87.60000000000001,34.4,9.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,6,Yes,,
Steven Kwan,CLE,NY,Will Warren,L,R,0.5,0.051000000000000004,82.80000000000001,8.9,1.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,7,Yes,,
Patrick Bailey,CLE,NY,Will Warren,S,R,6.5,0.08,89.80000000000001,37.6,2.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,8,Yes,,
Brayan Rocchio,CLE,NY,Will Warren,S,R,3.4000000000000004,0.126,86.80000000000001,32.800000000000004,5.0,,0.0,0.0,0.0,Progressive Field,100,81,10,Varies,9,Yes,,
Kyle Schwarber,PHI,TOR,Patrick Corbin,L,L,22.1,0.341,93.10000000000001,50.7,23.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,1,Yes,,
Trea Turner,PHI,TOR,Patrick Corbin,R,L,5.4,0.11800000000000001,89.30000000000001,40.1,7.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,2,Yes,,
Bryce Harper,PHI,TOR,Patrick Corbin,L,L,13.9,0.243,89.80000000000001,43.900000000000006,14.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,3,Yes,,
Brandon Marsh,PHI,TOR,Patrick Corbin,L,L,8.0,0.183,90.5,47.6,8.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,4,Yes,,
Alec Bohm,PHI,TOR,Patrick Corbin,R,L,3.7,0.135,90.5,42.400000000000006,7.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,5,Yes,,
J.T. Realmuto,PHI,TOR,Patrick Corbin,R,L,4.5,0.094,89.0,42.300000000000004,3.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,6,Yes,,
Bryson Stott,PHI,TOR,Patrick Corbin,L,L,7.800000000000001,0.153,89.9,40.7,6.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,7,Yes,,
Adolis García,PHI,TOR,Patrick Corbin,R,L,8.9,0.127,92.0,47.300000000000004,6.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,8,Yes,,
Edmundo Sosa,PHI,TOR,Patrick Corbin,R,L,8.200000000000001,0.126,87.30000000000001,39.7,3.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,9,Yes,,
George Springer,TOR,PHI,Cristopher Sánchez,R,L,8.0,0.14400000000000002,87.80000000000001,37.0,5.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,1,Yes,,
Nathan Lukes,TOR,PHI,Cristopher Sánchez,L,L,1.2000000000000002,0.095,86.2,33.7,1.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,2,Yes,,
Vladimir Guerrero Jr.,TOR,PHI,Cristopher Sánchez,R,L,6.800000000000001,0.08700000000000001,90.60000000000001,44.900000000000006,3.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,3,Yes,,
Kazuma Okamoto,TOR,PHI,Cristopher Sánchez,R,L,14.600000000000001,0.197,92.4,51.0,13.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,4,Yes,,
Ernie Clement,TOR,PHI,Cristopher Sánchez,R,L,2.6,0.154,85.7,25.8,6.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,5,Yes,,
Andrés Giménez,TOR,PHI,Cristopher Sánchez,L,L,3.5,0.133,85.9,24.6,6.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,6,Yes,,
Myles Straw,TOR,PHI,Cristopher Sánchez,R,L,4.800000000000001,0.091,86.60000000000001,27.400000000000002,2.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,7,Yes,,
Tyler Heineman,TOR,PHI,Cristopher Sánchez,S,L,1.7000000000000002,0.053,82.7,14.8,1.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,8,Yes,,
Yohendrick Piñango,TOR,PHI,Cristopher Sánchez,L,L,7.6000000000000005,0.155,91.4,43.0,4.0,,0.0,0.0,0.0,Rogers Centre,105,68,12,R To L,9,Yes,,
