rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
134,701678,Hao-Yu  Lee,DET,CWS,2026-06-20T17:10:00Z,Warmup,7,Sean Newcomb,656794,L,43.4,Longshot,Watch List,"Strong Barrel, Platoon Edge",31.0,18.5,65.1,64.3,78.0,57.5,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,1,Contact streak: 8/21 over last 7 games,"platoon edge; pitcher baseline 4.8% barrel, 2.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.0,31.4,87.5,97.969,0.385,0.163,0.276,70.3,13.6,30.0,32.9,2.0,0.122,4.79,37.11,87.22,0.3614,0.1103,17.57,Out To LF,67,Comerica Park,
135,656775,Cedric Mullins,TB,WSH,2026-06-20T20:10:00Z,Pre-Game,3,Cade Cavalli,676917,R,43.3,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",19.4,32.3,41.1,96.6,80.0,46.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 6.9% barrel, 6.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.31,32.47,88.31,97.9156,0.319,0.1239,0.2721,70.68,8.55,44.55,32.22,9.3,0.1302,6.88,39.77,88.61,0.3944,0.1389,21.61,None,72,Tropicana Field,
136,663656,Kyle Tucker,LAD,BAL,2026-06-21T02:10:00Z,Scheduled,1,Trevor Rogers,669432,L,43.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",32.2,38.9,27.6,88.7,50.0,44.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","same-side matchup; pitcher baseline 7.1% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.95,39.63,89.26,98.9783,0.4067,0.1493,0.3405,71.44,22.62,45.13,31.23,10.8,0.1595,7.11,42.03,89.49,0.4124,0.1622,23.97,,,UNIQLO Field at Dodger Stadium,
137,663538,Nico Hoerner,CHC,TOR,2026-06-20T18:20:00Z,Pre-Game,2,Patrick Corbin,571578,L,43.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",8.4,44.7,55.3,100.0,78.0,6.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,31,0,"Last 7 games: 5/31, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.49,28.83,86.14,96.27,0.3749,0.0843,0.3248,68.36,1.83,33.57,21.28,4.9,0.0949,8.12,41.94,89.06,0.4579,0.1745,24.18,L To R,74,Wrigley Field,
138,642201,Eli White,ATL,MIL,2026-06-20T20:10:00Z,Pre-Game,6,Kyle Harrison,690986,L,43.1,Longshot,Watch List,Platoon Edge,27.5,30.9,44.4,76.2,78.0,44.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,1,"Last 7 games: 5/17, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.49,36.06,87.63,99.2561,0.3916,0.1402,0.303,73.04,31.0,37.24,22.68,5.1,0.1685,6.73,34.86,89.44,0.3712,0.1336,27.81,In From RF,83,Truist Park,
139,683748,Victor Mesa Jr.,TB,WSH,2026-06-20T20:10:00Z,Pre-Game,7,Cade Cavalli,676917,R,43.0,Longshot,Watch List,Platoon Edge,32.4,32.3,41.1,64.3,80.0,43.2,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,14,1,"Last 7 games: 4/14, 1 HR","platoon edge; pitcher baseline 6.9% barrel, 6.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.92,37.72,87.18,98.86,0.4159,0.1627,0.3492,73.4,28.56,43.25,23.06,1.7,0.1469,6.88,39.77,88.61,0.3944,0.1389,21.61,None,72,Tropicana Field,
140,807713,Matt Shaw,CHC,TOR,2026-06-20T18:20:00Z,Pre-Game,7,Patrick Corbin,571578,L,42.7,Longshot,Watch List,Platoon Edge,18.6,44.7,55.3,64.3,78.0,29.4,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,0,"Last 7 games: 6/19, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.81,33.88,86.16,97.3018,0.3736,0.1275,0.3006,68.97,8.21,32.92,23.18,6.0,0.1673,8.12,41.94,89.06,0.4579,0.1745,24.18,L To R,74,Wrigley Field,
141,683734,Andrew Vaughn,MIL,ATL,2026-06-20T20:10:00Z,Pre-Game,4,Chris Sale,519242,L,42.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",31.7,21.3,44.4,90.4,78.0,16.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,13,0,"Last 7 games: 3/13, 0 HR","platoon edge; pitcher baseline 6.1% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.91,43.99,90.2,100.0549,0.437,0.1444,0.3567,70.0,9.75,38.62,22.59,5.6,0.1738,6.09,32.46,86.92,0.3403,0.115,25.76,In From RF,83,Truist Park,
142,514888,Jose Altuve,HOU,CLE,2026-06-20T23:15:00Z,Scheduled,5,Joey Cantillo,676282,L,42.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.9,40.5,27.6,81.9,78.0,69.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.32,34.54,85.87,97.9009,0.3693,0.1344,0.2993,69.21,9.67,46.9,21.53,13.4,0.1728,8.53,38.79,88.38,0.3952,0.1578,30.31,,,Daikin Park,
143,670623,Isaac Paredes,HOU,CLE,2026-06-20T23:15:00Z,Scheduled,4,Joey Cantillo,676282,L,42.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",22.6,40.5,27.6,90.4,78.0,32.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 8.5% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.79,32.34,87.19,97.4645,0.3751,0.1376,0.3228,68.02,7.33,55.36,31.57,13.0,0.1851,8.53,38.79,88.38,0.3952,0.1578,30.31,,,Daikin Park,
