rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
141,645277,Ozzie Albies,ATL,BAL,2026-07-25T23:05:00Z,Pre-Game,2,Brandon Young,687064,R,44.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",16.4,39.6,43.1,100.0,75.0,47.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,31,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.3% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.55,28.18,86.94,96.7426,0.3625,0.1237,0.2899,69.0,6.02,46.7,31.69,16.0,0.1572,7.33,42.2,89.4,0.4117,0.1609,27.29,In From RF,82,Oriole Park at Camden Yards,
142,703607,Henry Bolte,ATH,MIN,2026-07-25T23:10:00Z,Pre-Game,8,Mike Paredes,702474,R,44.5,Longshot,Watch List,"Projected Lineup, Good Environment",32.6,48.7,71.1,47.9,50.0,3.4,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","same-side matchup; pitcher baseline 6.8% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.6,46.7,90.0,103.8919,0.347,0.12,0.295,76.9,72.8,31.6,17.6,3.0,0.082,6.8,50.8,91.5,0.446,0.167,29.7,Out To RF,94,Target Field,
143,701807,Carson Benge,NYM,LAD,2026-07-25T23:15:00Z,Pre-Game,4,Yoshinobu Yamamoto,808967,R,44.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",33.6,27.6,38.8,94.9,80.0,8.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","platoon edge; pitcher baseline 6.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.7,40.8,89.2,100.1382,0.435,0.154,0.339,71.1,18.5,32.4,25.8,11.0,0.133,6.4,36.41,87.95,0.3453,0.1277,23.99,In From RF,76,Citi Field,
144,656811,Ryan O'Hearn,PIT,CHC,2026-07-25T22:40:00Z,Scheduled,5,Shota Imanaga,684007,L,44.4,Longshot,Watch List,Projected Lineup,36.2,52.4,24.3,81.9,50.0,5.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","same-side matchup; pitcher baseline 10.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.6,44.39,89.68,99.5895,0.4199,0.1593,0.3304,71.1,11.92,38.52,28.99,16.3,0.1756,10.41,38.53,88.81,0.4235,0.1905,32.99,,,PNC Park,
145,701358,Cam Smith,HOU,CWS,2026-07-25T23:10:00Z,Pre-Game,8,Sean Burke,680732,R,44.4,Longshot,Watch List,"Projected Lineup, Strong Barrel",43.2,41.8,53.1,47.9,50.0,18.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,17,1,"Last 7 games: 1/17, 1 HR","same-side matchup; pitcher baseline 8.3% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.54,43.46,89.02,101.6026,0.425,0.1809,0.325,76.53,66.92,36.65,24.16,11.8,0.1486,8.33,37.59,88.97,0.3926,0.1613,30.63,R To L,78,Rate Field,
146,641355,Cody Bellinger,NYY,PHI,2026-07-25T22:05:00Z,Pre-Game,4,Tim Mayza,641835,L,44.2,Longshot,Watch List,Premium Lineup Spot,30.0,32.5,48.8,94.9,50.0,27.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 3.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.66,37.41,88.86,98.5821,0.4201,0.1512,0.3419,69.68,4.05,42.82,31.85,16.4,0.1737,6.64,45.53,89.36,0.3609,0.1335,20.01,In From RF,81,Citizens Bank Park,
147,671056,Ivan Herrera,STL,CIN,2026-07-25T23:15:00Z,Scheduled,2,Hunter Greene,668881,R,44.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",33.0,50.1,22.1,95.5,50.0,2.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,30,0,"Last 7 games: 4/30, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.11,41.4,89.66,100.9585,0.4016,0.1527,0.3421,74.05,44.2,36.26,19.66,13.4,0.1457,8.72,43.74,91.03,0.4203,0.1864,32.25,,,Busch Stadium,
148,680779,Henry Davis,PIT,CHC,2026-07-25T22:40:00Z,Scheduled,8,Shota Imanaga,684007,L,44.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",36.0,52.4,24.3,47.9,78.0,46.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 10.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.1,39.29,89.3,100.5716,0.3547,0.1515,0.2895,74.25,42.87,52.19,26.42,7.7,0.146,10.41,38.53,88.81,0.4235,0.1905,32.99,,,PNC Park,
149,682657,Angel Martínez,CLE,TB,2026-07-25T22:10:00Z,Pre-Game,5,Nick Martinez,607259,R,44.0,Longshot,Watch List,Platoon Edge,24.8,33.2,41.1,86.4,75.0,57.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.44,35.11,87.66,99.0225,0.3809,0.1389,0.2893,70.83,14.79,45.58,26.94,11.0,0.1805,7.07,33.24,87.46,0.4303,0.1572,28.33,None,72,Tropicana Field,
150,805999,A.J. Ewing,NYM,LAD,2026-07-25T23:15:00Z,Pre-Game,1,Yoshinobu Yamamoto,808967,R,44.0,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",31.9,27.6,38.8,93.2,80.0,15.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,31,0,"Last 7 games: 7/31, 0 HR","platoon edge; pitcher baseline 6.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,42.6,89.7,100.2325,0.405,0.147,0.324,70.3,11.3,32.1,25.9,7.0,0.15,6.4,36.41,87.95,0.3453,0.1277,23.99,In From RF,76,Citi Field,
