rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
161,695734,Daylen Lile,WSH,AZ,2026-07-25T20:05:00Z,Warmup,7,Mitch Bratt,683352,L,43.2,Longshot,Watch List,No major boost,31.2,50.5,38.2,64.3,50.0,31.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 10.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.3,37.3,88.41,98.7164,0.4259,0.1565,0.3256,70.32,6.7,40.94,31.85,10.4,0.1717,10.8,37.8,87.9,0.451,0.206,35.1,In From RF,82,Nationals Park,
162,553993,Eugenio Suarez,CIN,STL,2026-07-25T23:15:00Z,Scheduled,5,Andre Pallante,669467,R,43.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",40.3,28.6,22.1,81.9,50.0,75.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.85,37.17,89.01,99.995,0.3811,0.1813,0.2878,71.81,20.9,47.47,33.41,24.5,0.2301,6.25,36.12,88.08,0.3824,0.137,18.24,,,Busch Stadium,
163,803011,Sam Antonacci,CWS,HOU,2026-07-25T23:10:00Z,Pre-Game,1,Hunter Brown,686613,R,43.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",25.3,20.0,53.1,93.2,80.0,33.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 5.9% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.7,36.0,87.5,98.2369,0.428,0.14,0.359,70.0,8.8,32.9,22.1,7.0,0.132,5.9,36.4,85.61,0.3306,0.1248,21.41,R To L,78,Rate Field,
164,668715,Spencer Steer,CIN,STL,2026-07-25T23:15:00Z,Scheduled,4,Andre Pallante,669467,R,42.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",39.7,28.6,22.1,90.4,50.0,46.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.96,37.33,88.98,99.037,0.4268,0.1882,0.328,71.11,7.66,46.73,29.88,17.5,0.18,6.25,36.12,88.08,0.3824,0.137,18.24,,,Busch Stadium,
165,668952,Ryan Kreidler,MIN,ATH,2026-07-25T23:10:00Z,Pre-Game,9,Brady Basso,669620,L,42.7,Longshot,Watch List,"Good Environment, Platoon Edge",23.6,45.7,71.1,44.8,78.0,0.0,Yes,No,9,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,22,0,"Last 7 games: 1/22, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 0.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.2,33.5,88.27,99.2173,0.3362,0.1245,0.2731,73.31,34.26,44.77,26.83,3.5,0.105,9.53,48.72,90.71,0.4089,0.1343,22.12,Out To RF,94,Target Field,
166,691777,Max Muncy,LAD,NYM,2026-07-25T23:15:00Z,Pre-Game,4,Nolan McLean,690997,R,42.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",38.9,26.5,38.8,90.4,50.0,5.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","same-side matchup; pitcher baseline 7.0% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.8,43.67,89.69,101.5962,0.3614,0.1507,0.2831,74.08,45.26,43.1,23.63,6.2,0.1657,6.95,37.52,88.1,0.3367,0.1208,20.3,In From RF,76,Citi Field,
167,665923,Esteury Ruiz,MIA,SD,2026-07-25T20:10:00Z,Pre-Game,8,Randy Vásquez,681190,R,42.4,Longshot,Watch List,No major boost,22.3,68.2,35.0,52.4,50.0,32.5,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,1,"Last 7 games: 3/14, 1 HR","same-side matchup; pitcher baseline 11.9% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.26,27.65,85.07,96.2255,0.3496,0.1561,0.2938,71.52,16.7,45.01,29.61,3.8,0.2046,11.88,44.76,91.06,0.5258,0.2322,29.37,None,72,loanDepot park,
168,666182,Bo Bichette,NYM,LAD,2026-07-25T23:15:00Z,Pre-Game,3,Yoshinobu Yamamoto,808967,R,42.4,Longshot,Watch List,Premium Lineup Spot,33.7,27.6,38.8,96.6,50.0,15.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","same-side matchup; pitcher baseline 6.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.06,44.46,90.16,101.2845,0.4324,0.1489,0.3327,69.8,13.32,25.79,23.09,12.4,0.1328,6.4,36.41,87.95,0.3453,0.1277,23.99,In From RF,76,Citi Field,
169,514888,Jose Altuve,HOU,CWS,2026-07-25T23:10:00Z,Pre-Game,5,Sean Burke,680732,R,42.3,Longshot,Watch List,Projected Lineup,16.4,41.8,53.1,81.9,50.0,58.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.3% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.99,32.09,85.59,97.3118,0.3518,0.1225,0.2867,69.07,9.81,44.73,22.79,16.2,0.17,8.33,37.59,88.97,0.3926,0.1613,30.63,R To L,78,Rate Field,
170,673357,Luis Robert Jr.,NYM,LAD,2026-07-25T23:15:00Z,Pre-Game,5,Yoshinobu Yamamoto,808967,R,42.2,Longshot,Watch List,No major boost,34.3,27.6,38.8,86.4,50.0,37.4,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.82,41.95,89.4,102.0224,0.4064,0.1653,0.321,75.74,60.48,40.91,26.05,7.0,0.1494,6.4,36.41,87.95,0.3453,0.1277,23.99,In From RF,76,Citi Field,
171,691176,Jasson Domínguez,NYY,PHI,2026-07-25T22:05:00Z,Pre-Game,6,Tim Mayza,641835,L,42.1,Longshot,Watch List,Platoon Edge,26.9,32.1,48.8,76.2,75.0,15.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","switch hitter; pitcher baseline 6.6% barrel, 3.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.46,41.76,88.85,100.7661,0.3707,0.1148,0.299,74.31,39.97,43.81,23.22,6.5,0.1492,6.64,45.53,89.36,0.3609,0.1335,20.01,In From RF,81,Citizens Bank Park,
172,702616,Jackson Holliday,BAL,ATL,2026-07-25T23:05:00Z,Pre-Game,8,Bryce Elder,693821,R,42.1,Longshot,Watch List,Platoon Edge,30.8,40.6,43.1,52.4,80.0,23.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,18,0,"Last 7 games: 5/18, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 19.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.78,38.7,87.96,98.6466,0.3788,0.149,0.3175,70.6,8.39,38.0,27.55,8.6,0.1421,6.54,41.07,90.0,0.4081,0.1561,26.36,In From RF,82,Oriole Park at Camden Yards,
173,545121,Ildemaro Vargas,AZ,WSH,2026-07-25T20:05:00Z,Warmup,5,Foster Griffin,656492,L,42.0,Longshot,Watch List,Platoon Edge,17.4,39.4,38.2,86.4,75.0,45.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,21,0,Contact streak: 9/21 over last 7 games,"switch hitter; pitcher baseline 9.5% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.48,35.97,88.01,98.6154,0.383,0.1063,0.3052,70.71,14.75,41.69,19.16,5.8,0.1298,9.5,37.2,87.5,0.403,0.16,24.4,In From RF,82,Nationals Park,
174,672275,Patrick Bailey,CLE,TB,2026-07-25T22:10:00Z,Pre-Game,8,Nick Martinez,607259,R,42.0,Longshot,Watch List,"Platoon Edge, Hot Hitter/Streak",31.0,33.2,41.1,52.4,75.0,70.8,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.93,39.48,89.53,99.3532,0.375,0.1475,0.2871,72.65,29.03,31.87,25.57,5.3,0.1086,7.07,33.24,87.46,0.4303,0.1572,28.33,None,72,Tropicana Field,
175,676439,Hunter Feduccia,TB,CLE,2026-07-25T22:10:00Z,Pre-Game,9,Tanner Bibee,676440,R,42.0,Longshot,Watch List,Platoon Edge,29.1,45.8,41.1,44.8,80.0,36.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,1,"Last 7 games: 5/21, 1 HR","platoon edge; pitcher baseline 8.6% barrel, 22.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.55,36.79,89.77,98.963,0.3405,0.1255,0.2932,70.57,10.25,29.65,27.45,1.4,0.092,8.59,39.33,89.27,0.4186,0.1702,27.76,None,72,Tropicana Field,
176,828599,Lucas Spence,HOU,CWS,2026-07-25T23:10:00Z,Pre-Game,9,Sean Burke,680732,R,42.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.8,41.8,53.1,40.2,80.0,13.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 16.0 HR allowed",EV profile; pitcher allows elevated contact,6.7,46.7,92.5,101.5409,0.301,0.095,0.273,73.0,28.3,46.7,26.7,0.0,0.042,8.33,37.59,88.97,0.3926,0.1613,30.63,R To L,78,Rate Field,
177,605141,Mookie Betts,LAD,NYM,2026-07-25T23:15:00Z,Pre-Game,5,Nolan McLean,690997,R,41.9,Longshot,Watch List,Projected Lineup,34.2,26.5,38.8,81.9,50.0,48.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.0% barrel, 8.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.46,37.62,90.08,98.5479,0.4297,0.1602,0.3307,69.28,7.3,39.47,35.69,15.1,0.1746,6.95,37.52,88.1,0.3367,0.1208,20.3,In From RF,76,Citi Field,
178,681082,Bryson Stott,PHI,NYY,2026-07-25T22:05:00Z,Pre-Game,8,Ryan Weathers,677960,L,41.7,Longshot,Watch List,No major boost,27.4,52.1,48.8,52.4,50.0,19.5,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","same-side matchup; pitcher baseline 10.0% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.57,35.73,88.65,98.549,0.4028,0.1446,0.3172,69.82,6.12,34.1,29.34,8.8,0.1417,10.02,42.27,89.74,0.4383,0.1883,26.95,In From RF,81,Citizens Bank Park,
179,663656,Kyle Tucker,LAD,NYM,2026-07-25T23:15:00Z,Pre-Game,6,Nolan McLean,690997,R,41.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",33.8,26.5,38.8,71.7,80.0,23.4,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","platoon edge; pitcher baseline 7.0% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.58,39.07,89.26,98.838,0.4186,0.1542,0.3447,71.51,20.8,43.87,31.93,12.2,0.1511,6.95,37.52,88.1,0.3367,0.1208,20.3,In From RF,76,Citi Field,
180,673237,Yainer Diaz,HOU,CWS,2026-07-25T23:10:00Z,Pre-Game,7,Sean Burke,680732,R,41.5,Longshot,Watch List,Projected Lineup,27.3,41.8,53.1,59.8,50.0,31.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 8.3% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.52,35.55,88.43,99.384,0.4139,0.1501,0.3071,72.41,20.89,36.14,19.31,10.2,0.1526,8.33,37.59,88.97,0.3926,0.1613,30.63,R To L,78,Rate Field,
181,672695,Geraldo Perdomo,AZ,WSH,2026-07-25T20:05:00Z,Warmup,2,Foster Griffin,656492,L,41.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",12.9,39.4,38.2,100.0,75.0,23.4,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","switch hitter; pitcher baseline 9.5% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.89,29.87,87.18,96.6063,0.3589,0.104,0.335,67.39,2.22,44.15,26.36,10.9,0.1328,9.5,37.2,87.5,0.403,0.16,24.4,In From RF,82,Nationals Park,
182,680776,Jarren Duran,BOS,TOR,2026-07-25T20:10:00Z,Pre-Game,7,Dylan Cease,656302,R,41.4,Longshot,Watch List,"Strong Barrel, Platoon Edge",38.8,21.4,43.7,64.3,80.0,14.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 6.4% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.33,41.13,90.26,101.9308,0.3848,0.1522,0.3036,75.01,49.32,39.6,22.02,13.9,0.1608,6.36,34.35,86.8,0.3149,0.1128,22.81,In From RF,76,Fenway Park,
183,691594,Javier Sanoja,MIA,SD,2026-07-25T20:10:00Z,Pre-Game,6,Randy Vásquez,681190,R,41.1,Longshot,Watch List,No major boost,9.9,68.2,35.0,76.2,50.0,20.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","same-side matchup; pitcher baseline 11.9% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.45,32.27,87.38,97.3287,0.3266,0.0718,0.275,69.07,6.32,39.13,18.2,3.9,0.1362,11.88,44.76,91.06,0.5258,0.2322,29.37,None,72,loanDepot park,
184,805300,Jakob Marsee,MIA,SD,2026-07-25T20:10:00Z,Pre-Game,9,Randy Vásquez,681190,R,41.1,Longshot,Watch List,Platoon Edge,18.3,68.2,35.0,44.8,80.0,0.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,0,"Last 7 games: 2/21, 0 HR","platoon edge; pitcher baseline 11.9% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.67,35.73,87.36,98.4478,0.3475,0.1134,0.312,70.5,6.21,41.44,23.12,5.0,0.1209,11.88,44.76,91.06,0.5258,0.2322,29.37,None,72,loanDepot park,
185,694384,Nolan Schanuel,LAA,SF,2026-07-25T20:05:00Z,Warmup,5,Robbie Ray,592662,L,41.0,Longshot,Watch List,No major boost,12.2,50.7,42.8,86.4,50.0,36.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,0,Contact streak: 9/25 over last 7 games,"same-side matchup; pitcher baseline 9.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.68,31.24,87.22,96.8946,0.3852,0.1064,0.3298,67.85,6.17,40.52,20.24,7.8,0.1159,9.39,40.29,89.74,0.4116,0.1786,35.48,Varies,66,Oracle Park,
186,694497,Evan Carter,TEX,SEA,2026-07-25T23:15:00Z,Pre-Game,7,Bryan Woo,693433,R,41.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.3,41.2,41.1,59.8,80.0,33.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 16.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.11,36.7,87.4,98.8185,0.3397,0.1288,0.2961,70.98,17.47,37.93,29.45,7.1,0.1464,7.63,42.43,89.45,0.3793,0.1492,28.62,None,72,Globe Life Field,
187,664774,LaMonte Wade,HOU,CWS,2026-07-25T23:10:00Z,Pre-Game,6,Sean Burke,680732,R,40.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",17.1,41.8,53.1,71.7,80.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,18,0,"Last 7 games: 1/18, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.13,34.11,86.9,97.6233,0.3063,0.1111,0.2873,71.05,10.81,33.78,25.44,2.0,0.1381,8.33,37.59,88.97,0.3926,0.1613,30.63,R To L,78,Rate Field,
188,677587,Brayan Rocchio,CLE,TB,2026-07-25T22:10:00Z,Pre-Game,4,Nick Martinez,607259,R,40.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",14.2,33.2,41.1,94.9,75.0,39.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,1,"Last 7 games: 8/31, 1 HR","switch hitter; pitcher baseline 7.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.09,33.12,86.95,97.5086,0.3601,0.1074,0.3006,70.07,7.36,44.55,23.97,7.8,0.1252,7.07,33.24,87.46,0.4303,0.1572,28.33,None,72,Tropicana Field,
189,687221,Dalton Rushing,LAD,NYM,2026-07-25T23:15:00Z,Pre-Game,9,Nolan McLean,690997,R,40.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",44.9,26.5,38.8,40.2,80.0,18.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,17,1,"Last 7 games: 2/17, 1 HR","platoon edge; pitcher baseline 7.0% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.46,43.97,89.68,101.7621,0.4105,0.1767,0.3215,72.61,17.96,47.61,28.46,8.9,0.1921,6.95,37.52,88.1,0.3367,0.1208,20.3,In From RF,76,Citi Field,
190,678011,Anthony Seigler,BOS,TOR,2026-07-25T20:10:00Z,Pre-Game,1,Dylan Cease,656302,R,40.7,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",22.5,20.2,43.7,93.2,75.0,41.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,1,"Last 7 games: 8/29, 1 HR","switch hitter; pitcher baseline 6.4% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,38.55,88.46,97.6431,0.3901,0.1335,0.3212,67.39,0.42,33.86,25.0,2.1,0.1322,6.36,34.35,86.8,0.3149,0.1128,22.81,In From RF,76,Fenway Park,
191,665750,Leody Taveras,BAL,ATL,2026-07-25T23:05:00Z,Pre-Game,6,Bryce Elder,693821,R,40.7,Longshot,Watch List,Platoon Edge,17.2,38.5,43.1,76.2,75.0,37.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","switch hitter; pitcher baseline 6.5% barrel, 19.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.07,31.21,87.45,98.4668,0.3244,0.111,0.2705,72.32,24.42,32.11,22.84,3.7,0.113,6.54,41.07,90.0,0.4081,0.1561,26.36,In From RF,82,Oriole Park at Camden Yards,
192,807799,Masataka Yoshida,BOS,TOR,2026-07-25T20:10:00Z,Pre-Game,5,Dylan Cease,656302,R,40.6,Longshot,Watch List,Platoon Edge,23.0,21.4,43.7,86.4,80.0,41.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","platoon edge; pitcher baseline 6.4% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.94,41.06,89.36,99.5895,0.3812,0.1108,0.3231,71.55,16.92,43.92,21.32,4.0,0.1241,6.36,34.35,86.8,0.3149,0.1128,22.81,In From RF,76,Fenway Park,
193,678882,Ceddanne Rafaela,BOS,TOR,2026-07-25T20:10:00Z,Pre-Game,2,Dylan Cease,656302,R,40.5,Longshot,Watch List,Premium Lineup Spot,21.7,21.4,43.7,100.0,50.0,63.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.4% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.33,34.78,86.9,97.8914,0.3691,0.1278,0.2882,70.16,8.97,35.36,25.37,11.8,0.1629,6.36,34.35,86.8,0.3149,0.1128,22.81,In From RF,76,Fenway Park,
194,664770,Nathan Lukes,TOR,BOS,2026-07-25T20:10:00Z,Pre-Game,1,Sonny Gray,543243,R,40.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",9.9,37.0,43.7,93.2,80.0,24.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 7.9% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.21,30.84,86.99,96.8379,0.3514,0.0952,0.2961,67.51,4.28,32.96,21.16,7.1,0.1219,7.91,37.83,88.97,0.3866,0.1432,23.27,In From RF,76,Fenway Park,
195,606192,Teoscar Hernandez,LAD,NYM,2026-07-25T23:15:00Z,Pre-Game,7,Nolan McLean,690997,R,40.1,Longshot,Watch List,"Projected Lineup, Strong Barrel",42.7,26.5,38.8,59.8,50.0,18.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 7.0% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.03,44.91,89.85,101.0028,0.4228,0.178,0.3202,72.41,25.26,32.05,30.43,13.1,0.1594,6.95,37.52,88.1,0.3367,0.1208,20.3,In From RF,76,Citi Field,
196,678218,Brandon Valenzuela,TOR,BOS,2026-07-25T20:10:00Z,Pre-Game,9,Sonny Gray,543243,R,40.0,Longshot,Watch List,Platoon Edge,32.0,35.4,43.7,44.8,75.0,27.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","switch hitter; pitcher baseline 7.9% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.1,37.1,88.4,99.0155,0.395,0.156,0.318,72.7,23.9,40.3,28.2,8.0,0.174,7.91,37.83,88.97,0.3866,0.1432,23.27,In From RF,76,Fenway Park,
