rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
113,521692,Salvador Perez,KC,CHC,2026-08-08T23:10:00Z,Scheduled,4,Clay Holmes,605280,R,45.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",46.0,30.9,23.2,90.4,50.0,42.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","same-side matchup; pitcher baseline 5.8% barrel, 6.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.37,43.48,89.23,100.6469,0.4472,0.2072,0.3157,71.99,22.28,41.77,31.06,20.2,0.1736,5.75,43.49,89.77,0.3744,0.1255,20.86,,,Kauffman Stadium,
114,694671,Wyatt Langford,TEX,BAL,2026-08-08T23:15:00Z,Scheduled,2,Kyle Bradish,680694,R,45.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",42.0,35.4,27.6,95.5,50.0,18.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","same-side matchup; pitcher baseline 8.5% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.01,41.89,90.21,100.932,0.4186,0.1813,0.3159,72.75,25.89,42.12,29.62,15.7,0.2124,8.52,37.99,88.61,0.3662,0.1401,22.87,,,Globe Life Field,
115,650490,Yandy Diaz,TB,SEA,2026-08-09T01:50:00Z,Scheduled,1,George Kirby,669923,R,45.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",40.8,42.4,25.4,88.7,50.0,17.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,0,"Last 7 games: 7/30, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.32,49.07,91.46,103.2328,0.4457,0.1628,0.353,73.71,38.56,22.83,20.56,18.0,0.1638,7.9,42.5,90.04,0.4004,0.1458,25.64,,,T-Mobile Park,
116,643289,Mauricio Dubón,ATL,NYY,2026-08-08T19:05:00Z,Pre-Game,6,Gerrit Cole,543037,R,45.1,Longshot,Watch List,Good Environment,11.4,46.3,85.7,76.2,50.0,44.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,0,Contact streak: 10/24 over last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.3,29.45,86.11,96.4424,0.3681,0.1057,0.3011,68.8,3.4,31.82,24.74,9.1,0.128,9.5,42.6,90.1,0.376,0.144,32.8,Out To LF,91,Yankee Stadium,
117,664761,Alec Bohm,PHI,TOR,2026-08-08T22:05:00Z,Scheduled,5,Max Scherzer,453286,R,45.1,Longshot,Watch List,Projected Lineup,29.5,55.5,34.3,81.9,50.0,19.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","same-side matchup; pitcher baseline 11.3% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.43,43.11,90.66,100.1486,0.3899,0.1334,0.3107,71.07,12.81,28.98,21.95,12.4,0.1304,11.35,38.48,88.65,0.4722,0.2146,29.12,,,Citizens Bank Park,
118,642715,Willy Adames,SF,DET,2026-08-08T23:15:00Z,Scheduled,4,Jackson Jobe,695549,R,44.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",37.9,47.4,19.3,90.4,50.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.87,39.93,87.92,99.0916,0.3965,0.1781,0.3004,72.21,23.9,48.05,34.48,22.3,0.1939,8.7,43.3,89.1,0.438,0.196,28.0,,,Oracle Park,
119,641680,Jonah Heim,ATH,BOS,2026-08-08T20:10:00Z,Pre-Game,3,Jake Bennett,687562,L,44.6,Longshot,Watch List,"Projected Lineup, Good Environment, Premium Lineup Spot, Platoon Edge",24.5,22.5,74.7,92.1,75.0,6.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","switch hitter; pitcher baseline 5.1% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.66,33.45,87.61,98.0129,0.3803,0.1459,0.2956,69.91,9.66,40.91,27.9,11.0,0.1736,5.1,36.3,87.8,0.358,0.131,24.7,Out To RF,88,Fenway Park,
120,681297,Colton Cowser,BAL,TEX,2026-08-08T23:15:00Z,Scheduled,8,Jacob deGrom,594798,R,44.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",42.5,49.3,27.6,47.9,80.0,14.1,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,0,"Last 7 games: 3/14, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.44,39.56,87.96,100.3243,0.4012,0.196,0.3084,74.37,44.29,37.82,32.99,10.4,0.1379,8.81,44.14,90.45,0.3959,0.1651,29.53,,,Globe Life Field,
121,800050,Chase DeLauter,CLE,CWS,2026-08-08T23:15:00Z,Scheduled,3,Anthony Kay,641743,L,44.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",35.1,39.0,27.6,92.1,50.0,43.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","same-side matchup; pitcher baseline 8.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.4,45.7,91.1,101.4579,0.431,0.154,0.347,71.4,17.9,37.6,19.4,12.0,0.159,8.6,39.5,88.4,0.406,0.143,21.9,,,Rate Field,
122,676724,Jared Young,NYM,PIT,2026-08-08T22:40:00Z,Scheduled,6,Bubba Chandler,696149,R,44.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",43.4,34.5,24.3,71.7,80.0,19.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 7.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.8,45.88,88.66,101.4586,0.4252,0.1913,0.3219,73.37,34.02,38.88,25.62,6.1,0.2117,6.95,38.32,89.29,0.3814,0.1518,25.95,,,PNC Park,
123,662139,Daulton Varsho,HOU,SD,2026-08-08T23:15:00Z,Scheduled,4,Michael King,650633,R,44.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",34.0,41.4,22.6,90.4,80.0,1.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.11,37.92,87.38,99.4266,0.3981,0.1641,0.3032,73.78,37.16,41.99,29.1,10.9,0.1819,9.44,34.74,87.59,0.4144,0.1737,27.33,,,Petco Park,
124,664034,Ty France,SD,HOU,2026-08-08T23:15:00Z,Scheduled,4,Peter Lambert,663567,R,44.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",44.4,32.8,22.6,90.4,50.0,28.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,0,"Last 7 games: 8/26, 0 HR","same-side matchup; pitcher baseline 6.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.73,47.63,91.39,101.3257,0.4355,0.1814,0.328,71.7,18.41,36.15,24.62,13.3,0.1947,6.5,37.7,88.9,0.343,0.14,33.6,,,Petco Park,
125,608324,Alex Bregman,CHC,KC,2026-08-08T23:10:00Z,Scheduled,4,Seth Lugo,607625,R,44.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",24.9,56.8,23.2,90.4,50.0,37.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.99,39.5,88.77,98.2588,0.3787,0.1341,0.3181,70.16,4.94,46.86,25.97,13.8,0.1512,9.49,44.01,90.21,0.4716,0.2009,29.88,,,Kauffman Stadium,
126,702284,Cole Young,SEA,TB,2026-08-09T01:50:00Z,Scheduled,1,Griffin Jax,643377,R,44.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",25.6,42.9,25.4,88.7,80.0,44.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.25,36.49,88.44,99.0908,0.4005,0.1387,0.3222,71.58,22.0,42.26,27.08,11.0,0.1318,9.33,41.02,88.92,0.4,0.1555,23.72,,,T-Mobile Park,
