rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
127,553993,Eugenio Suarez,CIN,WSH,2026-08-08T22:45:00Z,Scheduled,4,Andrew Alvarez,674841,L,44.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",41.5,22.0,28.2,90.4,78.0,27.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","platoon edge; pitcher baseline 4.4% barrel, 1.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.41,38.78,89.08,100.204,0.372,0.1785,0.2822,71.88,20.69,48.66,33.62,25.2,0.2238,4.4,41.71,89.53,0.3486,0.1025,15.94,,,Nationals Park,
128,606192,Teoscar Hernandez,LAD,AZ,2026-08-09T00:10:00Z,Scheduled,7,Brandon Pfaadt,694297,R,44.3,Longshot,Watch List,"Projected Lineup, Strong Barrel",42.0,43.9,28.2,59.8,50.0,56.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.0% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.03,43.02,89.57,100.6832,0.427,0.1822,0.3195,72.34,24.71,33.1,30.64,15.2,0.172,9.01,39.29,89.54,0.4198,0.1666,22.29,,,Chase Field,
129,672386,Alejandro Kirk,TOR,PHI,2026-08-08T22:05:00Z,Scheduled,5,Aaron Nola,605400,R,44.2,Longshot,Watch List,Projected Lineup,25.3,50.6,34.3,81.9,50.0,52.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,1,Contact streak: 8/23 over last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 25.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.71,41.35,88.51,100.0873,0.3897,0.1295,0.3149,71.87,19.58,27.89,22.6,7.3,0.1194,9.73,42.04,88.91,0.4268,0.1801,27.95,,,Citizens Bank Park,
130,669394,Jake Burger,TEX,BAL,2026-08-08T23:15:00Z,Scheduled,6,Kyle Bradish,680694,R,44.2,Longshot,Watch List,"Projected Lineup, Strong Barrel",49.0,35.4,27.6,71.7,50.0,17.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","same-side matchup; pitcher baseline 8.5% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.94,47.73,90.33,102.6732,0.4185,0.1858,0.3051,75.3,57.58,43.07,28.18,18.1,0.1823,8.52,37.99,88.61,0.3662,0.1401,22.87,,,Globe Life Field,
131,669224,Austin Wells,NYY,ATL,2026-08-08T19:05:00Z,Pre-Game,9,Chris Sale,519242,L,44.1,Longshot,Watch List,Good Environment,39.2,21.0,85.7,44.8,50.0,50.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,15,1,Contact streak: 5/15 over last 7 games,"same-side matchup; pitcher baseline 5.7% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.31,44.85,89.76,100.7724,0.3843,0.1682,0.3003,72.98,27.6,46.52,33.56,11.9,0.1512,5.74,33.65,87.34,0.3249,0.1087,26.53,Out To LF,91,Yankee Stadium,
132,702332,Caleb Durbin,BOS,ATH,2026-08-08T20:10:00Z,Pre-Game,3,Gage Jump,695611,L,44.1,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",5.6,32.3,74.7,96.6,78.0,53.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,1,Contact streak: 10/28 over last 7 games,"platoon edge; pitcher baseline 5.5% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.23,27.32,84.43,96.0492,0.3368,0.0944,0.2952,68.88,5.51,41.44,19.05,11.0,0.1499,5.5,42.0,90.0,0.383,0.131,26.0,Out To RF,88,Fenway Park,
133,608070,Jose Ramirez,CLE,CWS,2026-08-08T23:15:00Z,Scheduled,2,Anthony Kay,641743,L,44.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",30.8,37.5,27.6,95.5,75.0,14.6,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","switch hitter; pitcher baseline 8.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.95,39.94,89.11,99.6306,0.4348,0.1522,0.3469,70.2,13.19,50.34,30.25,16.0,0.1724,8.6,39.5,88.4,0.406,0.143,21.9,,,Rate Field,
134,683734,Andrew Vaughn,MIL,MIN,2026-08-08T23:10:00Z,Scheduled,6,Taj Bradley,671737,R,44.0,Longshot,Watch List,Projected Lineup,37.0,48.0,27.6,71.7,50.0,31.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","same-side matchup; pitcher baseline 8.9% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.87,44.62,90.76,100.1817,0.4328,0.157,0.3511,70.39,11.68,35.61,24.76,7.7,0.1696,8.87,43.75,90.46,0.3889,0.1582,28.98,,,American Family Field,
135,694249,Cole Carrigg,COL,STL,2026-08-08T23:15:00Z,Scheduled,3,Matthew Liberatore,669461,L,43.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",23.2,50.6,22.1,92.1,75.0,22.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","switch hitter; pitcher baseline 9.2% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.8,33.1,86.8,98.2329,0.404,0.142,0.335,73.6,37.5,46.0,28.2,5.0,0.204,9.2,41.94,90.46,0.4489,0.1815,28.31,,,Busch Stadium,
136,592663,J.T. Realmuto,PHI,TOR,2026-08-08T22:05:00Z,Scheduled,7,Max Scherzer,453286,R,43.8,Longshot,Watch List,Projected Lineup,32.2,55.5,34.3,59.8,50.0,36.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","same-side matchup; pitcher baseline 11.3% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.14,42.56,90.0,100.2629,0.4012,0.1419,0.323,72.98,33.27,41.46,25.66,9.2,0.1312,11.35,38.48,88.65,0.4722,0.2146,29.12,,,Citizens Bank Park,
137,805999,A.J. Ewing,NYM,PIT,2026-08-08T22:40:00Z,Scheduled,1,Bubba Chandler,696149,R,43.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",33.5,34.5,24.3,88.7,80.0,23.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 7.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.9,43.6,89.6,100.4949,0.407,0.148,0.324,70.2,10.6,32.2,24.3,7.0,0.138,6.95,38.32,89.29,0.3814,0.1518,25.95,,,PNC Park,
138,671732,Lawrence Butler,ATH,BOS,2026-08-08T20:10:00Z,Pre-Game,6,Jake Bennett,687562,L,43.6,Longshot,Watch List,"Projected Lineup, Good Environment",33.0,23.1,74.7,71.7,50.0,28.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","same-side matchup; pitcher baseline 5.1% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.73,44.68,89.52,101.6479,0.3685,0.136,0.3054,73.63,37.95,35.45,21.3,11.2,0.135,5.1,36.3,87.8,0.358,0.131,24.7,Out To RF,88,Fenway Park,
139,681082,Bryson Stott,PHI,TOR,2026-08-08T22:05:00Z,Scheduled,8,Max Scherzer,453286,R,43.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",27.8,55.5,34.3,47.9,80.0,40.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,18,0,Contact streak: 7/18 over last 7 games,"platoon edge; pitcher baseline 11.3% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.29,37.13,89.0,98.7232,0.4056,0.1425,0.3256,69.79,6.89,35.01,28.5,9.5,0.1501,11.35,38.48,88.65,0.4722,0.2146,29.12,,,Citizens Bank Park,
140,592885,Christian Yelich,MIL,MIN,2026-08-08T23:10:00Z,Scheduled,7,Taj Bradley,671737,R,43.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",37.0,48.0,27.6,59.8,80.0,3.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","platoon edge; pitcher baseline 8.9% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.6,43.25,89.22,100.8739,0.3935,0.1639,0.3104,73.09,31.9,33.89,19.37,13.6,0.1537,8.87,43.75,90.46,0.3889,0.1582,28.98,,,American Family Field,
141,663968,Jake Mangum,PIT,NYM,2026-08-08T22:40:00Z,Scheduled,1,Robert Stock,476594,R,43.5,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",6.2,75.1,24.3,88.7,75.0,12.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","switch hitter; pitcher baseline 13.0% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.65,29.27,86.11,96.7098,0.329,0.0752,0.2837,67.51,3.66,28.0,14.86,3.0,0.0741,13.01,45.03,89.33,0.6059,0.2936,36.99,,,PNC Park,
142,666211,Taylor Trammell,HOU,SD,2026-08-08T23:15:00Z,Scheduled,7,Michael King,650633,R,43.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",38.7,41.4,22.6,59.8,80.0,31.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 9.4% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.53,36.59,89.11,100.7447,0.3749,0.1725,0.299,75.37,54.65,45.49,29.81,5.1,0.1584,9.44,34.74,87.59,0.4144,0.1737,27.33,,,Petco Park,
143,805347,Jim Jarvis,ATL,NYY,2026-08-08T19:05:00Z,Pre-Game,9,Gerrit Cole,543037,R,43.1,Longshot,Watch List,"Good Environment, Platoon Edge",15.4,46.3,85.7,44.8,80.0,12.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.9,36.8,88.3,98.2348,0.319,0.076,0.272,71.0,12.3,27.6,21.1,1.0,0.113,9.5,42.6,90.1,0.376,0.144,32.8,Out To LF,91,Yankee Stadium,
144,702616,Jackson Holliday,BAL,TEX,2026-08-08T23:15:00Z,Scheduled,5,Jacob deGrom,594798,R,43.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",25.6,49.3,27.6,81.9,80.0,0.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,21,0,"Last 7 games: 1/21, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.38,36.88,87.61,98.0623,0.3641,0.1343,0.3105,70.53,7.62,37.02,25.45,8.6,0.1281,8.81,44.14,90.45,0.3959,0.1651,29.53,,,Globe Life Field,
145,670231,John Rave,KC,CHC,2026-08-08T23:10:00Z,Scheduled,8,Clay Holmes,605280,R,43.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",50.0,30.9,23.2,47.9,80.0,33.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","platoon edge; pitcher baseline 5.8% barrel, 6.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.23,39.09,87.74,101.1154,0.4638,0.2137,0.344,75.09,53.58,48.93,27.65,2.6,0.2489,5.75,43.49,89.77,0.3744,0.1255,20.86,,,Kauffman Stadium,
146,694208,Moises Ballesteros,LAA,MIA,2026-08-08T20:10:00Z,Pre-Game,6,Sandy Alcantara,645261,R,42.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.8,34.7,35.0,71.7,80.0,12.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.38,43.17,89.94,101.0065,0.3965,0.1478,0.3193,72.85,36.02,35.48,18.2,4.8,0.1522,6.5,38.56,89.02,0.3919,0.1365,23.82,None,72,loanDepot park,
147,665161,Jeremy Pena,HOU,SD,2026-08-08T23:15:00Z,Scheduled,1,Michael King,650633,R,42.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",31.5,41.4,22.6,88.7,50.0,40.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,1,"Last 7 games: 8/30, 1 HR","same-side matchup; pitcher baseline 9.4% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.31,41.92,88.41,100.1089,0.4439,0.1536,0.3487,72.23,13.78,45.71,23.59,14.2,0.1891,9.44,34.74,87.59,0.4144,0.1737,27.33,,,Petco Park,
148,650333,Luis Arraez,PHI,TOR,2026-08-08T22:05:00Z,Scheduled,4,Max Scherzer,453286,R,42.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",7.5,55.5,34.3,90.4,80.0,31.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,1,"Last 7 games: 6/29, 1 HR","platoon edge; pitcher baseline 11.3% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.96,19.36,86.8,94.0391,0.3714,0.0858,0.3044,62.99,0.12,30.31,27.89,5.9,0.1161,11.35,38.48,88.65,0.4722,0.2146,29.12,,,Citizens Bank Park,
149,805808,Kevin McGonigle,DET,SF,2026-08-08T23:15:00Z,Scheduled,1,Landen Roupp,694738,R,42.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",32.0,20.5,19.3,88.7,80.0,88.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 5.7% barrel, 9.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.0,36.6,88.0,98.2844,0.429,0.164,0.356,71.3,17.2,37.6,36.2,12.0,0.145,5.68,31.74,87.07,0.3562,0.1204,21.12,,,Oracle Park,
150,605141,Mookie Betts,LAD,AZ,2026-08-09T00:10:00Z,Scheduled,5,Brandon Pfaadt,694297,R,42.4,Longshot,Watch List,Projected Lineup,32.8,43.9,28.2,81.9,50.0,18.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 9.0% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.83,37.62,90.08,98.466,0.4283,0.1546,0.3286,69.46,8.46,39.75,34.92,15.1,0.1578,9.01,39.29,89.54,0.4198,0.1666,22.29,,,Chase Field,
151,695731,Braden Montgomery,CWS,CLE,2026-08-08T23:15:00Z,Scheduled,6,Gavin Williams,668909,R,42.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",21.5,54.6,27.6,71.7,75.0,23.4,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","switch hitter; pitcher baseline 10.8% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.8,40.6,89.1,99.9859,0.37,0.124,0.311,69.5,9.2,33.8,19.5,4.0,0.149,10.75,47.52,90.54,0.4071,0.1768,25.79,,,Rate Field,
152,693304,Nick Gonzales,PIT,NYM,2026-08-08T22:40:00Z,Scheduled,6,Robert Stock,476594,R,42.2,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable",16.6,75.2,24.3,71.7,50.0,10.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","same-side matchup; pitcher baseline 13.0% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.38,36.42,87.05,98.3008,0.3813,0.1077,0.312,70.71,12.73,38.69,21.19,5.7,0.0943,13.01,45.03,89.33,0.6059,0.2936,36.99,,,PNC Park,
153,695720,Tommy White,ATH,BOS,2026-08-08T20:10:00Z,Pre-Game,2,Jake Bennett,687562,L,42.1,Longshot,Watch List,"Projected Lineup, Good Environment, Premium Lineup Spot, Platoon Edge",12.6,23.1,74.7,95.5,78.0,15.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","platoon edge; pitcher baseline 5.1% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,34.4,85.3,97.389,0.366,0.079,0.293,70.0,14.7,29.5,16.4,0.0,0.026,5.1,36.3,87.8,0.358,0.131,24.7,Out To RF,88,Fenway Park,
154,677588,Jose Tena,WSH,CIN,2026-08-08T22:45:00Z,Scheduled,6,Chase Burns,695505,R,42.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",33.6,39.5,28.2,71.7,80.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,13,0,"Last 7 games: 1/13, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 10.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.12,46.66,90.81,101.9569,0.3703,0.1308,0.302,72.94,33.25,32.0,16.94,3.5,0.1351,8.73,39.54,89.43,0.3532,0.1432,29.29,,,Nationals Park,
155,621020,Dansby Swanson,CHC,KC,2026-08-08T23:10:00Z,Scheduled,9,Seth Lugo,607625,R,41.8,Longshot,Watch List,Projected Lineup,38.6,56.8,23.2,40.2,50.0,36.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.62,43.18,89.87,99.9788,0.4105,0.1764,0.3135,71.32,8.12,46.57,29.47,19.1,0.1828,9.49,44.01,90.21,0.4716,0.2009,29.88,,,Kauffman Stadium,
156,808982,Jung Hoo Lee,SF,DET,2026-08-08T23:15:00Z,Scheduled,2,Jackson Jobe,695549,R,41.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",10.7,47.4,19.3,95.5,80.0,66.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.86,29.69,86.89,96.5761,0.3822,0.0947,0.3168,68.3,2.98,39.02,21.75,8.0,0.1438,8.7,43.3,89.1,0.438,0.196,28.0,,,Oracle Park,
157,681715,Heriberto Hernández,MIA,LAA,2026-08-08T20:10:00Z,Pre-Game,6,Walbert Ureña,700712,R,41.6,Longshot,Watch List,Strong Barrel,54.1,13.8,35.0,76.2,50.0,0.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,0,"Last 7 games: 2/24, 0 HR","same-side matchup; pitcher baseline 4.9% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.84,48.41,91.25,101.6954,0.4665,0.2194,0.3417,74.35,47.07,45.91,30.9,14.2,0.2084,4.9,33.2,86.9,0.294,0.095,22.0,None,72,loanDepot park,
158,608348,Carson Kelly,CHC,KC,2026-08-08T23:10:00Z,Scheduled,7,Seth Lugo,607625,R,41.6,Longshot,Watch List,Projected Lineup,28.0,56.8,23.2,59.8,50.0,48.1,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,1,"Last 7 games: 7/22, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.01,37.92,87.75,98.909,0.3942,0.1519,0.321,70.75,8.61,39.08,25.64,10.0,0.1335,9.49,44.01,90.21,0.4716,0.2009,29.88,,,Kauffman Stadium,
159,683357,Owen Caissie,MIA,LAA,2026-08-08T20:10:00Z,Pre-Game,7,Walbert Ureña,700712,R,41.5,Longshot,Watch List,"Strong Barrel, Platoon Edge",48.1,13.8,35.0,64.3,80.0,18.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,16,1,"Last 7 games: 1/16, 1 HR","platoon edge; pitcher baseline 4.9% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.77,38.41,90.31,100.4255,0.3817,0.1797,0.2803,74.88,54.37,30.69,31.67,8.7,0.1925,4.9,33.2,86.9,0.294,0.095,22.0,None,72,loanDepot park,
160,701358,Cam Smith,HOU,SD,2026-08-08T23:15:00Z,Scheduled,9,Michael King,650633,R,41.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",42.4,41.4,22.6,40.2,50.0,81.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.4% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.19,43.46,88.95,101.5346,0.4208,0.1767,0.3229,76.67,68.25,37.42,25.14,13.2,0.1556,9.44,34.74,87.59,0.4144,0.1737,27.33,,,Petco Park,
161,691026,Masyn Winn,STL,COL,2026-08-08T23:15:00Z,Scheduled,5,Kyle Freeland,607536,L,41.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",14.6,60.0,22.1,81.9,78.0,10.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","platoon edge; pitcher baseline 10.3% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.54,34.88,88.09,98.5979,0.3309,0.0846,0.2958,71.17,15.56,31.97,21.18,5.5,0.089,10.31,44.29,90.54,0.4807,0.1973,29.43,,,Busch Stadium,
