rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,695578,James Wood,WSH,NYY,2026-07-12T17:35:00Z,Scheduled,1,Will Warren,701542,R,67.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.4,45.0,28.2,88.7,80.0,100.0,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 15.7 HR allowed",EV profile; pitcher fly-ball pressure modest,20.88,59.1,94.86,106.4795,0.5819,0.3072,0.4121,76.56,66.2,29.91,26.48,27.5,0.2652,8.24,41.52,90.44,0.4127,0.1582,25.57,,,Nationals Park,
2,670541,Yordan Alvarez,HOU,TEX,2026-07-12T18:35:00Z,Scheduled,2,MacKenzie Gore,669022,L,65.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",85.3,47.5,27.6,95.5,50.0,78.4,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 9.2% barrel, 13.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.3,53.39,94.7,105.1769,0.6603,0.342,0.4476,76.1,61.46,41.09,37.64,22.8,0.2634,9.2,44.45,90.19,0.3947,0.1551,27.72,,,Globe Life Field,
3,808959,Munetaka Murakami,CWS,ATH,2026-07-12T18:10:00Z,Scheduled,2,J.T. Ginn,669372,R,64.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.7,32.3,27.6,95.5,80.0,73.0,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 12.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.5,59.0,94.2,104.8426,0.522,0.304,0.373,75.2,54.8,44.3,41.0,20.0,0.317,7.49,37.64,87.42,0.3754,0.1414,23.36,,,Rate Field,
4,624413,Pete Alonso,BAL,KC,2026-07-12T17:35:00Z,Scheduled,4,Seth Lugo,607625,R,62.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",68.4,60.9,32.1,90.4,50.0,68.7,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.5% barrel, 17.9 HR allowed",EV profile; pitcher allows elevated contact,14.42,54.05,93.64,103.884,0.5293,0.2591,0.379,74.95,49.83,37.48,31.09,25.4,0.2268,10.47,43.59,90.56,0.4849,0.2107,30.3,,,Oriole Park at Camden Yards,
5,701398,Sal Stewart,CIN,CHC,2026-07-12T17:40:00Z,Scheduled,2,Matthew Boyd,571510,L,62.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",63.1,50.9,39.3,95.5,78.0,61.5,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.3% barrel, 8.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.8,44.8,92.25,101.8136,0.5196,0.2572,0.3665,72.45,28.61,38.64,31.81,14.8,0.241,10.33,46.4,89.76,0.4232,0.1706,24.38,,,Great American Ball Park,
6,545361,Mike Trout,LAA,MIN,2026-07-12T18:10:00Z,Scheduled,2,Taj Bradley,671737,R,62.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",73.3,49.1,27.1,95.5,50.0,82.0,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.2% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,19.37,50.14,91.11,103.6989,0.5349,0.2838,0.3944,74.77,49.2,39.59,33.66,20.4,0.2308,9.22,44.03,90.88,0.3861,0.1589,30.03,,,Target Field,
7,699013,Esmerlyn Valdez,PIT,MIL,2026-07-12T16:15:00Z,Scheduled,4,Robert Gasser,688107,L,60.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",78.0,32.7,24.3,90.4,78.0,74.5,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 5.9 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,28.0,50.0,91.1,103.6384,0.545,0.313,0.359,75.0,49.7,24.0,40.0,7.0,0.341,7.81,34.04,88.13,0.3694,0.1593,27.38,,,PNC Park,
8,682829,Elly De La Cruz,CIN,CHC,2026-07-12T17:40:00Z,Scheduled,1,Matthew Boyd,571510,L,59.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",58.6,50.0,39.3,88.7,75.0,63.1,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 10.3% barrel, 8.5 HR allowed",EV profile; pitcher fly-ball pressure modest,13.87,49.8,93.45,104.429,0.4646,0.2024,0.3486,74.85,48.64,34.26,26.85,17.1,0.2103,10.33,46.4,89.76,0.4232,0.1706,24.38,,,Great American Ball Park,
9,656941,Kyle Schwarber,PHI,DET,2026-07-12T17:40:00Z,Scheduled,2,Tarik Skubal,669373,L,59.1,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",82.2,31.5,27.6,95.5,50.0,48.7,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 12.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.82,55.33,93.74,104.6945,0.5432,0.2973,0.3863,77.16,76.12,55.19,34.58,39.2,0.3167,7.89,36.5,87.57,0.358,0.1289,24.64,,,Comerica Park,
10,621566,Matt Olson,ATL,STL,2026-07-12T18:15:00Z,Scheduled,3,Dustin May,669160,R,58.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",66.3,42.1,22.1,92.1,80.0,69.1,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 11.2 HR allowed",EV profile; pitcher fly-ball pressure modest,14.19,52.32,93.02,103.9739,0.5102,0.2594,0.3614,74.67,48.65,36.67,32.85,26.2,0.2547,7.45,46.18,90.32,0.3978,0.1483,23.54,,,Busch Stadium,
