rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
166,806367,Turner Hill,SF,PIT,2026-09-02T22:40:00Z,Scheduled,5,Bubba Chandler,696149,R,41.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",26.5,34.2,24.3,81.9,80.0,40.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,0,Contact streak: 9/23 over last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 8.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.9,38.2,89.4,98.2964,0.444,0.148,0.37,66.0,0.0,50.0,23.5,0.0,0.132,6.74,39.16,89.22,0.3814,0.149,25.74,,,PNC Park,
167,647304,Josh Naylor,SEA,BOS,2026-09-02T20:10:00Z,Pre-Game,4,Patrick Sandoval,663776,L,41.1,Longshot,Watch List,Premium Lineup Spot,23.3,33.1,42.7,94.9,50.0,24.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","same-side matchup; pitcher baseline 7.4% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.23,37.91,87.87,99.111,0.3998,0.131,0.3201,70.41,11.96,41.99,22.64,13.0,0.1187,7.4,33.8,87.0,0.44,0.167,24.3,In From RF,72,Fenway Park,
168,630105,Jake Cronenworth,SD,CIN,2026-09-02T16:40:00Z,In Progress,9,Brandon Williamson,682227,L,41.0,Longshot,Watch List,Good Environment,14.8,53.7,83.3,44.8,50.0,0.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,0,"Last 7 games: 2/23, 0 HR","same-side matchup; pitcher baseline 10.5% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.1,32.21,87.59,97.7756,0.3166,0.0979,0.2875,71.32,17.39,31.47,23.84,6.1,0.0932,10.5,41.9,88.1,0.486,0.211,32.6,Out To LF,94,Great American Ball Park,
169,643446,Jeff McNeil,ATH,TEX,2026-09-02T18:35:00Z,Warmup,5,Cody Bradford,674003,L,41.0,Longshot,Watch List,No major boost,12.7,50.1,42.1,86.4,50.0,37.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","same-side matchup; pitcher baseline 9.7% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.93,31.15,86.78,96.6401,0.3782,0.1034,0.3146,69.3,5.72,43.42,23.61,8.5,0.1211,9.7,39.4,90.4,0.466,0.18,33.0,None,74,Globe Life Field,
170,663993,Nathaniel Lowe,CLE,TOR,2026-09-02T22:40:00Z,Scheduled,5,Dylan Cease,656302,R,41.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",36.2,21.0,27.6,81.9,80.0,24.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","platoon edge; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.26,41.15,89.07,100.7948,0.4164,0.1625,0.3233,73.93,38.66,35.03,26.41,15.9,0.1873,6.15,33.86,86.73,0.3023,0.1093,25.68,,,Progressive Field,
171,682877,Juan Brito,CIN,SD,2026-09-02T16:40:00Z,In Progress,7,Casey Mize,663554,R,40.8,Longshot,Watch List,"Good Environment, Platoon Edge",4.4,40.7,83.3,64.3,75.0,27.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","switch hitter; pitcher baseline 8.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.7,29.7,84.5,96.3199,0.28,0.078,0.249,69.0,1.8,51.4,16.2,0.0,0.074,8.43,38.93,89.3,0.3875,0.156,31.02,Out To LF,94,Great American Ball Park,
172,677649,Ezequiel Duran,TEX,ATH,2026-09-02T18:35:00Z,Warmup,1,Jacob Lopez,682052,L,40.7,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",20.8,22.4,42.1,93.2,78.0,40.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 5.8% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.19,35.73,87.89,98.9817,0.351,0.116,0.2869,72.27,24.52,35.73,22.07,10.5,0.1425,5.83,30.89,84.94,0.3431,0.1352,33.39,None,74,Globe Life Field,
173,608070,Jose Ramirez,CLE,TOR,2026-09-02T22:40:00Z,Scheduled,3,Dylan Cease,656302,R,40.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",29.2,19.5,27.6,92.1,75.0,52.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,1,Contact streak: 10/29 over last 7 games,"switch hitter; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.25,40.43,89.32,99.6008,0.4257,0.1452,0.3427,70.34,13.26,50.83,28.71,16.7,0.1689,6.15,33.86,86.73,0.3023,0.1093,25.68,,,Progressive Field,
174,687093,Vaughn Grissom,LAA,NYY,2026-09-03T01:38:00Z,Scheduled,5,Cam Schlittler,693645,R,40.7,Longshot,Watch List,Projected Lineup,28.3,35.0,28.2,81.9,50.0,56.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.3,38.5,88.0,99.115,0.391,0.14,0.314,71.3,17.9,40.4,25.5,9.0,0.139,7.92,39.71,88.51,0.3497,0.1337,26.74,,,Angel Stadium,
175,671056,Ivan Herrera,STL,LAD,2026-09-03T02:10:00Z,Scheduled,2,Yoshinobu Yamamoto,808967,R,40.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",33.6,26.2,27.6,95.5,50.0,26.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,0,"Last 7 games: 8/27, 0 HR","same-side matchup; pitcher baseline 6.1% barrel, 15.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.11,42.45,89.8,101.2548,0.407,0.1516,0.3423,73.81,42.58,37.38,19.66,15.5,0.1457,6.12,37.32,87.95,0.3292,0.1179,23.08,,,UNIQLO Field at Dodger Stadium,
