rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
186,650333,Luis Arraez,PHI,AZ,2026-09-02T19:40:00Z,Pre-Game,4,Taylor Clarke,664199,R,39.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",7.1,38.5,41.7,94.9,80.0,18.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.17,18.31,86.24,93.8902,0.3756,0.0858,0.3065,62.92,0.12,30.38,28.59,6.6,0.1105,8.74,35.48,87.62,0.4293,0.1784,23.95,None,72,Chase Field,
187,608324,Alex Bregman,CHC,MIL,2026-09-02T23:40:00Z,Scheduled,4,Jacob Misiorowski,694819,R,39.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",27.4,18.6,29.8,90.4,50.0,80.5,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,31,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 4.9% barrel, 11.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.83,39.64,88.63,98.2917,0.3913,0.1439,0.3223,70.16,4.94,47.0,27.37,21.5,0.1827,4.89,34.63,87.67,0.2782,0.1003,26.41,,,Wrigley Field,
188,670623,Isaac Paredes,HOU,CWS,2026-09-03T00:10:00Z,Scheduled,3,Davis Martin,663436,R,39.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",17.1,45.0,27.6,92.1,50.0,25.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","same-side matchup; pitcher baseline 7.7% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.32,29.82,86.35,96.867,0.3681,0.1271,0.3193,67.74,7.5,51.93,31.08,18.6,0.1767,7.7,44.46,90.28,0.4307,0.1601,23.48,,,Daikin Park,
189,695731,Braden Montgomery,CWS,HOU,2026-09-03T00:10:00Z,Scheduled,5,Hayden Wesneski,669713,R,39.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",22.5,36.9,27.6,81.9,75.0,7.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,30,0,"Last 7 games: 5/30, 0 HR","switch hitter; pitcher baseline 7.7% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.1,40.6,88.8,99.821,0.382,0.13,0.322,69.8,8.5,37.1,19.3,5.0,0.13,7.7,40.77,89.35,0.3968,0.1529,24.95,,,Daikin Park,
190,553869,Elias Díaz,TEX,ATH,2026-09-02T18:35:00Z,Warmup,7,Jacob Lopez,682052,L,38.8,Longshot,Watch List,Platoon Edge,32.0,22.4,42.1,64.3,78.0,10.1,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","platoon edge; pitcher baseline 5.8% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.86,38.98,87.77,100.2771,0.3613,0.1432,0.275,74.27,43.51,37.51,27.8,6.9,0.1578,5.83,30.89,84.94,0.3431,0.1352,33.39,None,74,Globe Life Field,
191,685133,Wade Meckler,LAA,NYY,2026-09-03T01:38:00Z,Scheduled,3,Cam Schlittler,693645,R,38.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",11.8,35.0,28.2,92.1,80.0,43.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,0,Contact streak: 9/22 over last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.9,33.1,86.9,96.7856,0.359,0.098,0.315,68.9,2.2,34.9,18.0,3.0,0.09,7.92,39.71,88.51,0.3497,0.1337,26.74,,,Angel Stadium,
192,701358,Cam Smith,HOU,CWS,2026-09-03T00:10:00Z,Scheduled,9,Davis Martin,663436,R,38.7,Longshot,Watch List,Projected Lineup,40.6,45.0,27.6,40.2,50.0,4.5,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","same-side matchup; pitcher baseline 7.7% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.7,43.11,88.74,101.3968,0.411,0.1711,0.3152,76.81,68.46,37.7,25.0,14.6,0.1598,7.7,44.46,90.28,0.4307,0.1601,23.48,,,Daikin Park,
193,680700,Richie Palacios,TB,NYM,2026-09-02T22:40:00Z,Scheduled,8,Justin Hagenman,663795,R,38.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.9,66.6,27.6,47.9,80.0,0.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,22,0,"Last 7 games: 1/22, 0 HR","platoon edge; pitcher baseline 12.3% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.22,32.27,87.17,96.8857,0.3618,0.0983,0.3194,68.84,3.66,35.62,21.33,3.8,0.1099,12.3,50.7,92.1,0.464,0.209,30.1,,,Tropicana Field,
194,695490,Edwin Arroyo,CIN,SD,2026-09-02T16:40:00Z,In Progress,9,Casey Mize,663554,R,38.5,Longshot,Watch List,"Good Environment, Platoon Edge",9.1,40.7,83.3,44.8,75.0,3.4,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","switch hitter; pitcher baseline 8.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.9,26.9,87.8,96.0413,0.357,0.082,0.298,69.1,4.8,42.6,19.4,0.0,0.043,8.43,38.93,89.3,0.3875,0.156,31.02,Out To LF,94,Great American Ball Park,
195,571448,Nolan Arenado,AZ,PHI,2026-09-02T19:40:00Z,Pre-Game,5,Andrew Painter,691725,R,38.5,Longshot,Watch List,No major boost,17.3,39.6,41.7,86.4,50.0,8.8,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","same-side matchup; pitcher baseline 8.2% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.54,31.48,85.4,96.8744,0.3492,0.1206,0.2862,71.33,15.82,46.16,27.65,18.3,0.1743,8.2,36.1,87.3,0.424,0.17,26.9,None,72,Chase Field,
196,642215,Weston Wilson,SEA,BOS,2026-09-02T20:10:00Z,Pre-Game,7,Patrick Sandoval,663776,L,38.5,Longshot,Watch List,Platoon Edge,23.2,33.1,42.7,64.3,78.0,10.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,37.15,86.6,98.744,0.3262,0.1242,0.2796,72.64,26.12,47.27,26.48,4.3,0.1444,7.4,33.8,87.0,0.44,0.167,24.3,In From RF,72,Fenway Park,
197,702284,Cole Young,SEA,BOS,2026-09-02T20:10:00Z,Pre-Game,6,Patrick Sandoval,663776,L,38.4,Longshot,Watch List,No major boost,23.1,33.1,42.7,76.2,50.0,24.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","same-side matchup; pitcher baseline 7.4% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.04,35.51,88.09,98.788,0.3816,0.1303,0.311,71.44,21.58,42.26,26.59,12.4,0.1255,7.4,33.8,87.0,0.44,0.167,24.3,In From RF,72,Fenway Park,
198,805999,A.J. Ewing,NYM,TB,2026-09-02T22:40:00Z,Scheduled,8,Griffin Jax,643377,R,38.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.6,42.9,27.6,47.9,80.0,5.1,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","platoon edge; pitcher baseline 9.3% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.0,41.5,89.2,100.0742,0.387,0.137,0.314,70.4,12.2,30.6,24.8,7.0,0.112,9.33,41.02,88.92,0.4,0.1555,23.72,,,Tropicana Field,
199,677870,Leo Jimenez,MIA,KC,2026-09-02T23:40:00Z,Scheduled,6,Noah Cameron,702070,L,38.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",26.1,38.6,23.2,71.7,78.0,0.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 15.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.46,43.0,90.6,100.117,0.3306,0.1043,0.2942,71.51,13.15,35.14,23.54,1.7,0.0729,7.42,37.89,88.53,0.4089,0.1611,26.38,,,Kauffman Stadium,
200,675961,Alika Williams,ATH,TEX,2026-09-02T18:35:00Z,Warmup,7,Cody Bradford,674003,L,38.3,Longshot,Watch List,Platoon Edge,7.8,50.1,42.1,64.3,78.0,26.1,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,0,"Last 7 games: 5/17, 0 HR","platoon edge; pitcher baseline 9.7% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.8,34.2,85.0,97.2114,0.294,0.078,0.243,69.5,3.5,37.2,23.1,2.0,0.139,9.7,39.4,90.4,0.466,0.18,33.0,None,74,Globe Life Field,
201,666624,Christopher Morel,NYM,TB,2026-09-02T22:40:00Z,Scheduled,6,Griffin Jax,643377,R,38.2,Longshot,Watch List,Projected Lineup,25.8,42.9,27.6,71.7,50.0,14.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,0,"Last 7 games: 3/14, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.84,42.35,88.65,100.9682,0.2856,0.0957,0.2438,76.14,61.1,53.71,26.92,3.3,0.0783,9.33,41.02,88.92,0.4,0.1555,23.72,,,Tropicana Field,
202,694197,Angel Genao,CLE,TOR,2026-09-02T22:40:00Z,Scheduled,6,Dylan Cease,656302,R,38.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.9,19.5,27.6,71.7,75.0,20.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,1,"Last 7 games: 3/22, 1 HR","switch hitter; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.0,53.7,91.3,100.6793,0.374,0.123,0.306,72.5,26.4,38.8,17.9,2.0,0.119,6.15,33.86,86.73,0.3023,0.1093,25.68,,,Progressive Field,
203,695336,Thomas Saggese,STL,LAD,2026-09-03T02:10:00Z,Scheduled,9,Yoshinobu Yamamoto,808967,R,38.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",37.6,26.2,27.6,40.2,50.0,100.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,15,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.1% barrel, 15.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.15,39.76,89.29,100.2422,0.4063,0.1719,0.3006,71.41,17.83,36.55,25.99,2.7,0.1337,6.12,37.32,87.95,0.3292,0.1179,23.08,,,UNIQLO Field at Dodger Stadium,
204,514888,Jose Altuve,HOU,CWS,2026-09-03T00:10:00Z,Scheduled,4,Davis Martin,663436,R,37.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",14.4,45.0,27.6,90.4,50.0,20.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","same-side matchup; pitcher baseline 7.7% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.22,32.3,85.38,97.1604,0.3434,0.1176,0.2818,69.14,10.13,45.64,22.3,17.6,0.1567,7.7,44.46,90.28,0.4307,0.1601,23.48,,,Daikin Park,
205,691594,Javier Sanoja,MIA,KC,2026-09-02T23:40:00Z,Scheduled,4,Noah Cameron,702070,L,37.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",9.8,38.6,23.2,90.4,78.0,37.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,0,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 7.4% barrel, 15.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.01,31.85,87.24,97.3184,0.3406,0.0795,0.2848,68.86,6.39,37.45,19.11,6.0,0.1404,7.42,37.89,88.53,0.4089,0.1611,26.38,,,Kauffman Stadium,
206,679845,Nick Loftin,KC,MIA,2026-09-02T23:40:00Z,Scheduled,6,Eury Pérez,691587,R,37.2,Longshot,Watch List,Projected Lineup,17.0,43.4,23.2,71.7,50.0,63.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.2% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.9,30.01,87.5,97.0212,0.3464,0.1179,0.2954,69.05,5.8,44.22,28.85,6.1,0.1539,9.21,41.18,88.96,0.3639,0.1574,30.59,,,Kauffman Stadium,
207,807712,Luke Keaschall,MIN,DET,2026-09-02T23:40:00Z,Scheduled,1,Drew Anderson,623454,R,37.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",13.8,37.9,27.1,88.7,50.0,50.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.15,30.29,85.78,96.9082,0.3668,0.116,0.3184,68.64,7.59,38.26,27.46,7.5,0.1262,8.2,38.0,89.7,0.367,0.143,25.2,,,Target Field,
208,687462,Spencer Horwitz,PIT,SF,2026-09-02T22:40:00Z,Scheduled,1,Landen Roupp,694738,R,37.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",22.6,23.5,24.3,88.7,80.0,13.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.11,32.85,87.05,97.5289,0.3706,0.1374,0.3183,68.68,5.46,39.59,27.77,10.3,0.1424,6.24,31.74,86.93,0.3653,0.1281,22.87,,,PNC Park,
209,672275,Patrick Bailey,CLE,TOR,2026-09-02T22:40:00Z,Scheduled,8,Dylan Cease,656302,R,37.0,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",32.2,19.5,27.6,47.9,75.0,81.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,18,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.79,40.32,89.88,99.6758,0.3813,0.1503,0.2955,72.55,27.6,33.9,27.04,7.4,0.1198,6.15,33.86,86.73,0.3023,0.1093,25.68,,,Progressive Field,
210,699024,Leo Bernal,STL,LAD,2026-09-03T02:10:00Z,Scheduled,8,Yoshinobu Yamamoto,808967,R,37.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",39.2,24.5,27.6,47.9,75.0,12.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,1,1,5,0,"Last 1 games: 1/5, 0 HR","switch hitter; pitcher baseline 6.1% barrel, 15.4 HR allowed",EV profile; pitcher fly-ball pressure modest,0.0,66.7,95.7,102.1542,0.306,0.093,0.221,76.1,75.0,33.3,33.3,0.0,0.0,6.12,37.32,87.95,0.3292,0.1179,23.08,,,UNIQLO Field at Dodger Stadium,
211,687401,Joey Ortiz,MIL,CHC,2026-09-02T23:40:00Z,Scheduled,7,David Peterson,656849,L,36.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.4,35.8,29.8,59.8,78.0,57.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,1,Contact streak: 8/21 over last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.91,35.46,87.49,98.9584,0.3368,0.0967,0.289,72.86,29.52,31.77,20.24,7.7,0.1213,6.4,42.64,89.55,0.4105,0.1391,19.15,,,Wrigley Field,
212,695681,Christian Moore,LAA,NYY,2026-09-03T01:38:00Z,Scheduled,7,Cam Schlittler,693645,R,36.8,Longshot,Watch List,Projected Lineup,28.8,35.0,28.2,59.8,50.0,36.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","same-side matchup; pitcher baseline 7.9% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.84,35.46,88.62,99.3365,0.3121,0.1168,0.2617,72.49,26.83,24.96,28.62,2.8,0.1377,7.92,39.71,88.51,0.3497,0.1337,26.74,,,Angel Stadium,
213,663656,Kyle Tucker,LAD,STL,2026-09-03T02:10:00Z,Scheduled,8,,,,36.8,Longshot,Watch List,Projected Lineup,31.9,41.2,27.6,47.9,60.0,3.4,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.02,37.95,89.12,98.7818,0.4074,0.15,0.3384,71.58,20.52,42.75,32.98,14.3,0.149,,,,,,,,,UNIQLO Field at Dodger Stadium,
214,571771,Enrique Hernandez,LAD,STL,2026-09-03T02:10:00Z,Scheduled,9,,,,36.8,Longshot,Watch List,Projected Lineup,33.4,41.2,27.6,40.2,60.0,14.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,0,"Last 7 games: 3/14, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.85,36.97,89.32,98.9136,0.3702,0.1534,0.2779,70.26,10.46,26.72,28.41,4.4,0.1707,,,,,,,,,UNIQLO Field at Dodger Stadium,
215,702222,Justin Crawford,PHI,AZ,2026-09-02T19:40:00Z,Pre-Game,7,Taylor Clarke,664199,R,36.7,Longshot,Watch List,Platoon Edge,10.7,38.5,41.7,64.3,80.0,28.9,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,16,0,"Last 7 games: 5/16, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.3,35.5,87.1,98.1853,0.319,0.062,0.284,69.1,5.6,26.7,16.6,2.0,0.084,8.74,35.48,87.62,0.4293,0.1784,23.95,None,72,Chase Field,
216,650559,Bryan De La Cruz,PHI,AZ,2026-09-02T19:40:00Z,Pre-Game,9,Taylor Clarke,664199,R,36.6,Longshot,Watch List,No major boost,26.6,38.5,41.7,44.8,50.0,32.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,15,0,Contact streak: 5/15 over last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.99,44.7,89.61,100.1938,0.3388,0.1154,0.2744,71.34,18.47,36.64,18.12,1.4,0.1312,8.74,35.48,87.62,0.4293,0.1784,23.95,None,72,Chase Field,
217,640902,Jhonny Pereda,SEA,BOS,2026-09-02T20:10:00Z,Pre-Game,9,Patrick Sandoval,663776,L,36.6,Longshot,Watch List,Platoon Edge,23.0,33.1,42.7,44.8,78.0,28.2,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,13,0,"Last 7 games: 4/13, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.61,46.72,89.45,100.1771,0.3689,0.0968,0.3128,70.76,8.23,30.81,12.97,1.4,0.0814,7.4,33.8,87.0,0.44,0.167,24.3,In From RF,72,Fenway Park,
218,808982,Jung Hoo Lee,SF,PIT,2026-09-02T22:40:00Z,Scheduled,4,Bubba Chandler,696149,R,36.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",12.4,34.2,24.3,90.4,80.0,16.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","platoon edge; pitcher baseline 6.7% barrel, 8.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.86,31.23,87.31,96.8813,0.3857,0.0982,0.3203,68.37,3.54,37.62,22.45,8.7,0.1333,6.74,39.16,89.22,0.3814,0.149,25.74,,,PNC Park,
219,543760,Marcus Semien,NYM,TB,2026-09-02T22:40:00Z,Scheduled,7,Griffin Jax,643377,R,36.5,Longshot,Watch List,Projected Lineup,23.1,42.9,27.6,59.8,50.0,32.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,0,Contact streak: 7/21 over last 7 games,"same-side matchup; pitcher baseline 9.3% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.38,33.39,86.97,97.3355,0.3887,0.1418,0.3096,68.5,3.2,47.4,31.23,14.3,0.1305,9.33,41.02,88.92,0.4,0.1555,23.72,,,Tropicana Field,
220,806146,George Lombard,NYY,LAA,2026-09-03T01:38:00Z,Scheduled,7,Reid Detmers,672282,L,36.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.6,38.9,28.2,59.8,78.0,13.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 7.8% barrel, 13.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.3,35.7,85.9,97.8328,0.354,0.109,0.295,71.9,18.2,33.9,21.4,2.0,0.114,7.85,39.44,90.03,0.3637,0.1411,27.85,,,Angel Stadium,
