rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
108,668723,Ryan Vilade,TB,BOS,2026-07-17T23:10:00Z,Scheduled,4,,,,48.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",41.8,41.2,28.7,90.4,60.0,38.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,2,Hot streak: 2 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.23,49.45,91.28,102.181,0.3858,0.1548,0.3055,75.59,55.37,22.26,25.38,4.9,0.147,,,,,,,,,Fenway Park,
109,621020,Dansby Swanson,CHC,MIN,2026-07-18T00:05:00Z,Pre-Game,9,Bailey Ober,641927,R,47.9,Longshot,Watch List,"Projected Lineup, Good Environment",40.5,51.6,73.3,40.2,50.0,20.9,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","same-side matchup; pitcher baseline 10.1% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.9,44.23,90.08,100.2154,0.4112,0.1827,0.3128,71.32,8.78,46.22,30.94,18.4,0.1926,10.06,35.18,88.62,0.4536,0.2091,32.11,Out To LF,87,Wrigley Field,
110,683002,Gunnar Henderson,BAL,HOU,2026-07-18T00:10:00Z,Pre-Game,1,Peter Lambert,663567,R,47.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",37.9,33.6,41.1,88.7,80.0,31.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,1,"Last 7 games: 6/29, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.69,46.05,90.42,101.3661,0.4012,0.1511,0.3179,74.67,47.17,41.78,24.08,17.0,0.1745,6.8,37.2,88.8,0.347,0.143,33.8,None,72,Daikin Park,
111,807799,Masataka Yoshida,BOS,TB,2026-07-17T23:10:00Z,Scheduled,5,Mason Englert,669438,R,47.8,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",22.2,56.4,28.7,81.9,80.0,79.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.6% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.8,40.57,89.29,99.5711,0.3749,0.1094,0.3189,71.48,16.15,44.13,21.6,3.3,0.1192,11.57,40.6,89.84,0.464,0.201,30.85,,,Fenway Park,
112,694192,Jackson Chourio,MIL,MIA,2026-07-17T23:40:00Z,Scheduled,2,Sandy Alcantara,645261,R,47.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",52.1,33.1,27.6,95.5,50.0,14.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 6.4% barrel, 15.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.36,45.17,91.33,102.1581,0.4582,0.2084,0.3259,74.53,47.0,33.11,28.01,15.4,0.2077,6.43,37.79,88.95,0.3898,0.1323,24.24,,,American Family Field,
113,665161,Jeremy Peña,HOU,BAL,2026-07-18T00:10:00Z,Pre-Game,1,Dean Kremer,665152,R,47.8,Longshot,Watch List,Premium Lineup Spot,26.7,57.9,41.1,93.2,50.0,27.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,0,"Last 7 games: 9/30, 0 HR","same-side matchup; pitcher baseline 11.1% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.05,40.1,87.92,99.6683,0.4236,0.1368,0.3396,72.23,13.74,46.48,25.27,9.3,0.1492,11.08,34.89,88.38,0.4781,0.2443,38.69,None,72,Daikin Park,
114,669003,Garrett Mitchell,MIL,MIA,2026-07-17T23:40:00Z,Scheduled,6,Sandy Alcantara,645261,R,47.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",51.1,33.1,27.6,71.7,80.0,30.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 15.7 HR allowed",EV profile; pitcher fly-ball pressure modest,12.3,48.5,92.15,103.8432,0.4299,0.1771,0.3363,76.94,75.69,34.28,18.74,5.6,0.1559,6.43,37.79,88.95,0.3898,0.1323,24.24,,,American Family Field,
115,663968,Jake Mangum,PIT,CLE,2026-07-17T23:10:00Z,Pre-Game,1,Gavin Williams,668909,R,47.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",5.1,56.1,67.6,93.2,75.0,50.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,1,Contact streak: 8/24 over last 7 games,"switch hitter; pitcher baseline 11.0% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.93,29.06,85.41,96.4279,0.3332,0.0759,0.2865,67.16,3.62,28.21,13.81,2.3,0.0769,11.03,47.31,90.75,0.4246,0.1845,24.39,Out To LF,88,Progressive Field,
116,669134,Luis Campusano,SD,KC,2026-07-18T00:10:00Z,Pre-Game,8,Seth Lugo,607625,R,47.5,Longshot,Watch List,Projected Lineup,26.2,61.6,66.7,47.9,50.0,56.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,16,1,Contact streak: 6/16 over last 7 games,"same-side matchup; pitcher baseline 10.5% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.0,42.6,87.73,99.737,0.3235,0.1246,0.3032,72.82,28.73,47.4,21.2,2.8,0.1897,10.47,43.94,90.7,0.4856,0.2121,30.3,Out To CF,87,Kauffman Stadium,
117,686681,Michael Massey,KC,SD,2026-07-18T00:10:00Z,Pre-Game,7,Michael King,650633,R,47.3,Longshot,Watch List,Platoon Edge,31.3,38.3,66.7,64.3,80.0,32.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,0,Contact streak: 7/21 over last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 10.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.96,38.88,89.6,98.7611,0.3957,0.1528,0.2944,71.43,11.59,48.59,33.81,5.8,0.1348,9.02,34.81,87.45,0.4102,0.166,25.93,Out To CF,87,Kauffman Stadium,
