rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
24,672515,Gabriel Moreno,AZ,COL,2026-09-24T19:10:00Z,In Progress,3,Tanner Gordon,685299,R,56.1,Longshot,Watch List,"Premium Lineup Spot, Hot Hitter/Streak",35.6,62.5,48.7,96.6,50.0,81.7,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.8% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.52,42.07,89.49,99.6981,0.4502,0.1649,0.3572,71.46,20.56,34.73,25.26,13.2,0.1662,10.8,42.04,90.59,0.4901,0.2139,33.6,In From RF,70,Coors Field,
25,683146,Brett Baty,NYM,TEX,2026-09-24T18:35:00Z,In Progress,5,Kumar Rocker,677958,R,55.5,Longshot,Watch List,"Strong Barrel, Platoon Edge",45.4,48.7,42.1,86.4,80.0,63.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,13,1,Contact streak: 6/13 over last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 17.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.08,43.4,90.56,101.8115,0.4234,0.1798,0.3242,75.15,54.0,35.4,26.59,13.1,0.1516,8.93,42.39,89.8,0.4392,0.178,23.7,None,74,Globe Life Field,
26,703155,Lazaro Montes,SEA,LAA,2026-09-25T01:40:00Z,Scheduled,8,Grayson Rodriguez,680570,R,55.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",71.9,53.6,25.4,47.9,80.0,18.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,18,1,"Last 7 games: 2/18, 1 HR","platoon edge; pitcher baseline 8.9% barrel, 15.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,18.2,45.5,91.7,103.8388,0.471,0.279,0.319,75.6,60.6,31.8,50.0,4.0,0.295,8.9,45.1,90.2,0.468,0.192,27.6,,,T-Mobile Park,
27,681715,Heriberto Hernández,MIA,CHC,2026-09-24T18:20:00Z,In Progress,2,Matthew Boyd,571510,L,55.1,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",52.5,41.3,38.3,100.0,78.0,20.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 16.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.12,46.52,90.9,101.636,0.4588,0.2145,0.3438,74.07,44.06,46.12,30.62,19.8,0.1972,8.37,38.14,88.43,0.4176,0.1601,26.2,In From CF,65,Wrigley Field,
28,673962,Josh Jung,TEX,NYM,2026-09-24T18:35:00Z,In Progress,3,Zac Thornton,804267,L,55.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",36.7,50.5,42.1,96.6,78.0,79.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.6% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.32,48.38,90.28,100.3711,0.4273,0.1557,0.3313,70.41,7.48,37.83,23.57,11.9,0.1495,9.6,41.4,89.0,0.45,0.184,30.5,None,74,Globe Life Field,
29,677800,Wilyer Abreu,BOS,CLE,2026-09-24T22:45:00Z,Pre-Game,4,Daniel Espino,682982,R,54.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",53.3,43.5,38.2,94.9,80.0,5.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","platoon edge; pitcher baseline 13.3% barrel, 3.0 HR allowed",fly-ball profile; pitcher allows elevated contact,12.51,44.06,90.1,101.3393,0.4743,0.2229,0.3455,73.89,37.89,38.25,37.17,23.4,0.2073,13.3,36.7,85.0,0.352,0.15,36.7,In From CF,59,Fenway Park,
30,695600,Carter Jensen,KC,CWS,2026-09-24T18:10:00Z,In Progress,1,David Sandlin,689818,R,54.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.7,31.5,30.2,93.2,80.0,44.8,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","platoon edge; pitcher baseline 8.2% barrel, 6.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.36,48.71,92.53,103.0296,0.472,0.2214,0.3511,74.1,38.73,41.56,30.91,18.4,0.2269,8.2,33.7,86.9,0.39,0.153,24.5,In From RF,72,Kauffman Stadium,
31,656976,Pavin Smith,AZ,COL,2026-09-24T19:10:00Z,In Progress,5,Tanner Gordon,685299,R,54.1,Longshot,Watch List,Platoon Edge,28.0,62.5,48.7,86.4,80.0,65.5,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.22,39.94,88.7,99.2808,0.3392,0.1277,0.291,71.16,13.03,42.16,29.81,4.5,0.1326,10.8,42.04,90.59,0.4901,0.2139,33.6,In From RF,70,Coors Field,
32,545361,Mike Trout,LAA,SEA,2026-09-25T01:40:00Z,Scheduled,2,Bryan Woo,693433,R,54.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.2,41.6,25.4,95.5,50.0,50.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,1,Contact streak: 8/24 over last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.01,47.06,90.27,102.9199,0.4838,0.2348,0.3734,74.49,46.3,36.23,30.93,23.2,0.1902,7.63,42.5,89.31,0.3807,0.1492,27.36,,,T-Mobile Park,
33,666018,Jonathan Aranda,TB,NYY,2026-09-24T23:05:00Z,Pre-Game,2,Cam Schlittler,693645,R,53.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",49.0,33.7,50.2,95.5,80.0,30.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 13.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.87,48.55,91.6,101.213,0.4639,0.1974,0.3554,70.36,13.11,32.99,29.99,19.6,0.1646,7.64,38.94,88.58,0.3441,0.1309,26.04,In From LF,64,Yankee Stadium,
