rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
44,669257,Will Smith,LAD,SD,2026-09-25T02:10:00Z,Scheduled,5,Nick Pivetta,601713,R,51.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",51.2,43.6,27.6,81.9,50.0,87.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.6% barrel, 8.0 HR allowed",fly-ball profile; pitcher allows elevated contact,12.55,42.27,89.62,100.1576,0.5002,0.227,0.3857,69.84,6.38,31.3,39.5,12.1,0.18,9.57,38.63,89.46,0.3722,0.1568,33.3,,,UNIQLO Field at Dodger Stadium,
45,668930,Brice Turang,MIL,PHI,2026-09-24T22:05:00Z,Pre-Game,2,Andrew Painter,691725,R,51.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",36.4,40.3,44.3,100.0,80.0,42.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","platoon edge; pitcher baseline 8.3% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.79,43.27,90.47,100.378,0.4269,0.1705,0.3413,70.25,13.41,28.14,23.57,19.4,0.1694,8.3,35.5,87.6,0.421,0.169,26.1,In From CF,64,Citizens Bank Park,
46,502671,Paul Goldschmidt,NYY,TB,2026-09-24T23:05:00Z,Pre-Game,1,Ian Seymour,693855,L,51.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",36.4,44.8,50.2,93.2,78.0,22.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,15,0,"Last 7 games: 4/15, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.54,38.45,87.81,99.306,0.4276,0.1805,0.3178,71.69,16.62,33.46,29.56,15.6,0.1801,9.41,37.45,88.42,0.3966,0.1705,29.45,In From LF,64,Yankee Stadium,
47,642708,Amed Rosario,NYY,TB,2026-09-24T23:05:00Z,Pre-Game,5,Ian Seymour,693855,L,51.5,Longshot,Watch List,Platoon Edge,40.2,44.8,50.2,86.4,78.0,16.1,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.36,41.36,90.57,101.4309,0.4285,0.1706,0.3149,73.8,37.83,38.59,24.07,8.8,0.1691,9.41,37.45,88.42,0.3966,0.1705,29.45,In From LF,64,Yankee Stadium,
48,547180,Bryce Harper,PHI,MIL,2026-09-24T22:05:00Z,Pre-Game,3,Shane Drohan,675660,L,51.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",49.6,40.2,44.3,96.6,50.0,15.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","same-side matchup; pitcher baseline 8.8% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.97,44.63,90.46,101.6973,0.4843,0.2156,0.3764,74.1,45.22,38.33,27.03,27.7,0.2204,8.8,38.3,88.6,0.378,0.147,29.5,In From CF,64,Citizens Bank Park,
49,678246,Miguel Vargas,CWS,KC,2026-09-24T18:10:00Z,In Progress,3,Randy Dobnak,677976,R,51.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",50.4,36.3,30.2,96.6,50.0,68.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 5.2% barrel, 5.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.06,42.81,89.98,100.1324,0.4728,0.2165,0.3617,72.91,33.37,45.05,35.1,27.9,0.2097,5.25,44.68,91.39,0.422,0.138,23.18,In From RF,72,Kauffman Stadium,
50,663886,Tyler Stephenson,CIN,ATL,2026-09-24T23:15:00Z,Pre-Game,4,Tyler Mahle,641816,R,51.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",49.1,35.8,52.9,94.9,50.0,16.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","same-side matchup; pitcher baseline 6.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.89,45.84,90.85,100.3964,0.4228,0.1928,0.3215,70.45,6.86,37.29,33.15,14.4,0.1732,6.81,37.31,89.27,0.3941,0.1467,26.7,L To R,71,Truist Park,
51,573262,Mike Yastrzemski,ATL,CIN,2026-09-24T23:15:00Z,Pre-Game,7,Brady Singer,663903,R,51.3,Longshot,Watch List,Platoon Edge,34.5,54.8,52.9,64.3,80.0,52.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 27.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.24,42.67,90.45,99.7476,0.3847,0.1477,0.3157,71.31,8.58,44.01,30.63,13.5,0.1637,9.89,42.31,90.79,0.4489,0.18,26.86,L To R,71,Truist Park,
52,686469,Vinnie Pasquantino,KC,CWS,2026-09-24T18:10:00Z,In Progress,3,David Sandlin,689818,R,51.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",42.1,31.5,30.2,96.6,80.0,91.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.68,42.74,90.27,100.3089,0.4413,0.1854,0.3347,71.17,15.31,44.47,30.19,20.1,0.1823,8.2,33.7,86.9,0.39,0.153,24.5,In From RF,72,Kauffman Stadium,
53,701538,Jackson Merrill,SD,LAD,2026-09-25T02:10:00Z,Scheduled,5,Tyler Glasnow,607192,R,51.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",54.3,36.0,27.6,81.9,80.0,36.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,1,"Last 7 games: 7/29, 1 HR","platoon edge; pitcher baseline 8.3% barrel, 7.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.58,47.1,91.03,101.2132,0.4893,0.2228,0.3463,72.95,28.03,37.63,30.2,23.0,0.1888,8.35,38.66,89.67,0.3317,0.135,28.71,,,UNIQLO Field at Dodger Stadium,
54,677951,Bobby Witt Jr.,KC,CWS,2026-09-24T18:10:00Z,In Progress,2,David Sandlin,689818,R,50.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",55.8,31.5,30.2,100.0,50.0,37.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,0,Contact streak: 10/27 over last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,11.8,49.9,92.6,103.4474,0.5052,0.2094,0.3741,74.02,42.65,31.22,26.99,19.5,0.1745,8.2,33.7,86.9,0.39,0.153,24.5,In From RF,72,Kauffman Stadium,
55,607043,Brandon Nimmo,TEX,NYM,2026-09-24T18:35:00Z,In Progress,5,Zac Thornton,804267,L,50.7,Longshot,Watch List,No major boost,45.5,50.5,42.1,86.4,50.0,13.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","same-side matchup; pitcher baseline 9.6% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.01,50.41,91.97,102.0213,0.4393,0.1747,0.3357,72.34,27.67,33.73,25.77,17.3,0.1544,9.6,41.4,89.0,0.45,0.184,30.5,None,74,Globe Life Field,
56,664023,Ian Happ,CHC,MIA,2026-09-24T18:20:00Z,In Progress,5,Tyler Phillips,663969,R,50.4,Longshot,Watch List,"Strong Barrel, Platoon Edge",43.3,38.3,38.3,86.4,75.0,46.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","switch hitter; pitcher baseline 7.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.1,42.72,89.51,100.7429,0.4129,0.1902,0.3267,71.74,17.94,44.75,31.06,23.7,0.1896,7.06,42.77,89.41,0.4015,0.1506,26.01,In From CF,65,Wrigley Field,
57,668227,Randy Arozarena,SEA,LAA,2026-09-25T01:40:00Z,Scheduled,2,Grayson Rodriguez,680570,R,50.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",40.8,53.6,25.4,95.5,50.0,48.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,1,"Last 7 games: 7/22, 1 HR","same-side matchup; pitcher baseline 8.9% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.12,45.49,91.02,101.1536,0.4212,0.1718,0.3438,71.32,24.66,35.03,24.87,26.3,0.1964,8.9,45.1,90.2,0.468,0.192,27.6,,,T-Mobile Park,
58,694671,Wyatt Langford,TEX,NYM,2026-09-24T18:35:00Z,In Progress,6,Zac Thornton,804267,L,50.1,Longshot,Watch List,Platoon Edge,40.1,50.5,42.1,76.2,78.0,15.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.94,40.49,89.58,100.4506,0.4088,0.1757,0.3292,72.82,27.36,43.66,30.88,18.5,0.19,9.6,41.4,89.0,0.45,0.184,30.5,None,74,Globe Life Field,
59,666176,Jo Adell,CLE,BOS,2026-09-24T22:45:00Z,Pre-Game,4,Ranger Suarez,624133,L,50.1,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",52.3,20.1,38.2,94.9,78.0,39.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 5.4% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.35,45.66,90.65,102.8856,0.4706,0.2141,0.3363,77.46,72.32,39.61,27.35,26.5,0.1853,5.43,32.78,86.71,0.3538,0.1131,23.47,In From CF,59,Fenway Park,
60,641355,Cody Bellinger,NYY,TB,2026-09-24T23:05:00Z,Pre-Game,2,Ian Seymour,693855,L,50.1,Longshot,Watch List,Premium Lineup Spot,30.6,44.8,50.2,100.0,50.0,65.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.4% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.94,37.69,88.86,98.5305,0.4166,0.1519,0.3328,69.89,4.82,44.15,32.13,20.6,0.18,9.41,37.45,88.42,0.3966,0.1705,29.45,In From LF,64,Yankee Stadium,
61,668709,JJ Bleday,CIN,ATL,2026-09-24T23:15:00Z,Pre-Game,5,Tyler Mahle,641816,R,49.9,Longshot,Watch List,Platoon Edge,36.5,35.8,52.9,86.4,80.0,41.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.99,39.47,88.49,99.7274,0.3954,0.169,0.3201,73.0,27.16,47.0,32.71,20.3,0.1962,6.81,37.31,89.27,0.3941,0.1467,26.7,L To R,71,Truist Park,
62,683748,Victor Mesa,TB,NYY,2026-09-24T23:05:00Z,Pre-Game,5,Cam Schlittler,693645,R,49.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",43.9,33.7,50.2,81.9,80.0,20.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,1,"Last 7 games: 3/22, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 13.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.11,40.87,89.63,100.0914,0.4381,0.1949,0.3333,73.65,32.95,41.15,33.77,10.1,0.2176,7.64,38.94,88.58,0.3441,0.1309,26.04,In From LF,64,Yankee Stadium,
63,677594,Julio Rodriguez,SEA,LAA,2026-09-25T01:40:00Z,Scheduled,5,Grayson Rodriguez,680570,R,49.7,Longshot,Watch List,Projected Lineup,45.3,53.6,25.4,81.9,50.0,43.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,0,Contact streak: 11/27 over last 7 games,"same-side matchup; pitcher baseline 8.9% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.1,45.48,90.75,102.7939,0.451,0.1845,0.337,76.54,66.43,38.42,25.42,24.3,0.1685,8.9,45.1,90.2,0.468,0.192,27.6,,,T-Mobile Park,
64,669127,Shea Langeliers,ATH,HOU,2026-09-25T01:40:00Z,Scheduled,3,Peter Lambert,663567,R,49.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",55.3,32.9,30.9,92.1,50.0,22.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,0,"Last 7 games: 8/30, 0 HR","same-side matchup; pitcher baseline 6.8% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.98,44.27,91.32,102.3438,0.4906,0.2263,0.3493,74.71,48.12,40.09,29.7,25.4,0.2313,6.8,35.8,88.2,0.357,0.139,32.5,,,Sutter Health Park,
65,661388,William Contreras,MIL,PHI,2026-09-24T22:05:00Z,Pre-Game,3,Andrew Painter,691725,R,49.2,Longshot,Watch List,Premium Lineup Spot,39.5,40.3,44.3,96.6,50.0,37.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","same-side matchup; pitcher baseline 8.3% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.87,45.42,90.54,101.6727,0.4266,0.1702,0.3315,73.41,36.37,35.9,24.15,17.7,0.146,8.3,35.5,87.6,0.421,0.169,26.1,In From CF,64,Citizens Bank Park,
66,571448,Nolan Arenado,AZ,COL,2026-09-24T19:10:00Z,In Progress,6,Tanner Gordon,685299,R,48.8,Longshot,Watch List,Hot Hitter/Streak,19.2,62.5,48.7,76.2,50.0,100.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,27,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 10.8% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.89,31.69,85.61,97.0338,0.3625,0.129,0.2939,71.33,15.54,46.93,28.28,23.2,0.1904,10.8,42.04,90.59,0.4901,0.2139,33.6,In From RF,70,Coors Field,
67,672695,Geraldo Perdomo,AZ,COL,2026-09-24T19:10:00Z,In Progress,4,Tanner Gordon,685299,R,48.7,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",13.8,60.5,48.7,94.9,75.0,45.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,0,Contact streak: 11/25 over last 7 games,"switch hitter; pitcher baseline 10.8% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.61,31.48,87.53,96.873,0.3687,0.1054,0.335,67.5,2.22,42.19,25.1,12.3,0.1286,10.8,42.04,90.59,0.4901,0.2139,33.6,In From RF,70,Coors Field,
68,681393,Connor Norby,COL,AZ,2026-09-24T19:10:00Z,In Progress,2,Eduardo Rodriguez,593958,L,48.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",29.5,37.8,48.7,100.0,78.0,27.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,0,"Last 7 games: 6/20, 0 HR","platoon edge; pitcher baseline 7.7% barrel, 20.1 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,8.0,36.05,87.53,98.0692,0.3757,0.1529,0.3049,70.28,8.69,41.47,35.14,7.3,0.1352,7.71,33.66,87.57,0.4181,0.1657,27.26,In From RF,70,Coors Field,
69,666182,Bo Bichette,NYM,TEX,2026-09-24T18:35:00Z,In Progress,3,Kumar Rocker,677958,R,48.3,Longshot,Watch List,Premium Lineup Spot,33.1,48.7,42.1,96.6,50.0,27.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,1,"Last 7 games: 5/28, 1 HR","same-side matchup; pitcher baseline 8.9% barrel, 17.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.85,43.97,90.02,101.0776,0.4359,0.1517,0.3355,69.59,12.81,26.63,22.74,17.3,0.1405,8.93,42.39,89.8,0.4392,0.178,23.7,None,74,Globe Life Field,
70,664761,Alec Bohm,PHI,MIL,2026-09-24T22:05:00Z,Pre-Game,5,Shane Drohan,675660,L,48.3,Longshot,Watch List,Platoon Edge,33.2,40.2,44.3,86.4,78.0,39.7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,0,Contact streak: 10/26 over last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.2,44.65,90.66,100.4688,0.4158,0.146,0.3282,71.28,15.4,28.21,22.44,13.8,0.1325,8.8,38.3,88.6,0.378,0.147,29.5,In From CF,64,Citizens Bank Park,
71,681508,Mickey Gasper,BOS,CLE,2026-09-24T22:45:00Z,Pre-Game,2,Daniel Espino,682982,R,48.3,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",31.3,43.2,38.2,100.0,75.0,21.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,1,"Last 7 games: 2/14, 1 HR","switch hitter; pitcher baseline 13.3% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.74,35.47,88.57,98.5767,0.3915,0.1629,0.3228,71.58,12.21,40.8,30.85,7.6,0.1762,13.3,36.7,85.0,0.352,0.15,36.7,In From CF,59,Fenway Park,
72,518692,Freddie Freeman,LAD,SD,2026-09-25T02:10:00Z,Scheduled,3,Nick Pivetta,601713,R,48.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",39.4,43.6,27.6,92.1,80.0,12.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,30,0,"Last 7 games: 6/30, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.86,42.48,89.85,100.1528,0.4663,0.1825,0.3605,70.01,7.77,36.47,26.93,18.4,0.1636,9.57,38.63,89.46,0.3722,0.1568,33.3,,,UNIQLO Field at Dodger Stadium,
73,668939,Adley Rutschman,BOS,CLE,2026-09-24T22:45:00Z,Pre-Game,3,Daniel Espino,682982,R,47.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",31.6,43.2,38.2,96.6,75.0,19.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","switch hitter; pitcher baseline 13.3% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.01,38.46,88.98,99.19,0.4114,0.1606,0.3271,70.42,12.14,38.75,30.13,11.1,0.1705,13.3,36.7,85.0,0.352,0.15,36.7,In From CF,59,Fenway Park,
74,672640,Otto Lopez,MIA,CHC,2026-09-24T18:20:00Z,In Progress,1,Matthew Boyd,571510,L,47.7,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",30.0,41.3,38.3,93.2,78.0,41.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,1,"Last 7 games: 8/29, 1 HR","platoon edge; pitcher baseline 8.4% barrel, 16.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.4,40.26,88.92,100.155,0.4228,0.1461,0.3279,71.84,23.16,34.12,22.71,12.2,0.1304,8.37,38.14,88.43,0.4176,0.1601,26.2,In From CF,65,Wrigley Field,
75,543510,James McCann,AZ,COL,2026-09-24T19:10:00Z,In Progress,8,Tanner Gordon,685299,R,47.7,Longshot,Watch List,No major boost,37.6,62.5,48.7,52.4,50.0,24.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,1,"Last 7 games: 3/19, 1 HR","same-side matchup; pitcher baseline 10.8% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.23,46.04,90.2,101.0165,0.3954,0.1634,0.2934,71.88,22.32,31.55,24.35,5.0,0.1549,10.8,42.04,90.59,0.4901,0.2139,33.6,In From RF,70,Coors Field,
76,806146,George Lombard Jr.,NYY,TB,2026-09-24T23:05:00Z,Pre-Game,6,Ian Seymour,693855,L,47.7,Longshot,Watch List,"Platoon Edge, Hot Hitter/Streak",24.0,44.8,50.2,76.2,78.0,77.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.7,34.3,86.3,98.4044,0.368,0.134,0.289,72.4,24.9,35.2,22.9,6.0,0.16,9.41,37.45,88.42,0.3966,0.1705,29.45,In From LF,64,Yankee Stadium,
77,682663,Agustín Ramírez,MIA,CHC,2026-09-24T18:20:00Z,In Progress,5,Matthew Boyd,571510,L,47.6,Longshot,Watch List,Platoon Edge,30.9,41.3,38.3,86.4,78.0,52.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,1,Contact streak: 8/23 over last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 16.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.45,42.73,90.17,102.6687,0.359,0.1245,0.2984,75.69,57.09,42.85,18.49,9.8,0.1442,8.37,38.14,88.43,0.4176,0.1601,26.2,In From CF,65,Wrigley Field,
78,694374,Tim Tawa,AZ,COL,2026-09-24T19:10:00Z,In Progress,9,Tanner Gordon,685299,R,47.6,Longshot,Watch List,Strong Barrel,41.4,62.5,48.7,44.8,50.0,18.3,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,1,"Last 7 games: 2/21, 1 HR","same-side matchup; pitcher baseline 10.8% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.35,43.15,90.25,100.7511,0.4002,0.1676,0.3054,73.73,35.02,39.4,26.19,9.8,0.1579,10.8,42.04,90.59,0.4901,0.2139,33.6,In From RF,70,Coors Field,
79,671732,Lawrence Butler,ATH,HOU,2026-09-25T01:40:00Z,Scheduled,4,Peter Lambert,663567,R,47.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",38.2,32.9,30.9,90.4,80.0,52.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.85,45.17,90.08,101.9587,0.3989,0.1577,0.3211,73.63,37.88,35.8,22.14,18.2,0.163,6.8,35.8,88.2,0.357,0.139,32.5,,,Sutter Health Park,
