rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
119,605141,Mookie Betts,LAD,SD,2026-09-23T02:10:00Z,Scheduled,1,Michael King,650633,R,46.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",33.3,41.2,27.6,88.7,50.0,81.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.3% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.18,37.83,90.01,98.5813,0.4325,0.1567,0.337,69.46,8.67,40.66,33.31,21.4,0.1809,9.3,34.32,87.24,0.4102,0.173,27.75,,,UNIQLO Field at Dodger Stadium,
120,643289,Mauricio Dubón,ATL,CIN,2026-09-22T23:15:00Z,Pre-Game,6,Brandon Williamson,682227,L,45.9,Longshot,Watch List,Platoon Edge,10.3,52.1,66.9,76.2,78.0,45.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,27,0,Contact streak: 12/27 over last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.09,28.75,85.97,96.23,0.3625,0.1001,0.2976,68.87,4.03,31.68,25.86,9.8,0.1189,9.7,41.8,88.2,0.485,0.216,29.1,Out To RF,80,Truist Park,
121,699912,Jose Fernandez,AZ,COL,2026-09-23T00:40:00Z,Pre-Game,9,Kyle Freeland,607536,L,45.8,Longshot,Watch List,"Good Environment, Platoon Edge",19.7,59.8,76.7,44.8,78.0,2.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,0,"Last 7 games: 2/15, 0 HR","platoon edge; pitcher baseline 10.2% barrel, 25.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.9,39.2,88.0,100.4828,0.345,0.1,0.28,74.0,42.9,41.8,11.8,3.0,0.091,10.24,44.36,90.68,0.4814,0.198,28.31,Out To CF,76,Coors Field,
122,607208,Trea Turner,PHI,MIL,2026-09-22T22:40:00Z,Pre-Game,2,Dustin May,669160,R,45.7,Longshot,Watch List,Premium Lineup Spot,26.7,44.4,43.3,100.0,50.0,24.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","same-side matchup; pitcher baseline 8.0% barrel, 14.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.15,39.93,88.6,99.2042,0.3792,0.1281,0.3028,71.38,18.37,35.24,25.06,17.8,0.1446,8.01,44.29,90.04,0.4104,0.1546,24.87,In From CF,62,Citizens Bank Park,
123,677594,Julio Rodriguez,SEA,HOU,2026-09-23T01:40:00Z,Scheduled,5,Cristian Javier,664299,R,45.4,Longshot,Watch List,Projected Lineup,45.2,40.4,25.4,81.9,50.0,20.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","same-side matchup; pitcher baseline 8.1% barrel, 7.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.03,45.55,90.75,102.8184,0.4496,0.1838,0.3363,76.54,66.5,38.28,25.42,24.3,0.1699,8.11,34.94,89.04,0.4005,0.1593,38.03,,,T-Mobile Park,
124,662139,Daulton Varsho,HOU,SEA,2026-09-23T01:40:00Z,Scheduled,6,Logan Gilbert,669302,R,45.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.7,48.0,25.4,71.7,80.0,18.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,1,"Last 7 games: 2/24, 1 HR","platoon edge; pitcher baseline 9.7% barrel, 25.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.6,37.64,87.66,99.4311,0.396,0.1683,0.2962,73.71,36.6,41.85,31.41,14.4,0.1868,9.65,41.21,89.96,0.3803,0.1589,28.68,,,T-Mobile Park,
125,687263,Zach Neto,LAA,ATH,2026-09-23T01:40:00Z,Scheduled,1,Brady Basso,669620,L,45.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.0,20.0,30.9,88.7,78.0,8.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","platoon edge; pitcher baseline 4.7% barrel, 2.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.11,42.75,90.16,100.3479,0.432,0.2083,0.3209,71.47,15.58,47.27,34.4,26.0,0.2023,4.7,36.54,88.68,0.3655,0.093,22.75,,,Sutter Health Park,
126,691720,Kyle Karros,COL,AZ,2026-09-23T00:40:00Z,Pre-Game,6,Michael Soroka,647336,R,45.0,Longshot,Watch List,Good Environment,24.9,34.0,76.7,76.2,50.0,39.2,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","same-side matchup; pitcher baseline 7.7% barrel, 9.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.18,38.6,89.02,99.6456,0.3663,0.1243,0.3161,69.8,5.65,38.8,23.85,8.7,0.1287,7.68,35.5,88.01,0.3895,0.1462,27.94,Out To CF,76,Coors Field,
127,606192,Teoscar Hernandez,LAD,SD,2026-09-23T02:10:00Z,Scheduled,7,Michael King,650633,R,45.0,Longshot,Watch List,"Projected Lineup, Strong Barrel",45.5,41.2,27.6,59.8,50.0,61.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.3% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.8,45.68,90.27,101.6429,0.4413,0.1857,0.3303,72.62,26.95,35.55,28.33,18.0,0.172,9.3,34.32,87.24,0.4102,0.173,27.75,,,UNIQLO Field at Dodger Stadium,
128,800543,Josue De Paula,LAD,SD,2026-09-23T02:10:00Z,Scheduled,8,Michael King,650633,R,44.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",47.5,41.2,27.6,47.9,80.0,24.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 9.3% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.5,45.8,89.3,99.1983,0.484,0.192,0.427,72.0,27.5,45.8,25.0,1.0,0.214,9.3,34.32,87.24,0.4102,0.173,27.75,,,UNIQLO Field at Dodger Stadium,
