rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
33,677800,Wilyer Abreu,BOS,CWS,2026-08-05T23:10:00Z,Scheduled,3,Sean Burke,680732,R,55.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",53.4,42.7,28.7,92.1,80.0,73.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 16.0 HR allowed",fly-ball profile; pitcher allows elevated contact,12.65,42.8,90.1,101.21,0.4771,0.2257,0.3434,73.89,38.31,36.85,37.94,19.9,0.2073,8.61,38.08,89.11,0.3891,0.1599,30.91,,,Fenway Park,
34,545361,Mike Trout,LAA,BAL,2026-08-05T22:35:00Z,Scheduled,2,Trevor Rogers,669432,L,55.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",64.4,35.8,32.1,95.5,78.0,15.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","platoon edge; pitcher baseline 6.8% barrel, 8.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.78,48.32,90.48,103.2607,0.5027,0.2509,0.3825,74.77,49.17,38.54,32.75,20.4,0.2063,6.83,42.03,89.28,0.3872,0.1433,24.81,,,Oriole Park at Camden Yards,
35,572233,Christian Walker,HOU,TOR,2026-08-05T18:10:00Z,Warmup,6,Jameson Taillon,592791,R,55.6,Longshot,Watch List,Strong Barrel,43.3,69.6,41.6,76.2,50.0,63.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 13.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.8,43.37,89.85,101.5365,0.4035,0.1764,0.307,74.38,43.69,43.18,28.7,23.5,0.2096,13.42,38.72,88.72,0.5045,0.253,37.8,None,73,Daikin Park,
36,662139,Daulton Varsho,HOU,TOR,2026-08-05T18:10:00Z,Warmup,4,Jameson Taillon,592791,R,55.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",34.3,69.6,41.6,94.9,80.0,13.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 13.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.18,37.92,87.38,99.4463,0.3995,0.1655,0.3039,73.78,37.23,42.34,29.03,10.9,0.184,13.42,38.72,88.72,0.5045,0.253,37.8,None,73,Daikin Park,
37,608348,Carson Kelly,CHC,LAD,2026-08-05T18:20:00Z,Warmup,4,Eric Lauer,641778,L,55.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",28.6,54.1,69.8,94.9,78.0,43.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","platoon edge; pitcher baseline 10.3% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.15,38.2,87.96,98.9601,0.3921,0.1533,0.3203,70.75,8.61,38.31,25.78,10.0,0.1363,10.27,37.07,88.85,0.4477,0.2028,36.69,Out To CF,80,Wrigley Field,
38,686948,Drake Baldwin,ATL,MIA,2026-08-05T23:15:00Z,Scheduled,1,Eury Pérez,691587,R,55.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.0,46.2,30.9,88.7,80.0,9.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.59,50.65,91.63,102.43,0.5052,0.2276,0.374,75.02,53.78,31.1,24.83,19.7,0.1929,9.91,41.39,88.75,0.3751,0.1672,31.36,,,Truist Park,
39,682985,Riley Greene,DET,SEA,2026-08-06T01:40:00Z,Scheduled,4,Bryan Woo,693433,R,55.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",62.3,40.5,25.4,90.4,80.0,27.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,1,"Last 7 games: 5/28, 1 HR","platoon edge; pitcher baseline 7.4% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.7,48.37,90.67,102.6841,0.491,0.2368,0.3572,75.6,58.01,39.12,33.45,22.0,0.1993,7.42,42.29,89.38,0.3807,0.1478,28.06,,,T-Mobile Park,
40,641343,Jake Bauers,MIL,PIT,2026-08-05T23:40:00Z,Scheduled,3,Paul Skenes,694973,R,55.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",60.8,28.1,27.6,92.1,80.0,81.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 12.4 HR allowed",EV profile; pitcher fly-ball pressure modest,13.77,50.71,92.33,103.2496,0.4745,0.2223,0.3638,76.71,71.75,41.18,29.63,16.1,0.2123,6.64,39.12,88.09,0.3273,0.1204,23.92,,,American Family Field,
41,686527,Dominic Canzone,SEA,DET,2026-08-06T01:40:00Z,Scheduled,3,Drew Anderson,623454,R,55.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.9,34.9,25.4,92.1,80.0,53.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 9.0 HR allowed",EV profile; pitcher fly-ball pressure modest,14.36,47.74,92.02,102.9028,0.5211,0.2416,0.3725,74.22,44.16,41.23,27.35,15.9,0.2314,7.7,39.4,90.4,0.342,0.132,23.5,,,T-Mobile Park,
42,646240,Rafael Devers,SF,TEX,2026-08-05T18:35:00Z,Pre-Game,4,Cody Bradford,674003,L,55.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",57.9,41.2,42.1,94.9,50.0,37.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.57,52.53,92.73,103.1473,0.4611,0.2238,0.3404,71.74,20.79,33.84,33.04,26.6,0.227,,,,,,,None,74,Globe Life Field,
43,679822,Justin Foscue,TEX,SF,2026-08-05T18:35:00Z,Pre-Game,5,Carson Whisenhunt,687931,L,55.0,Longshot,Watch List,Platoon Edge,38.7,69.8,42.1,86.4,78.0,0.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,9,0,"Last 7 games: 0/9, 0 HR","platoon edge; pitcher baseline 12.1% barrel, 4.6 HR allowed",fly-ball profile; pitcher allows elevated contact,7.56,47.87,90.06,99.2969,0.3805,0.1677,0.2779,70.82,8.26,43.63,35.3,4.9,0.1831,12.08,47.83,90.51,0.5387,0.2494,33.26,None,74,Globe Life Field,
44,665161,Jeremy Peña,HOU,TOR,2026-08-05T18:10:00Z,Warmup,1,Jameson Taillon,592791,R,54.4,Longshot,Watch List,Premium Lineup Spot,31.9,69.6,41.6,93.2,50.0,67.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 13.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.45,41.85,88.48,100.0629,0.4467,0.1543,0.3508,72.16,13.71,46.13,23.8,14.2,0.1933,13.42,38.72,88.72,0.5045,0.253,37.8,None,73,Daikin Park,
45,700250,Ben Rice,NYY,STL,2026-08-05T23:05:00Z,Scheduled,2,Andre Pallante,669467,R,54.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",64.8,27.7,38.2,95.5,80.0,0.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,0,"Last 7 games: 2/23, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 13.3 HR allowed",EV profile; pitcher fly-ball pressure modest,15.4,50.36,92.39,102.5791,0.525,0.2541,0.3798,72.91,28.29,45.94,29.9,29.5,0.2769,5.97,35.98,88.15,0.3817,0.1342,18.1,,,Yankee Stadium,
46,691023,Jordan Walker,STL,NYY,2026-08-05T23:05:00Z,Scheduled,2,Will Warren,701542,R,54.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",55.4,46.0,38.2,95.5,50.0,24.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,32,0,"Last 7 games: 9/32, 0 HR","same-side matchup; pitcher baseline 8.2% barrel, 17.1 HR allowed",EV profile; pitcher fly-ball pressure modest,12.37,48.67,92.86,104.8219,0.4463,0.19,0.3319,78.87,83.12,38.52,23.56,17.2,0.1715,8.24,42.85,90.58,0.4183,0.1589,23.68,,,Yankee Stadium,
47,671277,Luis Garcia,NYY,STL,2026-08-05T23:05:00Z,Scheduled,3,Andre Pallante,669467,R,53.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",50.5,27.7,38.2,92.1,80.0,88.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.0% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.52,45.66,91.18,101.7895,0.4994,0.2114,0.3509,73.52,37.66,41.22,22.26,21.6,0.2433,5.97,35.98,88.15,0.3817,0.1342,18.1,,,Yankee Stadium,
48,575929,Willson Contreras,BOS,CWS,2026-08-05T23:10:00Z,Scheduled,4,Sean Burke,680732,R,53.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.4,42.7,28.7,90.4,50.0,37.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","same-side matchup; pitcher baseline 8.6% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.39,47.11,90.67,103.1386,0.5048,0.2408,0.379,76.84,69.08,44.56,29.54,22.1,0.2341,8.61,38.08,89.11,0.3891,0.1599,30.91,,,Fenway Park,
49,664023,Ian Happ,CHC,LAD,2026-08-05T18:20:00Z,Warmup,7,Eric Lauer,641778,L,53.5,Longshot,Watch List,"Strong Barrel, Platoon Edge",44.6,52.2,69.8,64.3,75.0,0.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,20,0,"Last 7 games: 2/20, 0 HR","switch hitter; pitcher baseline 10.3% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.31,42.44,89.51,100.8515,0.4164,0.1979,0.3274,71.88,18.99,43.7,33.09,19.5,0.191,10.27,37.07,88.85,0.4477,0.2028,36.69,Out To CF,80,Wrigley Field,
50,663656,Kyle Tucker,LAD,CHC,2026-08-05T18:20:00Z,Warmup,5,Shota Imanaga,684007,L,53.4,Longshot,Watch List,No major boost,35.2,51.5,69.8,86.4,50.0,47.7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,1,"Last 7 games: 6/19, 1 HR","same-side matchup; pitcher baseline 10.1% barrel, 26.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.93,39.35,89.4,98.9408,0.4249,0.1591,0.3489,71.58,21.22,43.87,32.35,13.6,0.156,10.13,37.62,88.88,0.4235,0.1905,33.48,Out To CF,80,Wrigley Field,
51,689414,Liam Hicks,TB,COL,2026-08-05T19:10:00Z,Pre-Game,4,Tomoyuki Sugano,608372,R,53.4,Longshot,Watch List,"Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",9.4,74.6,61.7,94.9,80.0,52.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 13.3% barrel, 24.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.88,28.89,85.09,96.4088,0.35,0.1018,0.3122,68.03,3.86,42.17,24.5,12.3,0.141,13.27,43.16,90.7,0.5576,0.2497,29.86,Varies,77,Coors Field,
52,677649,Ezequiel Duran,TEX,SF,2026-08-05T18:35:00Z,Pre-Game,2,Carson Whisenhunt,687931,L,53.3,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",20.5,69.8,42.1,100.0,78.0,48.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"platoon edge; pitcher baseline 12.1% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.4,34.26,87.68,98.6874,0.3622,0.1181,0.2911,72.34,24.31,35.24,21.02,9.1,0.1502,12.08,47.83,90.51,0.5387,0.2494,33.26,None,74,Globe Life Field,
53,656775,Cedric Mullins,TB,COL,2026-08-05T19:10:00Z,Pre-Game,6,Tomoyuki Sugano,608372,R,53.3,Longshot,Watch List,"Pitcher Vulnerable, Platoon Edge",19.3,74.6,61.7,76.2,80.0,37.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","platoon edge; pitcher baseline 13.3% barrel, 24.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.59,32.54,88.24,97.778,0.3094,0.1222,0.2603,70.82,8.73,45.53,31.45,14.2,0.161,13.27,43.16,90.7,0.5576,0.2497,29.86,Varies,77,Coors Field,
54,687952,Christian Encarnacion-Strand,BAL,LAA,2026-08-05T22:35:00Z,Scheduled,6,Reid Detmers,672282,L,53.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",66.3,39.1,32.1,71.7,78.0,2.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 12.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,17.12,42.04,91.61,101.8056,0.5501,0.2934,0.3583,73.53,32.7,40.84,27.55,3.9,0.2341,8.06,39.58,89.96,0.3637,0.1411,28.13,,,Oriole Park at Camden Yards,
55,608324,Alex Bregman,CHC,LAD,2026-08-05T18:20:00Z,Warmup,3,Eric Lauer,641778,L,53.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",24.4,54.1,69.8,96.6,78.0,20.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 10.3% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.85,39.43,88.7,98.2705,0.3752,0.1334,0.316,70.09,5.01,46.58,25.76,13.1,0.1491,10.27,37.07,88.85,0.4477,0.2028,36.69,Out To CF,80,Wrigley Field,
56,691016,Tyler Soderstrom,ATH,CIN,2026-08-05T22:40:00Z,Scheduled,3,Rhett Lowder,695076,R,53.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",44.8,50.5,39.3,92.1,80.0,2.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,0,"Last 7 games: 4/29, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.0,47.14,90.83,102.087,0.4283,0.1736,0.3354,74.25,42.6,36.56,25.81,19.4,0.2127,9.4,39.0,90.8,0.453,0.186,28.4,,,Great American Ball Park,
57,695600,Carter Jensen,KC,MIN,2026-08-05T23:40:00Z,Scheduled,1,Dean Kremer,665152,R,53.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",53.9,46.8,23.2,88.7,80.0,18.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,1,"Last 7 games: 3/27, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 15.0 HR allowed",EV profile; pitcher allows elevated contact,13.17,47.52,92.04,102.7348,0.4419,0.1983,0.3329,74.1,39.29,40.09,29.02,11.4,0.208,8.7,34.96,87.26,0.462,0.2114,35.47,,,Kauffman Stadium,
58,668904,Royce Lewis,MIN,KC,2026-08-05T23:40:00Z,Scheduled,2,Noah Cameron,702070,L,52.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",44.2,42.9,23.2,95.5,78.0,81.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.36,42.4,89.94,101.0188,0.4091,0.174,0.311,74.51,48.49,46.3,30.64,12.3,0.1755,8.26,38.31,88.81,0.431,0.173,25.96,,,Kauffman Stadium,
59,671739,Michael Harris,ATL,MIA,2026-08-05T23:15:00Z,Scheduled,4,Eury Pérez,691587,R,52.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.7,46.2,30.9,90.4,80.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","platoon edge; pitcher baseline 9.9% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.92,47.46,90.69,103.5282,0.4786,0.1928,0.3409,74.72,47.75,36.22,23.12,20.0,0.1894,9.91,41.39,88.75,0.3751,0.1672,31.36,,,Truist Park,
60,669242,Tommy Edman,LAD,CHC,2026-08-05T18:20:00Z,Warmup,4,Shota Imanaga,684007,L,52.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",27.1,50.2,69.8,94.9,75.0,18.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","switch hitter; pitcher baseline 10.1% barrel, 26.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.39,39.41,88.79,100.0826,0.4145,0.1244,0.342,70.38,10.78,43.79,24.61,6.0,0.1549,10.13,37.62,88.88,0.4235,0.1905,33.48,Out To CF,80,Wrigley Field,
61,621020,Dansby Swanson,CHC,LAD,2026-08-05T18:20:00Z,Warmup,8,Eric Lauer,641778,L,52.4,Longshot,Watch List,Platoon Edge,39.5,54.1,69.8,52.4,78.0,31.6,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 10.3% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.76,43.74,89.87,100.0656,0.4147,0.1792,0.3149,71.32,8.19,46.29,29.89,19.1,0.1849,10.27,37.07,88.85,0.4477,0.2028,36.69,Out To CF,80,Wrigley Field,
62,677951,Bobby Witt,KC,MIN,2026-08-05T23:40:00Z,Scheduled,2,Dean Kremer,665152,R,52.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",57.7,46.8,23.2,95.5,50.0,15.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 15.0 HR allowed",EV profile; pitcher allows elevated contact,12.22,51.02,93.02,103.7036,0.5122,0.2122,0.3783,73.88,41.67,29.54,26.64,16.0,0.1822,8.7,34.96,87.26,0.462,0.2114,35.47,,,Kauffman Stadium,
63,669016,Brandon Marsh,PHI,WSH,2026-08-05T22:40:00Z,Scheduled,6,Jake Irvin,663623,R,52.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",38.4,68.5,34.3,71.7,80.0,13.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 12.8% barrel, 17.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.61,45.07,90.05,100.2102,0.4229,0.1613,0.3153,71.47,15.51,38.12,26.45,14.5,0.1686,12.84,46.26,89.84,0.4875,0.2288,30.84,,,Citizens Bank Park,
64,605141,Mookie Betts,LAD,CHC,2026-08-05T18:20:00Z,Warmup,6,Shota Imanaga,684007,L,51.8,Longshot,Watch List,Platoon Edge,33.2,51.5,69.8,76.2,78.0,7.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 10.1% barrel, 26.1 HR allowed",fly-ball profile; pitcher allows elevated contact,6.97,37.69,90.15,98.5032,0.4241,0.156,0.3258,69.39,8.18,39.05,35.76,15.1,0.1613,10.13,37.62,88.88,0.4235,0.1905,33.48,Out To CF,80,Wrigley Field,
65,607208,Trea Turner,PHI,WSH,2026-08-05T22:40:00Z,Scheduled,1,Jake Irvin,663623,R,51.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",28.9,68.5,34.3,88.7,50.0,75.6,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.8% barrel, 17.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.36,41.54,88.95,99.574,0.3918,0.133,0.3077,71.52,19.28,35.31,25.06,15.7,0.1523,12.84,46.26,89.84,0.4875,0.2288,30.84,,,Citizens Bank Park,
66,806146,George Lombard,NYY,STL,2026-08-05T23:05:00Z,Scheduled,8,Andre Pallante,669467,R,51.7,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel",75.7,27.7,38.2,47.9,50.0,63.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,1,1,2,1,Contact streak: 1/2 over last 1 games,"same-side matchup; pitcher baseline 6.0% barrel, 13.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,50.0,50.0,75.8,100.2018,0.815,0.519,0.54,73.0,25.0,50.0,50.0,1.0,1.5,5.97,35.98,88.15,0.3817,0.1342,18.1,,,Yankee Stadium,
67,691723,Coby Mayo,BAL,LAA,2026-08-05T22:35:00Z,Scheduled,4,Reid Detmers,672282,L,51.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",47.9,39.1,32.1,90.4,78.0,37.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 12.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.15,45.38,90.94,102.815,0.3917,0.1838,0.2953,75.26,53.83,49.76,34.74,13.1,0.2025,8.06,39.58,89.96,0.3637,0.1411,28.13,,,Oriole Park at Camden Yards,
