rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
12,683748,Victor Mesa Jr.,TB,COL,2026-08-05T19:10:00Z,Pre-Game,1,Tomoyuki Sugano,608372,R,61.1,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",41.5,74.6,61.7,93.2,80.0,0.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,20,0,"Last 7 games: 1/20, 0 HR","platoon edge; pitcher baseline 13.3% barrel, 24.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.18,41.29,89.7,100.3836,0.4087,0.1781,0.3186,73.58,31.83,43.11,30.76,5.9,0.1868,13.27,43.16,90.7,0.5576,0.2497,29.86,Varies,77,Coors Field,
13,691718,Pete Crow-Armstrong,CHC,LAD,2026-08-05T18:20:00Z,Warmup,1,Eric Lauer,641778,L,60.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",52.8,54.1,69.8,93.2,50.0,40.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","same-side matchup; pitcher baseline 10.3% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.91,46.92,89.99,101.66,0.4715,0.219,0.3511,74.17,43.9,49.53,34.94,26.1,0.2459,10.27,37.07,88.85,0.4477,0.2028,36.69,Out To CF,80,Wrigley Field,
14,669394,Jake Burger,TEX,SF,2026-08-05T18:35:00Z,Pre-Game,4,Carson Whisenhunt,687931,L,60.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.1,69.8,42.1,94.9,78.0,14.6,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 12.1% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.08,47.45,90.26,102.7202,0.4213,0.1872,0.3065,75.3,57.23,42.79,27.97,18.1,0.1837,12.08,47.83,90.51,0.5387,0.2494,33.26,None,74,Globe Life Field,
15,607043,Brandon Nimmo,TEX,SF,2026-08-05T18:35:00Z,Pre-Game,3,Carson Whisenhunt,687931,L,60.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",50.6,69.8,42.1,96.6,50.0,48.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,1,Contact streak: 8/25 over last 7 games,"same-side matchup; pitcher baseline 12.1% barrel, 4.6 HR allowed",EV profile; pitcher allows elevated contact,10.62,50.97,92.04,102.1863,0.4743,0.1957,0.3553,72.2,26.97,31.84,25.7,15.2,0.1677,12.08,47.83,90.51,0.5387,0.2494,33.26,None,74,Globe Life Field,
16,666160,Mickey Moniak,COL,TB,2026-08-05T19:10:00Z,Pre-Game,3,Nick Martinez,607259,R,59.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",50.8,36.4,61.7,96.6,80.0,79.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 17.1 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.98,43.06,89.49,100.3974,0.4564,0.2175,0.3139,74.26,44.86,47.29,38.03,20.5,0.2816,7.28,33.17,87.32,0.4345,0.1628,28.54,Varies,77,Coors Field,
17,669065,Kyle Stowers,MIA,ATL,2026-08-05T23:15:00Z,Scheduled,2,Bryce Elder,693821,R,59.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.4,42.3,30.9,95.5,80.0,74.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 20.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.2,53.68,91.8,103.2543,0.4656,0.2251,0.3428,75.21,54.39,46.41,30.87,18.7,0.2329,6.82,41.91,90.14,0.4116,0.1582,26.01,,,Truist Park,
18,624413,Pete Alonso,BAL,LAA,2026-08-05T22:35:00Z,Scheduled,2,Reid Detmers,672282,L,59.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",68.8,39.1,32.1,95.5,78.0,40.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 12.3 HR allowed",EV profile; pitcher fly-ball pressure modest,14.56,54.75,93.78,104.0996,0.5314,0.2577,0.3804,74.78,49.21,36.5,30.25,27.5,0.224,8.06,39.58,89.96,0.3637,0.1411,28.13,,,Oriole Park at Camden Yards,
19,676475,Alec Burleson,STL,NYY,2026-08-05T23:05:00Z,Scheduled,3,Will Warren,701542,R,59.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",53.8,46.0,38.2,92.1,80.0,93.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.04,47.2,91.56,101.8888,0.52,0.2298,0.373,73.07,31.83,43.82,27.96,18.0,0.1851,8.24,42.85,90.58,0.4183,0.1589,23.68,,,Yankee Stadium,
20,805811,Bryce Eldridge,SF,TEX,2026-08-05T18:35:00Z,Pre-Game,1,Cody Bradford,674003,L,58.7,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",69.6,41.2,42.1,93.2,50.0,39.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.97,57.67,93.22,103.2585,0.4792,0.2484,0.3573,73.07,28.71,40.65,36.7,7.7,0.1532,,,,,,,None,74,Globe Life Field,
21,681624,Andy Pages,LAD,CHC,2026-08-05T18:20:00Z,Warmup,2,Shota Imanaga,684007,L,58.3,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",35.7,51.5,69.8,100.0,78.0,52.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,1,Contact streak: 10/29 over last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 26.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.77,40.98,88.88,99.8201,0.4329,0.1665,0.3307,72.85,26.75,36.99,28.23,20.7,0.1862,10.13,37.62,88.88,0.4235,0.1905,33.48,Out To CF,80,Wrigley Field,
