rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
22,664040,Brandon Lowe,PIT,MIL,2026-09-17T16:35:00Z,Warmup,5,Kyle Harrison,690986,L,55.5,Longshot,Watch List,"Strong Barrel, Hot Hitter/Streak",50.8,41.5,57.8,86.4,50.0,70.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.02,45.62,91.03,101.4017,0.4423,0.2005,0.3266,73.66,40.23,46.44,32.78,31.0,0.2238,8.06,39.55,89.58,0.3943,0.1511,28.09,Out To LF,75,PNC Park,
23,668804,Bryan Reynolds,PIT,MIL,2026-09-17T16:35:00Z,Warmup,3,Kyle Harrison,690986,L,55.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",48.0,39.8,57.8,96.6,75.0,21.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,1,"Last 7 games: 4/28, 1 HR","switch hitter; pitcher baseline 8.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.15,47.54,91.06,101.9652,0.4477,0.1925,0.3499,72.62,27.95,39.45,26.02,16.7,0.1598,8.06,39.55,89.58,0.3943,0.1511,28.09,Out To LF,75,PNC Park,
24,666160,Mickey Moniak,COL,SD,2026-09-17T19:10:00Z,Pre-Game,6,Michael King,650633,R,55.3,Longshot,Watch List,"Strong Barrel, Good Environment, Platoon Edge",46.2,41.7,73.2,76.2,80.0,23.4,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","platoon edge; pitcher baseline 9.4% barrel, 17.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.0,42.08,89.56,100.2369,0.4235,0.1951,0.2971,74.12,43.11,46.52,37.26,22.6,0.2459,9.37,34.46,87.24,0.4123,0.1744,27.75,Out To LF,77,Coors Field,
25,695600,Carter Jensen,KC,HOU,2026-09-17T23:15:00Z,Scheduled,1,,,,54.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.7,41.2,27.6,88.7,60.0,60.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.64,48.78,92.53,103.0426,0.4769,0.2249,0.3539,74.1,38.87,41.56,31.4,17.7,0.2297,,,,,,,,,Daikin Park,
26,666018,Jonathan Aranda,TB,ATH,2026-09-17T17:10:00Z,Pre-Game,2,Jeffrey Springs,605488,L,54.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",48.9,46.5,41.1,100.0,50.0,56.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.9% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.73,48.34,91.74,101.21,0.4653,0.1967,0.3575,70.36,13.11,33.48,30.2,18.9,0.1625,8.94,35.69,87.74,0.4429,0.1918,32.02,None,72,Tropicana Field,
27,545361,Mike Trout,LAA,MIN,2026-09-18T01:38:00Z,Scheduled,2,Taj Bradley,671737,R,54.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",59.2,48.1,28.2,95.5,50.0,28.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.66,46.36,90.2,102.8268,0.481,0.2341,0.372,74.56,46.72,35.67,31.07,22.5,0.1902,8.73,43.61,90.39,0.3885,0.1592,29.12,,,Angel Stadium,
28,694249,Cole Carrigg,COL,SD,2026-09-17T19:10:00Z,Pre-Game,3,Michael King,650633,R,54.0,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",27.2,39.8,73.2,96.6,75.0,83.6,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,3,Hot streak: 3 HR in last 7 games,"switch hitter; pitcher baseline 9.4% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.5,36.2,87.9,98.7904,0.395,0.149,0.313,73.3,34.9,48.9,29.4,10.0,0.202,9.37,34.46,87.24,0.4123,0.1744,27.75,Out To LF,77,Coors Field,
29,667472,Dane Myers,CIN,LAD,2026-09-17T16:40:00Z,Warmup,1,Justin Wrobleski,680736,L,53.8,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",25.9,48.2,81.8,93.2,78.0,27.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.56,38.36,89.79,99.2052,0.3691,0.1274,0.3106,71.04,17.98,28.7,24.26,6.7,0.1092,8.07,44.79,90.6,0.4234,0.1612,28.35,Out To LF,89,Great American Ball Park,
30,694192,Jackson Chourio,MIL,PIT,2026-09-17T16:35:00Z,Warmup,3,Wilber Dotel,696062,R,53.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",49.8,27.6,57.8,96.6,50.0,77.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,33,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 3.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.52,45.59,90.91,101.885,0.4568,0.1993,0.3294,74.25,44.8,31.43,29.06,22.4,0.1958,3.0,46.0,90.7,0.355,0.106,27.0,Out To LF,75,PNC Park,
31,545341,Randal Grichuk,CWS,DET,2026-09-17T23:40:00Z,Scheduled,2,Framber Valdez,664285,L,53.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.3,34.5,27.6,95.5,78.0,62.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,1,Contact streak: 10/24 over last 7 games,"platoon edge; pitcher baseline 5.9% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.28,49.29,91.77,103.1427,0.471,0.1956,0.333,74.32,44.99,45.03,28.99,11.8,0.2458,5.93,43.22,90.17,0.384,0.129,18.04,,,Rate Field,
32,677951,Bobby Witt,KC,HOU,2026-09-17T23:15:00Z,Scheduled,2,,,,52.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",56.5,41.2,27.6,95.5,60.0,29.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.01,49.9,92.67,103.4712,0.5066,0.2115,0.3748,73.95,42.65,30.87,27.55,19.5,0.178,,,,,,,,,Daikin Park,
33,596019,Francisco Lindor,NYM,PHI,2026-09-17T23:15:00Z,Scheduled,1,Aaron Nola,605400,R,52.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",45.1,46.9,24.8,88.7,75.0,70.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,31,3,Hot streak: 3 HR in last 7 games,"switch hitter; pitcher baseline 9.3% barrel, 29.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.97,46.64,90.92,100.3308,0.4372,0.1933,0.3338,72.16,23.93,44.97,32.61,23.3,0.2053,9.31,41.27,88.77,0.4142,0.1724,27.46,,,Citi Field,
34,680574,Matt McLain,CIN,LAD,2026-09-17T16:40:00Z,Warmup,6,Justin Wrobleski,680736,L,52.5,Longshot,Watch List,"Good Environment, Platoon Edge",33.0,48.2,81.8,76.2,78.0,2.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.13,37.76,88.45,98.9958,0.3697,0.1539,0.2987,70.93,9.89,36.41,33.36,15.0,0.1454,8.07,44.79,90.6,0.4234,0.1612,28.35,Out To LF,89,Great American Ball Park,
35,681393,Connor Norby,COL,SD,2026-09-17T19:10:00Z,Pre-Game,2,Michael King,650633,R,52.5,Longshot,Watch List,"Good Environment, Premium Lineup Spot",31.0,41.7,73.2,100.0,50.0,56.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,1,Contact streak: 9/24 over last 7 games,"same-side matchup; pitcher baseline 9.4% barrel, 17.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,8.42,37.1,87.46,98.232,0.3792,0.1564,0.307,70.28,8.76,42.38,35.56,7.3,0.1408,9.37,34.46,87.24,0.4123,0.1744,27.75,Out To LF,77,Coors Field,
36,592626,Joc Pederson,TEX,BOS,2026-09-18T00:05:00Z,Scheduled,1,Sonny Gray,543243,R,52.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",49.6,38.6,27.6,88.7,80.0,56.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.76,49.07,91.83,102.03,0.4294,0.1943,0.3346,72.53,25.62,43.32,30.73,20.9,0.2205,7.7,39.37,89.18,0.3936,0.1439,22.85,,,Globe Life Field,
37,695506,Jac Caglianone,KC,HOU,2026-09-17T23:15:00Z,Scheduled,3,,,,51.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",57.8,41.2,27.6,92.1,60.0,8.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.12,50.87,91.99,104.7336,0.4786,0.2129,0.3434,77.26,74.27,44.42,22.54,18.2,0.1863,,,,,,,,,Daikin Park,
38,668930,Brice Turang,MIL,PIT,2026-09-17T16:35:00Z,Warmup,1,Wilber Dotel,696062,R,51.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",36.5,27.6,57.8,93.2,80.0,81.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 3.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.72,43.27,90.47,100.3461,0.429,0.1712,0.3434,70.25,13.48,28.0,23.64,18.7,0.1687,3.0,46.0,90.7,0.355,0.106,27.0,Out To LF,75,PNC Park,
39,682877,Juan Brito,CIN,LAD,2026-09-17T16:40:00Z,Warmup,5,Justin Wrobleski,680736,L,51.6,Longshot,Watch List,"Good Environment, Platoon Edge",18.7,46.4,81.8,86.4,75.0,63.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,21,1,Contact streak: 9/21 over last 7 games,"switch hitter; pitcher baseline 8.1% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.5,32.3,85.5,97.1033,0.37,0.134,0.292,69.6,5.3,48.4,22.6,2.0,0.145,8.07,44.79,90.6,0.4234,0.1612,28.35,Out To LF,89,Great American Ball Park,
40,593428,Xander Bogaerts,SD,COL,2026-09-17T19:10:00Z,Pre-Game,6,Tanner Gordon,685299,R,51.6,Longshot,Watch List,Good Environment,28.3,61.7,73.2,76.2,50.0,26.4,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,0,"Last 7 games: 8/27, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.99,41.02,89.28,100.1995,0.3815,0.1306,0.3221,72.31,28.08,43.24,23.55,11.0,0.1077,10.73,42.32,90.59,0.4838,0.2111,33.46,Out To LF,77,Coors Field,
41,669242,Tommy Edman,LAD,CIN,2026-09-17T16:40:00Z,Warmup,1,Brady Singer,663903,R,51.5,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",20.1,53.1,81.8,93.2,75.0,0.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,22,0,"Last 7 games: 1/22, 0 HR","switch hitter; pitcher baseline 9.8% barrel, 26.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.85,35.56,87.67,98.8538,0.3662,0.1132,0.3105,70.59,13.44,43.3,26.71,8.1,0.136,9.82,42.1,90.79,0.4454,0.18,26.86,Out To LF,89,Great American Ball Park,
42,687263,Zach Neto,LAA,MIN,2026-09-18T01:38:00Z,Scheduled,1,Taj Bradley,671737,R,51.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",47.9,48.1,28.2,88.7,50.0,59.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.18,42.54,90.02,100.2734,0.4355,0.2097,0.3209,71.4,15.16,47.27,34.12,26.0,0.2051,8.73,43.61,90.39,0.3885,0.1592,29.12,,,Angel Stadium,
43,676439,Hunter Feduccia,LAD,CIN,2026-09-17T16:40:00Z,Warmup,7,Brady Singer,663903,R,51.3,Longshot,Watch List,"Good Environment, Platoon Edge",27.6,54.3,81.8,64.3,80.0,13.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,0,"Last 7 games: 4/19, 0 HR","platoon edge; pitcher baseline 9.8% barrel, 26.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.99,37.35,89.14,98.8542,0.3503,0.122,0.3058,70.71,12.7,33.01,26.75,2.1,0.0864,9.82,42.1,90.79,0.4454,0.18,26.86,Out To LF,89,Great American Ball Park,
44,650490,Yandy Díaz,TB,ATH,2026-09-17T17:10:00Z,Pre-Game,1,Jeffrey Springs,605488,L,51.3,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",41.8,46.5,41.1,93.2,78.0,2.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,0,"Last 7 games: 4/29, 0 HR","platoon edge; pitcher baseline 8.9% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.6,49.7,91.6,103.2926,0.4502,0.1656,0.3512,73.57,37.58,23.6,19.58,22.9,0.1666,8.94,35.69,87.74,0.4429,0.1918,32.02,None,72,Tropicana Field,
45,678246,Miguel Vargas,CWS,DET,2026-09-17T23:40:00Z,Scheduled,3,Framber Valdez,664285,L,51.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.9,34.5,27.6,92.1,78.0,37.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 5.9% barrel, 15.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.13,43.23,90.05,100.2306,0.4742,0.2172,0.361,72.91,33.3,44.21,35.24,26.5,0.2069,5.93,43.22,90.17,0.384,0.129,18.04,,,Rate Field,
46,690976,Alex Freeland,LAD,CIN,2026-09-17T16:40:00Z,Warmup,8,Brady Singer,663903,R,50.7,Longshot,Watch List,"Good Environment, Platoon Edge",25.8,53.1,81.8,52.4,75.0,62.1,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,17,1,Contact streak: 7/17 over last 7 games,"switch hitter; pitcher baseline 9.8% barrel, 26.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.39,39.05,89.93,99.0767,0.3242,0.1196,0.2838,70.77,10.1,35.48,25.34,3.4,0.1004,9.82,42.1,90.79,0.4454,0.18,26.86,Out To LF,89,Great American Ball Park,
47,687957,Dustin Harris,SD,COL,2026-09-17T19:10:00Z,Pre-Game,2,Tanner Gordon,685299,R,50.4,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",5.4,61.7,73.2,100.0,80.0,32.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,0,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.79,22.96,85.43,95.2817,0.3548,0.096,0.3045,67.03,2.73,48.2,21.28,0.3,0.1136,10.73,42.32,90.59,0.4838,0.2111,33.46,Out To LF,77,Coors Field,
48,664954,Brett Sullivan,COL,SD,2026-09-17T19:10:00Z,Pre-Game,8,Michael King,650633,R,50.2,Longshot,Watch List,"Strong Barrel, Good Environment, Platoon Edge",42.1,41.7,73.2,52.4,80.0,15.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.37,52.54,90.02,97.84,0.3596,0.1542,0.3103,69.16,5.39,50.63,34.67,4.9,0.1239,9.37,34.46,87.24,0.4123,0.1744,27.75,Out To LF,77,Coors Field,
49,607043,Brandon Nimmo,TEX,BOS,2026-09-18T00:05:00Z,Scheduled,4,Sonny Gray,543243,R,49.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",46.3,38.6,27.6,90.4,80.0,26.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,0,"Last 7 games: 8/27, 0 HR","platoon edge; pitcher baseline 7.7% barrel, 18.0 HR allowed",EV profile; pitcher fly-ball pressure modest,9.22,50.83,92.04,102.1003,0.4428,0.1768,0.3378,72.34,27.74,33.52,25.77,17.3,0.1572,7.7,39.37,89.18,0.3936,0.1439,22.85,,,Globe Life Field,
50,547180,Bryce Harper,PHI,NYM,2026-09-17T23:15:00Z,Scheduled,3,Nolan McLean,690997,R,49.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",51.0,30.2,24.8,92.1,80.0,37.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 7.2% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.32,45.05,90.6,101.7967,0.492,0.2205,0.3799,74.1,44.94,38.54,27.03,27.7,0.2253,7.16,38.22,88.38,0.3478,0.1246,21.35,,,Citi Field,
51,694208,Moises Ballesteros,LAA,MIN,2026-09-18T01:38:00Z,Scheduled,5,Taj Bradley,671737,R,49.8,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",34.2,48.1,28.2,81.9,80.0,81.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,20,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.17,43.24,90.15,100.8074,0.3867,0.1457,0.3102,72.36,29.3,34.5,20.79,6.9,0.1438,8.73,43.61,90.39,0.3885,0.1592,29.12,,,Angel Stadium,
52,671732,Lawrence Butler,ATH,TB,2026-09-17T17:10:00Z,Pre-Game,3,Drew Rasmussen,656876,R,49.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",37.0,29.6,41.1,96.6,80.0,69.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.5,44.96,90.01,101.8654,0.3905,0.1535,0.3162,73.63,37.81,35.24,22.14,17.5,0.1588,6.09,37.35,88.99,0.3575,0.1257,23.17,None,72,Tropicana Field,
53,676724,Jared Young,NYM,PHI,2026-09-17T23:15:00Z,Scheduled,5,Aaron Nola,605400,R,49.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",40.6,47.7,24.8,81.9,80.0,44.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 29.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.68,44.83,88.66,101.0331,0.4175,0.1815,0.3142,73.37,33.25,41.4,26.95,7.5,0.2047,9.31,41.27,88.77,0.4142,0.1724,27.46,,,Citi Field,
54,690993,Colt Keith,DET,CWS,2026-09-17T23:40:00Z,Scheduled,3,Erick Fedde,607200,R,49.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",36.1,48.1,27.6,92.1,80.0,35.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,1,"Last 7 games: 4/17, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.15,42.86,89.23,100.3346,0.4328,0.1625,0.3375,71.61,16.9,37.38,26.3,10.9,0.15,8.11,40.78,89.08,0.4477,0.186,29.4,,,Rate Field,
55,691720,Kyle Karros,COL,SD,2026-09-17T19:10:00Z,Pre-Game,5,Michael King,650633,R,48.7,Longshot,Watch List,Good Environment,25.1,41.7,73.2,86.4,50.0,56.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.4% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.32,38.39,88.95,99.5299,0.3684,0.1257,0.3168,69.8,5.51,38.8,23.85,8.7,0.1322,9.37,34.46,87.24,0.4123,0.1744,27.75,Out To LF,77,Coors Field,
56,804606,Konnor Griffin,PIT,MIL,2026-09-17T16:35:00Z,Warmup,1,Kyle Harrison,690986,L,48.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",27.6,41.5,57.8,93.2,78.0,15.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,31,0,"Last 7 games: 7/31, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.2,36.0,87.5,100.3971,0.383,0.14,0.3,75.6,56.9,40.1,17.3,5.0,0.122,8.06,39.55,89.58,0.3943,0.1511,28.09,Out To LF,75,PNC Park,
