rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
25,608369,Corey Seager,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,3,George Klassen,691946,R,56.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.9,45.7,28.2,92.1,80.0,33.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 13.8% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.67,48.49,91.85,102.5447,0.4864,0.2392,0.3545,71.94,15.65,41.76,31.9,14.0,0.1901,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
26,545361,Mike Trout,LAA,TEX,2026-08-13T02:10:00Z,Scheduled,2,Cal Quantrill,615698,R,56.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",64.3,48.5,28.2,95.5,50.0,36.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.71,48.25,90.48,103.2112,0.5006,0.2516,0.3811,74.7,49.1,37.98,33.17,21.8,0.2091,9.49,37.16,88.86,0.4547,0.1926,29.78,,,Angel Stadium,
27,641933,Tyler O'Neill,BAL,MIN,2026-08-12T17:40:00Z,In Progress,4,Zebby Matthews,805673,R,56.7,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",48.6,56.3,44.1,94.9,50.0,54.4,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 11.6% barrel, 15.5 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.53,41.41,89.5,100.4288,0.4376,0.2191,0.3236,72.81,22.77,45.44,39.98,9.7,0.1881,11.58,40.06,90.11,0.4463,0.1872,27.66,In From CF,86,Target Field,
28,606466,Ketel Marte,AZ,COL,2026-08-12T19:40:00Z,Pre-Game,4,Ryan Feltner,663372,R,56.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.7,46.5,41.7,94.9,75.0,54.7,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.1% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.33,43.78,90.31,102.2165,0.4878,0.2091,0.3606,74.67,45.79,49.47,27.92,23.1,0.2095,9.14,38.71,88.32,0.4512,0.2003,28.95,None,72,Chase Field,
29,682829,Elly De La Cruz,CIN,CWS,2026-08-12T23:40:00Z,Scheduled,1,Luis Castillo,622491,R,56.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",55.9,51.9,27.6,88.7,75.0,48.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.9% barrel, 18.8 HR allowed",EV profile; pitcher fly-ball pressure modest,12.96,49.03,92.96,104.001,0.4646,0.1982,0.3521,75.17,52.72,35.03,25.03,20.6,0.2103,9.91,42.9,90.16,0.4418,0.18,28.07,,,Rate Field,
30,676475,Alec Burleson,STL,PHI,2026-08-12T18:15:00Z,Pre-Game,3,Zack Wheeler,554430,R,56.4,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",53.5,23.9,70.6,96.6,80.0,34.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,1,"Last 7 games: 5/22, 1 HR","platoon edge; pitcher baseline 6.4% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.97,47.27,91.56,101.9076,0.5172,0.2284,0.3716,73.14,33.02,44.03,27.75,18.7,0.1865,6.36,34.66,86.91,0.3151,0.1156,25.95,Out To CF,93,Busch Stadium,
31,691016,Tyler Soderstrom,ATH,TB,2026-08-12T19:05:00Z,Pre-Game,2,Drew Rasmussen,656876,R,56.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",45.3,29.4,67.4,100.0,80.0,60.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.21,47.0,90.97,102.1382,0.4269,0.175,0.334,74.25,42.67,36.91,26.09,20.8,0.2197,6.58,36.09,88.71,0.3561,0.1271,22.96,Out To CF,81,Sutter Health Park,
32,660271,Shohei Ohtani,LAD,KC,2026-08-13T02:10:00Z,Scheduled,1,Daniel Lynch IV,663738,L,56.3,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",80.0,25.7,27.6,88.7,50.0,54.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 5.9% barrel, 3.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.53,54.08,93.78,104.3548,0.5909,0.3029,0.411,74.96,52.45,47.19,32.41,34.7,0.2756,5.93,36.76,87.9,0.3685,0.1305,24.51,,,UNIQLO Field at Dodger Stadium,
33,687605,Andrew Pinckney,WSH,CHC,2026-08-12T22:45:00Z,Scheduled,6,David Peterson,656849,L,56.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",72.5,37.4,28.2,71.7,78.0,37.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,1,4,1,"Last 4 games: 1/4, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,33.3,33.3,90.8,98.9195,0.618,0.381,0.359,72.5,50.0,33.3,33.3,1.0,0.75,6.68,42.85,89.76,0.4182,0.1454,19.71,,,Nationals Park,
34,607043,Brandon Nimmo,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,4,George Klassen,691946,R,55.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",50.8,45.7,28.2,90.4,80.0,81.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 13.8% barrel, 1.0 HR allowed",EV profile; pitcher fly-ball pressure modest,10.41,51.46,92.11,102.2082,0.4778,0.1964,0.3574,72.2,27.11,32.19,25.98,16.6,0.1712,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
35,677800,Wilyer Abreu,BOS,TOR,2026-08-12T23:07:00Z,Scheduled,3,José Soriano,667755,R,55.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",54.1,36.4,30.4,92.1,80.0,91.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 12.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.65,43.71,90.24,101.3032,0.4792,0.2271,0.3462,73.89,38.59,37.41,37.94,21.3,0.2129,7.62,41.27,89.65,0.3782,0.1362,18.82,,,Rogers Centre,
36,805811,Bryce Eldridge,SF,HOU,2026-08-12T19:45:00Z,Pre-Game,3,Bryan King,687911,L,55.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",69.0,24.9,48.3,96.6,50.0,30.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 5.9% barrel, 7.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.9,56.34,93.01,103.1217,0.4764,0.2498,0.3531,73.07,29.06,39.32,38.31,8.4,0.1518,5.87,36.73,87.56,0.372,0.1294,20.12,Out To LF,64,Oracle Park,
37,699013,Esmerlyn Valdez,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,4,Janson Junk,676083,R,55.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",74.0,44.5,21.5,90.4,50.0,0.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,0,"Last 7 games: 2/19, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 10.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,23.7,49.5,91.8,102.9576,0.47,0.267,0.35,74.7,49.2,34.4,45.2,14.0,0.323,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
38,650490,Yandy Díaz,TB,ATH,2026-08-12T19:05:00Z,Pre-Game,1,Jack Perkins,678022,R,54.9,Longshot,Watch List,Premium Lineup Spot,41.6,42.9,67.4,93.2,50.0,64.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,33,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 11.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.46,49.28,91.6,103.2334,0.4527,0.1656,0.3565,73.71,38.14,22.62,20.21,19.4,0.1708,9.67,37.56,88.01,0.3832,0.1566,34.52,Out To CF,81,Sutter Health Park,
39,669016,Brandon Marsh,PHI,STL,2026-08-12T18:15:00Z,Pre-Game,6,Kyle Leahy,681517,R,54.8,Longshot,Watch List,"Good Environment, Platoon Edge",38.3,54.3,70.6,76.2,80.0,13.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.33,45.77,90.12,100.3341,0.4236,0.1606,0.3174,71.54,15.86,38.26,26.31,14.5,0.1623,10.43,47.18,90.78,0.4492,0.1754,21.84,Out To CF,93,Busch Stadium,
40,683734,Andrew Vaughn,MIL,SD,2026-08-12T20:10:00Z,Pre-Game,3,Robbie Ray,592662,L,54.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",34.8,47.4,59.6,96.6,78.0,48.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,1,"Last 7 games: 7/22, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.66,43.64,90.2,100.0422,0.423,0.1521,0.3441,70.39,12.52,35.68,24.41,7.7,0.1661,8.69,39.87,89.67,0.4046,0.1695,33.87,Out To RF,74,Petco Park,
41,592518,Manny Machado,SD,MIL,2026-08-12T20:10:00Z,Pre-Game,3,Dustin May,669160,R,54.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",50.6,42.2,59.6,96.6,50.0,19.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.22,46.67,91.5,101.9526,0.4509,0.1995,0.3375,74.64,44.65,40.01,28.64,24.2,0.1983,7.52,45.34,90.25,0.3992,0.1476,24.52,Out To RF,74,Petco Park,
42,695657,Colson Montgomery,CWS,CIN,2026-08-12T23:40:00Z,Scheduled,4,Rhett Lowder,695076,R,54.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.2,50.6,27.6,90.4,80.0,29.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.1,42.33,89.05,101.7233,0.4401,0.2248,0.3165,76.65,69.67,49.44,34.0,24.5,0.2466,9.5,38.2,90.5,0.457,0.19,28.3,,,Rate Field,
43,691023,Jordan Walker,STL,PHI,2026-08-12T18:15:00Z,Pre-Game,4,Zack Wheeler,554430,R,54.7,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",55.3,23.9,70.6,94.9,50.0,46.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,1,"Last 7 games: 9/29, 1 HR","same-side matchup; pitcher baseline 6.4% barrel, 15.5 HR allowed",EV profile; pitcher fly-ball pressure modest,12.58,48.11,92.51,104.7276,0.4484,0.1935,0.3312,78.87,83.19,38.45,23.56,17.9,0.1701,6.36,34.66,86.91,0.3151,0.1156,25.95,Out To CF,93,Busch Stadium,
44,665019,Kody Clemens,MIN,BAL,2026-08-12T17:40:00Z,In Progress,4,Shane Baz,669358,R,54.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",51.2,40.3,44.1,94.9,80.0,18.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,1,"Last 7 games: 3/27, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,11.72,46.41,92.13,101.4204,0.444,0.2006,0.3247,71.99,14.42,45.45,33.04,19.7,0.2287,7.47,41.36,89.98,0.3951,0.1483,24.94,In From CF,86,Target Field,
45,605137,Josh Bell,MIN,BAL,2026-08-12T17:40:00Z,In Progress,3,Shane Baz,669358,R,54.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",45.7,38.8,44.1,96.6,75.0,64.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.5% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.84,43.36,90.12,100.9232,0.4549,0.2045,0.3366,72.33,28.29,40.87,27.06,17.8,0.1751,7.47,41.36,89.98,0.3951,0.1483,24.94,In From CF,86,Target Field,
46,683002,Gunnar Henderson,BAL,MIN,2026-08-12T17:40:00Z,In Progress,1,Zebby Matthews,805673,R,54.3,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",38.8,56.3,44.1,93.2,80.0,22.8,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,1,"Last 7 games: 3/20, 1 HR","platoon edge; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.83,46.75,90.49,101.5217,0.4047,0.1546,0.3221,74.67,46.96,41.64,24.08,18.4,0.1724,11.58,40.06,90.11,0.4463,0.1872,27.66,In From CF,86,Target Field,
47,664040,Brandon Lowe,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,2,Janson Junk,676083,R,54.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.6,44.5,21.5,95.5,80.0,48.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.58,45.69,91.1,101.4527,0.4521,0.2072,0.3315,73.66,40.09,47.0,33.06,26.8,0.228,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
48,681082,Bryson Stott,PHI,STL,2026-08-12T18:15:00Z,Pre-Game,5,Kyle Leahy,681517,R,54.2,Longshot,Watch List,"Good Environment, Platoon Edge",27.4,54.3,70.6,86.4,80.0,45.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,22,0,Contact streak: 10/22 over last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.08,37.27,89.07,98.7136,0.4063,0.1404,0.3291,69.79,6.82,35.22,27.94,9.5,0.148,10.43,47.18,90.78,0.4492,0.1754,21.84,Out To CF,93,Busch Stadium,
49,596142,Gary Sánchez,MIL,SD,2026-08-12T20:10:00Z,Pre-Game,6,Robbie Ray,592662,L,54.1,Longshot,Watch List,Platoon Edge,42.5,47.4,59.6,76.2,78.0,40.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,15,1,"Last 7 games: 4/15, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.43,43.1,90.01,101.1184,0.4322,0.1999,0.3479,71.92,26.52,45.07,28.84,7.8,0.2122,8.69,39.87,89.67,0.4046,0.1695,33.87,Out To RF,74,Petco Park,
50,664034,Ty France,SD,MIL,2026-08-12T20:10:00Z,Pre-Game,4,Dustin May,669160,R,54.1,Longshot,Watch List,Premium Lineup Spot,44.7,42.2,59.6,94.9,50.0,50.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,1,Contact streak: 8/24 over last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.94,47.21,91.39,101.2713,0.4362,0.1814,0.3287,71.77,18.97,36.78,25.11,14.0,0.194,7.52,45.34,90.25,0.3992,0.1476,24.52,Out To RF,74,Petco Park,
51,693307,Dillon Dingler,DET,CLE,2026-08-12T22:40:00Z,Scheduled,2,Foster Griffin,656492,L,54.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",46.7,42.9,27.6,95.5,78.0,77.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.67,44.44,89.23,100.8594,0.4981,0.2137,0.3643,71.77,15.55,40.59,28.22,22.1,0.2191,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
52,663886,Tyler Stephenson,CIN,CWS,2026-08-12T23:40:00Z,Scheduled,4,Luis Castillo,622491,R,54.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",52.4,53.9,27.6,90.4,50.0,52.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.1,47.17,90.99,100.6041,0.4529,0.2103,0.3389,70.59,7.35,37.15,33.15,10.9,0.1697,9.91,42.9,90.16,0.4418,0.18,28.07,,,Rate Field,
53,592626,Joc Pederson,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,1,George Klassen,691946,R,53.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.0,45.7,28.2,88.7,80.0,52.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 13.8% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.97,48.44,91.76,102.0185,0.4441,0.1992,0.3444,72.39,24.15,41.92,29.61,18.1,0.2261,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
54,695600,Carter Jensen,KC,LAD,2026-08-13T02:10:00Z,Scheduled,1,Eric Lauer,641778,L,53.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",54.6,56.3,27.6,88.7,50.0,18.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,1,"Last 7 games: 2/23, 1 HR","same-side matchup; pitcher baseline 10.4% barrel, 19.9 HR allowed",EV profile; pitcher allows elevated contact,13.38,48.15,92.11,102.7691,0.4398,0.1976,0.3329,74.1,39.15,40.3,29.65,12.1,0.2066,10.41,37.42,89.06,0.4596,0.2077,36.9,,,UNIQLO Field at Dodger Stadium,
55,607208,Trea Turner,PHI,STL,2026-08-12T18:15:00Z,Pre-Game,2,Kyle Leahy,681517,R,53.4,Longshot,Watch List,"Good Environment, Premium Lineup Spot",28.0,54.3,70.6,100.0,50.0,40.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,1,"Last 7 games: 8/30, 1 HR","same-side matchup; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.29,40.84,88.74,99.4511,0.3883,0.1309,0.3063,71.52,19.14,35.31,24.99,16.4,0.1516,10.43,47.18,90.78,0.4492,0.1754,21.84,Out To CF,93,Busch Stadium,
56,691718,Pete Crow-Armstrong,CHC,WSH,2026-08-12T22:45:00Z,Scheduled,1,Jackson Kent,800600,L,53.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",54.5,41.2,28.2,88.7,50.0,87.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.61,46.78,90.06,101.6454,0.4757,0.2239,0.3525,74.17,43.27,49.67,35.43,28.2,0.2529,,,,,,,,,Nationals Park,
57,682985,Riley Greene,DET,CLE,2026-08-12T22:40:00Z,Scheduled,4,Foster Griffin,656492,L,53.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.2,42.9,27.6,90.4,50.0,37.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","same-side matchup; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.35,47.46,90.32,102.5276,0.4819,0.2312,0.3537,75.6,57.87,38.91,33.1,22.0,0.1944,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
58,663757,Trent Grisham,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,1,Bryce Miller,682243,R,53.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.4,37.3,38.2,88.7,80.0,60.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.26,45.56,90.82,100.8753,0.4581,0.2094,0.3497,70.72,8.88,46.47,30.35,19.3,0.194,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
