rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
160,805300,Jakob Marsee,MIA,CHC,2026-09-05T20:10:00Z,Scheduled,4,Javier Assad,665871,R,40.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",20.6,39.2,21.5,90.4,80.0,28.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","platoon edge; pitcher baseline 6.0% barrel, 11.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.16,36.71,87.78,98.6038,0.3545,0.1183,0.3162,70.43,5.86,42.42,23.89,7.8,0.1398,6.02,43.97,89.62,0.4253,0.1565,26.5,,,loanDepot park,
161,807712,Luke Keaschall,MIN,CWS,2026-09-05T23:10:00Z,Scheduled,1,Anthony Kay,641743,L,40.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",13.8,40.8,27.6,88.7,78.0,53.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,1,Contact streak: 10/28 over last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.15,30.29,85.78,96.932,0.3675,0.116,0.3191,68.64,7.52,38.05,27.32,7.5,0.1255,8.5,39.1,88.3,0.413,0.154,22.2,,,Rate Field,
162,687637,Dylan Beavers,BAL,BOS,2026-09-05T23:05:00Z,Scheduled,7,Sonny Gray,543243,R,40.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.6,37.2,32.1,59.8,80.0,14.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 7.6% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.76,35.56,88.31,99.0927,0.3877,0.1614,0.3181,72.41,21.4,41.09,32.65,5.4,0.1485,7.56,38.95,89.11,0.388,0.1383,22.78,,,Oriole Park at Camden Yards,
163,805999,A.J. Ewing,NYM,SF,2026-09-05T20:10:00Z,Scheduled,7,Anthony Molina,683627,R,40.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.0,47.0,24.8,59.8,80.0,5.1,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","platoon edge; pitcher baseline 8.0% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.9,41.2,89.1,99.9754,0.385,0.136,0.312,70.4,12.2,30.2,24.4,7.0,0.11,8.02,39.51,87.49,0.4975,0.2112,35.39,,,Citi Field,
164,687597,Jordan Beck,COL,STL,2026-09-06T00:10:00Z,Scheduled,8,Matthew Liberatore,669461,L,40.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.0,55.9,38.7,47.9,78.0,17.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 23.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.96,32.83,86.91,98.5434,0.3222,0.1059,0.2628,73.76,37.04,38.33,28.46,5.5,0.1202,9.9,42.22,90.39,0.4566,0.1899,29.29,,,Coors Field,
165,691019,Kyle Teel,CWS,MIN,2026-09-05T23:10:00Z,Scheduled,9,Taj Bradley,671737,R,40.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",34.8,47.9,27.6,40.2,80.0,5.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.65,46.28,85.57,100.1818,0.3845,0.1503,0.3125,71.5,24.62,37.39,28.4,3.8,0.1303,8.8,43.33,90.32,0.3864,0.1578,29.19,,,Rate Field,
166,669242,Tommy Edman,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,1,Cade Cavalli,676917,R,40.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",23.3,32.0,27.6,88.7,75.0,28.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,32,0,"Last 7 games: 10/32, 0 HR","switch hitter; pitcher baseline 6.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.41,36.96,88.3,99.3048,0.3844,0.1181,0.3203,70.52,12.53,41.83,27.41,7.4,0.1395,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
167,691788,Joe Mack,MIA,CHC,2026-09-05T20:10:00Z,Scheduled,7,Javier Assad,665871,R,40.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",33.2,39.2,21.5,59.8,80.0,17.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 11.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.5,38.1,88.1,99.4597,0.386,0.165,0.289,74.3,43.2,48.7,24.3,12.0,0.172,6.02,43.97,89.62,0.4253,0.1565,26.5,,,loanDepot park,
168,687093,Vaughn Grissom,LAA,PIT,2026-09-05T22:40:00Z,Scheduled,4,Braxton Ashcraft,677952,R,40.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",29.1,31.7,24.3,90.4,50.0,40.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","same-side matchup; pitcher baseline 5.8% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.5,38.4,88.0,99.1074,0.398,0.145,0.317,71.2,17.8,40.1,25.8,10.0,0.146,5.75,40.74,89.19,0.3629,0.1297,24.34,,,PNC Park,
169,592663,J.T. Realmuto,PHI,ATL,2026-09-05T22:05:00Z,Scheduled,8,Martín Pérez,527048,L,39.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.9,38.5,34.3,47.9,78.0,25.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.21,42.21,89.79,100.2296,0.4012,0.1433,0.3216,72.77,31.1,42.23,25.59,10.6,0.1319,8.07,38.42,88.06,0.4227,0.1639,23.78,,,Citizens Bank Park,
