rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
180,593428,Xander Bogaerts,SD,NYY,2026-09-05T23:15:00Z,Scheduled,6,Carlos Rodón,607074,L,38.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.0,32.8,22.6,71.7,78.0,21.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 10.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.34,40.81,89.14,100.0826,0.3871,0.1348,0.3242,72.31,28.01,43.1,23.69,11.0,0.1112,6.97,37.64,89.44,0.3517,0.1317,27.74,,,Petco Park,
181,678545,Osleivis Basabe,SF,NYM,2026-09-05T20:10:00Z,Scheduled,8,Zac Thornton,804267,L,38.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.4,42.0,24.8,47.9,78.0,26.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,1,"Last 7 games: 3/17, 1 HR","platoon edge; pitcher baseline 8.2% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.7,36.7,87.9,98.8312,0.367,0.132,0.286,73.4,31.4,40.5,32.9,4.0,0.147,8.2,38.6,88.7,0.444,0.175,27.7,,,Citi Field,
182,543760,Marcus Semien,NYM,SF,2026-09-05T20:10:00Z,Scheduled,6,Anthony Molina,683627,R,38.4,Longshot,Watch List,Projected Lineup,22.9,47.0,24.8,71.7,50.0,24.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","same-side matchup; pitcher baseline 8.0% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.31,33.39,86.97,97.3653,0.388,0.1418,0.3103,68.5,3.2,47.54,31.23,14.3,0.1312,8.02,39.51,87.49,0.4975,0.2112,35.39,,,Citi Field,
183,672640,Otto Lopez,MIA,CHC,2026-09-05T20:10:00Z,Scheduled,6,Javier Assad,665871,R,38.4,Longshot,Watch List,Projected Lineup,30.1,39.2,21.5,71.7,50.0,26.2,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,1,"Last 7 games: 5/29, 1 HR","same-side matchup; pitcher baseline 6.0% barrel, 11.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.47,40.26,88.92,100.1652,0.4242,0.1475,0.3251,71.7,22.53,33.14,22.36,11.5,0.1339,6.02,43.97,89.62,0.4253,0.1565,26.5,,,loanDepot park,
184,687401,Joey Ortiz,MIL,CIN,2026-09-05T22:40:00Z,Scheduled,8,Andrew Abbott,671096,L,38.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.7,43.4,39.3,47.9,78.0,56.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,16,1,Contact streak: 6/16 over last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.84,35.88,87.63,99.0909,0.3375,0.0967,0.2904,72.86,29.8,31.98,20.1,7.7,0.1192,8.14,36.99,89.13,0.4214,0.166,28.49,,,Great American Ball Park,
185,677649,Ezequiel Duran,TEX,TB,2026-09-05T23:05:00Z,Scheduled,5,Drew Rasmussen,656876,R,38.4,Longshot,Watch List,"Projected Lineup, Hot Hitter/Streak",20.9,29.0,27.6,81.9,50.0,88.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.0% barrel, 14.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.26,35.59,87.75,98.9124,0.3524,0.1174,0.2876,72.34,24.73,36.01,22.35,11.2,0.1453,6.02,37.14,88.99,0.3568,0.125,23.03,,,Globe Life Field,
186,641680,Jonah Heim,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,7,George Kirby,669923,R,38.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.3,38.7,25.4,59.8,75.0,40.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","switch hitter; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.59,34.01,87.96,97.9255,0.3677,0.141,0.2886,69.77,9.17,40.49,28.04,12.4,0.1631,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
187,701358,Cam Smith,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,9,Brandon Pfaadt,694297,R,38.2,Longshot,Watch List,Projected Lineup,40.4,42.5,27.6,40.2,50.0,7.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.63,43.25,88.74,101.43,0.4089,0.1697,0.3145,76.81,68.18,37.63,24.86,14.6,0.1584,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
188,666126,Carlos Cortes,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,8,George Kirby,669923,R,38.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",28.9,40.7,25.4,47.9,80.0,22.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.17,38.96,89.03,99.4919,0.3947,0.1427,0.3091,70.76,14.62,30.62,22.38,6.8,0.1682,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
189,650402,Gleyber Torres,DET,CLE,2026-09-05T22:10:00Z,Scheduled,1,Parker Messick,800048,L,38.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",25.6,18.3,27.6,88.7,78.0,34.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,0,Contact streak: 8/23 over last 7 games,"platoon edge; pitcher baseline 5.0% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.22,35.01,87.55,97.8622,0.3997,0.144,0.3371,68.77,6.03,27.04,27.52,10.4,0.1233,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
190,703520,Brett Bateman,TOR,KC,2026-09-05T23:10:00Z,Scheduled,1,Seth Lugo,607625,R,38.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",1.4,53.4,23.2,88.7,80.0,33.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,0,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 20.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,15.3,83.6,93.9361,0.286,0.048,0.27,68.4,3.0,29.2,9.7,0.0,0.066,8.65,43.66,90.14,0.4632,0.1904,28.9,,,Kauffman Stadium,
191,805808,Kevin McGonigle,DET,CLE,2026-09-05T22:10:00Z,Scheduled,2,Parker Messick,800048,L,37.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",32.8,18.3,27.6,95.5,50.0,13.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","same-side matchup; pitcher baseline 5.0% barrel, 11.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.1,36.7,88.1,98.2492,0.431,0.171,0.35,71.2,16.0,37.0,36.1,14.0,0.139,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
192,622268,Donovan Walton,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,6,George Kirby,669923,R,37.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",17.0,40.7,25.4,71.7,80.0,30.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,15,1,"Last 7 games: 3/15, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.5,35.4,89.1,97.6859,0.3709,0.1075,0.3174,67.85,0.42,37.0,21.39,3.5,0.1204,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
193,699393,Pedro Ramirez,CHC,MIA,2026-09-05T20:10:00Z,Scheduled,7,Ryan Gusto,687473,R,37.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",22.8,43.9,21.5,59.8,75.0,27.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","switch hitter; pitcher baseline 8.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.3,41.8,89.2,99.6931,0.363,0.102,0.304,72.2,22.3,41.8,21.3,4.0,0.149,8.31,44.02,89.83,0.4246,0.162,25.21,,,loanDepot park,
194,695720,Tommy White,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,5,George Kirby,669923,R,37.7,Longshot,Watch List,Projected Lineup,21.7,40.7,25.4,81.9,50.0,21.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","same-side matchup; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.1,32.3,85.8,97.1776,0.392,0.126,0.298,69.4,13.3,27.4,24.2,2.0,0.074,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
195,642215,Weston Wilson,SEA,ATH,2026-09-06T01:40:00Z,Scheduled,8,Jeffrey Springs,605488,L,37.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.4,47.7,25.4,47.9,78.0,19.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 9.2% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.66,37.99,86.88,99.0289,0.3283,0.1228,0.2831,72.57,25.98,47.76,25.78,4.3,0.1409,9.15,35.69,87.81,0.4471,0.1946,32.51,,,T-Mobile Park,
196,514888,Jose Altuve,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,4,Brandon Pfaadt,694297,R,37.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",14.0,42.5,27.6,90.4,50.0,30.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.15,32.02,85.31,97.12,0.342,0.1169,0.2811,69.14,10.13,45.64,22.44,18.3,0.1602,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
197,806146,George Lombard,NYY,SD,2026-09-05T23:15:00Z,Scheduled,7,Robbie Ray,592662,L,37.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.6,49.7,22.6,59.8,78.0,1.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 20.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.3,35.7,85.9,97.8328,0.354,0.109,0.295,71.9,18.2,33.9,21.4,2.0,0.114,9.04,39.8,89.74,0.4088,0.1758,34.29,,,Petco Park,
198,678882,Ceddanne Rafaela,BOS,BAL,2026-09-05T23:05:00Z,Scheduled,3,Chris Bassitt,605135,R,37.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",21.7,30.4,32.1,92.1,50.0,15.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","same-side matchup; pitcher baseline 6.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.4,33.87,86.9,97.7024,0.3754,0.1299,0.2889,69.95,8.62,35.15,26.07,16.0,0.1622,6.19,36.25,87.7,0.414,0.1378,23.14,,,Oriole Park at Camden Yards,
199,806367,Turner Hill,SF,NYM,2026-09-05T20:10:00Z,Scheduled,6,Zac Thornton,804267,L,37.3,Longshot,Watch List,Projected Lineup,21.7,42.0,24.8,71.7,50.0,36.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,0,Contact streak: 8/22 over last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.0,37.5,88.8,97.9306,0.42,0.133,0.365,65.7,0.0,52.5,20.0,0.0,0.114,8.2,38.6,88.7,0.444,0.175,27.7,,,Citi Field,
200,664770,Nathan Lukes,TOR,KC,2026-09-05T23:10:00Z,Scheduled,7,Seth Lugo,607625,R,37.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",10.5,53.4,23.2,59.8,80.0,40.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 20.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.12,30.42,87.13,96.8318,0.3556,0.1015,0.2954,67.23,3.76,32.61,20.81,10.6,0.1338,8.65,43.66,90.14,0.4632,0.1904,28.9,,,Kauffman Stadium,
201,666139,Josh Lowe,LAA,PIT,2026-09-05T22:40:00Z,Scheduled,7,Braxton Ashcraft,677952,R,37.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.9,31.7,24.3,59.8,80.0,3.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,0,"Last 7 games: 2/14, 0 HR","platoon edge; pitcher baseline 5.8% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.09,37.64,88.6,99.1714,0.3735,0.1506,0.2917,73.38,34.96,36.69,30.66,10.3,0.1425,5.75,40.74,89.19,0.3629,0.1297,24.34,,,PNC Park,
202,685133,Wade Meckler,LAA,PIT,2026-09-05T22:40:00Z,Scheduled,3,Braxton Ashcraft,677952,R,37.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",12.1,31.7,24.3,92.1,80.0,36.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,0,Contact streak: 9/25 over last 7 games,"platoon edge; pitcher baseline 5.8% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.9,33.7,87.0,96.8287,0.357,0.098,0.313,68.9,2.2,34.9,18.3,3.0,0.089,5.75,40.74,89.19,0.3629,0.1297,24.34,,,PNC Park,
203,681082,Bryson Stott,PHI,ATL,2026-09-05T22:05:00Z,Scheduled,7,Martín Pérez,527048,L,37.0,Longshot,Watch List,Projected Lineup,24.8,38.5,34.3,59.8,50.0,30.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.59,35.17,88.72,98.3712,0.3986,0.1376,0.3235,69.72,6.75,34.52,27.8,10.9,0.1438,8.07,38.42,88.06,0.4227,0.1639,23.78,,,Citizens Bank Park,
204,679845,Nick Loftin,KC,TOR,2026-09-05T23:10:00Z,Scheduled,6,Max Scherzer,453286,R,36.7,Longshot,Watch List,Projected Lineup,16.6,47.6,23.2,71.7,50.0,34.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","same-side matchup; pitcher baseline 10.1% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.83,29.73,87.43,96.9474,0.3464,0.1172,0.2975,69.05,5.8,43.8,28.85,6.1,0.1518,10.09,35.47,88.02,0.4249,0.189,33.53,,,Kauffman Stadium,
205,694377,Nick Yorke,PIT,LAA,2026-09-05T22:40:00Z,Scheduled,9,Yusei Kikuchi,579328,L,36.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",19.4,54.4,24.3,40.2,78.0,15.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,9,0,"Last 7 games: 2/9, 0 HR","platoon edge; pitcher baseline 9.8% barrel, 12.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.14,41.77,87.28,100.4458,0.3304,0.095,0.278,72.39,22.54,33.79,23.83,1.0,0.0737,9.75,44.72,91.14,0.4532,0.1906,24.31,,,PNC Park,
206,701785,Kaelen Culpepper,MIN,CWS,2026-09-05T23:10:00Z,Scheduled,8,Anthony Kay,641743,L,36.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.6,40.8,27.6,47.9,78.0,16.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,32.3,87.4,98.0062,0.401,0.15,0.312,73.4,35.3,38.7,25.8,3.0,0.163,8.5,39.1,88.3,0.413,0.154,22.2,,,Rate Field,
207,806198,Cooper Pratt,MIL,CIN,2026-09-05T22:40:00Z,Scheduled,9,Andrew Abbott,671096,L,36.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.4,43.4,39.3,40.2,78.0,56.6,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,1,Contact streak: 9/24 over last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.7,28.5,87.1,96.8125,0.365,0.102,0.315,70.2,9.6,33.6,25.5,3.0,0.096,8.14,36.99,89.13,0.4214,0.166,28.49,,,Great American Ball Park,
208,668952,Ryan Kreidler,MIN,CWS,2026-09-05T23:10:00Z,Scheduled,9,Anthony Kay,641743,L,36.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",26.4,40.8,27.6,40.2,78.0,18.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,10,1,"Last 7 games: 1/10, 1 HR","platoon edge; pitcher baseline 8.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.04,34.34,88.41,99.2637,0.3404,0.1322,0.2717,73.1,32.3,45.33,29.49,4.2,0.1057,8.5,39.1,88.3,0.413,0.154,22.2,,,Rate Field,
209,660688,Keibert Ruiz,WSH,LAD,2026-09-06T01:10:00Z,Scheduled,6,Tyler Glasnow,607192,R,36.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.9,30.3,27.6,71.7,75.0,54.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"switch hitter; pitcher baseline 7.9% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.88,34.89,87.67,97.5377,0.3608,0.1087,0.2849,67.22,0.93,55.38,26.14,6.9,0.1382,7.86,37.75,89.39,0.3135,0.1245,25.42,,,UNIQLO Field at Dodger Stadium,
210,676439,Hunter Feduccia,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,9,Cade Cavalli,676917,R,36.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.4,33.5,27.6,40.2,80.0,28.9,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,16,0,"Last 7 games: 5/16, 0 HR","platoon edge; pitcher baseline 6.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.48,37.0,89.42,98.9449,0.3594,0.1269,0.3065,70.78,12.98,33.36,27.38,2.1,0.092,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
211,702284,Cole Young,SEA,ATH,2026-09-06T01:40:00Z,Scheduled,7,Jeffrey Springs,605488,L,36.2,Longshot,Watch List,Projected Lineup,22.9,47.7,25.4,59.8,50.0,10.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","same-side matchup; pitcher baseline 9.2% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.04,35.37,88.09,98.735,0.3788,0.1289,0.3096,71.51,21.79,42.26,26.38,12.4,0.1234,9.15,35.69,87.81,0.4471,0.1946,32.51,,,T-Mobile Park,
212,686765,Nick Sogard,BOS,BAL,2026-09-05T23:05:00Z,Scheduled,6,Chris Bassitt,605135,R,36.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.2,29.0,32.1,71.7,75.0,44.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","switch hitter; pitcher baseline 6.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.32,31.34,86.49,97.0814,0.3694,0.1163,0.3174,68.78,3.26,46.22,23.39,2.8,0.1309,6.19,36.25,87.7,0.414,0.1378,23.14,,,Oriole Park at Camden Yards,
213,680700,Richie Palacios,TB,TEX,2026-09-05T23:05:00Z,Scheduled,8,Jacob deGrom,594798,R,36.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",14.0,47.3,27.6,47.9,80.0,41.2,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.15,32.34,87.24,96.9118,0.3632,0.099,0.3194,68.77,3.59,35.76,21.54,4.5,0.1155,8.46,43.58,90.31,0.3875,0.1588,29.53,,,Globe Life Field,
214,668800,Andrew Knizner,SF,NYM,2026-09-05T20:10:00Z,Scheduled,7,Zac Thornton,804267,L,36.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.0,42.0,24.8,59.8,78.0,5.1,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","platoon edge; pitcher baseline 8.2% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.23,30.27,86.79,97.5443,0.3377,0.1253,0.2808,70.18,6.98,26.2,33.21,1.0,0.1438,8.2,38.6,88.7,0.444,0.175,27.7,,,Citi Field,
