rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
236,622268,Donovan Walton,LAA,BOS,2026-07-05T01:38:00Z,Scheduled,9,Sonny Gray,543243,R,32.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",19.1,36.5,28.2,40.2,80.0,7.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","platoon edge; pitcher baseline 7.8% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.92,36.52,89.1,98.3287,0.3898,0.1131,0.2992,67.74,0.0,35.81,22.23,2.1,0.1274,7.77,38.11,89.04,0.3894,0.146,21.94,,,Angel Stadium,
237,694388,Joey Loperfido,HOU,TB,2026-07-04T23:10:00Z,Scheduled,8,Drew Rasmussen,656876,R,32.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.0,26.6,27.6,47.9,80.0,0.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,18,0,"Last 7 games: 2/18, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 11.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.47,36.05,88.49,98.6142,0.358,0.1165,0.3027,71.86,21.21,29.47,24.2,1.9,0.132,6.23,35.81,88.22,0.354,0.125,22.26,,,Daikin Park,
238,805999,A.J. Ewing,NYM,ATL,2026-07-05T00:08:00Z,Scheduled,8,Chris Sale,519242,L,32.3,Longshot,Watch List,Projected Lineup,30.1,18.7,30.9,47.9,50.0,41.2,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","same-side matchup; pitcher baseline 5.5% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.9,42.4,88.9,100.1814,0.422,0.146,0.345,70.5,11.3,30.5,26.3,4.0,0.131,5.53,32.32,86.92,0.3284,0.108,25.76,,,Truist Park,
239,670032,Nicky Lopez,TEX,DET,2026-07-04T20:05:00Z,Scheduled,9,Jack Flaherty,656427,R,31.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",3.0,48.7,27.6,40.2,80.0,38.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,0,Contact streak: 9/24 over last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 12.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,28.66,84.8,95.5342,0.2725,0.0419,0.2582,66.79,0.75,32.68,11.51,0.7,0.0357,8.83,46.18,90.54,0.3955,0.159,30.43,,,Globe Life Field,
240,673237,Yainer Diaz,HOU,TB,2026-07-04T23:10:00Z,Scheduled,7,Drew Rasmussen,656876,R,31.4,Longshot,Watch List,Projected Lineup,22.6,26.6,27.6,59.8,50.0,9.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","same-side matchup; pitcher baseline 6.2% barrel, 11.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.75,34.08,88.29,99.0184,0.3782,0.1263,0.2875,72.41,20.4,37.05,18.54,8.1,0.126,6.23,35.81,88.22,0.354,0.125,22.26,,,Daikin Park,
241,701852,Drew Cavanaugh,SF,COL,2026-07-05T00:10:00Z,Scheduled,9,Sean Sullivan,807743,L,31.3,Longshot,Watch List,Projected Lineup,24.6,26.6,38.7,40.2,50.0,17.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,4,17,0,"Last 6 games: 4/17, 0 HR","same-side matchup; pitcher baseline 6.8% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.1,28.6,88.2,97.9619,0.44,0.144,0.338,71.4,12.5,35.7,14.3,0.0,0.0,6.8,28.8,87.3,0.324,0.141,42.4,,,Coors Field,
242,679845,Nick Loftin,KC,PHI,2026-07-05T00:10:00Z,Scheduled,7,Jesús Luzardo,666200,L,30.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",21.7,20.0,23.2,59.8,78.0,0.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,22,0,"Last 7 games: 0/22, 0 HR","platoon edge; pitcher baseline 6.1% barrel, 11.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.23,32.46,88.13,97.2097,0.3653,0.1263,0.3115,69.12,5.34,42.89,27.8,3.3,0.1546,6.07,31.85,86.96,0.3354,0.1116,21.03,,,Kauffman Stadium,
243,695490,Edwin Arroyo,CIN,BAL,2026-07-04T23:10:00Z,Scheduled,9,Brandon Young,687064,R,30.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",5.5,40.4,39.3,40.2,75.0,21.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","switch hitter; pitcher baseline 7.8% barrel, 8.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,21.7,86.2,95.038,0.332,0.052,0.297,69.2,6.5,43.3,15.0,0.0,0.038,7.75,41.57,89.19,0.4152,0.1658,27.36,,,Great American Ball Park,
244,686555,Isaac Collins,KC,PHI,2026-07-05T00:10:00Z,Scheduled,9,Jesús Luzardo,666200,L,30.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",25.0,18.8,23.2,40.2,75.0,43.2,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","switch hitter; pitcher baseline 6.1% barrel, 11.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.74,40.58,88.8,100.2765,0.3415,0.1018,0.3157,73.4,31.88,42.85,26.23,5.5,0.12,6.07,31.85,86.96,0.3354,0.1116,21.03,,,Kauffman Stadium,
245,687282,Gabriel Rincones,PHI,KC,2026-07-05T00:10:00Z,Scheduled,8,Michael Wacha,608379,R,30.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.8,30.7,23.2,47.9,80.0,12.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","platoon edge; pitcher baseline 5.9% barrel, 11.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.2,32.3,87.9,99.1476,0.204,0.075,0.167,76.0,60.6,25.8,29.0,1.0,0.068,5.93,35.3,87.92,0.4035,0.1528,26.29,,,Kauffman Stadium,
