rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
107,682622,Noelvi Marte,CIN,PHI,2026-07-09T23:10:00Z,Pre-Game,7,Jesús Luzardo,666200,L,44.8,Longshot,Watch List,"Good Environment, Platoon Edge",28.4,19.4,79.8,64.3,78.0,56.2,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.9% barrel, 11.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.84,33.15,88.5,100.0866,0.3809,0.1576,0.2851,72.88,31.03,46.32,20.78,8.4,0.1934,5.86,32.13,87.03,0.3284,0.1088,21.66,Out To LF,87,Great American Ball Park,
108,691723,Coby Mayo,BAL,CHC,2026-07-09T17:35:00Z,Game Over,9,David Peterson,656849,L,44.5,Longshot,Watch List,"Strong Barrel, Platoon Edge",44.0,37.5,44.6,44.8,78.0,20.3,Yes,Yes,6,Yes,Yes,MLB Stats API; RotoWire,order MLB 9 vs RotoWire 6,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,1,"Last 7 games: 2/15, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.03,45.8,90.66,102.9787,0.3742,0.1677,0.2904,75.33,54.03,50.95,32.57,11.0,0.1857,6.61,43.34,90.25,0.4196,0.1426,18.94,In From CF,83,Oriole Park at Camden Yards,
109,682997,Tyler Callihan,PIT,ATL,2026-07-09T16:35:00Z,Game Over,7,Bryce Elder,693821,R,44.0,Longshot,Watch List,Platoon Edge,22.9,35.4,63.3,64.3,80.0,46.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 5.6% barrel, 15.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,6.23,39.77,86.23,97.8703,0.3269,0.1141,0.2711,70.54,11.24,50.69,35.54,2.1,0.1519,5.63,40.65,90.0,0.3927,0.1428,25.94,Out To LF,82,PNC Park,
110,702222,Justin Crawford,PHI,CIN,2026-07-09T23:10:00Z,Pre-Game,9,Brady Singer,663903,R,44.0,Longshot,Watch List,"Good Environment, Platoon Edge",8.9,58.6,79.8,44.8,80.0,32.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,0,Contact streak: 7/21 over last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.0,33.0,86.7,97.5538,0.317,0.063,0.279,68.8,4.5,27.2,16.0,2.0,0.092,10.73,40.77,90.86,0.4608,0.1982,28.96,Out To LF,87,Great American Ball Park,
111,647304,Josh Naylor,SEA,MIA,2026-07-09T22:40:00Z,Pre-Game,5,Janson Junk,676083,R,43.7,Longshot,Watch List,Platoon Edge,25.6,41.6,35.0,86.4,80.0,14.1,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","platoon edge; pitcher baseline 7.2% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.37,39.1,88.22,99.278,0.4094,0.1387,0.3245,70.44,11.25,41.78,23.83,11.6,0.1222,7.17,43.31,90.41,0.4236,0.1606,24.2,None,72,loanDepot park,
112,641487,J.P. Crawford,SEA,MIA,2026-07-09T22:40:00Z,Pre-Game,1,Janson Junk,676083,R,43.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",23.6,41.6,35.0,93.2,80.0,6.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","platoon edge; pitcher baseline 7.2% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.3,35.96,87.83,98.2882,0.3776,0.1298,0.329,71.38,19.3,34.93,21.42,10.6,0.1281,7.17,43.31,90.41,0.4236,0.1606,24.2,None,72,loanDepot park,
113,702332,Caleb Durbin,BOS,CWS,2026-07-09T18:10:00Z,In Progress,5,Anthony Kay,641743,L,43.4,Longshot,Watch List,Platoon Edge,7.3,40.3,66.6,86.4,78.0,43.7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.3,28.51,84.92,96.3013,0.3424,0.1,0.2938,68.67,5.12,42.42,18.56,8.9,0.1527,8.8,39.1,88.8,0.42,0.152,21.4,Out To LF,80,Rate Field,
114,701678,Hao-Yu Lee,DET,ATH,2026-07-09T22:40:00Z,Pre-Game,5,José Suarez,660761,L,43.3,Longshot,Watch List,Platoon Edge,25.9,17.2,66.1,86.4,78.0,31.9,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","platoon edge; pitcher baseline 3.2% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.8,33.3,87.4,98.2321,0.361,0.142,0.269,70.6,17.2,28.4,30.4,4.0,0.141,3.24,37.23,88.42,0.345,0.0964,21.72,Out To LF,77,Comerica Park,
115,669236,Jeremiah Jackson,BAL,CHC,2026-07-09T17:35:00Z,Game Over,7,David Peterson,656849,L,43.1,Longshot,Watch List,Platoon Edge,32.3,37.5,44.6,64.3,78.0,13.6,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,0,"Last 7 games: 4/19, 0 HR","platoon edge; pitcher baseline 6.6% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.01,40.82,89.69,100.5146,0.3923,0.1496,0.2875,72.67,26.95,40.98,24.7,6.4,0.1514,6.61,43.34,90.25,0.4196,0.1426,18.94,In From CF,83,Oriole Park at Camden Yards,
116,643289,Mauricio Dubón,ATL,PIT,2026-07-09T16:35:00Z,Game Over,5,Mitch Keller,656605,R,42.7,Longshot,Watch List,No major boost,12.1,43.5,63.3,86.4,50.0,43.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","same-side matchup; pitcher baseline 7.5% barrel, 14.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.65,29.73,85.76,96.464,0.3765,0.1106,0.3074,68.69,2.84,32.1,24.53,8.4,0.1413,7.45,42.54,89.47,0.4461,0.164,24.26,Out To LF,82,PNC Park,
117,691720,Kyle Karros,COL,SF,2026-07-10T01:45:00Z,Scheduled,2,Carson Whisenhunt,687931,L,42.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",25.9,31.9,19.3,95.5,78.0,64.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 3.8% barrel, 1.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.32,40.7,89.02,99.7297,0.3649,0.1229,0.3168,70.01,5.93,39.15,23.22,5.9,0.1385,3.75,40.34,89.74,0.4295,0.1486,34.1,,,Oracle Park,
118,694203,Denzer Guzman,LAA,TEX,2026-07-10T00:05:00Z,Pre-Game,5,Nathan Eovaldi,543135,R,42.4,Longshot,Watch List,Projected Lineup,30.2,39.3,41.1,81.9,50.0,18.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,0,"Last 7 games: 7/29, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.26,38.42,87.06,98.2534,0.3657,0.133,0.2798,73.29,32.04,45.01,27.2,2.7,0.1453,7.89,38.99,88.6,0.3958,0.1586,25.18,None,72,Globe Life Field,
119,681297,Colton Cowser,BAL,CHC,2026-07-09T17:35:00Z,Game Over,8,David Peterson,656849,L,42.3,Longshot,Watch List,Strong Barrel,44.8,37.5,44.6,52.4,50.0,0.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,14,0,"Last 7 games: 1/14, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.28,38.93,87.89,100.5261,0.4215,0.21,0.3133,74.51,45.48,38.24,31.87,10.4,0.1533,6.61,43.34,90.25,0.4196,0.1426,18.94,In From CF,83,Oriole Park at Camden Yards,
120,693304,Nick Gonzales,PIT,ATL,2026-07-09T16:35:00Z,Game Over,6,Bryce Elder,693821,R,41.7,Longshot,Watch List,No major boost,16.2,35.4,63.3,76.2,50.0,63.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,1,Contact streak: 11/26 over last 7 games,"same-side matchup; pitcher baseline 5.6% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.24,37.54,86.91,98.5422,0.3827,0.1063,0.3162,70.5,12.31,40.65,19.93,4.3,0.0887,5.63,40.65,90.0,0.3927,0.1428,25.94,Out To LF,82,PNC Park,
121,543309,Kyle Higashioka,TEX,LAA,2026-07-10T00:05:00Z,Pre-Game,7,Reid Detmers,672282,L,41.6,Longshot,Watch List,Platoon Edge,29.6,33.3,41.1,64.3,78.0,33.7,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.53,38.12,88.13,98.985,0.3646,0.1379,0.2957,70.9,10.79,42.42,28.81,7.5,0.148,7.29,38.74,89.68,0.3469,0.1271,27.29,None,72,Globe Life Field,
122,663968,Jake Mangum,PIT,ATL,2026-07-09T16:35:00Z,Game Over,1,Bryce Elder,693821,R,41.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",4.1,33.7,63.3,93.2,75.0,55.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,1,Contact streak: 11/30 over last 7 games,"switch hitter; pitcher baseline 5.6% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.58,28.78,85.06,96.2673,0.3227,0.0696,0.2802,66.95,3.41,28.07,13.25,1.6,0.0601,5.63,40.65,90.0,0.3927,0.1428,25.94,Out To LF,82,PNC Park,
123,803011,Sam Antonacci,CWS,BOS,2026-07-09T18:10:00Z,In Progress,8,Patrick Sandoval,663776,L,41.3,Longshot,Watch List,No major boost,26.2,41.2,66.6,52.4,50.0,18.0,Yes,Yes,6,Yes,Yes,MLB Stats API; RotoWire,order MLB 8 vs RotoWire 6,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,36.7,87.7,98.3127,0.437,0.137,0.368,70.3,9.2,32.7,22.1,5.0,0.125,,,,,,,Out To LF,80,Rate Field,
124,702284,Cole Young,SEA,MIA,2026-07-09T22:40:00Z,Pre-Game,7,Janson Junk,676083,R,41.1,Longshot,Watch List,Platoon Edge,25.4,41.6,35.0,64.3,80.0,26.4,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 7.2% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.32,36.42,88.16,98.9489,0.4012,0.1394,0.3222,71.68,22.86,44.01,26.73,8.2,0.1227,7.17,43.31,90.41,0.4236,0.1606,24.2,None,72,loanDepot park,
125,642715,Willy Adames,SF,COL,2026-07-10T01:45:00Z,Scheduled,6,Ryan Feltner,663372,R,41.0,Longshot,Watch List,"Projected Lineup, Strong Barrel",40.4,39.7,19.3,71.7,50.0,14.6,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.01,42.1,88.62,99.3746,0.4035,0.1823,0.3011,72.17,22.88,46.93,34.55,18.8,0.1932,7.46,38.85,88.74,0.4274,0.1772,27.34,,,Oracle Park,
126,694249,Cole Carrigg,COL,SF,2026-07-10T01:45:00Z,Scheduled,5,Carson Whisenhunt,687931,L,40.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",26.4,31.7,19.3,81.9,75.0,62.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,1,Contact streak: 10/24 over last 7 games,"switch hitter; pitcher baseline 3.8% barrel, 1.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.9,30.6,86.1,98.2704,0.417,0.165,0.334,73.8,42.1,47.2,27.8,4.0,0.273,3.75,40.34,89.74,0.4295,0.1486,34.1,,,Oracle Park,
127,609280,Miguel Andujar,SD,AZ,2026-07-10T01:40:00Z,Scheduled,8,Merrill Kelly,518876,R,40.4,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable",20.6,71.9,22.6,47.9,50.0,34.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,17,0,Contact streak: 6/17 over last 7 games,"same-side matchup; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.42,36.38,88.28,99.5468,0.3837,0.1177,0.2987,71.35,19.17,40.97,19.45,6.5,0.159,12.94,43.78,90.13,0.5451,0.2517,27.13,,,Petco Park,
128,695731,Braden Montgomery,CWS,BOS,2026-07-09T18:10:00Z,In Progress,9,Patrick Sandoval,663776,L,40.3,Longshot,Watch List,Platoon Edge,21.5,40.2,66.6,44.8,75.0,12.0,Yes,Yes,7,Yes,Yes,MLB Stats API; RotoWire,order MLB 9 vs RotoWire 7,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","switch hitter; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.4,41.2,89.0,100.2588,0.351,0.114,0.297,69.9,9.8,36.8,19.1,2.0,0.157,,,,,,,Out To LF,80,Rate Field,
129,687637,Dylan Beavers,BAL,CHC,2026-07-09T17:35:00Z,Game Over,6,David Peterson,656849,L,40.1,Longshot,Watch List,No major boost,26.6,37.5,44.6,76.2,50.0,8.5,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.71,34.09,87.89,99.0282,0.3681,0.1488,0.3104,71.92,17.75,37.31,29.92,2.6,0.1373,6.61,43.34,90.25,0.4196,0.1426,18.94,In From CF,83,Oriole Park at Camden Yards,
130,805779,Jacob Wilson,ATH,DET,2026-07-09T22:40:00Z,Pre-Game,5,Framber Valdez,664285,L,40.1,Longshot,Watch List,Platoon Edge,2.3,38.0,66.1,86.4,78.0,23.4,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.78,27.08,84.18,95.5565,0.3423,0.0758,0.2865,64.04,0.3,32.18,19.9,6.7,0.1134,6.84,43.36,90.17,0.3952,0.1444,20.84,Out To LF,77,Comerica Park,
131,694384,Nolan Schanuel,LAA,TEX,2026-07-10T00:05:00Z,Pre-Game,3,Nathan Eovaldi,543135,R,40.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",11.9,39.3,41.1,92.1,80.0,9.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","platoon edge; pitcher baseline 7.9% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.89,31.24,87.29,96.9427,0.3726,0.105,0.3193,67.85,6.45,40.31,20.45,7.8,0.1201,7.89,38.99,88.6,0.3958,0.1586,25.18,None,72,Globe Life Field,
132,677649,Ezequiel Duran,TEX,LAA,2026-07-10T00:05:00Z,Pre-Game,6,Reid Detmers,672282,L,40.0,Longshot,Watch List,Platoon Edge,18.3,33.3,41.1,76.2,78.0,43.2,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.7,35.38,87.68,98.9341,0.3482,0.1027,0.2862,72.41,25.18,34.33,19.55,4.9,0.1194,7.29,38.74,89.68,0.3469,0.1271,27.29,None,72,Globe Life Field,
133,823550,Sung-Mun Song,SD,AZ,2026-07-10T01:40:00Z,Scheduled,9,Merrill Kelly,518876,R,39.9,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable, Platoon Edge",14.0,71.9,22.6,40.2,80.0,36.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,1,"Last 7 games: 5/21, 1 HR","platoon edge; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.3,22.2,86.0,96.4487,0.305,0.103,0.278,71.9,14.0,39.7,27.0,1.0,0.078,12.94,43.78,90.13,0.5451,0.2517,27.13,,,Petco Park,
134,681351,Logan O'Hoppe,LAA,TEX,2026-07-10T00:05:00Z,Pre-Game,8,Nathan Eovaldi,543135,R,39.7,Longshot,Watch List,"Projected Lineup, Strong Barrel",38.9,39.3,41.1,47.9,50.0,1.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.9,40.95,88.24,100.1322,0.3753,0.1613,0.2849,72.14,23.69,44.45,29.77,8.5,0.1167,7.89,38.99,88.6,0.3958,0.1586,25.18,None,72,Globe Life Field,
135,671976,Tristan Peters,CWS,BOS,2026-07-09T18:10:00Z,In Progress,7,Patrick Sandoval,663776,L,39.6,Longshot,Watch List,No major boost,10.4,41.2,66.6,64.3,50.0,55.6,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,19,1,Contact streak: 7/19 over last 7 games,"same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.22,32.93,86.8,97.7312,0.3166,0.0917,0.2579,69.28,4.9,41.56,16.87,3.5,0.112,,,,,,,Out To LF,80,Rate Field,
136,691026,Masyn Winn,STL,MIL,2026-07-09T23:45:00Z,Pre-Game,6,Logan Henderson,701656,R,39.4,Longshot,Watch List,No major boost,14.3,32.1,65.6,76.2,50.0,39.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,1,"Last 7 games: 6/23, 1 HR","same-side matchup; pitcher baseline 9.1% barrel, 2.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.75,34.32,87.88,98.5365,0.3372,0.0867,0.2965,70.96,14.15,33.02,19.99,5.5,0.0974,9.09,30.56,87.75,0.3562,0.1337,33.66,Out To RF,91,Busch Stadium,
137,701675,Nathan Church,STL,MIL,2026-07-09T23:45:00Z,Pre-Game,9,Logan Henderson,701656,R,38.9,Longshot,Watch List,Platoon Edge,19.9,32.1,65.6,44.8,80.0,26.4,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 2.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.6,35.27,86.83,98.0752,0.3455,0.1228,0.2743,69.77,8.62,34.99,19.99,5.9,0.1284,9.09,30.56,87.75,0.3562,0.1337,33.66,Out To RF,91,Busch Stadium,
138,650489,Willi Castro,COL,SF,2026-07-10T01:45:00Z,Scheduled,1,Carson Whisenhunt,687931,L,38.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",26.7,31.7,19.3,88.7,75.0,8.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","switch hitter; pitcher baseline 3.8% barrel, 1.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.29,39.54,87.68,99.8937,0.361,0.1267,0.3004,72.58,26.49,43.23,30.27,7.5,0.1197,3.75,40.34,89.74,0.4295,0.1486,34.1,,,Oracle Park,
139,668670,Jake Rogers,DET,ATH,2026-07-09T22:40:00Z,Pre-Game,8,José Suarez,660761,L,38.5,Longshot,Watch List,Platoon Edge,26.7,17.2,66.1,52.4,78.0,26.4,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 3.2% barrel, 2.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.94,36.7,88.31,98.0734,0.286,0.1207,0.2425,70.57,5.42,45.9,37.05,2.3,0.1306,3.24,37.23,88.42,0.345,0.0964,21.72,Out To LF,77,Comerica Park,
140,689414,Liam Hicks,MIA,SEA,2026-07-09T22:40:00Z,Pre-Game,1,Bryce Miller,682243,R,38.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",9.7,33.2,35.0,93.2,80.0,35.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,31,0,Contact streak: 11/31 over last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.74,29.45,85.16,96.6434,0.3535,0.1039,0.3122,68.1,3.72,41.89,23.94,10.9,0.1501,7.51,33.83,87.92,0.3643,0.1519,32.21,None,72,loanDepot park,
141,669364,Xavier Edwards,MIA,SEA,2026-07-09T22:40:00Z,Pre-Game,3,Bryce Miller,682243,R,38.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",11.8,32.1,35.0,96.6,75.0,24.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","switch hitter; pitcher baseline 7.5% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.53,29.19,87.01,96.6139,0.3719,0.1047,0.3195,68.02,2.4,30.41,22.19,5.1,0.1099,7.51,33.83,87.92,0.3643,0.1519,32.21,None,72,loanDepot park,
142,675961,Alika Williams,ATH,DET,2026-07-09T22:40:00Z,Pre-Game,9,Framber Valdez,664285,L,37.6,Longshot,Watch List,Platoon Edge,10.3,38.0,66.1,44.8,78.0,37.8,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,36.5,86.5,97.6376,0.275,0.06,0.23,69.1,3.7,35.8,22.6,2.0,0.169,6.84,43.36,90.17,0.3952,0.1444,20.84,Out To LF,77,Comerica Park,
