rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
87,593428,Xander Bogaerts,SD,AZ,2026-07-10T01:40:00Z,Scheduled,3,Merrill Kelly,518876,R,47.0,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable, Premium Lineup Spot",26.1,71.9,22.6,92.1,50.0,7.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","same-side matchup; pitcher baseline 12.9% barrel, 20.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.13,38.78,88.44,99.7527,0.3808,0.1299,0.3179,72.27,26.63,46.67,22.08,8.9,0.1105,12.94,43.78,90.13,0.5451,0.2517,27.13,,,Petco Park,
88,621020,Dansby Swanson,CHC,BAL,2026-07-09T17:35:00Z,Game Over,9,Trevor Rogers,669432,L,46.7,Longshot,Watch List,"Platoon Edge, Hot Hitter/Streak",41.3,37.2,44.6,44.8,78.0,83.2,Yes,Yes,8,Yes,Yes,MLB Stats API; RotoWire,order MLB 9 vs RotoWire 8,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.18,44.02,90.15,100.1402,0.4147,0.1848,0.3163,71.32,8.57,46.43,31.29,18.4,0.1975,7.11,41.82,89.28,0.3949,0.1517,25.16,In From CF,83,Oriole Park at Camden Yards,
89,624585,Jorge Soler,LAA,TEX,2026-07-10T00:05:00Z,Pre-Game,4,Nathan Eovaldi,543135,R,46.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",40.9,39.3,41.1,90.4,50.0,6.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.75,41.37,88.72,101.476,0.3828,0.1711,0.3017,74.63,48.34,51.47,25.45,11.3,0.1776,7.89,38.99,88.6,0.3958,0.1586,25.18,None,72,Globe Life Field,
90,678011,Anthony Seigler,BOS,CWS,2026-07-09T18:10:00Z,In Progress,1,Anthony Kay,641743,L,46.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",21.1,39.1,66.6,93.2,75.0,7.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","switch hitter; pitcher baseline 8.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.64,40.16,89.16,97.8097,0.3852,0.123,0.3296,67.18,0.7,29.8,24.51,0.7,0.1133,8.8,39.1,88.8,0.42,0.152,21.4,Out To LF,80,Rate Field,
91,680776,Jarren Duran,BOS,CWS,2026-07-09T18:10:00Z,In Progress,8,Anthony Kay,641743,L,46.4,Longshot,Watch List,Strong Barrel,40.2,40.3,66.6,52.4,50.0,31.9,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","same-side matchup; pitcher baseline 8.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.82,41.06,90.26,101.9689,0.3918,0.1578,0.305,75.08,49.81,39.81,22.3,13.9,0.1692,8.8,39.1,88.8,0.42,0.152,21.4,Out To LF,80,Rate Field,
92,661388,William Contreras,MIL,STL,2026-07-09T23:45:00Z,Pre-Game,4,Andre Pallante,669467,R,46.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",37.2,28.5,65.6,90.4,50.0,6.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,31,0,"Last 7 games: 5/31, 0 HR","same-side matchup; pitcher baseline 6.3% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.03,44.58,90.54,101.5187,0.4301,0.1625,0.3364,73.27,35.42,37.44,23.73,11.4,0.1236,6.32,36.19,87.87,0.3824,0.1384,18.73,Out To RF,91,Busch Stadium,
93,642086,Dominic Smith,ATL,PIT,2026-07-09T16:35:00Z,Game Over,6,Mitch Keller,656605,R,46.1,Longshot,Watch List,Platoon Edge,23.6,43.5,63.3,76.2,80.0,10.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 14.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.67,35.15,87.63,98.233,0.4036,0.1443,0.3116,68.4,4.87,35.67,28.47,5.7,0.1302,7.45,42.54,89.47,0.4461,0.164,24.26,Out To LF,82,PNC Park,
94,703607,Henry Bolte,ATH,DET,2026-07-09T22:40:00Z,Pre-Game,8,Framber Valdez,664285,L,46.1,Longshot,Watch List,Platoon Edge,34.1,38.0,66.1,52.4,78.0,29.2,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.0,47.4,89.9,104.0186,0.36,0.125,0.309,76.8,72.6,32.2,19.1,3.0,0.091,6.84,43.36,90.17,0.3952,0.1444,20.84,Out To LF,77,Comerica Park,
95,664023,Ian Happ,CHC,BAL,2026-07-09T17:35:00Z,Game Over,8,Trevor Rogers,669432,L,46.0,Longshot,Watch List,"Strong Barrel, Platoon Edge",48.1,36.4,44.6,52.4,75.0,12.0,Yes,Yes,7,Yes,Yes,MLB Stats API; RotoWire,order MLB 8 vs RotoWire 7,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","switch hitter; pitcher baseline 7.1% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.15,43.63,89.72,101.2019,0.429,0.2098,0.3288,71.98,19.3,43.07,34.21,18.8,0.205,7.11,41.82,89.28,0.3949,0.1517,25.16,In From CF,83,Oriole Park at Camden Yards,
96,683002,Gunnar Henderson,BAL,CHC,2026-07-09T17:35:00Z,Game Over,3,David Peterson,656849,L,46.0,Longshot,Watch List,Premium Lineup Spot,37.3,37.5,44.6,96.6,50.0,0.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,0,"Last 7 games: 3/27, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.69,45.63,90.28,101.2354,0.3991,0.1504,0.3165,74.67,46.96,41.36,23.66,16.3,0.1745,6.61,43.34,90.25,0.4196,0.1426,18.94,In From CF,83,Oriole Park at Camden Yards,
