rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
27,813841,Jonah Cox,SF,MIN,2026-09-22T01:45:00Z,Scheduled,1,Zebby Matthews,805673,R,41.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",22.9,54.7,19.3,88.7,50.0,22.4,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,0,"Last 7 games: 7/26, 0 HR","same-side matchup; pitcher baseline 10.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.3,38.0,88.5,99.3569,0.344,0.127,0.265,68.8,5.9,20.3,22.8,4.0,0.144,10.53,41.18,90.25,0.4344,0.1802,28.36,,,Oracle Park,
28,650402,Gleyber Torres,DET,WSH,2026-09-21T22:40:00Z,Scheduled,2,,,,41.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",24.4,41.2,27.6,95.5,60.0,12.0,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.87,34.87,87.48,97.808,0.3983,0.1405,0.3371,68.77,6.03,28.37,26.4,10.4,0.1142,,,,,,,,,Comerica Park,
29,814430,Brett Callahan,DET,WSH,2026-09-21T22:40:00Z,Scheduled,8,,,,41.4,Longshot,Watch List,"Projected Lineup, Strong Barrel",44.0,41.2,27.6,47.9,60.0,14.1,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,0,"Last 7 games: 3/14, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,10.8,45.9,89.7,100.8696,0.387,0.161,0.303,74.7,48.0,35.1,35.1,1.0,0.136,,,,,,,,,Comerica Park,
30,686797,Brooks Lee,MIN,SF,2026-09-22T01:45:00Z,Scheduled,2,Blade Tidwell,694918,R,41.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",21.3,38.3,19.3,95.5,75.0,39.7,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,0,Contact streak: 10/26 over last 7 games,"switch hitter; pitcher baseline 9.4% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.61,35.28,88.25,97.71,0.3558,0.1267,0.2792,69.92,8.42,41.71,29.7,20.9,0.1641,9.45,34.4,87.99,0.4129,0.1614,26.7,,,Oracle Park,
31,669236,Jeremiah Jackson,BAL,TOR,2026-09-21T22:35:00Z,Scheduled,6,Trey Yesavage,702056,R,40.9,Longshot,Watch List,Projected Lineup,34.5,32.6,32.1,71.7,50.0,47.2,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.6% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.85,41.31,89.76,100.5979,0.3937,0.158,0.2882,72.67,26.96,39.44,24.35,7.8,0.1542,6.58,42.25,90.01,0.3414,0.1261,25.46,,,Oriole Park at Camden Yards,
32,695670,Harry Ford,WSH,DET,2026-09-21T22:40:00Z,Scheduled,7,River Ryan,689981,R,40.8,Longshot,Watch List,"Projected Lineup, Strong Barrel",41.1,41.2,27.6,59.8,50.0,7.0,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,12,0,"Last 7 games: 2/12, 0 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,14.92,38.31,87.11,98.9814,0.3553,0.1731,0.2849,69.62,5.63,34.03,37.26,2.1,0.1141,,,,,,,,,Comerica Park,
33,687529,Grant McCray,SF,MIN,2026-09-22T01:45:00Z,Scheduled,8,Zebby Matthews,805673,R,40.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",31.8,54.7,19.3,47.9,80.0,3.4,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,0,"Last 7 games: 2/14, 0 HR","platoon edge; pitcher baseline 10.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.16,29.82,86.82,99.2429,0.3537,0.1557,0.2818,72.01,22.75,41.83,23.52,1.4,0.1246,10.53,41.18,90.25,0.4344,0.1802,28.36,,,Oracle Park,
34,668904,Royce Lewis,MIN,SF,2026-09-22T01:45:00Z,Scheduled,6,Blade Tidwell,694918,R,40.5,Longshot,Watch List,"Projected Lineup, Strong Barrel",40.3,38.9,19.3,71.7,50.0,7.9,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,0,"Last 7 games: 5/29, 0 HR","same-side matchup; pitcher baseline 9.4% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.17,40.37,89.87,100.6034,0.3972,0.16,0.304,74.65,49.96,46.51,30.92,13.7,0.1538,9.45,34.4,87.99,0.4129,0.1614,26.7,,,Oracle Park,
35,668800,Andrew Knizner,SF,MIN,2026-09-22T01:45:00Z,Scheduled,4,Zebby Matthews,805673,R,40.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",13.4,54.7,19.3,90.4,50.0,50.3,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,1,Contact streak: 7/21 over last 7 games,"same-side matchup; pitcher baseline 10.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,29.29,85.53,97.1405,0.3454,0.1176,0.2899,69.69,6.42,31.03,23.34,1.7,0.1319,10.53,41.18,90.25,0.4344,0.1802,28.36,,,Oracle Park,
36,664770,Nathan Lukes,TOR,BAL,2026-09-21T22:35:00Z,Scheduled,3,Shane Baz,669358,R,39.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",11.0,41.8,32.1,92.1,80.0,26.1,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,0,"Last 7 games: 5/17, 0 HR","platoon edge; pitcher baseline 7.7% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.33,30.84,86.99,96.8544,0.357,0.1029,0.2947,67.3,3.62,31.56,21.09,10.6,0.1254,7.68,41.22,89.91,0.3937,0.149,25.92,,,Oriole Park at Camden Yards,
