rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,624413,Pete Alonso,BAL,LAA,2026-08-04T22:35:00Z,Scheduled,2,Grayson Rodriguez,680570,R,66.5,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",68.8,74.6,32.1,95.5,50.0,64.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 11.6% barrel, 9.0 HR allowed",EV profile; pitcher allows elevated contact,14.42,54.89,93.85,104.1141,0.53,0.2577,0.3797,74.78,49.0,36.5,30.46,27.5,0.2254,11.6,52.4,91.5,0.572,0.253,30.6,,,Oriole Park at Camden Yards,
2,660271,Shohei Ohtani,LAD,CHC,2026-08-05T00:05:00Z,Scheduled,1,Javier Assad,665871,R,64.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",81.3,39.2,29.8,88.7,80.0,81.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 9.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.6,54.99,93.92,104.5101,0.5993,0.3078,0.4159,74.96,52.52,47.26,32.76,33.3,0.2756,6.3,44.18,89.55,0.4274,0.1558,26.01,,,Wrigley Field,
3,670541,Yordan Alvarez,HOU,TOR,2026-08-05T00:10:00Z,Scheduled,2,Trey Yesavage,702056,R,63.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",84.3,32.4,27.6,95.5,80.0,63.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,1,Contact streak: 11/25 over last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 7.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.95,53.53,94.56,105.0889,0.661,0.3392,0.4497,76.1,61.66,41.51,36.73,26.3,0.2697,6.65,42.25,90.01,0.3403,0.124,24.83,,,Daikin Park,
4,701762,Nick Kurtz,ATH,CIN,2026-08-04T22:40:00Z,Scheduled,1,Brady Singer,663903,R,63.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",74.4,51.5,39.3,88.7,80.0,18.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,18,1,"Last 7 games: 1/18, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 20.4 HR allowed",EV profile; pitcher fly-ball pressure modest,18.15,55.44,93.19,105.5436,0.4985,0.2549,0.3727,77.9,78.0,34.81,30.7,25.5,0.2576,9.33,40.28,90.51,0.4363,0.1779,28.05,,,Great American Ball Park,
5,665052,Griffin Conine,MIA,ATL,2026-08-04T23:15:00Z,Scheduled,3,Grant Holmes,656550,R,62.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.0,53.2,30.9,92.1,80.0,84.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.27,53.21,91.32,103.5746,0.4852,0.2236,0.3566,74.19,44.11,44.84,22.99,7.6,0.2441,9.89,42.6,90.52,0.4287,0.1803,27.81,,,Truist Park,
6,669065,Kyle Stowers,MIA,ATL,2026-08-04T23:15:00Z,Scheduled,2,Grant Holmes,656550,R,61.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.6,53.2,30.9,95.5,80.0,73.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.27,53.75,91.73,103.2963,0.4663,0.2258,0.3428,75.21,54.11,46.41,31.08,18.7,0.2343,9.89,42.6,90.52,0.4287,0.1803,27.81,,,Truist Park,
7,621566,Matt Olson,ATL,MIA,2026-08-04T23:15:00Z,Scheduled,3,Ryan Gusto,687473,R,61.5,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",66.0,46.1,30.9,92.1,80.0,77.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 7.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.68,50.99,92.81,103.8256,0.5081,0.2601,0.36,74.53,47.47,38.07,32.71,30.4,0.2561,8.38,45.35,90.11,0.4292,0.1634,25.98,,,Truist Park,
8,687952,Christian Encarnacion-Strand,BAL,LAA,2026-08-04T22:35:00Z,Scheduled,5,Grayson Rodriguez,680570,R,59.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable",57.3,74.6,32.1,81.9,50.0,34.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,1,"Last 7 games: 5/22, 1 HR","same-side matchup; pitcher baseline 11.6% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.97,40.29,90.98,101.3075,0.5102,0.2647,0.3408,73.6,33.82,36.71,29.3,3.9,0.2537,11.6,52.4,91.5,0.572,0.253,30.6,,,Oriole Park at Camden Yards,
9,678545,Osleivis Basabe,SF,TEX,2026-08-05T00:05:00Z,Scheduled,8,MacKenzie Gore,669022,L,59.2,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",80.1,47.8,27.6,47.9,78.0,68.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,4,12,2,Hot streak: 2 HR in last 5 games,"platoon edge; pitcher baseline 9.6% barrel, 17.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,27.3,45.5,89.3,102.7744,0.731,0.397,0.437,74.0,32.0,36.4,45.5,2.0,0.584,9.62,42.91,89.7,0.3912,0.1558,27.93,,,Globe Life Field,
10,695506,Jac Caglianone,KC,MIN,2026-08-04T23:40:00Z,Scheduled,3,Joe Ryan,657746,R,58.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.0,55.1,23.2,92.1,80.0,49.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.2% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.82,51.36,91.85,104.8218,0.4723,0.2143,0.3413,77.4,75.53,43.23,22.75,14.7,0.1849,11.22,42.39,89.99,0.3942,0.1761,31.08,,,Kauffman Stadium,
