rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
231,669364,Xavier Edwards,MIA,ATH,2026-07-05T20:30:00Z,Scheduled,2,Gage Jump,695611,L,35.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",11.2,21.5,30.9,95.5,75.0,29.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,0,"Last 7 games: 7/22, 0 HR","switch hitter; pitcher baseline 3.7% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.39,28.91,86.87,96.5787,0.3726,0.1047,0.3195,67.95,2.33,30.2,21.77,5.1,0.1099,3.7,36.1,89.4,0.365,0.119,25.9,,,Sutter Health Park,
232,670224,Kameron Misner,KC,PHI,2026-07-05T19:00:00Z,Pre-Game,8,Aaron Nola,605400,R,34.7,Longshot,Watch List,Platoon Edge,7.6,49.7,38.2,52.4,80.0,0.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,13,0,"Last 7 games: 1/13, 0 HR","platoon edge; pitcher baseline 9.7% barrel, 18.7 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,1.59,21.12,82.7,94.9056,0.2764,0.0754,0.2269,73.97,39.47,39.04,35.38,1.5,0.0585,9.73,40.99,88.77,0.4324,0.1808,27.25,In From LF,84,Kauffman Stadium,
233,687282,Gabriel Rincones,PHI,KC,2026-07-05T19:00:00Z,Pre-Game,8,Luinder Avila,679883,R,34.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.9,19.3,38.2,47.9,80.0,37.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","platoon edge; pitcher baseline 5.7% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.1,36.4,88.7,100.005,0.251,0.104,0.191,76.1,61.9,27.3,30.3,2.0,0.145,5.7,32.13,87.32,0.3326,0.1193,24.57,In From LF,84,Kauffman Stadium,
234,675961,Alika Williams,ATH,MIA,2026-07-05T20:30:00Z,Scheduled,9,Eury Pérez,691587,R,34.4,Longshot,Watch List,Projected Lineup,10.3,59.6,30.9,40.2,50.0,37.8,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","same-side matchup; pitcher baseline 13.1% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,36.5,86.5,97.6376,0.275,0.06,0.23,69.1,3.7,35.8,22.6,2.0,0.169,13.06,41.88,89.1,0.4185,0.2043,31.43,,,Sutter Health Park,
235,691907,Tsung-Che Cheng,BOS,LAA,2026-07-06T01:30:00Z,Scheduled,9,Ryan Johnson,696270,R,34.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.1,37.9,28.2,40.2,80.0,2.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,2,15,0,"Last 5 games: 2/15, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.39,31.17,87.95,95.8177,0.3925,0.1806,0.2631,65.33,0.0,37.66,34.45,0.0,0.0469,7.38,38.45,88.45,0.4094,0.1595,33.25,,,Angel Stadium,
236,681351,Logan O'Hoppe,LAA,BOS,2026-07-06T01:30:00Z,Scheduled,8,Ranger Suarez,624133,L,34.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",35.7,17.4,28.2,47.9,78.0,5.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","platoon edge; pitcher baseline 5.4% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.06,39.76,87.68,99.6101,0.3613,0.1557,0.2779,72.14,23.9,44.59,30.05,8.5,0.1209,5.43,31.38,86.43,0.3419,0.1096,23.4,,,Angel Stadium,
237,666139,Josh Lowe,LAA,BOS,2026-07-06T01:30:00Z,Scheduled,9,Ranger Suarez,624133,L,34.1,Longshot,Watch List,"Projected Lineup, Hot Hitter/Streak",36.2,17.4,28.2,40.2,50.0,71.2,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,20,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 5.4% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.21,38.2,89.44,99.5227,0.3973,0.1702,0.2917,73.52,36.11,36.76,31.78,8.2,0.1593,5.43,31.38,86.43,0.3419,0.1096,23.4,,,Angel Stadium,
238,676609,José Caballero,NYY,MIN,2026-07-05T17:35:00Z,Pre-Game,9,Joe Ryan,657746,R,33.6,Longshot,Watch List,No major boost,7.2,51.2,53.7,44.8,50.0,1.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","same-side matchup; pitcher baseline 11.0% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.01,26.89,84.53,96.4677,0.3292,0.1038,0.2829,68.96,8.08,40.9,19.98,7.1,0.1299,11.01,42.74,89.92,0.376,0.1635,29.61,In From RF,85,Yankee Stadium,
239,802415,Chandler Simpson,TB,HOU,2026-07-05T19:30:00Z,Scheduled,5,Peter Lambert,663567,R,33.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",0.2,36.4,27.6,81.9,80.0,39.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,0,Contact streak: 10/26 over last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,14.99,84.16,93.1241,0.301,0.0375,0.2711,64.83,0.44,27.78,12.37,0.0,0.0521,6.8,39.3,89.0,0.363,0.153,34.5,,,Daikin Park,
240,663968,Jake Mangum,PIT,WSH,2026-07-05T17:00:00Z,Pre-Game,9,Cade Cavalli,676917,R,33.4,Longshot,Watch List,Platoon Edge,4.0,29.3,68.7,44.8,75.0,33.7,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,0,Contact streak: 10/29 over last 7 games,"switch hitter; pitcher baseline 6.3% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.65,28.57,84.92,96.1618,0.3269,0.0703,0.2816,66.95,3.27,28.35,12.97,1.6,0.0629,6.32,40.12,88.68,0.3832,0.1326,20.7,Out To CF,93,Nationals Park,
