rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
251,689414,Liam Hicks,MIA,ATH,2026-07-05T20:30:00Z,Scheduled,5,Gage Jump,695611,L,30.9,Longshot,Watch List,Projected Lineup,10.2,21.7,30.9,81.9,50.0,33.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,32,0,Contact streak: 11/32 over last 7 games,"same-side matchup; pitcher baseline 3.7% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.88,29.45,85.37,96.6777,0.3535,0.106,0.3136,67.96,3.02,41.61,23.8,10.9,0.1536,3.7,36.1,89.4,0.365,0.119,25.9,,,Sutter Health Park,
252,670032,Nicky Lopez,TEX,DET,2026-07-05T19:30:00Z,Pre-Game,9,Casey Mize,663554,R,30.4,Longshot,Watch List,Platoon Edge,2.8,34.1,41.1,44.8,80.0,34.2,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,0,Contact streak: 8/23 over last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 9.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,28.1,84.73,95.4695,0.2718,0.0412,0.2575,66.93,0.75,34.43,11.16,0.7,0.0343,7.73,37.04,88.46,0.3581,0.1378,30.18,None,72,Globe Life Field,
253,806068,Colt Emerson,SEA,TOR,2026-07-05T21:00:00Z,Scheduled,9,Trey Yesavage,702056,R,30.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.0,32.1,25.4,40.2,80.0,18.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 4.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.1,28.0,86.3,96.8845,0.285,0.109,0.243,72.6,25.8,40.2,22.0,7.0,0.217,6.16,44.35,90.36,0.3382,0.1247,25.11,,,T-Mobile Park,
254,691594,Javier Sanoja,MIA,ATH,2026-07-05T20:30:00Z,Scheduled,9,Gage Jump,695611,L,29.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.3,21.7,30.9,40.2,78.0,63.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,22,1,Contact streak: 10/22 over last 7 games,"platoon edge; pitcher baseline 3.7% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.66,33.74,87.87,97.8338,0.3322,0.0746,0.282,69.14,7.09,41.3,16.73,3.9,0.1425,3.7,36.1,89.4,0.365,0.119,25.9,,,Sutter Health Park,
255,805300,Jakob Marsee,MIA,ATH,2026-07-05T20:30:00Z,Scheduled,8,Gage Jump,695611,L,28.3,Longshot,Watch List,Projected Lineup,19.2,21.7,30.9,47.9,50.0,18.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,1,"Last 7 games: 3/28, 1 HR","same-side matchup; pitcher baseline 3.7% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.95,36.29,87.29,98.5412,0.3489,0.1155,0.3134,70.5,6.35,40.81,23.68,5.0,0.1286,3.7,36.1,89.4,0.365,0.119,25.9,,,Sutter Health Park,
256,702222,Justin Crawford,PHI,KC,2026-07-05T19:00:00Z,Pre-Game,9,Luinder Avila,679883,R,27.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",8.9,19.3,38.2,40.2,80.0,36.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,0,Contact streak: 9/25 over last 7 games,"platoon edge; pitcher baseline 5.7% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.0,33.8,86.6,97.6291,0.311,0.063,0.274,68.8,4.3,26.8,16.2,2.0,0.087,5.7,32.13,87.32,0.3326,0.1193,24.57,In From LF,84,Kauffman Stadium,
257,695508,Cam Cauley,TEX,DET,2026-07-05T19:30:00Z,Pre-Game,8,Casey Mize,663554,R,27.0,Longshot,Watch List,No major boost,1.5,34.1,41.1,52.4,50.0,7.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,2,12,0,"Last 4 games: 2/12, 0 HR","same-side matchup; pitcher baseline 7.7% barrel, 9.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,10.0,80.1,89.3968,0.26,0.061,0.238,68.7,12.5,30.0,0.0,0.0,0.166,7.73,37.04,88.46,0.3581,0.1378,30.18,None,72,Globe Life Field,
258,669392,Samad Taylor,SD,LAD,2026-07-05T23:20:00Z,Scheduled,9,Emmet Sheehan,686218,R,27.0,Longshot,Watch List,Projected Lineup,1.7,47.1,27.6,40.2,50.0,17.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","same-side matchup; pitcher baseline 10.3% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.45,19.71,82.07,93.4047,0.3154,0.0619,0.2848,68.25,2.38,32.07,12.36,0.7,0.0511,10.31,39.85,89.23,0.3929,0.1668,28.33,,,UNIQLO Field at Dodger Stadium,
259,669397,Nick Allen,HOU,TB,2026-07-05T19:30:00Z,Scheduled,9,,,,26.8,Longshot,Watch List,Projected Lineup,2.6,41.2,27.6,40.2,60.0,17.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.12,26.01,84.45,95.6098,0.2614,0.0509,0.2415,67.44,1.25,31.75,24.07,0.7,0.0629,,,,,,,,,Daikin Park,
260,645302,Victor Robles,SEA,TOR,2026-07-05T21:00:00Z,Scheduled,8,Trey Yesavage,702056,R,26.2,Longshot,Watch List,Projected Lineup,7.1,32.1,25.4,47.9,50.0,23.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,18,0,"Last 7 games: 5/18, 0 HR","same-side matchup; pitcher baseline 6.2% barrel, 4.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.64,20.12,85.12,95.0497,0.3158,0.0974,0.2566,68.12,1.46,50.74,28.83,0.3,0.043,6.16,44.35,90.36,0.3382,0.1247,25.11,,,T-Mobile Park,
261,680757,Steven Kwan,CLE,CWS,2026-07-05T18:00:00Z,Pre-Game,9,Chris Murphy,669684,L,25.6,Longshot,Watch List,No major boost,1.8,26.8,41.6,44.8,50.0,32.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,0,Contact streak: 7/21 over last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 1.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.85,12.51,84.03,92.3874,0.3268,0.0692,0.3065,63.07,0.45,29.0,24.84,4.0,0.0705,7.5,40.25,87.56,0.3144,0.1066,27.26,In From RF,82,Progressive Field,
