rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
74,664023,Ian Happ,CHC,MIA,2026-09-05T20:10:00Z,Pre-Game,5,Ryan Gusto,687473,R,49.5,Longshot,Watch List,"Strong Barrel, Platoon Edge",43.1,43.9,35.0,86.4,75.0,13.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","switch hitter; pitcher baseline 8.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.03,42.09,89.37,100.637,0.4136,0.193,0.3246,71.81,18.29,44.68,31.69,23.0,0.191,8.31,44.02,89.83,0.4246,0.162,25.21,None,72,loanDepot park,
75,545361,Mike Trout,LAA,PIT,2026-09-05T22:40:00Z,Scheduled,2,Braxton Ashcraft,677952,R,49.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",59.9,31.7,24.3,95.5,50.0,13.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","same-side matchup; pitcher baseline 5.8% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.73,46.57,90.2,102.8813,0.4838,0.2369,0.3706,74.56,47.63,36.23,32.19,21.8,0.1895,5.75,40.74,89.19,0.3629,0.1297,24.34,,,PNC Park,
76,665489,Vladimir Guerrero,TOR,KC,2026-09-05T23:10:00Z,Scheduled,2,Seth Lugo,607625,R,49.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",39.8,53.4,23.2,95.5,50.0,44.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 20.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.35,45.66,90.81,103.1799,0.4332,0.1451,0.3483,76.42,63.54,35.18,19.38,12.5,0.1197,8.65,43.66,90.14,0.4632,0.1904,28.9,,,Kauffman Stadium,
77,521692,Salvador Perez,KC,TOR,2026-09-05T23:10:00Z,Scheduled,4,Max Scherzer,453286,R,49.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",46.3,47.6,23.2,90.4,50.0,43.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","same-side matchup; pitcher baseline 10.1% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.44,43.83,89.23,100.7734,0.4542,0.2058,0.3206,71.99,21.93,41.56,30.85,21.6,0.1701,10.09,35.47,88.02,0.4249,0.189,33.53,,,Kauffman Stadium,
78,681393,Connor Norby,COL,STL,2026-09-06T00:10:00Z,Scheduled,2,Matthew Liberatore,669461,L,49.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",27.2,55.9,38.7,95.5,78.0,14.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 23.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.44,36.12,87.25,98.0335,0.3638,0.1445,0.2986,70.21,8.34,41.75,34.23,6.6,0.1303,9.9,42.22,90.39,0.4566,0.1899,29.29,,,Coors Field,
79,650490,Yandy Diaz,TB,TEX,2026-09-05T23:05:00Z,Scheduled,1,Jacob deGrom,594798,R,49.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",41.9,47.3,27.6,88.7,50.0,57.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,1,Contact streak: 11/29 over last 7 games,"same-side matchup; pitcher baseline 8.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.53,49.49,91.67,103.2759,0.4537,0.167,0.3547,73.57,37.65,23.39,19.3,22.2,0.1701,8.46,43.58,90.31,0.3875,0.1588,29.53,,,Globe Life Field,
80,643217,Andrew Benintendi,CWS,MIN,2026-09-05T23:10:00Z,Scheduled,4,Taj Bradley,671737,R,49.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",37.2,47.9,27.6,90.4,80.0,26.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.49,42.15,88.7,98.7825,0.4111,0.1711,0.313,69.61,4.57,49.61,31.99,15.8,0.1805,8.8,43.33,90.32,0.3864,0.1578,29.19,,,Rate Field,
81,518692,Freddie Freeman,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,2,Cade Cavalli,676917,R,49.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",41.1,33.5,27.6,95.5,80.0,54.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.93,42.97,90.06,100.2939,0.4789,0.1895,0.3675,70.08,8.19,35.98,27.7,18.4,0.1748,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
82,699302,Hector Rodriguez,CIN,MIL,2026-09-05T22:40:00Z,Scheduled,1,Dustin May,669160,R,48.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",31.6,42.5,39.3,88.7,80.0,56.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.1,34.5,88.6,99.795,0.34,0.146,0.272,74.6,50.3,41.8,29.1,5.0,0.231,7.73,44.43,90.04,0.3999,0.149,24.73,,,Great American Ball Park,
83,686469,Vinnie Pasquantino,KC,TOR,2026-09-05T23:10:00Z,Scheduled,5,Max Scherzer,453286,R,48.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",38.7,47.6,23.2,81.9,80.0,52.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.77,42.32,90.13,100.1786,0.4245,0.1735,0.327,71.03,14.89,44.12,29.0,16.6,0.162,10.09,35.47,88.02,0.4249,0.189,33.53,,,Kauffman Stadium,
