rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
94,683357,Owen Caissie,MIA,CHC,2026-09-05T20:10:00Z,Pre-Game,6,Javier Assad,665871,R,47.8,Longshot,Watch List,"Strong Barrel, Platoon Edge",44.4,39.2,35.0,76.2,80.0,12.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,15,0,"Last 7 games: 3/15, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 11.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.72,37.64,89.89,100.2532,0.374,0.1699,0.2796,74.88,54.3,31.18,29.92,9.4,0.1813,6.02,43.97,89.62,0.4253,0.1565,26.5,None,72,loanDepot park,
95,553993,Eugenio Suarez,CIN,MIL,2026-09-05T22:40:00Z,Scheduled,6,Dustin May,669160,R,47.8,Longshot,Watch List,"Projected Lineup, Strong Barrel",41.6,42.5,39.3,71.7,50.0,68.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.06,38.92,88.87,99.9921,0.3804,0.182,0.2962,72.02,22.02,48.03,34.46,29.4,0.2371,7.73,44.43,90.04,0.3999,0.149,24.73,,,Great American Ball Park,
96,694212,Samuel Basallo,BAL,BOS,2026-09-05T23:05:00Z,Scheduled,5,Sonny Gray,543243,R,47.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",46.5,37.2,32.1,81.9,80.0,0.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,0,"Last 7 games: 2/19, 0 HR","platoon edge; pitcher baseline 7.6% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.49,42.93,90.01,101.9599,0.4226,0.1945,0.3099,74.8,48.72,41.83,29.26,13.1,0.186,7.56,38.95,89.11,0.388,0.1383,22.78,,,Oriole Park at Camden Yards,
97,683748,Victor Mesa,TB,TEX,2026-09-05T23:05:00Z,Scheduled,6,Jacob deGrom,594798,R,47.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",41.6,47.3,27.6,71.7,80.0,23.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,18,0,"Last 7 games: 5/18, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.9,39.33,89.56,99.7334,0.4164,0.1851,0.3179,73.65,32.53,40.38,34.61,7.3,0.1966,8.46,43.58,90.31,0.3875,0.1588,29.53,,,Globe Life Field,
98,666160,Mickey Moniak,COL,STL,2026-09-06T00:10:00Z,Scheduled,7,Matthew Liberatore,669461,L,47.7,Longshot,Watch List,"Projected Lineup, Strong Barrel",45.7,55.9,38.7,59.8,50.0,9.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","same-side matchup; pitcher baseline 9.9% barrel, 23.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,10.79,42.08,89.49,100.1664,0.4228,0.1937,0.2978,74.19,43.25,46.45,37.33,21.9,0.2459,9.9,42.22,90.39,0.4566,0.1899,29.29,,,Coors Field,
99,694249,Cole Carrigg,COL,STL,2026-09-06T00:10:00Z,Scheduled,5,Matthew Liberatore,669461,L,47.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",25.1,54.2,38.7,81.9,75.0,40.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","switch hitter; pitcher baseline 9.9% barrel, 23.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.8,33.9,87.1,98.2417,0.398,0.142,0.323,73.4,36.1,46.4,28.6,7.0,0.193,9.9,42.22,90.39,0.4566,0.1899,29.29,,,Coors Field,
100,681508,Mickey Gasper,BOS,BAL,2026-09-05T23:05:00Z,Scheduled,2,Chris Bassitt,605135,R,46.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",32.4,29.0,32.1,95.5,75.0,87.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,3,Hot streak: 3 HR in last 7 games,"switch hitter; pitcher baseline 6.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.6,36.59,88.64,98.7358,0.4069,0.1657,0.3319,71.51,12.35,40.17,31.55,6.2,0.1832,6.19,36.25,87.7,0.414,0.1378,23.14,,,Oriole Park at Camden Yards,
101,668930,Brice Turang,MIL,CIN,2026-09-05T22:40:00Z,Scheduled,2,Andrew Abbott,671096,L,46.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",35.6,43.4,39.3,95.5,50.0,14.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 8.1% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.51,43.06,90.47,100.309,0.422,0.1677,0.3357,70.18,13.13,27.37,23.71,17.3,0.1624,8.14,36.99,89.13,0.4214,0.166,28.49,,,Great American Ball Park,
102,671732,Lawrence Butler,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,4,George Kirby,669923,R,46.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",35.7,40.7,25.4,90.4,80.0,28.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,0,"Last 7 games: 8/26, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.08,46.08,90.01,101.9848,0.3821,0.1437,0.3162,73.63,37.67,34.47,21.37,14.7,0.1469,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
103,691182,Adael Amador,COL,STL,2026-09-06T00:10:00Z,Scheduled,6,Matthew Liberatore,669461,L,46.5,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",21.2,54.2,38.7,71.7,75.0,78.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,20,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.9% barrel, 23.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,9.28,27.99,82.91,96.6255,0.3305,0.1391,0.2781,69.41,5.42,41.32,37.27,1.7,0.2931,9.9,42.22,90.39,0.4566,0.1899,29.29,,,Coors Field,
104,665862,Jazz Chisholm,NYY,SD,2026-09-05T23:15:00Z,Scheduled,6,Robbie Ray,592662,L,46.3,Longshot,Watch List,"Projected Lineup, Strong Barrel",43.1,49.7,22.6,71.7,50.0,45.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,1,"Last 7 games: 6/20, 1 HR","same-side matchup; pitcher baseline 9.0% barrel, 20.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.52,42.81,90.19,100.4282,0.4019,0.1812,0.3093,73.27,33.02,50.44,30.4,22.6,0.1935,9.04,39.8,89.74,0.4088,0.1758,34.29,,,Petco Park,
105,804606,Konnor Griffin,PIT,LAA,2026-09-05T22:40:00Z,Scheduled,5,Yusei Kikuchi,579328,L,46.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.1,54.4,24.3,81.9,78.0,22.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,0,"Last 7 games: 8/30, 0 HR","platoon edge; pitcher baseline 9.8% barrel, 12.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.0,36.6,87.6,100.3082,0.389,0.15,0.303,75.7,57.7,40.9,17.7,5.0,0.127,9.75,44.72,91.14,0.4532,0.1906,24.31,,,PNC Park,
106,701538,Jackson Merrill,SD,NYY,2026-09-05T23:15:00Z,Scheduled,5,Carlos Rodón,607074,L,46.2,Longshot,Watch List,"Projected Lineup, Strong Barrel",51.7,32.8,22.6,81.9,50.0,39.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","same-side matchup; pitcher baseline 7.0% barrel, 10.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.16,45.84,90.54,100.7952,0.4774,0.2165,0.3393,72.88,27.12,37.42,30.13,20.2,0.1811,6.97,37.64,89.44,0.3517,0.1317,27.74,,,Petco Park,
107,695734,Daylen Lile,WSH,LAD,2026-09-06T01:10:00Z,Scheduled,4,Tyler Glasnow,607192,R,46.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",35.0,31.0,27.6,90.4,80.0,63.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.79,38.84,88.76,99.048,0.4434,0.1705,0.3347,70.71,9.71,41.36,33.11,16.7,0.1878,7.86,37.75,89.39,0.3135,0.1245,25.42,,,UNIQLO Field at Dodger Stadium,
108,664761,Alec Bohm,PHI,ATL,2026-09-05T22:05:00Z,Scheduled,5,Martín Pérez,527048,L,46.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",32.8,38.5,34.3,81.9,78.0,46.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.2,43.88,90.59,100.3545,0.4123,0.1474,0.3233,71.21,14.63,28.7,22.79,13.8,0.1367,8.07,38.42,88.06,0.4227,0.1639,23.78,,,Citizens Bank Park,
109,673357,Luis Robert,BAL,BOS,2026-09-05T23:05:00Z,Scheduled,4,Sonny Gray,543243,R,46.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",42.7,37.2,32.1,90.4,50.0,19.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,1,"Last 7 games: 3/23, 1 HR","same-side matchup; pitcher baseline 7.6% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.02,40.76,89.68,101.7857,0.4204,0.1793,0.321,76.79,68.25,44.34,27.59,11.9,0.1725,7.56,38.95,89.11,0.388,0.1383,22.78,,,Oriole Park at Camden Yards,
110,694673,Abimelec Ortiz,WSH,LAD,2026-09-06T01:10:00Z,Scheduled,2,Tyler Glasnow,607192,R,45.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",39.5,31.0,27.6,95.5,80.0,13.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 7.9% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.3,37.5,89.5,99.7854,0.419,0.192,0.294,75.4,58.3,43.1,31.9,5.0,0.188,7.86,37.75,89.39,0.3135,0.1245,25.42,,,UNIQLO Field at Dodger Stadium,
111,703607,Henry Bolte,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,1,George Kirby,669923,R,45.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",35.9,40.7,25.4,88.7,50.0,68.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.2,47.9,91.0,104.2975,0.366,0.12,0.312,77.0,72.5,32.5,15.6,8.0,0.112,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
112,624641,Edmundo Sosa,PHI,ATL,2026-09-05T22:05:00Z,Scheduled,6,Martín Pérez,527048,L,45.7,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",30.7,38.5,34.3,71.7,78.0,81.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.07,39.47,87.77,100.0071,0.4358,0.1628,0.3236,72.37,26.31,40.82,20.87,8.2,0.1706,8.07,38.42,88.06,0.4227,0.1639,23.78,,,Citizens Bank Park,
113,680664,Eduardo Valencia,DET,CLE,2026-09-05T22:10:00Z,Scheduled,6,Parker Messick,800048,L,45.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",58.5,18.3,27.6,71.7,78.0,15.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","platoon edge; pitcher baseline 5.0% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,17.7,45.2,89.0,101.4692,0.486,0.243,0.318,73.1,29.0,40.3,22.6,6.0,0.295,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
114,596142,Gary Sanchez,MIL,CIN,2026-09-05T22:40:00Z,Scheduled,7,Andrew Abbott,671096,L,45.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",39.6,43.4,39.3,59.8,78.0,18.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,15,1,"Last 7 games: 1/15, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.36,42.54,89.59,100.9595,0.4126,0.1859,0.3332,71.71,24.7,46.47,26.95,9.2,0.2101,8.14,36.99,89.13,0.4214,0.166,28.49,,,Great American Ball Park,
115,687263,Zach Neto,LAA,PIT,2026-09-05T22:40:00Z,Scheduled,1,Braxton Ashcraft,677952,R,45.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",48.0,31.7,24.3,88.7,50.0,29.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","same-side matchup; pitcher baseline 5.8% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.32,42.68,90.02,100.3428,0.4292,0.2083,0.316,71.33,14.32,47.48,34.54,23.9,0.2009,5.75,40.74,89.19,0.3629,0.1297,24.34,,,PNC Park,
116,694376,Shay Whitcomb,SF,NYM,2026-09-05T20:10:00Z,Pre-Game,5,Zac Thornton,804267,L,45.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",27.1,42.0,52.3,81.9,78.0,0.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 8.2% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.8,28.14,85.48,96.7518,0.3293,0.1674,0.2232,71.52,16.17,41.25,30.03,2.4,0.1633,8.2,38.6,88.7,0.444,0.175,27.7,L To R,80,Citi Field,
117,805999,A.J. Ewing,NYM,SF,2026-09-05T20:10:00Z,Pre-Game,7,Anthony Molina,683627,R,45.2,Longshot,Watch List,Platoon Edge,29.0,47.0,52.3,64.3,80.0,5.1,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","platoon edge; pitcher baseline 8.0% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.9,41.2,89.1,99.9754,0.385,0.136,0.312,70.4,12.2,30.2,24.4,7.0,0.11,8.02,39.51,87.49,0.4975,0.2112,35.39,L To R,80,Citi Field,
118,672386,Alejandro Kirk,TOR,KC,2026-09-05T23:10:00Z,Scheduled,3,Seth Lugo,607625,R,45.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",29.5,53.4,23.2,92.1,50.0,35.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,1,"Last 7 games: 7/30, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 20.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.55,43.94,89.49,100.458,0.4037,0.1358,0.3219,71.94,20.14,25.65,21.62,10.1,0.139,8.65,43.66,90.14,0.4632,0.1904,28.9,,,Kauffman Stadium,
119,681198,TJ Rumfield,COL,STL,2026-09-06T00:10:00Z,Scheduled,4,Matthew Liberatore,669461,L,45.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",14.5,55.9,38.7,90.4,50.0,78.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 23.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.2,28.3,84.3,96.248,0.39,0.13,0.335,68.5,7.9,42.1,28.8,15.0,0.16,9.9,42.22,90.39,0.4566,0.1899,29.29,,,Coors Field,
120,669257,Will Smith,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,5,Cade Cavalli,676917,R,44.9,Longshot,Watch List,"Projected Lineup, Strong Barrel",50.2,33.5,27.6,81.9,50.0,2.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 14.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.27,41.85,90.18,100.2324,0.489,0.22,0.378,69.91,7.01,31.16,38.31,9.3,0.1506,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
121,607208,Trea Turner,PHI,ATL,2026-09-05T22:05:00Z,Scheduled,2,Martín Pérez,527048,L,44.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",27.3,38.5,34.3,95.5,78.0,18.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,0,"Last 7 games: 7/29, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.29,40.21,88.6,99.2698,0.3806,0.1295,0.3021,71.45,18.79,35.38,25.41,16.4,0.1425,8.07,38.42,88.06,0.4227,0.1639,23.78,,,Citizens Bank Park,
122,662139,Daulton Varsho,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,5,Brandon Pfaadt,694297,R,44.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.9,42.5,27.6,81.9,80.0,0.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.25,37.85,87.59,99.4465,0.396,0.1655,0.2997,73.71,36.11,41.15,31.34,13.0,0.1861,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
123,682928,CJ Abrams,WSH,LAD,2026-09-06T01:10:00Z,Scheduled,3,Tyler Glasnow,607192,R,44.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",38.2,31.0,27.6,92.1,80.0,0.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,0,"Last 7 games: 3/28, 0 HR","platoon edge; pitcher baseline 7.9% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.14,40.32,89.26,99.8145,0.4185,0.1742,0.3223,72.82,27.47,43.8,29.01,26.0,0.2159,7.86,37.75,89.39,0.3135,0.1245,25.42,,,UNIQLO Field at Dodger Stadium,
124,641355,Cody Bellinger,NYY,SD,2026-09-05T23:15:00Z,Scheduled,4,Robbie Ray,592662,L,44.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",28.9,49.7,22.6,90.4,50.0,44.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,29,0,Contact streak: 12/29 over last 7 games,"same-side matchup; pitcher baseline 9.0% barrel, 20.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.52,36.64,88.72,98.3885,0.4166,0.1491,0.3363,69.82,4.33,42.54,31.08,17.1,0.1681,9.04,39.8,89.74,0.4088,0.1758,34.29,,,Petco Park,
125,682985,Riley Greene,DET,CLE,2026-09-05T22:10:00Z,Scheduled,5,Parker Messick,800048,L,44.0,Longshot,Watch List,"Projected Lineup, Strong Barrel",59.2,18.3,27.6,81.9,50.0,0.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","same-side matchup; pitcher baseline 5.0% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.07,47.04,90.25,102.465,0.477,0.2284,0.3502,75.6,57.94,38.91,33.17,22.0,0.1923,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
126,701675,Nathan Church,STL,COL,2026-09-06T00:10:00Z,Scheduled,7,Mason Adams,690279,R,43.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.2,69.3,38.7,59.8,80.0,15.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","platoon edge; pitcher baseline 13.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.85,33.17,86.83,97.4974,0.3343,0.1074,0.2715,69.53,8.34,34.01,22.23,7.3,0.1067,13.0,47.8,91.3,0.462,0.232,39.1,,,Coors Field,
127,702616,Jackson Holliday,BAL,BOS,2026-09-05T23:05:00Z,Scheduled,1,Sonny Gray,543243,R,43.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",25.6,37.2,32.1,88.7,80.0,37.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.31,36.11,87.54,98.0524,0.3795,0.1371,0.3081,70.67,7.41,33.66,24.75,10.0,0.1246,7.56,38.95,89.11,0.388,0.1383,22.78,,,Oriole Park at Camden Yards,
