rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
208,808982,Jung Hoo Lee,SF,HOU,2026-08-12T19:45:00Z,Scheduled,1,,,,35.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",11.4,41.2,19.3,88.7,60.0,26.2,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,1,"Last 7 games: 5/29, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.0,30.04,86.96,96.6577,0.3843,0.0982,0.3168,68.3,3.26,38.46,22.1,8.7,0.1452,,,,,,,,,Oracle Park,
209,655316,Andruw Monasterio,BOS,TOR,2026-08-12T23:07:00Z,Scheduled,8,José Soriano,667755,R,35.3,Longshot,Watch List,Projected Lineup,28.5,36.4,30.4,47.9,50.0,27.7,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.61,36.15,88.33,98.0452,0.3882,0.1453,0.3045,69.17,3.01,42.37,31.97,5.4,0.1775,7.62,41.27,89.65,0.3782,0.1362,18.82,,,Rogers Centre,
210,683953,Travis Bazzana,CLE,DET,2026-08-12T22:40:00Z,Scheduled,6,Framber Valdez,664285,L,35.2,Longshot,Watch List,Projected Lineup,22.1,35.3,27.6,71.7,50.0,14.6,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","same-side matchup; pitcher baseline 6.3% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.6,37.6,88.4,98.6678,0.353,0.126,0.304,69.7,12.2,38.9,28.9,9.0,0.145,6.28,43.99,90.1,0.3833,0.1325,19.23,,,Comerica Park,
211,642215,Weston Wilson,SEA,NYY,2026-08-12T23:05:00Z,Scheduled,8,Will Warren,701542,R,35.2,Longshot,Watch List,Projected Lineup,20.4,47.2,38.2,47.9,50.0,3.4,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","same-side matchup; pitcher baseline 8.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.59,32.95,86.46,98.101,0.315,0.1186,0.2691,72.71,27.17,47.13,27.6,3.6,0.1409,8.45,43.27,90.72,0.4225,0.1603,23.47,,,Yankee Stadium,
212,691458,Blaze Jordan,STL,PHI,2026-08-12T18:15:00Z,Scheduled,7,Zack Wheeler,554430,R,35.1,Longshot,Watch List,Projected Lineup,35.4,23.9,22.1,59.8,50.0,29.4,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,0,"Last 7 games: 6/19, 0 HR","same-side matchup; pitcher baseline 6.4% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.3,46.3,89.6,100.3774,0.41,0.142,0.312,72.6,26.6,38.8,19.8,1.0,0.117,6.36,34.66,86.91,0.3151,0.1156,25.95,,,Busch Stadium,
213,685133,Wade Meckler,LAA,TEX,2026-08-13T02:10:00Z,Scheduled,8,Cal Quantrill,615698,R,35.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.3,48.5,28.2,47.9,80.0,30.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.8,30.1,85.9,96.1855,0.366,0.108,0.31,68.8,1.8,34.6,18.8,3.0,0.109,9.49,37.16,88.86,0.4547,0.1926,29.78,,,Angel Stadium,
214,687551,Drew Gilbert,SF,HOU,2026-08-12T19:45:00Z,Scheduled,6,,,,34.8,Longshot,Watch List,Projected Lineup,14.8,41.2,19.3,71.7,60.0,33.7,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.92,34.75,86.32,97.8349,0.3528,0.1097,0.2994,70.59,10.27,40.28,19.62,4.4,0.1362,,,,,,,,,Oracle Park,
215,682927,Ronny Simon,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,6,Janson Junk,676083,R,34.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",8.8,43.3,21.5,71.7,75.0,27.0,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,6,20,0,"Last 6 games: 6/20, 0 HR","switch hitter; pitcher baseline 7.9% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.86,26.61,85.04,96.9924,0.3829,0.096,0.3174,71.73,20.57,35.99,16.76,0.0,0.0502,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
216,593871,Jorge Polanco,NYM,ATL,2026-08-12T23:15:00Z,Scheduled,8,Tyler Mahle,641816,R,34.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.6,35.7,30.9,47.9,75.0,19.1,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,1,"Last 7 games: 3/24, 1 HR","switch hitter; pitcher baseline 7.3% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.17,34.74,87.16,98.1589,0.3352,0.1287,0.2653,69.94,6.7,45.6,24.92,9.2,0.1327,7.3,36.89,89.48,0.3948,0.1502,27.68,,,Truist Park,
217,681047,Christian Franklin,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,7,Zebby Matthews,805673,R,34.3,Longshot,Watch List,Projected Lineup,11.7,56.3,27.1,59.8,50.0,0.0,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,12,0,"Last 7 games: 1/12, 0 HR","same-side matchup; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,20.0,89.3,93.4042,0.161,0.033,0.242,74.8,66.7,0.0,20.0,0.0,0.125,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
218,593428,Xander Bogaerts,SD,MIL,2026-08-12T20:10:00Z,Scheduled,8,Dustin May,669160,R,34.2,Longshot,Watch List,Projected Lineup,26.6,42.2,22.6,47.9,50.0,14.6,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.92,39.83,88.58,99.855,0.3822,0.1292,0.3207,72.31,27.73,43.94,23.13,9.6,0.1063,7.52,45.34,90.25,0.3992,0.1476,24.52,,,Petco Park,
219,642851,Austin Wynns,TEX,LAA,2026-08-13T02:10:00Z,Scheduled,8,George Klassen,691946,R,33.9,Longshot,Watch List,Projected Lineup,19.0,45.7,28.2,47.9,50.0,24.9,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,14,0,"Last 7 games: 4/14, 0 HR","same-side matchup; pitcher baseline 13.8% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.54,33.79,86.22,98.0533,0.3367,0.1261,0.2565,70.76,14.94,36.94,27.93,2.5,0.1046,13.8,31.0,86.5,0.441,0.168,24.1,,,Angel Stadium,
220,702176,Alan Roden,MIN,BAL,2026-08-12T17:40:00Z,Scheduled,8,Shane Baz,669358,R,33.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.9,40.3,27.1,47.9,80.0,12.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,15,0,"Last 7 games: 3/15, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.96,39.15,87.38,98.6864,0.3337,0.094,0.3005,70.38,12.65,35.07,23.62,0.6,0.0456,7.47,41.36,89.98,0.3951,0.1483,24.94,,,Target Field,
221,669242,Tommy Edman,LAD,KC,2026-08-13T02:10:00Z,Scheduled,7,Daniel Lynch IV,663738,L,33.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.3,25.3,27.6,59.8,75.0,9.8,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","switch hitter; pitcher baseline 5.9% barrel, 3.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.69,38.01,88.51,99.6586,0.3949,0.1181,0.3252,70.52,12.04,43.72,25.31,6.0,0.1395,5.93,36.76,87.9,0.3685,0.1305,24.51,,,UNIQLO Field at Dodger Stadium,
222,802415,Chandler Simpson,TB,ATH,2026-08-12T19:05:00Z,Scheduled,5,,,,33.7,Longshot,Watch List,Projected Lineup,0.3,41.2,30.9,81.9,60.0,44.9,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,31,0,Contact streak: 13/31 over last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,14.85,84.02,92.9965,0.308,0.0389,0.2739,64.73,0.58,27.78,12.58,0.0,0.0556,,,,,,,,,Sutter Health Park,
223,702222,Justin Crawford,PHI,STL,2026-08-12T18:15:00Z,Scheduled,9,Kyle Leahy,681517,R,33.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",10.2,54.3,22.1,40.2,80.0,21.5,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.5,34.4,87.1,98.0375,0.319,0.062,0.282,69.0,5.3,27.1,17.2,2.0,0.09,10.43,47.18,90.78,0.4492,0.1754,21.84,,,Busch Stadium,
224,680700,Richie Palacios,TB,ATH,2026-08-12T19:05:00Z,Scheduled,8,,,,33.5,Longshot,Watch List,Projected Lineup,15.4,41.2,30.9,47.9,60.0,35.6,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,14,0,Contact streak: 5/14 over last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.78,32.62,87.31,96.8946,0.3667,0.1025,0.3243,68.77,3.17,34.99,20.98,3.8,0.1176,,,,,,,,,Sutter Health Park,
225,673237,Yainer Diaz,HOU,SF,2026-08-12T19:45:00Z,Scheduled,9,,,,33.5,Longshot,Watch List,Projected Lineup,28.4,41.2,19.3,40.2,60.0,7.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.59,36.88,88.29,99.4558,0.4216,0.1543,0.3106,72.41,21.39,36.35,19.31,11.6,0.1519,,,,,,,,,Oracle Park,
226,595879,Javier Baez,DET,CLE,2026-08-12T22:40:00Z,Scheduled,8,Foster Griffin,656492,L,33.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",12.0,42.9,27.6,47.9,78.0,23.4,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","platoon edge; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.19,32.06,85.96,97.0553,0.3373,0.0891,0.2717,73.01,28.84,41.97,22.33,5.0,0.1161,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
227,703601,Max Clark,DET,CLE,2026-08-12T22:40:00Z,Scheduled,7,Foster Griffin,656492,L,33.2,Longshot,Watch List,Projected Lineup,15.8,42.9,27.6,59.8,50.0,13.0,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","same-side matchup; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.2,33.3,85.2,96.2064,0.342,0.096,0.307,72.9,25.3,20.8,33.3,1.0,0.189,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
228,680757,Steven Kwan,CLE,DET,2026-08-12T22:40:00Z,Scheduled,1,Framber Valdez,664285,L,33.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",2.4,35.3,27.6,88.7,50.0,55.3,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,1,Contact streak: 11/30 over last 7 games,"same-side matchup; pitcher baseline 6.3% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.78,12.02,84.38,92.5078,0.345,0.0713,0.3191,62.8,0.38,27.6,23.44,4.7,0.0754,6.28,43.99,90.1,0.3833,0.1325,19.23,,,Comerica Park,
229,664728,Kyle Isbel,KC,LAD,2026-08-13T02:10:00Z,Scheduled,9,Eric Lauer,641778,L,33.1,Longshot,Watch List,Projected Lineup,13.3,56.3,27.6,40.2,50.0,18.3,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,19,1,"Last 7 games: 1/19, 1 HR","same-side matchup; pitcher baseline 10.4% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.37,35.4,88.43,99.0783,0.3089,0.0791,0.2643,71.31,14.88,32.6,17.54,4.0,0.1092,10.41,37.42,89.06,0.4596,0.2077,36.9,,,UNIQLO Field at Dodger Stadium,
230,691594,Javier Sanoja,MIA,PIT,2026-08-12T22:40:00Z,Scheduled,6,Carmen Mlodzinski,669387,R,33.0,Longshot,Watch List,Projected Lineup,9.9,40.8,21.5,71.7,50.0,43.4,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,0,Contact streak: 9/22 over last 7 games,"same-side matchup; pitcher baseline 7.1% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.08,32.34,87.24,97.3639,0.3343,0.0788,0.2792,69.07,6.6,38.15,19.11,4.6,0.1418,7.08,44.72,90.48,0.4216,0.1448,23.67,,,loanDepot park,
231,630105,Jake Cronenworth,SD,MIL,2026-08-12T20:10:00Z,Scheduled,9,Dustin May,669160,R,32.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",17.4,42.2,22.6,40.2,80.0,12.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.73,33.96,87.8,98.1791,0.3306,0.1042,0.2987,71.39,17.74,32.1,22.37,5.4,0.0855,7.52,45.34,90.25,0.3992,0.1476,24.52,,,Petco Park,
232,665923,Esteury Ruiz,MIA,PIT,2026-08-12T22:40:00Z,Scheduled,9,Carmen Mlodzinski,669387,R,32.6,Longshot,Watch List,Projected Lineup,19.5,40.8,21.5,40.2,50.0,60.3,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,10,1,Contact streak: 4/10 over last 7 games,"same-side matchup; pitcher baseline 7.1% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.19,27.16,84.09,96.0191,0.3412,0.1498,0.2931,71.38,17.12,45.08,27.16,3.8,0.1927,7.08,44.72,90.48,0.4216,0.1448,23.67,,,loanDepot park,
233,650968,Yohel Pozo,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,9,Zebby Matthews,805673,R,32.4,Longshot,Watch List,Projected Lineup,7.9,56.3,27.1,40.2,50.0,41.2,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,11,1,"Last 7 games: 3/11, 1 HR","same-side matchup; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.55,27.6,87.49,96.3689,0.3136,0.0781,0.2417,69.57,8.77,31.2,16.74,2.2,0.1097,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
234,682668,Luisangel Acuna,CWS,CIN,2026-08-12T23:40:00Z,Scheduled,9,Rhett Lowder,695076,R,31.7,Longshot,Watch List,Projected Lineup,14.1,50.6,27.6,40.2,50.0,12.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,15,0,"Last 7 games: 3/15, 0 HR","same-side matchup; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.8,36.69,88.32,99.4657,0.3158,0.0693,0.2696,71.61,24.28,32.01,16.44,0.7,0.0358,9.5,38.2,90.5,0.457,0.19,28.3,,,Rate Field,
235,807712,Luke Keaschall,MIN,BAL,2026-08-12T17:40:00Z,Scheduled,7,Shane Baz,669358,R,31.5,Longshot,Watch List,Projected Lineup,10.8,40.3,27.1,59.8,50.0,25.8,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,0,"Last 7 games: 7/24, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.8,29.17,85.01,96.557,0.3542,0.109,0.3121,68.64,7.87,38.75,26.9,5.4,0.1101,7.47,41.36,89.98,0.3951,0.1483,24.94,,,Target Field,
236,670764,Taylor Walls,TB,ATH,2026-08-12T19:05:00Z,Scheduled,9,,,,31.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",5.4,40.2,30.9,40.2,75.0,52.8,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.64,22.97,85.81,95.3851,0.2663,0.0745,0.2505,68.35,2.27,36.72,28.91,1.2,0.0745,,,,,,,,,Sutter Health Park,
237,805779,Jacob Wilson,ATH,TB,2026-08-12T19:05:00Z,Scheduled,3,Drew Rasmussen,656876,R,30.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",3.1,29.4,30.9,92.1,50.0,14.1,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 6.6% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.41,26.87,84.32,95.5364,0.3535,0.0849,0.29,64.43,0.51,35.19,20.04,8.8,0.1274,6.58,36.09,88.71,0.3561,0.1271,22.96,,,Sutter Health Park,
238,622268,Donovan Walton,ATH,TB,2026-08-12T19:05:00Z,Scheduled,8,Drew Rasmussen,656876,R,30.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.8,29.4,30.9,47.9,80.0,12.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,10,0,"Last 7 games: 2/10, 0 HR","platoon edge; pitcher baseline 6.6% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.73,34.56,88.68,97.7237,0.3576,0.097,0.3034,67.64,0.0,36.72,20.2,2.1,0.1176,6.58,36.09,88.71,0.3561,0.1271,22.96,,,Sutter Health Park,
239,702332,Caleb Durbin,BOS,TOR,2026-08-12T23:07:00Z,Scheduled,6,José Soriano,667755,R,30.4,Longshot,Watch List,Projected Lineup,5.4,36.4,30.4,71.7,50.0,16.6,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.16,27.25,84.43,96.0047,0.3347,0.0937,0.2952,68.88,5.44,41.58,19.05,11.0,0.1471,7.62,41.27,89.65,0.3782,0.1362,18.82,,,Rogers Centre,
240,691026,Masyn Winn,STL,PHI,2026-08-12T18:15:00Z,Scheduled,6,Zack Wheeler,554430,R,30.3,Longshot,Watch List,Projected Lineup,15.3,23.9,22.1,71.7,50.0,34.2,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,0,Contact streak: 8/23 over last 7 games,"same-side matchup; pitcher baseline 6.4% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.68,34.88,88.23,98.6581,0.3372,0.0881,0.2986,71.17,15.77,32.39,20.9,5.5,0.0911,6.36,34.66,86.91,0.3151,0.1156,25.95,,,Busch Stadium,
241,666152,David Hamilton,MIL,SD,2026-08-12T20:10:00Z,Scheduled,8,Robbie Ray,592662,L,30.3,Longshot,Watch List,Projected Lineup,11.2,47.4,22.6,47.9,50.0,12.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.39,27.59,86.74,96.8082,0.3008,0.0953,0.2635,69.8,7.15,34.06,26.3,3.9,0.1035,8.69,39.87,89.67,0.4046,0.1695,33.87,,,Petco Park,
242,,Ji Hwan Bae,MIL,SD,2026-08-12T20:10:00Z,Scheduled,9,Robbie Ray,592662,L,30.0,Longshot,Watch List,Projected Lineup,6.4,45.5,22.6,40.2,60.0,50.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H: P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,,,,,Recent form unavailable,"handedness incomplete; pitcher baseline 8.7% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,,,,,,,,,,,,,8.69,39.87,89.67,0.4046,0.1695,33.87,,,Petco Park,
243,805347,Jim Jarvis,ATL,NYM,2026-08-12T23:15:00Z,Scheduled,9,Zac Thornton,804267,L,30.0,Longshot,Watch List,Projected Lineup,15.6,42.0,30.9,40.2,50.0,0.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,19,0,"Last 7 games: 1/19, 0 HR","same-side matchup; pitcher baseline 8.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.8,37.5,88.7,98.5467,0.312,0.074,0.27,70.9,12.0,28.7,20.0,1.0,0.104,8.8,39.8,89.3,0.423,0.155,29.2,,,Truist Park,
