rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
188,643289,Mauricio Dubon,ATL,NYM,2026-08-12T23:15:00Z,Scheduled,6,Zac Thornton,804267,L,37.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.3,42.0,30.9,71.7,78.0,36.0,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,0,Contact streak: 9/25 over last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.23,29.38,86.18,96.4411,0.3674,0.105,0.3004,68.8,3.54,31.96,24.74,9.1,0.1273,8.8,39.8,89.3,0.423,0.155,29.2,,,Truist Park,
189,689414,Liam Hicks,TB,ATH,2026-08-12T19:05:00Z,Scheduled,4,,,,37.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",8.5,41.2,30.9,90.4,60.0,36.0,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,1,"Last 7 games: 5/21, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.74,28.12,84.88,96.256,0.3479,0.1004,0.3122,68.03,3.72,42.31,24.5,12.3,0.1389,,,,,,,,,Sutter Health Park,
190,699302,Hector Rodriguez,CIN,CWS,2026-08-12T23:40:00Z,Scheduled,6,Luis Castillo,622491,R,37.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",8.8,53.9,27.6,71.7,80.0,0.0,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,2,17,0,"Last 6 games: 2/17, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,27.3,85.1,94.3346,0.239,0.029,0.265,77.3,66.7,36.4,18.2,0.0,0.077,9.91,42.9,90.16,0.4418,0.18,28.07,,,Rate Field,
191,663968,Jake Mangum,PIT,MIA,2026-08-12T22:40:00Z,Scheduled,1,Janson Junk,676083,R,37.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",6.8,43.3,21.5,88.7,75.0,40.7,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","switch hitter; pitcher baseline 7.9% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.21,29.27,86.18,96.7199,0.3388,0.0836,0.2872,67.51,3.73,27.72,15.7,3.7,0.0832,7.87,43.17,90.69,0.4257,0.1641,23.43,,,loanDepot park,
192,672275,Patrick Bailey,CLE,DET,2026-08-12T22:40:00Z,Scheduled,8,Framber Valdez,664285,L,37.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.7,33.9,27.6,47.9,75.0,22.8,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,1,"Last 7 games: 3/20, 1 HR","switch hitter; pitcher baseline 6.3% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.72,39.27,89.88,99.4743,0.368,0.1447,0.2822,72.55,28.79,33.27,26.41,6.0,0.1086,6.28,43.99,90.1,0.3833,0.1325,19.23,,,Comerica Park,
193,663647,Ke'Bryan Hayes,CIN,CWS,2026-08-12T23:40:00Z,Scheduled,9,Luis Castillo,622491,R,37.0,Longshot,Watch List,Projected Lineup,29.6,53.9,27.6,40.2,50.0,0.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,15,0,"Last 7 games: 1/15, 0 HR","same-side matchup; pitcher baseline 9.9% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.91,39.7,90.0,99.7788,0.3756,0.1327,0.2939,70.82,8.34,29.76,25.96,4.3,0.0892,9.91,42.9,90.16,0.4418,0.18,28.07,,,Rate Field,
194,677592,Everson Pereira,STL,PHI,2026-08-12T18:15:00Z,Scheduled,8,Zack Wheeler,554430,R,36.9,Longshot,Watch List,"Projected Lineup, Strong Barrel",42.4,23.9,22.1,47.9,50.0,53.3,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,13,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.4% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.61,42.46,89.03,100.3452,0.3747,0.1801,0.2833,74.41,44.57,43.5,27.96,3.4,0.1773,6.36,34.66,86.91,0.3151,0.1156,25.95,,,Busch Stadium,
195,643446,Jeff McNeil,ATH,TB,2026-08-12T19:05:00Z,Scheduled,1,Drew Rasmussen,656876,R,36.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",11.9,29.4,30.9,88.7,80.0,34.2,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,0,Contact streak: 8/23 over last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.3,31.71,86.57,96.5742,0.3677,0.0978,0.3111,69.09,5.16,43.07,23.75,6.4,0.1043,6.58,36.09,88.71,0.3561,0.1271,22.96,,,Sutter Health Park,
196,672356,Gabriel Arias,NYM,ATL,2026-08-12T23:15:00Z,Scheduled,9,Tyler Mahle,641816,R,36.9,Longshot,Watch List,"Projected Lineup, Strong Barrel",39.0,37.0,30.9,40.2,50.0,7.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","same-side matchup; pitcher baseline 7.3% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.32,43.58,90.2,102.4566,0.3703,0.1556,0.2727,74.61,46.86,37.08,19.26,6.8,0.1409,7.3,36.89,89.48,0.3948,0.1502,27.68,,,Truist Park,
197,663538,Nico Hoerner,CHC,WSH,2026-08-12T22:45:00Z,Scheduled,6,Jackson Kent,800600,L,36.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",8.6,41.2,28.2,71.7,78.0,55.9,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,1,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.56,28.69,86.14,96.2151,0.3805,0.0836,0.3241,68.33,1.83,33.36,22.12,7.0,0.1012,,,,,,,,,Nationals Park,
