player,team,opponent,batting_order,pitcher,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,public_attention,odds
Willson Contreras,BOS,TB,4,Ian Seymour,L,R,15.7,0.242,90.6,103.369992468,.537,.258,.399,76.4,67.6,51.6,25.2,44.5,13,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Mickey Gasper,BOS,TB,5,Ian Seymour,L,S,6,0.076,92.6,100.1095184,.358,.115,.292,71.7,10.5,46,30,48,0,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Caleb Durbin,BOS,TB,6,Ian Seymour,L,R,1.9,0.099,85.3,96.394070789,.295,.065,.268,68.2,1.8,41,16,30.1,1,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Isiah Kiner-Falefa,BOS,TB,7,Ian Seymour,L,R,4,0.066,83.4,95.621609167,.347,.082,.301,68.2,2,39.5,17.1,27.6,1,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Marcelo Mayer,BOS,TB,8,Ian Seymour,L,L,6,0.073,86.8,98.155320149,.292,.091,.257,74.8,51.7,37,26.7,37,2,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Carlos Narváez,BOS,TB,9,Ian Seymour,L,R,6.7,0.099,91.5,99.399918108,.334,.111,.284,71.5,17.6,28,28,37.3,2,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Yandy Díaz,TB,BOS,1,Connelly Early,L,R,8.8,0.201,90.9,102.51661134,.485,.186,.374,73.6,38.1,18.9,21.4,46.4,11,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Austin Slater,TB,BOS,2,Connelly Early,L,R,3.4,0.024,85.7,93.282175333,.246,.065,.233,71.4,12.2,31,27.6,13.8,0,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Junior Caminero,TB,BOS,3,Connelly Early,L,R,11.9,0.221,92.3,105.075111134,.484,.206,.373,79.9,88.4,41.2,21.1,48.2,14,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Ryan Vilade,TB,BOS,4,Connelly Early,L,R,4.1,0.165,89.8,100.165311667,.379,.134,.307,76,58.8,33.8,28.4,37.8,3,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Jonathan Aranda,TB,BOS,5,Connelly Early,L,L,12.4,0.189,90.8,101.113414074,.482,.218,.377,70.3,12.4,29.2,33.5,46.6,11,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Ben Williamson,TB,BOS,6,Connelly Early,L,R,1,0.062,88.8,99.40984449,.332,.080,.305,69.9,14.9,28,12,40,0,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Taylor Walls,TB,BOS,7,Connelly Early,L,S,2,0.072,82.6,93.246207391,.219,.048,.238,67.5,2.5,34.3,27.5,15.7,0,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Nick Fortes,TB,BOS,8,Connelly Early,L,R,0.8,0.068,86.8,100.137890317,.320,.074,.269,72.4,22.4,52.3,16.4,40.6,1,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Cedric Mullins,TB,BOS,9,Connelly Early,L,L,3.3,0.112,88.2,97.393815775,.301,.120,.258,70.5,7.8,45.1,35.3,30.5,5,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Trent Grisham,NYY,CLE,1,Gavin Williams,R,L,12.4,0.179,90.3,100.360842706,.445,.200,.353,69.8,5.3,40.8,31.4,43.8,8,12.7,48.2,91.2,.438,.197,23.2,11,11,11,Progressive Field,100,81,10,Varies,Yes,,
Ben Rice,NYY,CLE,2,Gavin Williams,R,L,16.7,0.341,92.3,102.550670385,.540,.256,.396,72.3,20.3,46.8,26.9,50.6,18,12.7,48.2,91.2,.438,.197,23.2,11,11,11,Progressive Field,100,81,10,Varies,Yes,,
Paul Goldschmidt,NYY,CLE,3,Gavin Williams,R,R,11.8,0.236,87.7,100.246430196,.493,.215,.369,71.4,15.6,34.3,22.5,42.2,7,12.7,48.2,91.2,.438,.197,23.2,11,11,11,Progressive Field,100,81,10,Varies,Yes,,
Cody Bellinger,NYY,CLE,4,Gavin Williams,R,L,8.7,0.203,89.6,98.901844286,.464,.175,.377,69.7,2.8,42.6,34,39.6,9,12.7,48.2,91.2,.438,.197,23.2,11,11,11,Progressive Field,100,81,10,Varies,Yes,,
Jazz Chisholm Jr.,NYY,CLE,5,Gavin Williams,R,L,7.3,0.162,89.5,99.511375946,.360,.148,.288,72.9,29.3,52.6,30.3,38.8,8,12.7,48.2,91.2,.438,.197,23.2,11,11,11,Progressive Field,100,81,10,Varies,Yes,,
Spencer Jones,NYY,CLE,6,Gavin Williams,R,L,0,0.036,96.8,104.049875,.276,.088,.247,77.7,84,26.7,26.7,73.3,0,12.7,48.2,91.2,.438,.197,23.2,11,11,11,Progressive Field,100,81,10,Varies,Yes,,
José Caballero,NYY,CLE,7,Gavin Williams,R,R,2.9,0.137,83.2,96.012915455,.340,.100,.284,68.5,4.2,41.4,17.9,26.4,5,12.7,48.2,91.2,.438,.197,23.2,11,11,11,Progressive Field,100,81,10,Varies,Yes,,
Ryan McMahon,NYY,CLE,8,Gavin Williams,R,L,9.5,0.138,90.6,101.823625769,.369,.151,.282,74.6,48.4,35.8,34,49.1,6,12.7,48.2,91.2,.438,.197,23.2,11,11,11,Progressive Field,100,81,10,Varies,Yes,,
J.C. Escarra,NYY,CLE,9,Gavin Williams,R,L,4.2,0.081,88.8,98.8206025,.330,.111,.276,69.9,3.8,31.3,18.8,31.3,0,12.7,48.2,91.2,.438,.197,23.2,11,11,11,Progressive Field,100,81,10,Varies,Yes,,
Travis Bazzana,CLE,NYY,1,Will Warren,R,L,3.8,0.173,88.9,98.440171765,.382,.121,.323,69.2,11.1,40.6,29.2,36.5,4,6.6,39.8,90.4,.365,.136,29.3,7,7,7,Progressive Field,100,81,10,Varies,Yes,,
José Ramírez,CLE,NYY,2,Will Warren,R,S,7.1,0.189,90.5,100.853105238,.460,.174,.366,70,12.4,47.9,31.3,45.2,10,6.6,39.8,90.4,.365,.136,29.3,7,7,7,Progressive Field,100,81,10,Varies,Yes,,
Chase DeLauter,CLE,NYY,3,Will Warren,R,L,6.2,0.149,90,100.544061753,.411,.134,.341,71.2,15.2,38.8,19.4,40.5,7,6.6,39.8,90.4,.365,.136,29.3,7,7,7,Progressive Field,100,81,10,Varies,Yes,,
Kyle Manzardo,CLE,NYY,4,Will Warren,R,L,12.5,0.169,88.6,99.084217091,.401,.174,.316,70.1,8.4,44.6,31.3,41.1,7,6.6,39.8,90.4,.365,.136,29.3,7,7,7,Progressive Field,100,81,10,Varies,Yes,,
Daniel Schneemann,CLE,NYY,5,Will Warren,R,L,6.1,0.124,87.5,98.260232982,.371,.137,.302,71.2,12.7,44.3,28.7,36.8,4,6.6,39.8,90.4,.365,.136,29.3,7,7,7,Progressive Field,100,81,10,Varies,Yes,,
Angel Martínez,CLE,NYY,6,Will Warren,R,S,7.4,0.188,87.6,99.458638101,.391,.144,.295,71,15.9,43.9,26.2,34.4,9,6.6,39.8,90.4,.365,.136,29.3,7,7,7,Progressive Field,100,81,10,Varies,Yes,,
Steven Kwan,CLE,NYY,7,Will Warren,R,L,0.5,0.051,82.8,91.488719891,.301,.061,.299,62.9,0.3,31.1,24.4,8.9,1,6.6,39.8,90.4,.365,.136,29.3,7,7,7,Progressive Field,100,81,10,Varies,Yes,,
Patrick Bailey,CLE,NYY,8,Will Warren,R,S,6.5,0.080,89.8,98.623907391,.367,.149,.278,73,31.9,31.2,25.8,37.6,2,6.6,39.8,90.4,.365,.136,29.3,7,7,7,Progressive Field,100,81,10,Varies,Yes,,
Brayan Rocchio,CLE,NYY,9,Will Warren,R,S,3.4,0.126,86.8,97.395604091,.370,.114,.319,70.1,7.7,42.9,22.5,32.8,5,6.6,39.8,90.4,.365,.136,29.3,7,7,7,Progressive Field,100,81,10,Varies,Yes,,
