player,team,opponent,batting_order,pitcher,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,public_attention,odds
Noelvi Marte,CIN,SD,6,Walker Buehler,R,R,0,0.000,86.5,97.375054615,.207,.028,.222,71.4,14.7,56,8,28,0,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,,
Matt McLain,CIN,SD,7,Walker Buehler,R,R,8.6,0.162,88.1,98.556530811,.390,.163,.317,71.6,11.8,33.3,34.6,37.3,8,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,,
Tyler Stephenson,CIN,SD,8,Walker Buehler,R,R,11.8,0.139,90.3,99.779703455,.425,.198,.328,71,10.9,32.7,35.4,42.5,5,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,,
Edwin Arroyo,CIN,SD,9,Walker Buehler,R,S,0,0.000,90.9,95.902345,.254,.042,.265,69.5,8.1,62.5,0,25,0,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,,
Fernando Tatis Jr.,SD,CIN,1,Andrew Abbott,L,R,10.3,0.055,90.5,103.937815543,.415,.132,.349,75.4,58.7,27.7,19,51.1,1,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,,
Jackson Merrill,SD,CIN,2,Andrew Abbott,L,L,10.3,0.127,89.8,100.624989506,.433,.190,.322,73.5,32.2,38,25.9,46.4,6,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,,
Ty France,SD,CIN,3,Andrew Abbott,L,R,12.1,0.220,91.3,102.132592174,.450,.200,.323,71.7,17.6,35.9,20.7,48.9,6,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,,
Manny Machado,SD,CIN,4,Andrew Abbott,L,R,8.2,0.173,89.8,100.889494588,.392,.168,.306,74.4,40.6,42.9,23.5,42.9,11,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,,
Xander Bogaerts,SD,CIN,5,Andrew Abbott,L,R,6.8,0.122,88,99.34702875,.397,.146,.319,71.7,23.5,49.7,25.4,36.7,8,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,,
Gavin Sheets,SD,CIN,6,Andrew Abbott,L,L,9,0.224,89.4,100.139612687,.427,.184,.336,74.7,47.6,39.8,24.8,45.1,10,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,,
Jase Bowen,SD,CIN,7,Andrew Abbott,L,R,16.7,0.000,85.7,92.60359,.230,.101,.152,73.1,23.5,33.3,50,16.7,0,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,,
Samad Taylor,SD,CIN,8,Andrew Abbott,L,R,0,0.000,84.5,89.664495,.151,.053,.304,69.7,16.7,66.7,0,33.3,0,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,,
Freddy Fermin,SD,CIN,9,Andrew Abbott,L,R,2.4,0.101,86.3,96.001480976,.273,.083,.257,70,7.3,42.4,28.2,25.9,2,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,,
James Wood,WSH,SF,1,Logan Webb,R,L,25.5,0.265,96,106.689598462,.621,.344,.433,76.3,63.9,28,31.8,58.6,17,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,,
Luis García Jr.,WSH,SF,2,Logan Webb,R,L,7.2,0.186,92.1,102.189380238,.442,.153,.328,73.2,34,39.4,18.2,47.1,7,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,,
Curtis Mead,WSH,SF,3,Logan Webb,R,R,10.7,0.240,89.5,100.71406377,.481,.211,.375,72.8,30.1,47.5,34.4,45.9,9,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,,
CJ Abrams,WSH,SF,4,Logan Webb,R,L,10.9,0.248,90,100.390299239,.464,.197,.363,72.8,25.8,45.4,28.6,41.6,14,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,,
Dylan Crews,WSH,SF,5,Logan Webb,R,R,10.2,0.114,91.3,101.777654,.454,.200,.326,73.9,37.5,34.7,24.5,46.9,2,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,,
Daylen Lile,WSH,SF,6,Logan Webb,R,L,7.6,0.158,87.8,98.354755755,.421,.164,.320,70.7,8.1,42,34.9,37,8,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,,
Keibert Ruiz,WSH,SF,7,Logan Webb,R,S,6.4,0.228,90,98.847178182,.359,.140,.264,67.4,0,63.6,34.5,40.9,5,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,,
Jorbit Vivas,WSH,SF,8,Logan Webb,R,L,3,0.086,83.1,94.6994632,.298,.069,.282,69.5,3.3,38.6,21.8,23.8,1,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,,
Nasim Nuñez,WSH,SF,9,Logan Webb,R,S,0,0.022,84.6,94.510542769,.270,.047,.272,68.1,2.7,34,18.1,20.1,0,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,,
Casey Schmitt,SF,WSH,1,Richard Lovelady,L,R,13.6,0.256,89.8,100.725919674,.508,.231,.348,72.3,27.3,42.2,35.1,44.3,15,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,,
Rafael Devers,SF,WSH,2,Richard Lovelady,L,L,9.9,0.179,91.9,102.661756512,.400,.182,.290,71.8,20.3,31.8,31.8,49.7,8,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,,
Luis Arraez,SF,WSH,3,Richard Lovelady,L,L,0.4,0.108,87.4,94.376129669,.373,.080,.307,63,0,30.8,28.7,22.3,2,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,,
Willy Adames,SF,WSH,4,Richard Lovelady,L,R,9.2,0.204,89,99.687024674,.411,.183,.300,72.2,24.9,48.4,33.2,42.4,11,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,,
Jung Hoo Lee,SF,WSH,5,Richard Lovelady,L,L,2.5,0.122,87.9,96.775312551,.402,.091,.332,68.6,3.4,35.4,21.2,30.3,3,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,,
Bryce Eldridge,SF,WSH,6,Richard Lovelady,L,L,9.8,0.159,92,102.628327419,.507,.213,.377,73.8,36,42.6,34.4,52.5,2,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,,
Matt Chapman,SF,WSH,7,Richard Lovelady,L,R,5.5,0.124,87.7,99.700895824,.314,.101,.281,75.8,58.6,37.5,19,35.3,4,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,,
Eric Haase,SF,WSH,8,Richard Lovelady,L,R,21.9,0.341,86.9,98.7345925,.518,.266,.349,72,14.5,37.5,25,34.4,4,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,,
Drew Gilbert,SF,WSH,9,Richard Lovelady,L,L,3,0.138,84.6,96.647613061,.313,.092,.258,69.9,9,40.2,18.6,31.4,3,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,,
Christian Yelich,MIL,ATH,1,Jeffrey Springs,L,L,6.7,0.161,88.4,99.870466136,.376,.152,.296,72.7,27.8,36,18,36,4,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Jackson Chourio,MIL,ATH,2,Jeffrey Springs,L,R,17.2,0.187,92.7,103.187761591,.497,.253,.344,74.8,51.6,27.6,33.3,49.4,4,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Brice Turang,MIL,ATH,3,Jeffrey Springs,L,L,8.2,0.199,91.3,101.271929873,.462,.198,.372,70.2,9.9,24.4,23.8,48.1,9,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
William Contreras,MIL,ATH,4,Jeffrey Springs,L,R,6.8,0.106,89.9,100.690447087,.433,.154,.335,73.3,35.9,38.8,24.3,41.7,5,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Jake Bauers,MIL,ATH,5,Jeffrey Springs,L,L,13.4,0.235,92.4,103.707532254,.485,.218,.365,77,75.4,41.3,27.3,54.5,11,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Andrew Vaughn,MIL,ATH,6,Jeffrey Springs,L,R,2.8,0.147,90.1,99.383079722,.402,.108,.337,69.2,6.8,33.3,19.4,44.4,1,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Garrett Mitchell,MIL,ATH,7,Jeffrey Springs,L,L,14.6,0.152,92.8,104.393618958,.406,.182,.334,76.7,73.8,31.3,18.8,51,3,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Luis Rengifo,MIL,ATH,8,Jeffrey Springs,L,S,5.1,0.052,87.5,97.830048961,.344,.091,.298,71,16.7,36.9,16.6,34.4,0,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Joey Ortiz,MIL,ATH,9,Jeffrey Springs,L,R,2.8,0.054,86.7,97.804178269,.292,.068,.298,72,20.4,30.6,24.1,33.3,1,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Shea Langeliers,ATH,MIL,1,Kyle Harrison,L,R,15,0.252,91.6,102.81116567,.541,.256,.380,75.2,53,39.4,31.1,44.6,16,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Nick Kurtz,ATH,MIL,2,Kyle Harrison,L,L,18.8,0.220,94.2,106.020995833,.511,.253,.399,78.1,80.3,32.6,28.5,57.6,12,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Colby Thomas,ATH,MIL,3,Kyle Harrison,L,R,11.4,0.171,91.3,101.442800588,.497,.259,.333,75.8,58.3,34.3,37.1,40,2,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Brent Rooker,ATH,MIL,4,Kyle Harrison,L,R,15.8,0.194,89.8,101.938254386,.447,.234,.320,74.1,41.6,39.1,40,42.6,10,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Max Muncy,ATH,MIL,5,Kyle Harrison,L,R,12.3,0.163,92.5,103.570102069,.391,.168,.303,74.6,54.3,47.4,26.3,56.1,2,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Tyler Soderstrom,ATH,MIL,6,Kyle Harrison,L,L,11.2,0.197,89.9,101.448474111,.418,.172,.330,74.2,41.8,37.2,30,43.9,8,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Henry Bolte,ATH,MIL,7,Kyle Harrison,L,R,0,0.059,91.6,104.31203913,.272,.063,.271,77,75.4,34,23.4,53.2,0,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Zack Gelof,ATH,MIL,8,Kyle Harrison,L,R,7.6,0.164,88.3,99.004106897,.385,.160,.291,73.7,31.7,41.2,24.4,39.5,6,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
Alika Williams,ATH,MIL,9,Kyle Harrison,L,R,0,0.000,88.8,98.045148333,.166,.028,.158,68.3,2.6,25,16.7,41.7,0,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,,
