rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
44,661388,William Contreras,MIL,CHC,2026-09-03T23:15:00Z,Pre-Game,3,Kevin Gausman,592332,R,49.9,Longshot,Watch List,Premium Lineup Spot,38.4,40.7,46.8,96.6,50.0,48.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 20.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.52,45.14,90.4,101.5505,0.4266,0.1681,0.3343,73.34,36.3,36.04,24.08,14.2,0.1334,7.66,39.44,88.67,0.4028,0.1578,26.44,In From RF,82,Wrigley Field,
45,683002,Gunnar Henderson,BAL,BOS,2026-09-03T23:15:00Z,Pre-Game,5,Jake Bennett,687562,L,49.8,Longshot,Watch List,Good Environment,37.3,28.7,74.1,86.4,50.0,57.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.5% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.55,45.42,90.35,101.3258,0.4054,0.1518,0.3249,74.67,46.89,41.01,23.1,20.5,0.1759,6.5,36.7,88.2,0.364,0.134,25.9,Out To RF,88,Oriole Park at Camden Yards,
46,669003,Garrett Mitchell,MIL,CHC,2026-09-03T23:15:00Z,Pre-Game,7,Kevin Gausman,592332,R,49.0,Longshot,Watch List,"Strong Barrel, Platoon Edge",46.4,40.7,46.8,64.3,80.0,14.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 7.7% barrel, 20.3 HR allowed",EV profile; pitcher fly-ball pressure modest,10.34,48.78,92.15,103.6589,0.4082,0.1575,0.33,77.15,77.3,33.86,17.41,6.3,0.1321,7.66,39.44,88.67,0.4028,0.1578,26.44,In From RF,82,Wrigley Field,
47,686681,Michael Massey,KC,MIA,2026-09-03T23:40:00Z,Pre-Game,6,Sandy Alcantara,645261,R,48.3,Longshot,Watch List,"Good Environment, Platoon Edge",28.4,33.2,73.7,76.2,80.0,40.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,0,Contact streak: 9/23 over last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 19.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.54,38.25,88.97,98.73,0.3901,0.1444,0.2923,71.5,12.68,49.43,31.5,8.6,0.139,6.15,37.93,88.95,0.3863,0.1344,24.03,Out To LF,97,Kauffman Stadium,
48,608324,Alex Bregman,CHC,MIL,2026-09-03T23:15:00Z,Pre-Game,4,Logan Henderson,701656,R,47.4,Longshot,Watch List,"Premium Lineup Spot, Hot Hitter/Streak",27.8,37.2,46.8,94.9,50.0,90.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,31,5,Hot streak: 5 HR in last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.97,39.85,88.7,98.3634,0.392,0.1446,0.323,70.16,4.87,47.07,27.16,22.2,0.1855,8.6,36.72,88.66,0.3569,0.1456,31.91,In From RF,82,Wrigley Field,
49,677649,Ezequiel Duran,TEX,TB,2026-09-04T00:05:00Z,Pre-Game,1,Shane McClanahan,663556,L,47.0,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",21.2,42.8,41.1,93.2,78.0,70.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.33,35.8,87.82,98.9822,0.3531,0.1174,0.2869,72.34,24.52,36.01,22.07,11.2,0.146,8.8,40.9,89.1,0.406,0.164,26.9,None,72,Globe Life Field,
50,691788,Joe Mack,MIA,KC,2026-09-03T23:40:00Z,Pre-Game,8,Michael Wacha,608379,R,46.7,Longshot,Watch List,"Good Environment, Platoon Edge",34.1,38.0,73.7,52.4,80.0,15.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.6,38.5,88.2,99.5433,0.392,0.168,0.293,74.3,43.2,48.7,24.6,12.0,0.175,6.98,36.07,88.13,0.4123,0.1633,29.09,Out To LF,97,Kauffman Stadium,
51,668227,Randy Arozarena,SEA,ATH,2026-09-04T01:40:00Z,Scheduled,1,Jack Perkins,678022,R,46.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",40.1,40.3,25.4,88.7,50.0,61.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.0% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.05,44.44,90.88,101.0107,0.4219,0.1711,0.3424,71.39,25.08,34.68,24.59,23.5,0.1915,9.04,36.79,87.87,0.3741,0.1489,34.45,,,T-Mobile Park,
52,683734,Andrew Vaughn,MIL,CHC,2026-09-03T23:15:00Z,Pre-Game,5,Kevin Gausman,592332,R,46.6,Longshot,Watch List,No major boost,33.9,40.7,46.8,86.4,50.0,40.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,18,0,Contact streak: 7/18 over last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 20.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.17,44.41,90.48,100.1117,0.4125,0.1423,0.3385,70.46,13.15,34.49,24.76,7.7,0.1444,7.66,39.44,88.67,0.4028,0.1578,26.44,In From RF,82,Wrigley Field,
53,686765,Nick Sogard,BOS,BAL,2026-09-03T23:15:00Z,Pre-Game,5,Brandon Young,687064,R,46.4,Longshot,Watch List,"Good Environment, Platoon Edge",14.4,40.8,74.1,86.4,75.0,39.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","switch hitter; pitcher baseline 7.8% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,30.71,86.35,96.8851,0.3624,0.11,0.3139,68.71,3.33,46.43,23.18,2.1,0.1204,7.75,40.66,89.26,0.4173,0.1651,26.38,Out To RF,88,Oriole Park at Camden Yards,
54,677594,Julio Rodriguez,SEA,ATH,2026-09-04T01:40:00Z,Scheduled,3,Jack Perkins,678022,R,46.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",46.1,40.3,25.4,92.1,50.0,7.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,30,0,"Last 7 games: 5/30, 0 HR","same-side matchup; pitcher baseline 9.0% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.45,44.64,90.54,102.6379,0.4573,0.1908,0.3398,76.68,67.27,37.93,26.33,23.6,0.1713,9.04,36.79,87.87,0.3741,0.1489,34.45,,,T-Mobile Park,
