rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
65,682663,Agustín Ramírez,MIA,KC,2026-09-03T23:40:00Z,Pre-Game,7,Michael Wacha,608379,R,42.7,Longshot,Watch List,Good Environment,26.6,38.0,73.7,64.3,50.0,4.5,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","same-side matchup; pitcher baseline 7.0% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.54,41.54,89.68,102.1222,0.3359,0.1091,0.2914,75.62,57.3,41.59,17.3,7.7,0.1211,6.98,36.07,88.13,0.4123,0.1633,29.09,Out To LF,97,Kauffman Stadium,
66,699393,Pedro Ramírez,CHC,MIL,2026-09-03T23:15:00Z,Pre-Game,7,Logan Henderson,701656,R,42.5,Longshot,Watch List,Platoon Edge,23.1,36.3,46.8,64.3,75.0,68.7,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 8.6% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.3,41.8,89.2,99.6931,0.368,0.103,0.306,72.2,22.2,41.8,21.3,4.0,0.151,8.6,36.72,88.66,0.3569,0.1456,31.91,In From RF,82,Wrigley Field,
67,642201,Eli White,BOS,BAL,2026-09-03T23:15:00Z,Pre-Game,8,Brandon Young,687064,R,42.3,Longshot,Watch List,Good Environment,22.8,42.5,74.1,52.4,50.0,32.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,9,0,Contact streak: 3/9 over last 7 games,"same-side matchup; pitcher baseline 7.8% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.14,33.47,86.44,98.5911,0.3601,0.129,0.2806,72.76,26.56,35.98,24.29,6.5,0.1559,7.75,40.66,89.26,0.4173,0.1651,26.38,Out To RF,88,Oriole Park at Camden Yards,
68,602104,Ramon Urias,STL,LAD,2026-09-04T02:10:00Z,Scheduled,7,Tarik Skubal,669373,L,42.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",40.8,28.7,27.6,59.8,78.0,45.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,11,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.48,40.05,89.55,99.4429,0.3952,0.1938,0.3082,70.38,7.22,35.24,34.04,6.1,0.1808,7.75,35.17,86.87,0.3405,0.1205,25.9,,,UNIQLO Field at Dodger Stadium,
69,665966,Carlos Narváez,BAL,BOS,2026-09-03T23:15:00Z,Pre-Game,9,Jake Bennett,687562,L,42.0,Longshot,Watch List,"Good Environment, Platoon Edge",32.1,28.7,74.1,44.8,78.0,3.4,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,0,"Last 7 games: 2/14, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.49,40.54,90.96,100.1902,0.3313,0.1298,0.2734,72.09,19.74,32.16,30.31,6.6,0.1038,6.5,36.7,88.2,0.364,0.134,25.9,Out To RF,88,Oriole Park at Camden Yards,
70,668942,Josh Rojas,KC,MIA,2026-09-03T23:40:00Z,Pre-Game,7,Sandy Alcantara,645261,R,41.6,Longshot,Watch List,"Good Environment, Platoon Edge",11.8,33.2,73.7,64.3,80.0,50.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,1,Contact streak: 7/21 over last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 19.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.96,32.25,87.5,97.0278,0.2847,0.0848,0.2364,68.57,3.13,34.56,32.6,2.0,0.1028,6.15,37.93,88.95,0.3863,0.1344,24.03,Out To LF,97,Kauffman Stadium,
71,622761,Jorge Mateo,TB,TEX,2026-09-04T00:05:00Z,Pre-Game,7,Cal Quantrill,615698,R,41.5,Longshot,Watch List,No major boost,29.8,48.0,41.1,64.3,50.0,8.5,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","same-side matchup; pitcher baseline 9.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.46,39.78,87.54,99.574,0.3677,0.1419,0.2795,73.23,30.9,36.69,29.23,3.8,0.124,9.14,38.28,89.28,0.4435,0.1877,28.8,None,72,Globe Life Field,
72,688363,Graham Pauley,MIA,KC,2026-09-03T23:40:00Z,Pre-Game,9,Michael Wacha,608379,R,41.4,Longshot,Watch List,"Good Environment, Platoon Edge",14.5,38.0,73.7,44.8,80.0,60.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,15,1,Contact streak: 6/15 over last 7 games,"platoon edge; pitcher baseline 7.0% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.71,28.54,85.34,96.4034,0.308,0.1095,0.2479,71.14,14.61,48.43,29.78,2.6,0.149,6.98,36.07,88.13,0.4123,0.1633,29.09,Out To LF,97,Kauffman Stadium,
73,687637,Dylan Beavers,BAL,BOS,2026-09-03T23:15:00Z,Pre-Game,8,Jake Bennett,687562,L,41.3,Longshot,Watch List,Good Environment,32.2,28.7,74.1,52.4,50.0,16.1,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","same-side matchup; pitcher baseline 6.5% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.83,35.7,88.45,99.1531,0.3905,0.1628,0.3188,72.41,21.54,40.88,32.79,5.4,0.1499,6.5,36.7,88.2,0.364,0.134,25.9,Out To RF,88,Oriole Park at Camden Yards,
74,686555,Isaac Collins,KC,MIA,2026-09-03T23:40:00Z,Pre-Game,8,Sandy Alcantara,645261,R,41.3,Longshot,Watch List,"Good Environment, Platoon Edge",22.9,31.2,73.7,52.4,75.0,22.9,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","switch hitter; pitcher baseline 6.2% barrel, 19.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.25,39.74,88.66,99.933,0.3303,0.0969,0.3052,73.33,30.34,39.98,25.88,6.9,0.1284,6.15,37.93,88.95,0.3863,0.1344,24.03,Out To LF,97,Kauffman Stadium,
75,606192,Teoscar Hernandez,LAD,STL,2026-09-04T02:10:00Z,Scheduled,6,Quinn Mathews,687273,L,41.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",43.6,12.6,27.6,71.7,78.0,53.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,1,Contact streak: 10/28 over last 7 games,"platoon edge; pitcher baseline 1.7% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.31,45.12,90.06,101.4007,0.4287,0.1801,0.3205,72.48,25.34,34.92,29.17,15.9,0.1636,1.7,33.3,88.1,0.312,0.073,25.0,,,UNIQLO Field at Dodger Stadium,
76,553869,Elias Díaz,TEX,TB,2026-09-04T00:05:00Z,Pre-Game,9,Shane McClanahan,663556,L,41.2,Longshot,Watch List,Platoon Edge,31.8,42.8,41.1,44.8,78.0,19.5,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,0,"Last 7 games: 4/16, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.86,38.77,87.77,100.2771,0.3592,0.1418,0.2743,74.27,42.95,37.79,27.66,6.9,0.1543,8.8,40.9,89.1,0.406,0.164,26.9,None,72,Globe Life Field,
77,518692,Freddie Freeman,LAD,STL,2026-09-04T02:10:00Z,Scheduled,4,Quinn Mathews,687273,L,41.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",41.4,12.6,27.6,90.4,50.0,63.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,22,1,Contact streak: 10/22 over last 7 games,"same-side matchup; pitcher baseline 1.7% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.0,43.18,90.06,100.3461,0.4817,0.1902,0.3689,70.08,8.26,35.98,27.49,18.4,0.1748,1.7,33.3,88.1,0.312,0.073,25.0,,,UNIQLO Field at Dodger Stadium,
78,671732,Lawrence Butler,ATH,SEA,2026-09-04T01:40:00Z,Scheduled,3,Kade Anderson,807739,L,41.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",35.7,24.2,25.4,92.1,50.0,44.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","same-side matchup; pitcher baseline 7.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.15,45.87,89.87,101.9252,0.3821,0.1451,0.3162,73.63,37.88,34.61,21.65,14.7,0.149,7.1,32.1,85.8,0.27,0.126,42.9,,,T-Mobile Park,
79,802415,Chandler Simpson,TB,TEX,2026-09-04T00:05:00Z,Pre-Game,2,Cal Quantrill,615698,R,40.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",0.2,48.0,41.1,100.0,80.0,39.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,0,Contact streak: 10/26 over last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,14.15,83.81,92.7407,0.3066,0.0382,0.2725,64.73,0.51,28.27,12.79,0.0,0.0521,9.14,38.28,89.28,0.4435,0.1877,28.8,None,72,Globe Life Field,
80,641680,Jonah Heim,ATH,SEA,2026-09-04T01:40:00Z,Scheduled,4,Kade Anderson,807739,L,40.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",24.6,24.0,25.4,90.4,75.0,66.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.73,33.94,87.96,97.982,0.3684,0.141,0.2893,69.84,9.17,39.93,28.18,12.4,0.1624,7.1,32.1,85.8,0.27,0.126,42.9,,,T-Mobile Park,
81,647304,Josh Naylor,SEA,ATH,2026-09-04T01:40:00Z,Scheduled,5,Jack Perkins,678022,R,40.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.0,40.3,25.4,81.9,80.0,13.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.23,37.63,87.8,99.0491,0.3991,0.1303,0.3194,70.41,11.89,42.13,22.64,13.0,0.1173,9.04,36.79,87.87,0.3741,0.1489,34.45,,,T-Mobile Park,
82,665750,Leody Taveras,BAL,BOS,2026-09-03T23:15:00Z,Pre-Game,7,Jake Bennett,687562,L,40.0,Longshot,Watch List,"Good Environment, Platoon Edge",19.6,28.0,74.1,64.3,75.0,0.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,20,0,"Last 7 games: 2/20, 0 HR","switch hitter; pitcher baseline 6.5% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.86,33.87,88.36,99.2899,0.3222,0.1117,0.2641,72.46,25.09,33.93,24.66,6.5,0.1228,6.5,36.7,88.2,0.364,0.134,25.9,Out To RF,88,Oriole Park at Camden Yards,
83,605141,Mookie Betts,LAD,STL,2026-09-04T02:10:00Z,Scheduled,3,Quinn Mathews,687273,L,40.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",31.3,12.6,27.6,92.1,78.0,52.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,1,Contact streak: 10/29 over last 7 games,"platoon edge; pitcher baseline 1.7% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.62,36.92,89.73,98.3617,0.4241,0.1518,0.3293,69.53,8.6,39.68,34.15,17.9,0.1676,1.7,33.3,88.1,0.312,0.073,25.0,,,UNIQLO Field at Dodger Stadium,
84,608348,Carson Kelly,CHC,MIL,2026-09-03T23:15:00Z,Pre-Game,9,Logan Henderson,701656,R,39.4,Longshot,Watch List,Hot Hitter/Streak,27.0,37.2,46.8,44.8,50.0,75.9,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.8,37.43,87.68,98.7126,0.3879,0.1477,0.3161,70.68,8.4,40.83,26.41,12.1,0.1454,8.6,36.72,88.66,0.3569,0.1456,31.91,In From RF,82,Wrigley Field,
85,676356,Jonny DeLuca,TB,TEX,2026-09-04T00:05:00Z,Pre-Game,5,Cal Quantrill,615698,R,39.2,Longshot,Watch List,No major boost,10.9,48.0,41.1,86.4,50.0,25.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","same-side matchup; pitcher baseline 9.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.14,30.19,85.67,97.4769,0.3346,0.0942,0.2663,72.82,28.94,45.74,22.27,6.3,0.1524,9.14,38.28,89.28,0.4435,0.1877,28.8,None,72,Globe Life Field,
86,702284,Cole Young,SEA,ATH,2026-09-04T01:40:00Z,Scheduled,6,Jack Perkins,678022,R,38.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",22.9,40.3,25.4,71.7,80.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.04,35.37,88.02,98.7341,0.3802,0.1303,0.3103,71.51,21.72,42.19,26.45,12.4,0.1248,9.04,36.79,87.87,0.3741,0.1489,34.45,,,T-Mobile Park,
87,691777,Max Muncy,ATH,SEA,2026-09-04T01:40:00Z,Scheduled,7,Kade Anderson,807739,L,38.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",34.7,24.2,25.4,59.8,78.0,32.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 7.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.73,39.47,88.57,100.7757,0.3551,0.1451,0.2796,73.8,43.09,42.47,23.0,7.6,0.1559,7.1,32.1,85.8,0.27,0.126,42.9,,,T-Mobile Park,
88,702332,Caleb Durbin,BOS,BAL,2026-09-03T23:15:00Z,Pre-Game,6,Brandon Young,687064,R,37.8,Longshot,Watch List,Good Environment,3.6,42.5,74.1,76.2,50.0,3.4,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","same-side matchup; pitcher baseline 7.8% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.02,25.78,84.01,95.5953,0.3312,0.0895,0.2945,68.81,5.02,40.46,19.89,11.7,0.1338,7.75,40.66,89.26,0.4173,0.1651,26.38,Out To RF,88,Oriole Park at Camden Yards,
89,680700,Richie Palacios,TB,TEX,2026-09-04T00:05:00Z,Pre-Game,8,Cal Quantrill,615698,R,37.8,Longshot,Watch List,Platoon Edge,14.2,48.0,41.1,52.4,80.0,18.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,1,"Last 7 games: 2/22, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.15,32.55,87.31,96.9273,0.3632,0.0997,0.3201,68.84,3.66,36.11,21.12,4.5,0.1162,9.14,38.28,89.28,0.4435,0.1877,28.8,None,72,Globe Life Field,
90,687401,Joey Ortiz,MIL,CHC,2026-09-03T23:15:00Z,Pre-Game,8,Kevin Gausman,592332,R,36.8,Longshot,Watch List,No major boost,16.6,40.7,46.8,52.4,50.0,54.9,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 20.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.91,35.6,87.63,99.0381,0.3361,0.096,0.289,72.86,29.87,31.91,19.96,7.7,0.1199,7.66,39.44,88.67,0.4028,0.1578,26.44,In From RF,82,Wrigley Field,
91,664728,Kyle Isbel,KC,MIA,2026-09-03T23:40:00Z,Pre-Game,9,Sandy Alcantara,645261,R,36.8,Longshot,Watch List,"Good Environment, Platoon Edge",12.9,33.2,73.7,44.8,80.0,0.8,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 19.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.72,34.77,88.36,99.0268,0.3075,0.0819,0.2608,71.1,13.69,32.95,19.99,5.4,0.1141,6.15,37.93,88.95,0.3863,0.1344,24.03,Out To LF,97,Kauffman Stadium,
92,669242,Tommy Edman,LAD,STL,2026-09-04T02:10:00Z,Scheduled,2,Quinn Mathews,687273,L,36.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",22.8,12.5,27.6,95.5,75.0,40.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,1,"Last 7 games: 8/30, 1 HR","switch hitter; pitcher baseline 1.7% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.55,36.26,88.09,99.0648,0.3802,0.1174,0.3182,70.52,12.18,41.69,27.41,7.4,0.1388,1.7,33.3,88.1,0.312,0.073,25.0,,,UNIQLO Field at Dodger Stadium,
93,695720,Tommy White,ATH,SEA,2026-09-04T01:40:00Z,Scheduled,5,Kade Anderson,807739,L,36.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",21.7,24.2,25.4,81.9,78.0,21.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","platoon edge; pitcher baseline 7.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.1,32.3,85.8,97.1776,0.392,0.126,0.298,69.4,13.3,27.4,24.2,2.0,0.074,7.1,32.1,85.8,0.27,0.126,42.9,,,T-Mobile Park,
94,663538,Nico Hoerner,CHC,MIL,2026-09-03T23:15:00Z,Pre-Game,6,Logan Henderson,701656,R,36.1,Longshot,Watch List,No major boost,8.4,37.2,46.8,76.2,50.0,43.2,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","same-side matchup; pitcher baseline 8.6% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.7,28.76,86.14,96.25,0.3791,0.0829,0.3227,68.33,1.76,32.59,21.56,7.7,0.097,8.6,36.72,88.66,0.3569,0.1456,31.91,In From RF,82,Wrigley Field,
95,641487,J.P. Crawford,SEA,ATH,2026-09-04T01:40:00Z,Scheduled,8,Jack Perkins,678022,R,36.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",21.2,40.3,25.4,47.9,80.0,32.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,0,Contact streak: 7/21 over last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.67,35.4,87.69,98.264,0.3671,0.1207,0.3238,71.28,18.95,35.63,21.07,10.6,0.1197,9.04,36.79,87.87,0.3741,0.1489,34.45,,,T-Mobile Park,
96,643396,Isiah Kiner-Falefa,BOS,BAL,2026-09-03T23:15:00Z,Pre-Game,9,Brandon Young,687064,R,35.3,Longshot,Watch List,Good Environment,2.8,42.5,74.1,44.8,50.0,46.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","same-side matchup; pitcher baseline 7.8% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.45,26.45,82.85,95.0231,0.3348,0.0688,0.2949,68.11,3.09,38.29,14.11,2.0,0.079,7.75,40.66,89.26,0.4173,0.1651,26.38,Out To RF,88,Oriole Park at Camden Yards,
97,666152,David Hamilton,MIL,CHC,2026-09-03T23:15:00Z,Pre-Game,9,Kevin Gausman,592332,R,34.9,Longshot,Watch List,Platoon Edge,11.2,40.7,46.8,44.8,80.0,19.5,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 7.7% barrel, 20.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.18,27.8,86.88,96.8442,0.3134,0.0953,0.2705,69.73,6.73,34.9,25.18,4.6,0.1042,7.66,39.44,88.67,0.4028,0.1578,26.44,In From RF,82,Wrigley Field,
98,665877,Jose Fermin,STL,LAD,2026-09-04T02:10:00Z,Scheduled,1,Tarik Skubal,669373,L,34.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",10.4,28.7,27.6,88.7,78.0,14.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","platoon edge; pitcher baseline 7.8% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.68,31.29,86.61,96.5863,0.3495,0.092,0.3054,68.07,3.16,48.81,25.01,4.5,0.12,7.75,35.17,86.87,0.3405,0.1205,25.9,,,UNIQLO Field at Dodger Stadium,
99,683227,Cody Freeman,TEX,TB,2026-09-04T00:05:00Z,Pre-Game,8,Shane McClanahan,663556,L,33.4,Longshot,Watch List,Platoon Edge,0.8,42.8,41.1,52.4,78.0,46.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.52,22.23,83.43,94.3818,0.2714,0.0681,0.2458,66.88,0.45,41.04,21.26,1.6,0.0958,8.8,40.9,89.1,0.406,0.164,26.9,None,72,Globe Life Field,
