rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,DET,2026-06-25T22:40:00Z,Pre-Game,2,Troy Melton,675512,R,69.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",84.9,37.3,67.1,95.5,80.0,41.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","platoon edge; pitcher baseline 7.0% barrel, 6.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.37,53.39,94.49,105.1039,0.6687,0.3434,0.456,76.03,60.27,40.25,36.1,19.3,0.2655,6.99,40.52,89.61,0.3885,0.1561,28.55,Out To LF,71,Comerica Park,
2,656941,Kyle Schwarber,PHI,WSH,2026-06-25T22:45:00Z,Scheduled,2,Cade Cavalli,676917,R,64.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.3,32.0,28.2,95.5,80.0,82.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 6.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,21.08,54.28,93.53,104.5439,0.5558,0.3092,0.3905,77.16,76.19,56.1,36.05,37.1,0.3363,6.6,40.47,88.89,0.3951,0.1375,20.7,,,Nationals Park,
3,700250,Ben Rice,NYY,BOS,2026-06-25T23:10:00Z,Pre-Game,2,Connelly Early,813349,L,61.7,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",63.5,43.3,64.7,95.5,50.0,54.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.9% barrel, 9.8 HR allowed",EV profile; pitcher allows elevated contact,15.05,49.73,92.39,102.4776,0.5285,0.252,0.3854,72.63,25.82,46.22,28.29,23.2,0.2888,8.88,40.98,89.65,0.3778,0.154,31.38,Out To LF,78,Fenway Park,
4,682985,Riley Greene,DET,HOU,2026-06-25T22:40:00Z,Pre-Game,4,Tatsuya Imai,837227,R,61.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",58.6,42.4,67.1,94.9,80.0,26.4,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 8.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.3,49.0,91.09,102.7785,0.4665,0.2172,0.3502,75.53,56.99,37.37,32.12,17.1,0.1755,8.6,44.8,90.5,0.383,0.154,21.9,Out To LF,71,Comerica Park,
5,672960,Kazuma Okamoto,TOR,TEX,2026-06-25T23:07:00Z,Pre-Game,4,MacKenzie Gore,669022,L,61.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.3,47.8,43.9,94.9,78.0,60.7,Yes,No,3,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 4 vs RotoWire 3,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 11.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.8,50.0,92.0,102.8941,0.446,0.223,0.331,73.4,37.8,51.1,31.3,17.0,0.219,9.34,45.15,90.12,0.3961,0.1551,28.21,None,72,Rogers Centre,
6,805811,Bryce Eldridge,SF,ATH,2026-06-25T19:45:00Z,Pre-Game,2,Jeffrey Springs,605488,L,60.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",70.2,49.0,40.8,100.0,50.0,23.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","same-side matchup; pitcher baseline 9.6% barrel, 23.1 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.18,58.16,92.52,103.1268,0.4974,0.2554,0.3692,72.97,28.23,41.56,36.63,4.2,0.1665,9.57,36.25,87.95,0.4429,0.196,32.3,Varies,64,Oracle Park,
7,665742,Juan Soto,NYM,CHC,2026-06-25T23:10:00Z,Scheduled,3,Matthew Boyd,571510,L,60.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",73.6,47.1,24.8,92.1,50.0,70.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.3% barrel, 7.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.61,51.59,93.45,103.4093,0.6059,0.3077,0.4227,72.62,30.89,38.13,32.47,24.8,0.2683,9.35,46.96,88.99,0.4295,0.1769,21.37,,,Citi Field,
8,693307,Dillon Dingler,DET,HOU,2026-06-25T22:40:00Z,Pre-Game,3,Tatsuya Imai,837227,R,59.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",54.3,42.4,67.1,96.6,50.0,73.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.72,48.71,90.56,101.6179,0.531,0.234,0.3811,71.91,16.56,41.99,28.71,16.5,0.2317,8.6,44.8,90.5,0.383,0.154,21.9,Out To LF,71,Comerica Park,
9,663457,Lars Nootbaar,STL,AZ,2026-06-25T23:45:00Z,Pre-Game,5,Zac Gallen,668678,R,59.6,Longshot,Watch List,"Strong Barrel, Platoon Edge",61.0,54.7,36.6,86.4,80.0,32.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,0,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 18.4 HR allowed",EV profile; pitcher fly-ball pressure modest,12.37,53.92,92.98,102.3522,0.5099,0.2362,0.3737,73.75,42.28,36.6,28.06,5.3,0.1809,9.42,43.28,90.24,0.4704,0.185,28.13,In From CF,85,Busch Stadium,
10,681481,Kerry Carpenter,DET,HOU,2026-06-25T22:40:00Z,Pre-Game,2,Tatsuya Imai,837227,R,59.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.8,42.4,67.1,100.0,80.0,26.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,1,"Last 7 games: 3/17, 1 HR","platoon edge; pitcher baseline 8.6% barrel, 6.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,10.71,47.99,91.33,100.0219,0.4202,0.1997,0.3119,71.9,16.52,46.66,39.12,14.8,0.2443,8.6,44.8,90.5,0.383,0.154,21.9,Out To LF,71,Comerica Park,
