rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
69,802139,JJ Wetherholt,STL,CHC,2026-07-28T23:45:00Z,Pre-Game,1,Colin Rea,607067,R,53.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",38.3,54.2,41.6,93.2,80.0,22.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,1,"Last 7 games: 4/27, 1 HR","platoon edge; pitcher baseline 10.4% barrel, 17.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.2,44.9,89.9,99.4025,0.431,0.174,0.346,72.3,22.2,37.3,29.6,15.0,0.138,10.37,40.02,89.59,0.4667,0.1945,26.05,In From LF,91,Busch Stadium,
70,646240,Rafael Devers,SF,MIL,2026-07-29T01:45:00Z,Scheduled,4,Logan Henderson,701656,R,53.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",58.2,34.1,19.3,90.4,80.0,62.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 4.4 HR allowed",EV profile; pitcher allows elevated contact,12.71,52.18,92.59,103.0622,0.4625,0.2273,0.3369,71.81,21.62,33.49,33.25,25.9,0.2326,8.6,35.46,88.1,0.359,0.14,30.65,,,Oracle Park,
71,683748,Victor Mesa Jr.,TB,TEX,2026-07-28T22:40:00Z,Pre-Game,6,Cal Quantrill,615698,R,53.1,Longshot,Watch List,"Platoon Edge, Hot Hitter/Streak",38.7,51.2,41.1,76.2,80.0,79.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.9,39.68,89.07,100.0965,0.4087,0.1739,0.3256,73.68,33.46,44.16,27.33,5.9,0.2127,10.12,37.16,88.37,0.4729,0.2066,30.34,None,72,Tropicana Field,
72,663757,Trent Grisham,NYY,CWS,2026-07-28T23:40:00Z,Pre-Game,5,Anthony Kay,641743,L,53.0,Longshot,Watch List,"Strong Barrel, Good Environment",48.7,39.8,71.6,86.4,50.0,0.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,23,0,"Last 7 games: 1/23, 0 HR","same-side matchup; pitcher baseline 8.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.54,45.56,90.96,100.7849,0.4574,0.208,0.3525,70.58,8.7,47.17,30.35,17.9,0.1905,8.6,39.0,88.5,0.416,0.148,22.0,Out To RF,72,Rate Field,
73,605170,Victor Caratini,MIN,KC,2026-07-28T23:40:00Z,Pre-Game,6,Seth Lugo,607625,R,52.7,Longshot,Watch List,Platoon Edge,32.2,58.0,67.6,76.2,75.0,12.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","switch hitter; pitcher baseline 9.9% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.28,39.44,89.4,99.0195,0.4068,0.1588,0.3283,71.39,16.18,38.2,24.95,8.5,0.1289,9.91,44.71,90.7,0.4793,0.2079,30.3,Out To CF,89,Target Field,
74,803011,Sam Antonacci,CWS,NYY,2026-07-28T23:40:00Z,Pre-Game,1,Gerrit Cole,543037,R,52.7,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",25.0,51.0,71.6,93.2,80.0,24.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.5,36.2,87.6,98.268,0.427,0.139,0.358,70.0,8.6,33.6,21.5,7.0,0.133,10.7,43.1,90.1,0.391,0.154,32.8,Out To RF,72,Rate Field,
75,665862,Jazz Chisholm Jr.,NYY,CWS,2026-07-28T23:40:00Z,Pre-Game,7,Anthony Kay,641743,L,52.5,Longshot,Watch List,"Strong Barrel, Good Environment, Hot Hitter/Streak",45.1,39.8,71.6,64.3,50.0,75.9,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.43,42.32,90.33,100.5458,0.4061,0.1896,0.3068,73.34,34.06,52.96,29.98,20.5,0.2033,8.6,39.0,88.5,0.416,0.148,22.0,Out To RF,72,Rate Field,
76,669394,Jake Burger,TEX,TB,2026-07-28T22:40:00Z,Pre-Game,6,Griffin Jax,643377,R,52.3,Longshot,Watch List,"Strong Barrel, Hot Hitter/Streak",48.4,46.5,41.1,76.2,50.0,75.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 10.0% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.87,46.89,90.12,102.7176,0.4255,0.1886,0.3107,75.23,56.44,43.0,27.27,18.1,0.1893,10.03,41.16,88.92,0.422,0.1674,23.72,None,72,Tropicana Field,
77,656811,Ryan O'Hearn,PIT,AZ,2026-07-28T22:40:00Z,Pre-Game,5,Brandon Pfaadt,694297,R,52.2,Longshot,Watch List,Platoon Edge,36.1,47.5,51.8,86.4,80.0,36.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","platoon edge; pitcher baseline 9.9% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.67,44.11,89.54,99.5514,0.4204,0.1607,0.3302,71.1,11.92,38.94,28.78,17.0,0.1777,9.92,40.27,89.47,0.4331,0.1757,21.1,L To R,78,PNC Park,
78,686527,Dominic Canzone,SEA,LAD,2026-07-29T02:10:00Z,Scheduled,3,Justin Wrobleski,680736,L,52.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",59.5,37.9,27.6,92.1,50.0,37.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","same-side matchup; pitcher baseline 6.4% barrel, 7.4 HR allowed",EV profile; pitcher fly-ball pressure modest,14.01,47.67,92.09,102.8795,0.5113,0.2353,0.3655,74.22,44.12,41.23,26.37,14.5,0.2279,6.39,44.09,90.39,0.3961,0.1388,27.3,,,UNIQLO Field at Dodger Stadium,
79,596146,Max Kepler,AZ,PIT,2026-07-28T22:40:00Z,Pre-Game,5,Bubba Chandler,696149,R,52.0,Longshot,Watch List,Platoon Edge,43.3,35.5,51.8,86.4,80.0,43.2,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","platoon edge; pitcher baseline 7.2% barrel, 7.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.71,47.15,89.82,100.2393,0.4185,0.1874,0.3124,71.44,16.56,45.35,31.12,6.8,0.1659,7.16,38.25,89.43,0.3765,0.1532,27.42,L To R,78,PNC Park,
80,682848,Endy Rodríguez,PIT,AZ,2026-07-28T22:40:00Z,Pre-Game,7,Brandon Pfaadt,694297,R,52.0,Longshot,Watch List,Platoon Edge,43.4,46.0,51.8,64.3,75.0,62.4,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.9% barrel, 13.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,9.39,46.03,92.34,100.5817,0.3922,0.1554,0.3288,72.2,21.5,43.97,34.2,3.5,0.1673,9.92,40.27,89.47,0.4331,0.1757,21.1,L To R,78,PNC Park,
81,553993,Eugenio Suarez,CIN,CLE,2026-07-28T23:10:00Z,Scheduled,4,Gavin Williams,668909,R,51.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",39.7,57.2,39.3,90.4,50.0,40.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.8% barrel, 20.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.78,36.89,88.94,99.9195,0.3748,0.1785,0.2829,71.81,21.04,47.54,33.62,24.5,0.2259,10.75,47.38,90.68,0.4162,0.181,25.09,,,Great American Ball Park,
82,663330,Jahmai Jones,BOS,ATH,2026-07-29T01:40:00Z,Scheduled,1,Gage Jump,695611,L,51.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",49.5,37.3,30.9,88.7,78.0,45.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,10,1,"Last 7 games: 3/10, 1 HR","platoon edge; pitcher baseline 6.3% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.58,47.3,91.08,102.3199,0.4406,0.1982,0.3332,73.25,34.73,46.68,27.85,4.2,0.1608,6.3,43.1,90.3,0.4,0.144,26.9,,,Sutter Health Park,
83,543807,George Springer,TOR,WSH,2026-07-28T22:45:00Z,Pre-Game,4,Cade Cavalli,676917,R,51.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",41.3,29.7,68.2,94.9,50.0,48.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 6.0% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.25,42.0,88.95,100.2702,0.4345,0.1855,0.3354,73.21,34.88,42.63,26.72,17.3,0.1887,5.97,41.03,88.82,0.3769,0.1284,21.05,Out To RF,80,Nationals Park,
84,650490,Yandy Díaz,TB,TEX,2026-07-28T22:40:00Z,Pre-Game,1,Cal Quantrill,615698,R,51.0,Longshot,Watch List,Premium Lineup Spot,40.5,51.2,41.1,93.2,50.0,33.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,32,1,"Last 7 games: 7/32, 1 HR","same-side matchup; pitcher baseline 10.1% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.32,48.65,91.39,103.2433,0.4485,0.1621,0.3558,73.74,38.38,22.69,19.72,17.3,0.1652,10.12,37.16,88.37,0.4729,0.2066,30.34,None,72,Tropicana Field,
85,691176,Jasson Domínguez,NYY,CWS,2026-07-28T23:40:00Z,Pre-Game,4,Anthony Kay,641743,L,51.0,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",27.8,38.3,71.6,94.9,75.0,36.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,1,"Last 7 games: 7/29, 1 HR","switch hitter; pitcher baseline 8.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.67,41.62,88.78,100.881,0.3728,0.1218,0.2955,74.38,40.25,43.74,24.06,7.2,0.1527,8.6,39.0,88.5,0.416,0.148,22.0,Out To RF,72,Rate Field,
86,691723,Coby Mayo,BAL,DET,2026-07-28T22:40:00Z,Pre-Game,7,Troy Melton,675512,R,50.9,Longshot,Watch List,"Strong Barrel, Good Environment",46.4,33.3,73.1,64.3,50.0,62.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.0% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.66,45.38,90.94,102.8988,0.3868,0.1775,0.2932,75.4,54.31,50.25,33.34,13.1,0.2004,6.99,39.68,89.33,0.3577,0.1428,24.84,Out To RF,75,Comerica Park,
87,682818,Yohendrick Piñango,TOR,WSH,2026-07-28T22:45:00Z,Pre-Game,1,Cade Cavalli,676917,R,50.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",38.8,29.7,68.2,93.2,80.0,10.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.4,46.2,90.8,101.9472,0.406,0.14,0.312,75.6,57.8,28.6,21.8,5.0,0.142,5.97,41.03,88.82,0.3769,0.1284,21.05,Out To RF,80,Nationals Park,
88,660688,Keibert Ruiz,WSH,TOR,2026-07-28T22:45:00Z,Pre-Game,5,Shane Bieber,669456,R,50.9,Longshot,Watch List,Platoon Edge,17.5,64.8,68.2,86.4,75.0,10.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","switch hitter; pitcher baseline 11.5% barrel, 7.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.23,35.94,87.95,97.6771,0.3559,0.1122,0.2765,67.22,0.51,54.75,27.05,5.5,0.1508,11.53,47.29,90.61,0.5315,0.2369,25.47,Out To RF,80,Nationals Park,
89,630105,Jake Cronenworth,SD,COL,2026-07-29T01:40:00Z,Pre-Game,2,Michael Lorenzen,547179,R,50.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",21.1,53.6,57.6,95.5,80.0,32.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,0,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 18.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.57,36.06,88.22,98.8147,0.3516,0.1154,0.3141,71.46,17.81,32.94,20.69,5.4,0.0953,9.08,44.45,90.28,0.4671,0.1847,25.66,Out To RF,74,Petco Park,
90,677594,Julio Rodriguez,SEA,LAD,2026-07-29T02:10:00Z,Scheduled,2,Justin Wrobleski,680736,L,50.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",46.1,37.9,27.6,95.5,78.0,36.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","platoon edge; pitcher baseline 6.4% barrel, 7.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.1,44.57,90.47,102.8292,0.4699,0.1978,0.3454,76.54,66.35,37.58,25.49,20.1,0.1748,6.39,44.09,90.39,0.3961,0.1388,27.3,,,UNIQLO Field at Dodger Stadium,
91,686681,Michael Massey,KC,MIN,2026-07-28T23:40:00Z,Pre-Game,7,Taj Bradley,671737,R,50.5,Longshot,Watch List,Platoon Edge,29.8,48.9,67.6,64.3,80.0,52.5,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,1,Contact streak: 8/23 over last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.75,38.95,89.32,98.7168,0.3859,0.1458,0.2909,71.43,11.94,48.31,33.46,6.5,0.1369,9.15,43.05,90.46,0.391,0.161,29.89,Out To CF,89,Target Field,
92,699625,Jimmy Crooks,STL,CHC,2026-07-28T23:45:00Z,Pre-Game,9,Colin Rea,607067,R,50.4,Longshot,Watch List,Platoon Edge,48.0,54.2,41.6,44.8,80.0,37.8,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,1,"Last 7 games: 4/16, 1 HR","platoon edge; pitcher baseline 10.4% barrel, 17.9 HR allowed",EV profile; pitcher fly-ball pressure modest,9.41,50.36,92.05,101.4341,0.4079,0.1893,0.3014,71.55,17.13,31.47,36.4,2.4,0.1425,10.37,40.02,89.59,0.4667,0.1945,26.05,In From LF,91,Busch Stadium,
93,665489,Vladimir Guerrero Jr.,TOR,WSH,2026-07-28T22:45:00Z,Pre-Game,3,Cade Cavalli,676917,R,50.1,Longshot,Watch List,Premium Lineup Spot,40.0,29.7,68.2,96.6,50.0,30.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 6.0% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.35,45.8,90.81,103.1633,0.4367,0.1451,0.3539,76.42,64.06,35.95,19.24,11.1,0.1169,5.97,41.03,88.82,0.3769,0.1284,21.05,Out To RF,80,Nationals Park,
94,663728,Cal Raleigh,SEA,LAD,2026-07-29T02:10:00Z,Scheduled,4,Justin Wrobleski,680736,L,50.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",49.7,37.1,27.6,90.4,75.0,24.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","switch hitter; pitcher baseline 6.4% barrel, 7.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.48,37.7,89.06,100.1078,0.407,0.2145,0.3101,74.99,53.3,53.52,41.73,25.0,0.1971,6.39,44.09,90.39,0.3961,0.1388,27.3,,,UNIQLO Field at Dodger Stadium,
95,657041,Lane Thomas,KC,MIN,2026-07-28T23:40:00Z,Pre-Game,2,Taj Bradley,671737,R,50.0,Longshot,Watch List,Premium Lineup Spot,25.9,48.9,67.6,100.0,50.0,21.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,1,"Last 7 games: 4/28, 1 HR","same-side matchup; pitcher baseline 9.2% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.99,38.93,88.92,99.542,0.3455,0.125,0.2969,72.56,23.43,42.47,25.16,8.2,0.1526,9.15,43.05,90.46,0.391,0.161,29.89,Out To CF,89,Target Field,
96,671056,Iván Herrera,STL,CHC,2026-07-28T23:45:00Z,Pre-Game,4,Colin Rea,607067,R,49.8,Longshot,Watch List,Premium Lineup Spot,33.8,54.2,41.6,94.9,50.0,32.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","same-side matchup; pitcher baseline 10.4% barrel, 17.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.18,41.89,89.73,101.0941,0.4079,0.1555,0.3442,74.05,44.34,36.82,19.45,14.1,0.1492,10.37,40.02,89.59,0.4667,0.1945,26.05,In From LF,91,Busch Stadium,
97,687637,Dylan Beavers,BAL,DET,2026-07-28T22:40:00Z,Pre-Game,1,Troy Melton,675512,R,49.6,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",27.7,33.3,73.1,93.2,80.0,24.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.36,34.86,88.45,99.1108,0.3779,0.1481,0.3188,72.2,19.36,40.6,30.83,2.6,0.1261,6.99,39.68,89.33,0.3577,0.1428,24.84,Out To RF,75,Comerica Park,
98,650402,Gleyber Torres,DET,BAL,2026-07-28T22:40:00Z,Pre-Game,2,Dean Kremer,665152,R,49.4,Longshot,Watch List,"Good Environment, Premium Lineup Spot",24.5,47.3,73.1,100.0,50.0,9.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","same-side matchup; pitcher baseline 9.0% barrel, 13.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.5,33.33,86.85,97.5179,0.4018,0.1454,0.3455,68.52,5.43,22.42,27.8,7.6,0.11,8.98,34.61,87.4,0.4606,0.2156,34.77,Out To RF,75,Comerica Park,
99,668227,Randy Arozarena,SEA,LAD,2026-07-29T02:10:00Z,Scheduled,1,Justin Wrobleski,680736,L,49.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",40.7,37.9,27.6,88.7,78.0,66.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 7.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.26,45.35,91.23,101.082,0.4247,0.1704,0.3459,71.32,24.62,33.49,22.28,17.2,0.1761,6.39,44.09,90.39,0.3961,0.1388,27.3,,,UNIQLO Field at Dodger Stadium,
100,672515,Gabriel Moreno,AZ,PIT,2026-07-28T22:40:00Z,Pre-Game,3,Bubba Chandler,696149,R,49.3,Longshot,Watch List,Premium Lineup Spot,36.7,35.5,51.8,96.6,50.0,58.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,1,Contact streak: 10/26 over last 7 games,"same-side matchup; pitcher baseline 7.2% barrel, 7.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.52,42.84,89.84,99.6174,0.4614,0.1663,0.3698,71.32,20.31,35.15,25.4,7.6,0.1431,7.16,38.25,89.43,0.3765,0.1532,27.42,L To R,78,PNC Park,
101,702616,Jackson Holliday,BAL,DET,2026-07-28T22:40:00Z,Pre-Game,6,Troy Melton,675512,R,48.7,Longshot,Watch List,"Good Environment, Platoon Edge",29.3,33.3,73.1,76.2,80.0,45.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,22,0,Contact streak: 10/22 over last 7 games,"platoon edge; pitcher baseline 7.0% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.15,38.14,87.96,98.572,0.3823,0.1455,0.3217,70.67,8.25,37.37,26.36,8.6,0.1442,6.99,39.68,89.33,0.3577,0.1428,24.84,Out To RF,75,Comerica Park,
102,657757,Gavin Sheets,SD,COL,2026-07-29T01:40:00Z,Pre-Game,7,Michael Lorenzen,547179,R,48.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",33.8,53.6,57.6,59.8,80.0,4.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 18.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.64,41.32,88.36,99.5951,0.4033,0.162,0.3232,74.52,47.77,38.84,23.14,15.5,0.1819,9.08,44.45,90.28,0.4671,0.1847,25.66,Out To RF,74,Petco Park,
103,621493,Taylor Ward,BAL,DET,2026-07-28T22:40:00Z,Pre-Game,4,Troy Melton,675512,R,48.4,Longshot,Watch List,"Good Environment, Premium Lineup Spot",32.5,33.3,73.1,94.9,50.0,18.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,0,"Last 7 games: 7/29, 0 HR","same-side matchup; pitcher baseline 7.0% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.1,39.62,89.47,99.4994,0.4003,0.1553,0.3435,68.73,4.26,34.29,29.52,15.7,0.1462,6.99,39.68,89.33,0.3577,0.1428,24.84,Out To RF,75,Comerica Park,
