rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
49,663993,Nathaniel Lowe,CIN,CLE,2026-07-28T23:10:00Z,Scheduled,5,Gavin Williams,668909,R,55.2,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",40.5,57.2,39.3,81.9,80.0,70.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 20.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.8,40.66,89.0,100.9481,0.4381,0.1828,0.3366,74.03,38.3,37.2,26.97,13.8,0.1992,10.75,47.38,90.68,0.4162,0.181,25.09,,,Great American Ball Park,
50,575929,Willson Contreras,BOS,ATH,2026-07-29T01:40:00Z,Scheduled,3,Gage Jump,695611,L,55.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.1,37.3,30.9,92.1,78.0,32.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,0,Contact streak: 7/21 over last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.32,47.11,90.6,103.1223,0.5055,0.2415,0.3783,76.77,68.96,44.56,28.77,21.4,0.2369,6.3,43.1,90.3,0.4,0.144,26.9,,,Sutter Health Park,
51,805811,Bryce Eldridge,SF,MIL,2026-07-29T01:45:00Z,Scheduled,3,Logan Henderson,701656,R,55.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",72.3,34.1,19.3,92.1,80.0,0.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,0,"Last 7 games: 2/23, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 4.4 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.53,58.3,93.36,103.4962,0.4925,0.2596,0.365,73.11,29.49,41.77,37.89,7.0,0.1595,8.6,35.46,88.1,0.359,0.14,30.65,,,Oracle Park,
52,663457,Lars Nootbaar,STL,CHC,2026-07-28T23:45:00Z,Pre-Game,5,Colin Rea,607067,R,54.9,Longshot,Watch List,Platoon Edge,48.7,54.2,41.6,86.4,80.0,7.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 17.9 HR allowed",EV profile; pitcher fly-ball pressure modest,9.85,51.05,92.0,101.8311,0.4287,0.1865,0.3359,73.12,34.93,38.0,28.9,6.0,0.1298,10.37,40.02,89.59,0.4667,0.1945,26.05,In From LF,91,Busch Stadium,
53,805808,Kevin McGonigle,DET,BAL,2026-07-28T22:40:00Z,Pre-Game,1,Dean Kremer,665152,R,54.8,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",33.5,47.3,73.1,93.2,80.0,24.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 13.6 HR allowed",fly-ball profile; pitcher allows elevated contact,7.4,37.5,88.1,98.4398,0.438,0.169,0.359,71.2,17.2,38.0,35.0,9.0,0.136,8.98,34.61,87.4,0.4606,0.2156,34.77,Out To RF,75,Comerica Park,
54,502671,Paul Goldschmidt,NYY,CWS,2026-07-28T23:40:00Z,Pre-Game,1,Anthony Kay,641743,L,54.8,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",38.1,39.8,71.6,93.2,78.0,37.8,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 8.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.38,39.22,87.6,99.4616,0.429,0.1868,0.3157,71.69,16.23,33.74,28.79,14.2,0.1941,8.6,39.0,88.5,0.416,0.148,22.0,Out To RF,72,Rate Field,
55,690993,Colt Keith,DET,BAL,2026-07-28T22:40:00Z,Pre-Game,5,Dean Kremer,665152,R,54.7,Longshot,Watch List,"Good Environment, Platoon Edge",35.9,47.3,73.1,86.4,80.0,24.9,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 13.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.08,41.95,89.02,100.0364,0.4314,0.1674,0.3277,71.47,16.23,37.24,27.63,9.5,0.1458,8.98,34.61,87.4,0.4606,0.2156,34.77,Out To RF,75,Comerica Park,
56,695734,Daylen Lile,WSH,TOR,2026-07-28T22:45:00Z,Pre-Game,6,Shane Bieber,669456,R,54.7,Longshot,Watch List,Platoon Edge,30.4,65.5,68.2,76.2,80.0,16.1,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","platoon edge; pitcher baseline 11.5% barrel, 7.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.16,36.67,88.34,98.5832,0.4224,0.1544,0.3235,70.32,6.7,40.66,31.92,10.4,0.1724,11.53,47.29,90.61,0.5315,0.2369,25.47,Out To RF,80,Nationals Park,
57,668804,Bryan Reynolds,PIT,AZ,2026-07-28T22:40:00Z,Pre-Game,3,Brandon Pfaadt,694297,R,54.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",47.0,46.0,51.8,96.6,75.0,0.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,0,"Last 7 games: 3/28, 0 HR","switch hitter; pitcher baseline 9.9% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.01,46.7,90.99,101.9733,0.4456,0.1918,0.3527,72.62,28.58,40.78,24.97,14.6,0.1766,9.92,40.27,89.47,0.4331,0.1757,21.1,L To R,78,PNC Park,
58,663886,Tyler Stephenson,CIN,CLE,2026-07-28T23:10:00Z,Scheduled,6,Gavin Williams,668909,R,54.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",50.8,57.2,39.3,71.7,50.0,70.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.8% barrel, 20.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.68,46.89,90.78,100.6097,0.448,0.2061,0.3354,70.8,8.47,38.2,31.89,9.5,0.1606,10.75,47.38,90.68,0.4162,0.181,25.09,,,Great American Ball Park,
