rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
152,682668,Luisangel Acuna,CWS,DET,2026-09-18T23:40:00Z,Scheduled,8,Andrew Sears,808825,L,28.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.8,24.7,27.6,47.9,78.0,0.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,9,0,"Last 7 games: 0/9, 0 HR","platoon edge; pitcher baseline 5.6% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.59,36.41,88.32,99.3433,0.3095,0.0672,0.2668,71.68,24.56,32.15,16.02,0.7,0.0365,5.6,27.8,89.4,0.338,0.13,38.9,,,Rate Field,
153,680700,Richie Palacios,TB,BOS,2026-09-18T23:10:00Z,Scheduled,8,Ranger Suarez,624133,L,28.3,Longshot,Watch List,Projected Lineup,16.2,20.7,27.6,47.9,50.0,53.3,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,17,1,Contact streak: 6/17 over last 7 games,"same-side matchup; pitcher baseline 5.6% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.71,33.74,87.45,97.2021,0.3709,0.1032,0.3243,68.84,3.8,36.32,21.4,7.3,0.1358,5.57,32.71,86.78,0.3552,0.1145,23.54,,,Tropicana Field,
154,669707,Jared Triolo,PIT,KC,2026-09-18T22:40:00Z,Scheduled,8,Randy Dobnak,677976,R,28.2,Longshot,Watch List,Projected Lineup,14.3,35.6,24.3,47.9,50.0,2.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,0,"Last 7 games: 2/15, 0 HR","same-side matchup; pitcher baseline 5.1% barrel, 4.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.54,34.77,87.18,98.0098,0.3375,0.0964,0.2939,70.83,7.72,38.27,21.31,4.2,0.0863,5.11,44.96,91.46,0.4171,0.1345,23.32,,,PNC Park,
155,675961,Alika Williams,ATH,CLE,2026-09-18T23:10:00Z,Scheduled,7,Daniel Espino,682982,R,27.6,Longshot,Watch List,Projected Lineup,6.5,33.2,27.6,59.8,50.0,10.1,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","same-side matchup; pitcher baseline 11.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.3,32.9,84.5,96.8685,0.292,0.08,0.243,69.3,3.1,41.8,22.9,4.0,0.163,11.1,37.0,85.1,0.319,0.118,33.3,,,Progressive Field,
156,596117,Garrett Stubbs,PHI,NYM,2026-09-18T23:15:00Z,Scheduled,9,Zac Thornton,804267,L,26.1,Longshot,Watch List,Projected Lineup,1.1,48.8,24.8,40.2,50.0,3.4,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,0,"Last 7 games: 2/14, 0 HR","same-side matchup; pitcher baseline 9.1% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,17.92,79.82,86.6524,0.172,0.0283,0.1616,68.01,0.0,51.14,17.92,0.0,0.0,9.1,41.4,89.3,0.448,0.18,29.5,,,Citi Field,
157,670032,Nicky Lopez,TEX,TOR,2026-09-19T00:05:00Z,Scheduled,7,Dylan Cease,656302,R,26.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",2.0,21.5,27.6,59.8,80.0,12.0,No,Yes,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,10,0,"Last 7 games: 2/10, 0 HR","platoon edge; pitcher baseline 6.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,27.05,84.59,95.1409,0.2606,0.0405,0.2519,66.65,1.31,32.89,12.49,0.7,0.0287,6.36,33.58,86.59,0.3079,0.1107,25.19,,,Globe Life Field,
158,669392,Samad Taylor,SD,MIA,2026-09-19T01:40:00Z,Scheduled,9,Tyler Phillips,663969,R,25.8,Longshot,Watch List,Projected Lineup,1.6,40.9,22.6,40.2,50.0,38.3,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,0,Contact streak: 9/24 over last 7 games,"same-side matchup; pitcher baseline 7.2% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.54,20.06,82.0,93.7504,0.3028,0.0612,0.2698,68.6,2.94,27.73,16.21,0.7,0.0504,7.2,42.91,89.55,0.4043,0.1534,26.5,,,Petco Park,
159,595879,Javier Baez,DET,CWS,2026-09-18T23:40:00Z,Scheduled,9,David Sandlin,689818,R,25.7,Longshot,Watch List,Projected Lineup,12.7,30.0,27.6,40.2,50.0,0.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,14,0,"Last 7 games: 1/14, 0 HR","same-side matchup; pitcher baseline 8.3% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.19,35.14,85.89,97.7669,0.3212,0.087,0.2598,73.43,33.32,41.83,21.77,5.0,0.1203,8.3,33.3,86.8,0.369,0.146,25.0,,,Rate Field,
160,623168,Tyler Heineman,LAA,MIN,2026-09-19T01:38:00Z,Scheduled,9,Connor Prielipp,687570,L,25.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",0.4,37.5,28.2,40.2,75.0,0.0,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,18,0,"Last 7 games: 2/18, 0 HR","switch hitter; pitcher baseline 6.8% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.45,15.54,82.58,92.7224,0.2734,0.0559,0.2499,65.47,0.42,43.22,22.03,1.6,0.0717,6.8,41.5,90.2,0.39,0.149,26.0,,,Angel Stadium,
161,802415,Chandler Simpson,TB,BOS,2026-09-18T23:10:00Z,Scheduled,6,Ranger Suarez,624133,L,25.3,Longshot,Watch List,Projected Lineup,0.3,20.7,27.6,71.7,50.0,32.0,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 5.6% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,14.57,83.74,92.8276,0.3094,0.0382,0.2746,64.73,0.44,28.2,12.3,0.0,0.0514,5.57,32.71,86.78,0.3552,0.1145,23.54,,,Tropicana Field,
162,670764,Taylor Walls,TB,BOS,2026-09-18T23:10:00Z,Scheduled,9,Ranger Suarez,624133,L,23.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",5.7,19.6,27.6,40.2,75.0,10.6,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","switch hitter; pitcher baseline 5.6% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.29,23.25,86.02,95.4693,0.2733,0.078,0.2526,68.35,2.13,38.75,28.98,2.6,0.0815,5.57,32.71,86.78,0.3552,0.1145,23.54,,,Tropicana Field,
