rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
131,630105,Jake Cronenworth,SD,MIA,2026-09-19T01:40:00Z,Scheduled,8,Tyler Phillips,663969,R,33.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",14.3,40.9,22.6,47.9,80.0,33.7,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,0,Contact streak: 10/29 over last 7 games,"platoon edge; pitcher baseline 7.2% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.03,31.58,87.45,97.6737,0.3131,0.0986,0.284,71.32,17.32,31.68,24.54,6.8,0.0925,7.2,42.91,89.55,0.4043,0.1534,26.5,,,Petco Park,
132,686765,Nick Sogard,BOS,TB,2026-09-18T23:10:00Z,Scheduled,9,Ian Seymour,693855,L,33.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.7,41.2,27.6,40.2,75.0,32.9,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","switch hitter; pitcher baseline 9.1% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.18,31.13,86.56,97.0293,0.3645,0.1142,0.3132,68.71,3.68,43.7,23.74,3.5,0.1309,9.13,37.52,88.35,0.3903,0.1663,29.45,,,Tropicana Field,
133,693304,Nick Gonzales,PIT,KC,2026-09-18T22:40:00Z,Scheduled,6,Randy Dobnak,677976,R,33.2,Longshot,Watch List,Projected Lineup,16.2,35.6,24.3,71.7,50.0,22.9,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","same-side matchup; pitcher baseline 5.1% barrel, 4.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.45,35.51,86.98,98.1575,0.3813,0.107,0.3162,70.71,12.45,36.73,21.26,5.7,0.0922,5.11,44.96,91.46,0.4171,0.1345,23.32,,,PNC Park,
134,702222,Justin Crawford,PHI,NYM,2026-09-18T23:15:00Z,Scheduled,8,Zac Thornton,804267,L,33.1,Longshot,Watch List,Projected Lineup,11.6,48.8,24.8,47.9,50.0,52.8,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,20,1,Contact streak: 7/20 over last 7 games,"same-side matchup; pitcher baseline 9.1% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.8,36.3,87.2,98.3057,0.331,0.071,0.289,69.2,6.2,28.1,16.3,3.0,0.091,9.1,41.4,89.3,0.448,0.18,29.5,,,Citi Field,
135,641680,Jonah Heim,ATH,CLE,2026-09-18T23:10:00Z,Scheduled,8,Daniel Espino,682982,R,32.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",22.5,33.0,27.6,47.9,75.0,0.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,25,0,"Last 7 games: 2/25, 0 HR","switch hitter; pitcher baseline 11.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.31,32.68,87.75,97.7188,0.36,0.1354,0.2837,69.84,9.45,40.14,28.04,12.4,0.1533,11.1,37.0,85.1,0.319,0.118,33.3,,,Progressive Field,
136,676356,Jonny DeLuca,TB,BOS,2026-09-18T23:10:00Z,Scheduled,5,Ranger Suarez,624133,L,32.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",10.3,20.7,27.6,81.9,78.0,38.3,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,16,0,Contact streak: 6/16 over last 7 games,"platoon edge; pitcher baseline 5.6% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.93,30.26,85.53,97.4963,0.3325,0.0907,0.2663,72.75,28.52,45.95,22.62,6.3,0.1447,5.57,32.71,86.78,0.3552,0.1145,23.54,,,Tropicana Field,
137,664774,LaMonte Wade,HOU,ATL,2026-09-19T00:10:00Z,Scheduled,9,Tyler Mahle,641816,R,32.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.6,37.3,27.6,40.2,80.0,37.8,No,Yes,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,12,1,"Last 7 games: 3/12, 1 HR","platoon edge; pitcher baseline 7.0% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.94,32.85,87.39,97.9109,0.3,0.1062,0.2747,70.84,7.66,39.59,29.36,2.7,0.1122,7.02,37.59,89.48,0.4004,0.1495,26.7,,,Daikin Park,
138,807726,John Peck,DET,CWS,2026-09-18T23:40:00Z,Scheduled,8,David Sandlin,689818,R,32.1,Longshot,Watch List,Projected Lineup,27.0,30.0,27.6,47.9,50.0,12.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","same-side matchup; pitcher baseline 8.3% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.7,34.4,87.4,97.545,0.36,0.128,0.332,72.3,18.0,25.0,12.5,0.0,0.024,8.3,33.3,86.8,0.369,0.146,25.0,,,Rate Field,
139,702332,Caleb Durbin,BOS,TB,2026-09-18T23:10:00Z,Scheduled,8,Ian Seymour,693855,L,31.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",4.1,43.1,27.6,47.9,78.0,37.8,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.23,25.92,83.87,95.5804,0.3319,0.0909,0.2987,68.81,4.95,40.67,19.96,12.4,0.1338,9.13,37.52,88.35,0.3903,0.1663,29.45,,,Tropicana Field,
140,643376,Danny Jansen,TEX,TOR,2026-09-19T00:05:00Z,Scheduled,8,Dylan Cease,656302,R,31.4,Longshot,Watch List,Projected Lineup,23.2,21.5,27.6,47.9,50.0,63.3,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,20,1,Contact streak: 9/20 over last 7 games,"same-side matchup; pitcher baseline 6.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.19,35.01,87.67,97.9372,0.3192,0.1318,0.2734,69.92,6.6,53.91,27.86,8.4,0.1707,6.36,33.58,86.59,0.3079,0.1107,25.19,,,Globe Life Field,
