rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
228,665877,José Fermín,STL,MIN,2026-06-13T18:10:00Z,Warmup,7,Connor Prielipp,687570,L,37.2,Longshot,Watch List,Platoon Edge,7.6,39.9,45.6,64.3,78.0,45.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,20,0,Contact streak: 9/20 over last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.98,31.5,86.33,96.6565,0.3145,0.0808,0.2816,67.93,3.37,47.55,21.86,1.7,0.1263,9.2,36.4,89.7,0.384,0.162,26.4,In From LF,69,Target Field,
229,808982,Jung Hoo Lee,SF,CHC,2026-06-14T02:05:00Z,Scheduled,5,Ben Brown,676962,R,37.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.0,37.8,19.3,81.9,80.0,44.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,29,0,Contact streak: 12/29 over last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.72,31.51,87.59,96.8959,0.4018,0.0954,0.3336,68.44,3.05,38.53,21.19,4.5,0.1249,7.83,43.87,90.93,0.3506,0.1284,23.55,,,Oracle Park,
230,686555,Isaac Collins,KC,HOU,2026-06-13T23:10:00Z,Scheduled,8,Mike Burrows,681347,R,37.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.6,46.2,23.2,47.9,75.0,17.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","switch hitter; pitcher baseline 9.8% barrel, 15.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.72,39.39,88.66,99.9309,0.3233,0.0962,0.3101,73.19,30.62,42.64,25.88,4.8,0.1074,9.82,39.41,88.43,0.4355,0.1773,27.54,,,Kauffman Stadium,
231,690924,Braxton Fulford,COL,ATH,2026-06-14T02:05:00Z,Scheduled,8,Joey Estes,683155,R,36.9,Longshot,Watch List,Projected Lineup,18.9,58.2,27.6,47.9,50.0,27.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,10,0,"Last 7 games: 3/10, 0 HR","same-side matchup; pitcher baseline 11.9% barrel, 4.0 HR allowed",fly-ball profile; pitcher allows elevated contact,6.0,29.11,86.6,96.565,0.292,0.121,0.2389,71.32,20.2,19.16,37.05,1.0,0.1369,11.9,33.3,88.5,0.49,0.224,45.2,,,Las Vegas Ballpark,
232,680700,Richie Palacios,TB,LAA,2026-06-14T02:07:00Z,Scheduled,5,José Soriano,667755,R,36.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",12.9,37.5,28.2,81.9,80.0,10.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.87,31.78,87.94,96.9724,0.3471,0.092,0.318,68.66,3.24,33.73,18.74,1.0,0.0931,8.46,40.36,89.37,0.3761,0.139,21.2,,,Angel Stadium,
233,683953,Travis Bazzana,CLE,DET,2026-06-13T20:10:00Z,Pre-Game,6,Tarik Skubal,669373,L,36.6,Longshot,Watch List,No major boost,17.4,27.1,53.6,76.2,50.0,22.6,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,1,"Last 7 games: 4/27, 1 HR","same-side matchup; pitcher baseline 6.1% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.5,34.5,88.3,97.9377,0.347,0.109,0.304,69.2,11.5,41.7,29.6,4.0,0.155,6.14,40.0,88.76,0.351,0.1051,24.15,L To R,81,Progressive Field,
234,643396,Isiah Kiner-Falefa,BOS,TEX,2026-06-13T20:10:00Z,Pre-Game,7,Jacob deGrom,594798,R,36.6,Longshot,Watch List,No major boost,3.6,55.3,56.2,64.3,50.0,3.4,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","same-side matchup; pitcher baseline 10.1% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.87,27.57,83.48,95.6242,0.3481,0.0737,0.304,67.93,2.39,40.32,14.6,1.3,0.0692,10.07,43.93,90.87,0.4134,0.1826,32.12,L To R,84,Fenway Park,
235,673490,Ha-Seong Kim,ATL,NYM,2026-06-13T20:10:00Z,Pre-Game,8,Sean Manaea,640455,L,36.4,Longshot,Watch List,Platoon Edge,9.5,39.4,62.8,52.4,78.0,0.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,23,0,"Last 7 games: 1/23, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 7.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.38,28.74,85.99,95.6808,0.2594,0.0685,0.2452,71.55,18.39,45.34,28.38,1.5,0.0333,8.83,38.89,88.4,0.4045,0.1589,24.69,Out To RF,84,Citi Field,
236,676694,Jake Meyers,HOU,KC,2026-06-13T23:10:00Z,Scheduled,6,Noah Cameron,702070,L,36.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.8,42.1,23.2,71.7,78.0,5.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 9.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.91,30.29,86.14,96.6796,0.3421,0.1214,0.2788,67.7,5.49,37.43,26.49,2.3,0.0943,8.4,39.92,89.02,0.4198,0.1688,25.96,,,Kauffman Stadium,
237,694208,Moises Ballesteros,CHC,SF,2026-06-14T02:05:00Z,Scheduled,7,Trevor McDonald,686790,R,36.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.4,21.3,19.3,59.8,80.0,21.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","platoon edge; pitcher baseline 3.9% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.59,42.05,89.59,100.6679,0.3958,0.1485,0.3186,73.12,37.11,34.78,19.39,4.8,0.1606,3.87,39.93,89.65,0.3557,0.1094,11.7,,,Oracle Park,
238,650333,Luis Arraez,SF,CHC,2026-06-14T02:05:00Z,Scheduled,3,Ben Brown,676962,R,36.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",7.1,37.8,19.3,92.1,80.0,32.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,33,0,Contact streak: 11/33 over last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.61,20.83,87.08,94.1897,0.3672,0.0795,0.3023,62.95,0.12,30.24,26.84,3.8,0.1084,7.83,43.87,90.93,0.3506,0.1284,23.55,,,Oracle Park,
239,700337,Edgar Quero,CWS,LAD,2026-06-13T20:10:00Z,Pre-Game,9,Yoshinobu Yamamoto,808967,R,35.5,Longshot,Watch List,Platoon Edge,15.7,28.7,59.6,44.8,75.0,28.9,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","switch hitter; pitcher baseline 6.8% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.58,36.78,90.47,98.5819,0.2935,0.0848,0.2634,68.2,3.22,32.6,24.73,2.9,0.0635,6.82,37.88,88.3,0.3565,0.1298,23.71,L To R,81,Rate Field,
