rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
250,677587,Brayan Rocchio,CLE,DET,2026-06-13T20:10:00Z,Pre-Game,9,Tarik Skubal,669373,L,34.0,Longshot,Watch List,Platoon Edge,14.9,26.4,53.6,44.8,75.0,32.9,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","switch hitter; pitcher baseline 6.1% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.23,33.75,87.09,97.798,0.365,0.1109,0.3118,70.0,7.36,43.22,22.64,5.0,0.1217,6.14,40.0,88.76,0.351,0.1051,24.15,L To R,81,Progressive Field,
251,595978,Austin Hedges,CLE,DET,2026-06-13T20:10:00Z,Pre-Game,8,Tarik Skubal,669373,L,33.9,Longshot,Watch List,Platoon Edge,10.2,27.1,53.6,52.4,78.0,32.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,0,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 6.1% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.84,32.69,87.15,98.1698,0.3127,0.086,0.2777,69.75,11.38,50.4,19.46,2.2,0.1041,6.14,40.0,88.76,0.351,0.1051,24.15,L To R,81,Progressive Field,
252,663968,Jake Mangum,PIT,MIA,2026-06-13T20:05:00Z,Pre-Game,8,Lake Bachar,669199,R,33.8,Longshot,Watch List,Platoon Edge,3.7,41.7,47.3,52.4,75.0,27.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","switch hitter; pitcher baseline 8.0% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.44,28.01,84.99,96.0119,0.3269,0.0703,0.2844,66.67,3.13,31.08,13.25,1.6,0.0643,7.97,41.85,90.37,0.3654,0.1612,34.09,L To R,81,PNC Park,
253,669707,Jared Triolo,PIT,MIA,2026-06-13T20:05:00Z,Pre-Game,9,Lake Bachar,669199,R,33.8,Longshot,Watch List,No major boost,13.9,42.4,47.3,44.8,50.0,22.9,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","same-side matchup; pitcher baseline 8.0% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.7,36.24,87.88,98.6971,0.3179,0.0824,0.2799,70.97,9.96,32.6,23.62,2.1,0.0639,7.97,41.85,90.37,0.3654,0.1612,34.09,L To R,81,PNC Park,
254,660644,Vidal Bruján,NYM,ATL,2026-06-13T20:10:00Z,Pre-Game,9,Martín Pérez,527048,L,33.8,Longshot,Watch List,Platoon Edge,1.9,44.4,62.8,44.8,75.0,0.8,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,8,0,"Last 7 games: 1/8, 0 HR","switch hitter; pitcher baseline 9.9% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,18.96,83.02,94.7711,0.2535,0.0848,0.2324,68.64,1.17,33.6,14.04,0.0,0.0171,9.89,39.61,88.76,0.4199,0.1737,27.07,Out To RF,84,Citi Field,
255,686217,Sal Frelick,MIL,PHI,2026-06-13T23:10:00Z,Scheduled,7,Aaron Nola,605400,R,33.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",5.2,45.4,27.6,59.8,80.0,29.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,0,"Last 7 games: 6/19, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.47,27.61,85.71,96.5694,0.3229,0.0791,0.2857,68.2,3.44,41.84,18.94,5.7,0.0925,9.1,40.71,88.63,0.4303,0.1745,25.64,,,American Family Field,
256,506702,Sandy León,ATL,NYM,2026-06-13T20:10:00Z,Pre-Game,9,Sean Manaea,640455,L,33.4,Longshot,Watch List,Platoon Edge,5.0,38.6,62.8,44.8,75.0,0.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,12,0,"Last 7 games: 1/12, 0 HR","switch hitter; pitcher baseline 8.8% barrel, 7.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,20.24,84.86,94.4207,0.225,0.093,0.152,67.24,1.96,58.99,31.49,0.3,0.075,8.83,38.89,88.4,0.4045,0.1589,24.69,Out To RF,84,Citi Field,
257,802415,Chandler Simpson,TB,LAA,2026-06-14T02:07:00Z,Scheduled,1,José Soriano,667755,R,32.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",0.1,37.5,28.2,88.7,80.0,0.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,13,0,"Last 7 games: 0/13, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,15.69,84.09,93.1792,0.2968,0.0382,0.2669,64.69,0.3,27.36,12.09,0.0,0.05,8.46,40.36,89.37,0.3761,0.139,21.2,,,Angel Stadium,
258,656716,Zach McKinstry,DET,CLE,2026-06-13T20:10:00Z,Pre-Game,9,Joey Cantillo,676282,L,32.2,Longshot,Watch List,Projected Lineup,5.7,42.0,53.6,40.2,50.0,41.2,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.72,24.41,85.0,95.3695,0.2992,0.0865,0.2735,68.62,4.21,42.85,27.09,5.0,0.1118,8.74,38.93,88.52,0.3994,0.1634,30.87,L To R,81,Progressive Field,
259,657041,Lane Thomas,KC,HOU,2026-06-13T23:10:00Z,Scheduled,9,Mike Burrows,681347,R,31.5,Longshot,Watch List,Projected Lineup,15.4,47.9,23.2,40.2,50.0,26.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,0,"Last 7 games: 5/17, 0 HR","same-side matchup; pitcher baseline 9.8% barrel, 15.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.68,34.45,87.03,98.0268,0.2986,0.0928,0.2885,72.21,20.35,40.3,30.41,2.6,0.0882,9.82,39.41,88.43,0.4355,0.1773,27.54,,,Kauffman Stadium,
260,608348,Carson Kelly,CHC,SF,2026-06-14T02:05:00Z,Scheduled,8,Trevor McDonald,686790,R,31.1,Longshot,Watch List,Projected Lineup,30.7,21.3,19.3,47.9,50.0,36.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,1,"Last 7 games: 5/21, 1 HR","same-side matchup; pitcher baseline 3.9% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.57,39.81,88.8,99.4663,0.3942,0.1477,0.3203,70.89,8.19,37.96,25.64,7.2,0.1167,3.87,39.93,89.65,0.3557,0.1094,11.7,,,Oracle Park,
261,663611,Nick Madrigal,LAA,TB,2026-06-14T02:07:00Z,Scheduled,8,Griffin Jax,643377,R,30.9,Longshot,Watch List,Projected Lineup,8.3,43.7,28.2,47.9,50.0,45.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,0,Contact streak: 10/23 over last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,29.0,88.7,96.7258,0.308,0.055,0.314,65.5,1.5,29.0,22.6,0.0,0.03,9.82,39.97,88.43,0.4262,0.1709,22.67,,,Angel Stadium,
262,677060,Chad Stevens,COL,ATH,2026-06-14T02:05:00Z,Scheduled,9,Joey Estes,683155,R,30.6,Longshot,Watch List,Projected Lineup,7.2,58.2,27.6,40.2,50.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,11,0,"Last 7 games: 0/11, 0 HR","same-side matchup; pitcher baseline 11.9% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.41,21.79,81.64,93.9326,0.1869,0.0519,0.1959,71.24,27.32,39.04,30.54,0.0,0.0,11.9,33.3,88.5,0.49,0.224,45.2,,,Las Vegas Ballpark,
263,670764,Taylor Walls,TB,LAA,2026-06-14T02:07:00Z,Scheduled,7,José Soriano,667755,R,30.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",3.7,36.5,28.2,59.8,75.0,21.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,0,"Last 7 games: 5/19, 0 HR","switch hitter; pitcher baseline 8.5% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.92,20.03,84.41,94.4835,0.2544,0.0682,0.2512,67.89,2.27,33.36,30.66,1.2,0.0766,8.46,40.36,89.37,0.3761,0.139,21.2,,,Angel Stadium,
264,621020,Dansby Swanson,CHC,SF,2026-06-14T02:05:00Z,Scheduled,9,Trevor McDonald,686790,R,30.3,Longshot,Watch List,Projected Lineup,36.2,21.3,19.3,40.2,50.0,4.5,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","same-side matchup; pitcher baseline 3.9% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.34,42.76,89.66,99.8351,0.3804,0.1645,0.3051,71.18,8.15,44.61,30.94,12.1,0.1485,3.87,39.93,89.65,0.3557,0.1094,11.7,,,Oracle Park,
265,663743,Nick Fortes,TB,LAA,2026-06-14T02:07:00Z,Scheduled,9,José Soriano,667755,R,30.3,Longshot,Watch List,Projected Lineup,15.2,37.5,28.2,40.2,50.0,38.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,0,Contact streak: 9/24 over last 7 games,"same-side matchup; pitcher baseline 8.5% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.43,39.58,86.87,99.8503,0.3332,0.0909,0.2791,72.28,21.56,51.47,17.87,2.2,0.0927,8.46,40.36,89.37,0.3761,0.139,21.2,,,Angel Stadium,
266,680737,Michael Helman,TEX,BOS,2026-06-13T20:10:00Z,Pre-Game,9,Ranger Suarez,624133,L,30.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",5.6,23.0,56.2,40.2,78.0,30.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,10,1,"Last 7 games: 2/10, 1 HR","platoon edge; pitcher baseline 6.3% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.58,13.5,82.49,92.5813,0.2531,0.0887,0.2176,70.03,2.1,44.41,33.24,2.2,0.1663,6.34,32.43,87.2,0.3622,0.1201,23.47,L To R,84,Fenway Park,
267,663538,Nico Hoerner,CHC,SF,2026-06-14T02:05:00Z,Scheduled,2,Trevor McDonald,686790,R,29.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",9.0,21.3,19.3,95.5,50.0,6.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","same-side matchup; pitcher baseline 3.9% barrel, 2.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.56,28.9,86.14,96.2661,0.3819,0.0871,0.3304,68.36,1.9,33.36,22.05,4.9,0.0977,3.87,39.93,89.65,0.3557,0.1094,11.7,,,Oracle Park,
268,691740,Daniel Susac,SF,CHC,2026-06-14T02:05:00Z,Scheduled,8,Ben Brown,676962,R,28.9,Longshot,Watch List,Projected Lineup,13.2,37.8,19.3,47.9,50.0,28.2,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,0,"Last 7 games: 8/26, 0 HR","same-side matchup; pitcher baseline 7.8% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.5,28.8,86.6,96.6747,0.363,0.093,0.31,68.8,3.7,39.4,28.8,0.0,0.083,7.83,43.87,90.93,0.3506,0.1284,23.55,,,Oracle Park,
269,687551,Drew Gilbert,SF,CHC,2026-06-14T02:05:00Z,Scheduled,9,Ben Brown,676962,R,28.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.1,37.8,19.3,40.2,80.0,3.4,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,0,"Last 7 games: 2/14, 0 HR","platoon edge; pitcher baseline 7.8% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.43,34.05,85.62,97.5337,0.317,0.0992,0.2618,70.59,11.7,39.23,17.87,3.0,0.1453,7.83,43.87,90.93,0.3506,0.1284,23.55,,,Oracle Park,
270,543877,Christian Vazquez,HOU,KC,2026-06-13T23:10:00Z,Scheduled,9,Noah Cameron,702070,L,27.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",3.5,42.1,23.2,40.2,78.0,1.6,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 9.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.33,24.95,85.83,95.6946,0.2832,0.0788,0.25,65.95,1.22,35.4,25.96,3.7,0.1151,8.4,39.92,89.02,0.4198,0.1688,25.96,,,Kauffman Stadium,
