rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
88,663616,Trevor Larnach,MIN,SD,2026-08-22T01:40:00Z,Pre-Game,7,Randy Vásquez,681190,R,49.6,Longshot,Watch List,Platoon Edge,30.4,60.8,57.1,64.3,80.0,4.2,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,0,"Last 7 games: 4/27, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 15.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.41,39.61,88.52,99.7358,0.403,0.1453,0.3278,72.03,21.5,42.41,24.12,12.1,0.154,10.69,42.66,90.71,0.4978,0.2133,28.39,Out To RF,75,Petco Park,
89,650489,Willi Castro,COL,CLE,2026-08-22T00:40:00Z,Pre-Game,5,Joey Cantillo,676282,L,49.5,Longshot,Watch List,Platoon Edge,32.1,35.7,61.2,86.4,75.0,46.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","switch hitter; pitcher baseline 7.9% barrel, 13.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.9,40.03,87.61,100.2302,0.3883,0.1547,0.3088,72.51,25.9,42.18,30.9,13.1,0.1547,7.9,39.98,88.59,0.3686,0.1403,27.23,In From CF,93,Coors Field,
90,641933,Tyler O'Neill,BAL,TB,2026-08-21T23:15:00Z,Pre-Game,4,Freddy Peralta,642547,R,49.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",47.9,35.6,40.6,94.9,50.0,21.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","same-side matchup; pitcher baseline 7.1% barrel, 20.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.39,41.9,89.29,100.3709,0.4383,0.2135,0.3264,72.81,23.68,44.39,39.63,9.7,0.1769,7.06,37.93,88.0,0.3764,0.1452,27.85,In From RF,77,Oriole Park at Camden Yards,
91,683146,Brett Baty,NYM,CWS,2026-08-21T23:40:00Z,Pre-Game,7,Sean Burke,680732,R,49.3,Longshot,Watch List,"Strong Barrel, Platoon Edge",41.5,44.4,52.1,64.3,80.0,18.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,21,1,"Last 7 games: 2/21, 1 HR","platoon edge; pitcher baseline 8.5% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.17,43.05,90.14,101.4617,0.401,0.1651,0.3116,75.01,53.3,36.17,26.17,11.0,0.1348,8.54,38.64,89.25,0.3961,0.1648,31.26,R To L,78,Rate Field,
92,666160,Mickey Moniak,COL,CLE,2026-08-22T00:40:00Z,Pre-Game,7,Joey Cantillo,676282,L,49.1,Longshot,Watch List,Strong Barrel,48.7,37.1,61.2,64.3,50.0,28.1,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","same-side matchup; pitcher baseline 7.9% barrel, 13.5 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.56,42.71,89.49,100.3055,0.4389,0.2063,0.3055,74.19,43.95,46.03,38.24,21.2,0.2655,7.9,39.98,88.59,0.3686,0.1403,27.23,In From CF,93,Coors Field,
93,667472,Dane Myers,CIN,AZ,2026-08-22T01:40:00Z,Pre-Game,3,Eduardo Rodriguez,593958,L,49.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",28.4,41.7,41.7,96.6,78.0,57.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 17.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.26,37.94,90.0,99.3047,0.3755,0.1372,0.3138,71.25,19.24,25.83,25.87,5.3,0.105,8.27,35.2,87.99,0.4391,0.1755,27.4,None,72,Chase Field,
94,664023,Ian Happ,CHC,SEA,2026-08-22T02:10:00Z,Pre-Game,5,Emerson Hancock,676106,R,48.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",43.2,43.8,38.9,81.9,75.0,2.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","switch hitter; pitcher baseline 8.2% barrel, 15.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.82,42.79,89.51,100.8099,0.4073,0.1909,0.3218,71.88,18.78,44.05,32.53,20.9,0.1868,8.19,41.52,89.35,0.4274,0.1696,28.17,None,72,T-Mobile Park,
95,681715,Heriberto Hernández,MIA,WSH,2026-08-21T23:10:00Z,Pre-Game,6,Brad Lord,695418,R,48.8,Longshot,Watch List,Strong Barrel,53.0,32.8,35.0,76.2,50.0,60.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.5% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.98,48.13,91.18,101.696,0.4574,0.2124,0.3396,74.21,45.88,46.47,29.5,15.6,0.2049,6.47,40.96,88.01,0.4034,0.1523,19.97,None,72,loanDepot park,
96,672275,Patrick Bailey,CLE,COL,2026-08-22T00:40:00Z,Pre-Game,8,Tanner Gordon,685299,R,48.8,Longshot,Watch List,Platoon Edge,29.8,64.1,61.2,52.4,75.0,5.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","switch hitter; pitcher baseline 11.2% barrel, 15.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.37,39.55,89.81,99.5666,0.3666,0.1405,0.2843,72.55,27.88,33.13,25.92,6.0,0.1051,11.22,43.93,91.15,0.4985,0.2244,33.53,In From CF,93,Coors Field,
97,691781,Brady House,WSH,MIA,2026-08-21T23:10:00Z,Pre-Game,5,Ryan Gusto,687473,R,48.7,Longshot,Watch List,No major boost,39.9,48.6,35.0,86.4,50.0,39.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,1,"Last 7 games: 5/19, 1 HR","same-side matchup; pitcher baseline 8.9% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.2,46.3,89.45,101.642,0.4225,0.1623,0.319,73.31,30.88,34.22,25.58,7.5,0.1384,8.94,44.65,90.39,0.4257,0.1669,26.68,None,72,loanDepot park,
