hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
545361,Mike Trout,LAA,TEX,2026-08-14T02:07:00Z,Pre-Game,2,Jacob deGrom,594798,R,R,16.43,0.207,90.55,103.1492,0.4992,0.2495,0.3804,74.7,48.82,37.42,32.68,48.11,21.8,9.09,44.42,90.52,0.3966,0.1679,29.88,19.7,19.7,19.7,Angel Stadium,101,84,9,Varies,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
694384,Nolan Schanuel,LAA,TEX,2026-08-14T02:07:00Z,Pre-Game,3,Jacob deGrom,594798,R,L,3.1,0.1173,87.43,97.0663,0.3852,0.1113,0.3298,67.96,5.76,40.87,22.06,31.8,8.5,9.09,44.42,90.52,0.3966,0.1679,29.88,19.7,19.7,19.7,Angel Stadium,101,84,9,Varies,Yes,No,3,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
687093,Vaughn Grissom,LAA,TEX,2026-08-14T02:07:00Z,Pre-Game,4,Jacob deGrom,594798,R,R,6.7,0.136,88.2,99.3512,0.394,0.139,0.318,71.6,19.6,40.9,25.8,38.7,7.0,9.09,44.42,90.52,0.3966,0.1679,29.88,19.7,19.7,19.7,Angel Stadium,101,84,9,Varies,Yes,No,5,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 4 vs RotoWire 5,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","same-side matchup; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
694208,Moisés Ballesteros,LAA,TEX,2026-08-14T02:07:00Z,Pre-Game,5,Jacob deGrom,594798,R,L,8.31,0.1431,90.08,101.0984,0.3979,0.1478,0.3207,72.92,36.02,34.29,19.46,43.31,4.8,9.09,44.42,90.52,0.3966,0.1679,29.88,19.7,19.7,19.7,Angel Stadium,101,84,9,Varies,Yes,No,6,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 5 vs RotoWire 6,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
694203,Denzer Guzman,LAA,TEX,2026-08-14T02:07:00Z,Pre-Game,6,Jacob deGrom,594798,R,R,8.07,0.1341,87.2,98.3737,0.3321,0.1183,0.2574,73.36,33.31,42.21,26.36,36.81,4.1,9.09,44.42,90.52,0.3966,0.1679,29.88,19.7,19.7,19.7,Angel Stadium,101,84,9,Varies,Yes,No,7,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 6 vs RotoWire 7,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,11,0,"Last 7 games: 2/11, 0 HR","same-side matchup; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
666139,Josh Lowe,LAA,TEX,2026-08-14T02:07:00Z,Pre-Game,7,Jacob deGrom,594798,R,L,7.93,0.1404,89.02,99.4278,0.3868,0.1618,0.2945,73.66,36.78,36.76,31.15,38.83,8.9,9.09,44.42,90.52,0.3966,0.1679,29.88,19.7,19.7,19.7,Angel Stadium,101,84,9,Varies,Yes,No,8,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 7 vs RotoWire 8,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
642350,Jose Siri,LAA,TEX,2026-08-14T02:07:00Z,Pre-Game,8,Jacob deGrom,594798,R,R,16.43,0.1747,87.77,100.2971,0.3998,0.2071,0.289,73.29,36.13,33.02,42.27,40.58,4.9,9.09,44.42,90.52,0.3966,0.1679,29.88,19.7,19.7,19.7,Angel Stadium,101,84,9,Varies,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,1,"Last 7 games: 5/17, 1 HR","same-side matchup; pitcher baseline 9.1% barrel, 19.7 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,,
624428,Adam Frazier,LAA,TEX,2026-08-14T02:07:00Z,Pre-Game,9,Jacob deGrom,594798,R,L,1.72,0.1064,84.46,93.6118,0.2679,0.0711,0.2461,65.45,2.02,41.88,25.73,16.19,2.8,9.09,44.42,90.52,0.3966,0.1679,29.88,19.7,19.7,19.7,Angel Stadium,101,84,9,Varies,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
694192,Jackson Chourio,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,1,Roki Sasaki,808963,R,R,12.5,0.1965,91.26,102.0873,0.4624,0.2091,0.3301,74.25,44.38,31.57,27.38,46.08,18.2,10.68,43.51,90.04,0.4223,0.1845,28.42,16.5,16.5,16.5,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 1 vs RotoWire 2,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
669003,Garrett Mitchell,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,2,Roki Sasaki,808963,R,L,11.18,0.1349,92.08,103.5432,0.4089,0.1617,0.3307,77.08,76.81,33.65,17.69,48.29,5.6,10.68,43.51,90.04,0.4223,0.1845,28.42,16.5,16.5,16.5,UNIQLO Field at Dodger Stadium,100,75,4,L To R,Yes,No,5,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 2 vs RotoWire 5,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 16.5 HR allowed",EV profile; pitcher fly-ball pressure modest,,
