rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
147,687529,Grant McCray,SF,STL,2026-09-15T23:45:00Z,Pre-Game,8,Andre Pallante,669467,R,43.8,Longshot,Watch List,"Strong Barrel, Platoon Edge",33.9,25.3,68.6,52.4,80.0,35.6,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,1,"Last 7 games: 4/17, 1 HR","platoon edge; pitcher baseline 5.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.72,29.75,87.31,99.2513,0.3581,0.1603,0.2816,72.01,22.33,40.5,24.43,1.4,0.1302,5.41,35.84,87.8,0.381,0.1279,17.4,Out To LF,91,Busch Stadium,
148,664770,Nathan Lukes,TOR,DET,2026-09-15T23:07:00Z,Pre-Game,5,Drew Anderson,623454,R,43.7,Longshot,Watch List,Platoon Edge,11.1,39.1,65.4,86.4,80.0,32.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,0,Contact streak: 7/21 over last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.19,30.77,87.27,96.8623,0.357,0.1022,0.2954,67.3,3.69,31.77,21.09,10.6,0.1275,8.4,39.2,89.9,0.367,0.141,24.0,Out To CF,70,Rogers Centre,
149,813841,Jonah Cox,SF,STL,2026-09-15T23:45:00Z,Pre-Game,3,Andre Pallante,669467,R,43.6,Longshot,Watch List,Premium Lineup Spot,25.1,25.3,68.6,96.6,50.0,19.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","same-side matchup; pitcher baseline 5.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.0,38.0,88.2,99.1776,0.347,0.137,0.261,69.0,6.2,21.1,25.4,4.0,0.162,5.41,35.84,87.8,0.381,0.1279,17.4,Out To LF,91,Busch Stadium,
150,669242,Tommy Edman,LAD,CIN,2026-09-15T22:40:00Z,Pre-Game,7,Rhett Lowder,695076,R,43.5,Longshot,Watch List,Platoon Edge,20.4,51.5,57.8,64.3,75.0,0.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,22,0,"Last 7 games: 0/22, 0 HR","switch hitter; pitcher baseline 9.9% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.92,35.56,87.67,98.885,0.3697,0.1146,0.3112,70.59,13.37,43.16,26.64,8.1,0.1381,9.9,39.0,90.1,0.464,0.192,28.1,In From RF,91,Great American Ball Park,
151,806146,George Lombard,NYY,MIN,2026-09-15T23:40:00Z,Pre-Game,6,Bailey Ober,641927,R,43.5,Longshot,Watch List,Projected Lineup,17.1,53.6,61.6,71.7,50.0,24.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","same-side matchup; pitcher baseline 10.1% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.5,33.3,85.8,97.4396,0.314,0.101,0.267,72.2,22.8,30.8,23.1,3.0,0.127,10.13,37.07,88.9,0.455,0.2056,32.53,Out To RF,69,Target Field,
152,805999,A.J. Ewing,NYM,BAL,2026-09-15T23:10:00Z,Scheduled,7,Shane Baz,669358,R,43.4,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",31.8,40.8,24.8,59.8,80.0,76.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.3,42.4,89.4,100.1033,0.403,0.145,0.323,70.5,12.9,32.4,24.8,10.0,0.13,7.54,40.94,89.77,0.3923,0.1483,25.85,,,Citi Field,
153,686469,Vinnie Pasquantino,KC,HOU,2026-09-16T00:10:00Z,Scheduled,5,Hunter Brown,686613,R,43.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",40.2,22.5,27.6,81.9,80.0,37.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 6.2% barrel, 12.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.19,42.53,90.13,100.2549,0.4308,0.1791,0.3305,71.1,15.24,44.68,29.42,17.3,0.1641,6.25,35.49,86.17,0.3278,0.122,23.3,,,Daikin Park,
154,622268,Donovan Walton,ATH,TB,2026-09-15T22:40:00Z,Pre-Game,6,Griffin Jax,643377,R,43.3,Longshot,Watch List,Platoon Edge,16.9,44.6,41.1,76.2,80.0,59.6,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.43,34.7,88.96,97.4945,0.3744,0.1096,0.3174,67.99,0.56,37.07,22.09,4.9,0.1302,9.47,42.0,89.13,0.4056,0.1576,23.44,None,72,Tropicana Field,
155,803011,Sam Antonacci,CWS,CLE,2026-09-15T22:40:00Z,Pre-Game,6,Foster Griffin,656492,L,43.3,Longshot,Watch List,Good Environment,17.9,41.6,73.1,76.2,50.0,25.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,0,"Last 7 games: 7/24, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 23.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,32.8,87.4,97.4535,0.388,0.114,0.342,69.7,7.5,31.9,21.9,8.0,0.123,8.7,37.2,88.0,0.417,0.157,25.6,Out To CF,81,Progressive Field,
156,663494,Bryan Torres,STL,SF,2026-09-15T23:45:00Z,Pre-Game,1,Blade Tidwell,694918,R,43.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",8.5,36.8,68.6,93.2,80.0,17.7,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","platoon edge; pitcher baseline 8.9% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.4,26.9,86.9,95.8413,0.347,0.106,0.294,66.0,1.2,47.1,21.0,4.0,0.114,8.89,34.05,87.92,0.4087,0.1579,27.26,Out To LF,91,Busch Stadium,
157,664983,Jake McCarthy,COL,SD,2026-09-16T00:40:00Z,Scheduled,1,Walker Buehler,621111,R,43.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",17.0,43.2,38.7,88.7,80.0,33.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,0,Contact streak: 10/29 over last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.44,28.37,85.26,96.9344,0.4027,0.1378,0.3126,70.89,12.98,37.31,21.94,11.7,0.1753,8.73,38.29,88.95,0.4136,0.1631,23.3,,,Coors Field,
158,703520,Brett Bateman,TOR,DET,2026-09-15T23:07:00Z,Pre-Game,1,Drew Anderson,623454,R,43.0,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",2.4,39.1,65.4,93.2,80.0,54.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.0,19.4,84.2,94.788,0.332,0.074,0.306,68.2,2.5,32.0,11.7,2.0,0.1,8.4,39.2,89.9,0.367,0.141,24.0,Out To CF,70,Rogers Centre,
159,666139,Josh Lowe,LAA,SEA,2026-09-16T01:38:00Z,Scheduled,7,Logan Gilbert,669302,R,43.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.8,48.7,28.2,59.8,80.0,20.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,1,"Last 7 games: 2/15, 1 HR","platoon edge; pitcher baseline 9.7% barrel, 24.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.58,37.78,88.6,99.2529,0.3709,0.1545,0.2884,73.38,34.47,36.13,30.52,11.0,0.1474,9.72,41.49,90.03,0.3831,0.161,28.47,,,Angel Stadium,
160,669701,Josh Smith,TOR,DET,2026-09-15T23:07:00Z,Pre-Game,8,Drew Anderson,623454,R,42.9,Longshot,Watch List,Platoon Edge,18.0,39.1,65.4,52.4,80.0,64.8,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,13,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.54,30.12,86.22,97.236,0.3394,0.1218,0.2925,68.86,3.11,35.25,30.05,7.2,0.1234,8.4,39.2,89.9,0.367,0.141,24.0,Out To CF,70,Rogers Centre,
161,643446,Jeff McNeil,ATH,TB,2026-09-15T22:40:00Z,Pre-Game,2,Griffin Jax,643377,R,42.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",12.4,44.6,41.1,100.0,80.0,13.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.79,30.8,86.71,96.5765,0.3754,0.102,0.3125,69.37,5.79,43.56,23.89,9.2,0.1225,9.47,42.0,89.13,0.4056,0.1576,23.44,None,72,Tropicana Field,
162,677956,Rece Hinds,BAL,NYM,2026-09-15T23:10:00Z,Scheduled,6,Sean Manaea,640455,L,42.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.9,54.2,24.8,71.7,78.0,22.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,11,0,"Last 7 games: 3/11, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.46,39.36,89.77,100.6162,0.234,0.0908,0.2057,73.95,43.56,43.44,28.09,0.6,0.1126,10.37,41.76,89.38,0.4444,0.1897,28.61,,,Citi Field,
163,687093,Vaughn Grissom,LAA,SEA,2026-09-16T01:38:00Z,Scheduled,4,Logan Gilbert,669302,R,42.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",25.4,48.7,28.2,90.4,50.0,25.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","same-side matchup; pitcher baseline 9.7% barrel, 24.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.9,36.7,87.7,98.8367,0.379,0.135,0.308,70.9,16.4,40.3,24.6,11.0,0.143,9.72,41.49,90.03,0.3831,0.161,28.47,,,Angel Stadium,
164,701678,Hao-Yu Lee,DET,TOR,2026-09-15T23:07:00Z,Pre-Game,7,Braydon Fisher,680755,R,42.6,Longshot,Watch List,Projected Lineup,34.0,36.1,65.4,59.8,50.0,1.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","same-side matchup; pitcher baseline 9.2% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.1,40.5,89.7,100.1211,0.385,0.158,0.297,71.6,23.0,28.1,26.7,8.0,0.153,9.21,37.87,87.82,0.3566,0.1398,27.99,Out To CF,70,Rogers Centre,
165,666182,Bo Bichette,NYM,BAL,2026-09-15T23:10:00Z,Scheduled,3,Shane Baz,669358,R,42.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",33.1,40.8,24.8,92.1,50.0,12.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,30,0,"Last 7 games: 6/30, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.92,43.83,90.02,101.0646,0.4345,0.151,0.3348,69.66,13.02,26.63,22.95,16.6,0.1426,7.54,40.94,89.77,0.3923,0.1483,25.85,,,Citi Field,
166,678545,Osleivis Basabe,SF,STL,2026-09-15T23:45:00Z,Pre-Game,5,Andre Pallante,669467,R,42.5,Longshot,Watch List,No major boost,25.8,25.3,68.6,86.4,50.0,21.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,1,"Last 7 games: 3/21, 1 HR","same-side matchup; pitcher baseline 5.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.6,34.4,87.6,98.1707,0.345,0.12,0.276,73.4,33.3,40.9,30.1,5.0,0.147,5.41,35.84,87.8,0.381,0.1279,17.4,Out To LF,91,Busch Stadium,
167,681198,TJ Rumfield,COL,SD,2026-09-16T00:40:00Z,Scheduled,3,Walker Buehler,621111,R,42.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",13.1,43.2,38.7,92.1,80.0,37.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,0,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,27.5,84.2,96.1,0.389,0.126,0.336,68.4,7.7,41.3,28.4,15.0,0.156,8.73,38.29,88.95,0.4136,0.1631,23.3,,,Coors Field,
168,699393,Pedro Ramirez,CHC,ATL,2026-09-15T23:40:00Z,Pre-Game,8,Martín Pérez,527048,L,42.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.0,37.0,65.8,47.9,75.0,51.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 8.1% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.7,39.2,89.0,99.2892,0.354,0.111,0.29,72.2,22.1,40.9,24.0,6.0,0.163,8.07,37.51,87.99,0.4234,0.1639,24.13,Out To RF,78,Wrigley Field,
169,680700,Richie Palacios,TB,ATH,2026-09-15T22:40:00Z,Pre-Game,7,Jack Perkins,678022,R,42.3,Longshot,Watch List,"Platoon Edge, Hot Hitter/Streak",16.2,40.3,41.1,64.3,80.0,98.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,17,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.78,33.39,87.38,97.161,0.3709,0.1039,0.3243,68.84,3.66,36.11,21.61,7.3,0.1365,9.04,36.79,87.87,0.3741,0.1482,33.61,None,72,Tropicana Field,
170,701675,Nathan Church,STL,SF,2026-09-15T23:45:00Z,Pre-Game,7,Blade Tidwell,694918,R,42.3,Longshot,Watch List,Platoon Edge,14.9,36.8,68.6,64.3,80.0,40.7,Yes,No,9,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 7 vs RotoWire 9,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,0,Contact streak: 9/23 over last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.78,33.31,86.69,97.4813,0.3364,0.1053,0.2764,69.6,8.27,34.57,21.81,7.3,0.106,8.89,34.05,87.92,0.4087,0.1579,27.26,Out To LF,91,Busch Stadium,
171,807726,John Peck,DET,TOR,2026-09-15T23:07:00Z,Pre-Game,8,Braydon Fisher,680755,R,42.2,Longshot,Watch List,"Projected Lineup, Strong Barrel",35.8,36.1,65.4,47.9,50.0,13.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,0,"Last 7 games: 4/19, 0 HR","same-side matchup; pitcher baseline 9.2% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.5,40.7,88.1,99.0202,0.399,0.151,0.355,71.9,17.1,25.9,14.8,0.0,0.03,9.21,37.87,87.82,0.3566,0.1398,27.99,Out To CF,70,Rogers Centre,
172,680574,Matt McLain,CIN,LAD,2026-09-15T22:40:00Z,Pre-Game,7,Yoshinobu Yamamoto,808967,R,42.0,Longshot,Watch List,No major boost,32.7,28.1,57.8,64.3,50.0,45.9,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.5% barrel, 17.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.92,37.69,88.45,98.9798,0.3711,0.1532,0.3001,71.0,9.89,36.13,33.22,15.0,0.1454,6.47,37.6,88.09,0.3306,0.1207,22.94,In From RF,91,Great American Ball Park,
173,702616,Jackson Holliday,BAL,NYM,2026-09-15T23:10:00Z,Scheduled,1,Sean Manaea,640455,L,42.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",23.7,54.2,24.8,88.7,50.0,11.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,31,0,"Last 7 games: 6/31, 0 HR","same-side matchup; pitcher baseline 10.4% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.82,35.41,87.54,97.9697,0.3676,0.1301,0.299,70.6,7.55,33.87,24.47,10.0,0.1176,10.37,41.76,89.38,0.4444,0.1897,28.61,,,Citi Field,
174,683011,Anthony Volpe,NYY,MIN,2026-09-15T23:40:00Z,Pre-Game,9,Bailey Ober,641927,R,41.8,Longshot,Watch List,Projected Lineup,24.3,53.6,61.6,40.2,50.0,30.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,1,"Last 7 games: 4/20, 1 HR","same-side matchup; pitcher baseline 10.1% barrel, 21.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.16,38.54,88.39,98.9313,0.3462,0.1183,0.2933,71.83,20.24,31.82,24.41,7.1,0.1181,10.13,37.07,88.9,0.455,0.2056,32.53,Out To RF,69,Target Field,
175,808982,Jung Hoo Lee,SF,STL,2026-09-15T23:45:00Z,Pre-Game,4,Andre Pallante,669467,R,41.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",13.1,25.3,68.6,94.9,80.0,13.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 5.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.79,31.86,87.52,97.0132,0.3857,0.0989,0.3182,68.44,3.4,38.25,22.52,8.7,0.1284,5.41,35.84,87.8,0.381,0.1279,17.4,Out To LF,91,Busch Stadium,
176,672640,Otto Lopez,MIA,AZ,2026-09-16T01:40:00Z,Scheduled,4,Michael Soroka,647336,R,41.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",29.8,34.7,28.2,90.4,50.0,43.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,0,Contact streak: 11/27 over last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 8.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.33,40.05,88.92,100.1946,0.4235,0.1461,0.3279,71.77,23.09,33.56,22.71,11.5,0.1304,7.68,35.92,88.22,0.3937,0.1483,27.94,,,Chase Field,
177,643289,Mauricio Dubón,ATL,CHC,2026-09-15T23:40:00Z,Pre-Game,5,Kevin Gausman,592332,R,41.6,Longshot,Watch List,No major boost,9.8,41.9,65.8,86.4,50.0,36.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,0,Contact streak: 9/25 over last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 23.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.88,28.54,85.9,96.1889,0.3618,0.0987,0.2969,68.87,4.17,31.82,25.72,9.8,0.1154,7.73,39.93,88.95,0.4077,0.1613,26.16,Out To RF,78,Wrigley Field,
178,608348,Carson Kelly,CHC,ATL,2026-09-15T23:40:00Z,Pre-Game,9,Martín Pérez,527048,L,41.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",26.3,38.2,65.8,40.2,78.0,23.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,18,0,"Last 7 games: 5/18, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.73,37.57,87.54,98.7215,0.3844,0.1442,0.314,70.61,7.84,40.83,25.99,12.1,0.1419,8.07,37.51,87.99,0.4234,0.1639,24.13,Out To RF,78,Wrigley Field,
179,699302,Héctor Rodríguez,CIN,LAD,2026-09-15T22:40:00Z,Pre-Game,6,Yoshinobu Yamamoto,808967,R,41.5,Longshot,Watch List,Platoon Edge,24.9,28.1,57.8,76.2,80.0,0.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,0,"Last 7 games: 3/26, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 17.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.2,34.6,88.1,99.1153,0.331,0.125,0.263,74.4,46.8,42.0,29.6,5.0,0.159,6.47,37.6,88.09,0.3306,0.1207,22.94,In From RF,91,Great American Ball Park,
180,682668,Luisangel Acuña,CWS,CLE,2026-09-15T22:40:00Z,Pre-Game,8,Foster Griffin,656492,L,41.4,Longshot,Watch List,"Good Environment, Platoon Edge",13.6,41.6,73.1,52.4,78.0,32.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,6,0,Contact streak: 2/6 over last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 23.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.59,36.06,88.25,99.3222,0.3116,0.0679,0.2675,71.68,24.63,32.22,16.23,0.7,0.0365,8.7,37.2,88.0,0.417,0.157,25.6,Out To CF,81,Progressive Field,
181,647304,Josh Naylor,SEA,LAA,2026-09-16T01:38:00Z,Scheduled,6,Ryan Johnson,696270,R,41.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",22.6,46.1,28.2,71.7,80.0,28.6,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,0,"Last 7 games: 9/29, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.09,37.84,87.73,99.0267,0.3998,0.1282,0.3201,70.34,11.68,41.15,22.29,13.0,0.1152,9.41,36.49,87.75,0.4353,0.1833,33.88,,,Angel Stadium,
