rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
127,683146,Brett Baty,NYM,BAL,2026-09-15T23:10:00Z,Scheduled,8,Shane Baz,669358,R,45.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",44.3,40.8,24.8,47.9,80.0,68.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.94,43.05,90.35,101.6609,0.4157,0.1756,0.3179,75.08,53.93,35.82,26.73,12.4,0.1488,7.54,40.94,89.77,0.3923,0.1483,25.85,,,Citi Field,
128,676439,Hunter Feduccia,LAD,CIN,2026-09-15T22:40:00Z,Pre-Game,8,Rhett Lowder,695076,R,45.4,Longshot,Watch List,Platoon Edge,27.5,53.3,57.8,52.4,80.0,7.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.13,36.79,89.0,98.787,0.3496,0.1227,0.3023,70.71,12.63,32.87,27.03,2.1,0.0864,9.9,39.0,90.1,0.464,0.192,28.1,In From RF,91,Great American Ball Park,
129,694249,Cole Carrigg,COL,SD,2026-09-16T00:40:00Z,Scheduled,2,Walker Buehler,621111,R,45.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",24.0,41.0,38.7,95.5,75.0,28.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","switch hitter; pitcher baseline 8.7% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.2,34.6,87.4,98.4502,0.382,0.137,0.309,73.2,34.3,48.1,28.5,8.0,0.183,8.73,38.29,88.95,0.4136,0.1631,23.3,,,Coors Field,
130,701807,Carson Benge,NYM,BAL,2026-09-15T23:10:00Z,Scheduled,4,Shane Baz,669358,R,45.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",30.3,40.8,24.8,90.4,80.0,33.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,38.3,88.7,99.5351,0.427,0.151,0.335,71.1,17.5,34.0,26.5,17.0,0.139,7.54,40.94,89.77,0.3923,0.1483,25.85,,,Citi Field,
131,703601,Max Clark,DET,TOR,2026-09-15T23:07:00Z,Pre-Game,6,Braydon Fisher,680755,R,44.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",19.5,36.1,65.4,71.7,80.0,54.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.9,40.7,88.1,98.6466,0.364,0.088,0.32,73.4,29.8,38.0,25.0,3.0,0.173,9.21,37.87,87.82,0.3566,0.1398,27.99,Out To CF,70,Rogers Centre,
132,662139,Daulton Varsho,HOU,KC,2026-09-16T00:10:00Z,Scheduled,5,Michael Wacha,608379,R,44.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.9,36.6,27.6,81.9,80.0,29.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 6.9% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.6,37.64,87.73,99.4525,0.3988,0.169,0.299,73.71,36.39,41.15,31.62,13.7,0.1861,6.91,35.51,87.85,0.406,0.1605,28.81,,,Daikin Park,
133,672275,Patrick Bailey,CLE,CWS,2026-09-15T22:40:00Z,Pre-Game,7,Chris Murphy,669684,L,44.6,Longshot,Watch List,"Good Environment, Platoon Edge",31.0,26.7,73.1,64.3,75.0,24.9,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","switch hitter; pitcher baseline 7.1% barrel, 2.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.65,39.97,89.67,99.6286,0.3778,0.1447,0.2948,72.41,26.27,34.39,27.04,7.4,0.1142,7.08,38.01,87.63,0.3207,0.1129,31.88,Out To CF,81,Progressive Field,
134,650559,Bryan De La Cruz,PHI,WSH,2026-09-15T22:45:00Z,Pre-Game,6,Jackson Kent,800600,L,44.6,Longshot,Watch List,Platoon Edge,21.6,36.5,64.7,76.2,78.0,26.1,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,0,"Last 7 games: 5/17, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.94,42.67,89.12,99.5906,0.3164,0.0993,0.266,70.99,17.21,39.93,18.89,1.4,0.1081,8.1,41.9,88.2,0.419,0.154,20.9,Out To LF,77,Nationals Park,
135,687551,Drew Gilbert,SF,STL,2026-09-15T23:45:00Z,Pre-Game,1,Andre Pallante,669467,R,44.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",19.7,25.3,68.6,93.2,80.0,30.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,15,1,"Last 7 games: 3/15, 1 HR","platoon edge; pitcher baseline 5.4% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.25,35.87,86.6,98.1748,0.3752,0.1314,0.3113,70.45,10.13,41.26,19.9,7.2,0.1502,5.41,35.84,87.8,0.381,0.1279,17.4,Out To LF,91,Busch Stadium,
136,673962,Josh Jung,TEX,BOS,2026-09-16T00:05:00Z,Scheduled,3,Patrick Sandoval,663776,L,44.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",34.8,32.3,27.6,92.1,78.0,26.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,0,"Last 7 games: 8/27, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.76,47.47,90.07,100.3615,0.4259,0.1522,0.3334,70.41,7.83,37.83,23.15,10.5,0.1418,6.5,35.7,87.6,0.441,0.161,24.4,,,Globe Life Field,
