rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
126,657757,Gavin Sheets,SD,ATL,2026-06-24T01:40:00Z,Scheduled,4,JR Ritchie,702275,R,47.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",40.4,38.6,22.6,90.4,80.0,28.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","platoon edge; pitcher baseline 7.0% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.83,45.1,89.34,100.403,0.4236,0.1781,0.3295,74.52,47.77,40.38,24.4,14.1,0.2057,7.0,40.0,89.3,0.408,0.163,30.0,,,Petco Park,
127,663837,Matt Vierling,DET,NYY,2026-06-23T22:40:00Z,Pre-Game,3,Carlos Rodón,607074,L,47.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",31.9,31.2,50.1,96.6,78.0,22.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,1,"Last 7 games: 3/20, 1 HR","platoon edge; pitcher baseline 6.2% barrel, 8.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.04,37.73,88.63,98.8479,0.3919,0.1496,0.31,71.07,8.69,32.67,32.81,3.8,0.1191,6.2,38.41,90.21,0.3363,0.1303,27.95,L To R,70,Comerica Park,
128,642715,Willy Adames,SF,ATH,2026-06-24T01:45:00Z,Scheduled,6,Aaron Civale,650644,R,47.2,Longshot,Watch List,"Projected Lineup, Strong Barrel",41.8,58.1,19.3,71.7,50.0,40.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 13.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.36,42.1,88.76,99.4402,0.4112,0.1886,0.3018,72.17,23.44,46.79,34.55,18.1,0.1967,9.8,45.33,90.18,0.4741,0.204,32.88,,,Oracle Park,
129,592663,J.T. Realmuto,PHI,WSH,2026-06-23T22:45:00Z,Pre-Game,7,PJ Poulin,676571,L,47.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.8,50.4,45.2,59.8,78.0,53.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 3.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.21,40.53,89.3,99.3904,0.397,0.144,0.3188,72.77,31.2,41.6,26.92,7.1,0.1214,8.7,46.59,91.33,0.4353,0.1797,28.7,In From CF,72,Nationals Park,
130,682928,CJ Abrams,WSH,PHI,2026-06-23T22:45:00Z,Pre-Game,4,Jesús Luzardo,666200,L,47.0,Longshot,Watch List,"Premium Lineup Spot, Hot Hitter/Streak",40.6,22.2,45.2,94.9,50.0,74.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.5% barrel, 11.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.49,41.44,89.68,100.1956,0.4388,0.1819,0.3377,72.75,26.62,44.99,27.82,17.6,0.2236,6.49,31.36,86.96,0.3459,0.1193,22.22,In From CF,72,Nationals Park,
131,683146,Brett Baty,NYM,CHC,2026-06-23T23:10:00Z,Pre-Game,7,Edward Cabrera,665795,R,46.9,Longshot,Watch List,Platoon Edge,35.2,55.9,36.3,64.3,80.0,3.4,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,0,"Last 7 games: 2/14, 0 HR","platoon edge; pitcher baseline 11.4% barrel, 14.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.84,40.46,89.44,100.7302,0.3821,0.1518,0.3025,74.73,50.32,35.61,22.74,7.5,0.1166,11.4,43.46,90.93,0.4318,0.1742,23.58,In From LF,71,Citi Field,
132,665487,Fernando Tatis,SD,ATL,2026-06-24T01:40:00Z,Scheduled,1,JR Ritchie,702275,R,46.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",48.2,38.6,22.6,88.7,50.0,28.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,0,"Last 7 games: 8/26, 0 HR","same-side matchup; pitcher baseline 7.0% barrel, 7.0 HR allowed",EV profile; pitcher allows elevated contact,10.51,52.64,92.04,104.0192,0.4404,0.1589,0.356,75.05,54.81,30.18,21.17,8.9,0.1038,7.0,40.0,89.3,0.408,0.163,30.0,,,Petco Park,
133,621493,Taylor Ward,BAL,LAA,2026-06-24T01:38:00Z,Scheduled,1,Ryan Johnson,696270,R,46.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",34.0,47.0,28.2,88.7,50.0,57.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.5% barrel, 4.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.89,41.51,89.89,99.75,0.4101,0.1602,0.3491,68.45,4.61,30.86,29.45,14.3,0.1497,8.5,40.06,88.87,0.471,0.1882,33.39,,,Angel Stadium,
134,805300,Jakob Marsee,MIA,TEX,2026-06-23T22:40:00Z,Pre-Game,1,Cal Quantrill,615698,R,46.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",19.4,53.6,35.0,93.2,80.0,33.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 10.6% barrel, 8.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.95,37.2,87.29,98.6355,0.3524,0.1141,0.3169,70.43,6.14,40.25,23.05,4.3,0.1293,10.61,40.66,88.72,0.4827,0.2073,27.54,None,72,loanDepot park,
135,662139,Daulton Varsho,TOR,HOU,2026-06-23T20:07:00Z,Pre-Game,6,Peter Lambert,663567,R,46.3,Longshot,Watch List,Platoon Edge,35.2,31.9,49.9,76.2,80.0,33.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,9,1,"Last 7 games: 2/9, 1 HR","platoon edge; pitcher baseline 6.3% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.67,39.39,87.24,99.6654,0.4086,0.1641,0.3144,73.71,36.11,40.03,27.14,10.2,0.205,6.3,39.1,88.6,0.351,0.139,34.5,In From CF,75,Rogers Centre,
