rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
146,664034,Ty France,SD,ATL,2026-06-24T01:40:00Z,Scheduled,5,JR Ritchie,702275,R,45.1,Longshot,Watch List,"Projected Lineup, Strong Barrel",42.7,38.6,22.6,81.9,50.0,46.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.0% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.29,46.16,90.55,101.4376,0.4257,0.1828,0.3133,71.56,16.8,35.03,21.89,7.7,0.1807,7.0,40.0,89.3,0.408,0.163,30.0,,,Petco Park,
147,543760,Marcus Semien,NYM,CHC,2026-06-23T23:10:00Z,Pre-Game,6,Edward Cabrera,665795,R,44.8,Longshot,Watch List,No major boost,27.7,55.9,36.3,76.2,50.0,33.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","same-side matchup; pitcher baseline 11.4% barrel, 14.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.85,34.93,86.76,97.6394,0.4139,0.1607,0.3194,68.61,2.99,47.4,30.6,10.8,0.1326,11.4,43.46,90.93,0.4318,0.1742,23.58,In From LF,71,Citi Field,
148,608324,Alex Bregman,CHC,NYM,2026-06-23T23:10:00Z,Pre-Game,2,Kodai Senga,673540,R,44.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",25.5,48.3,36.3,95.5,50.0,25.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,0,"Last 7 games: 7/24, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 8.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.34,39.85,88.56,98.4428,0.3885,0.1383,0.3244,70.16,5.22,46.37,23.8,9.6,0.1267,10.66,38.92,89.18,0.4073,0.1711,31.22,In From LF,71,Citi Field,
149,694362,Blake Dunn,CIN,MIL,2026-06-23T23:10:00Z,Pre-Game,1,Brandon Sproat,687075,R,44.6,Longshot,Watch List,"Good Environment, Premium Lineup Spot",15.5,39.6,75.3,93.2,50.0,23.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 9.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.75,32.41,88.81,99.3259,0.3108,0.0857,0.2886,71.33,17.18,25.35,19.03,1.7,0.0991,7.6,41.47,89.44,0.4116,0.1577,23.74,Out To RF,78,Great American Ball Park,
150,702284,Cole Young,SEA,PIT,2026-06-23T22:40:00Z,Pre-Game,7,Mitch Keller,656605,R,44.4,Longshot,Watch List,Platoon Edge,24.4,37.2,66.3,64.3,80.0,25.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.32,36.21,87.95,98.7765,0.3928,0.1345,0.3187,71.68,23.07,43.87,26.8,5.4,0.1038,6.82,41.84,89.05,0.4251,0.1486,21.53,Out To RF,76,PNC Park,
151,672356,Gabriel Arias,CLE,CWS,2026-06-23T23:40:00Z,Pre-Game,6,Sean Burke,680732,R,44.4,Longshot,Watch List,"Projected Lineup, Strong Barrel",40.9,42.8,37.1,71.7,50.0,9.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","same-side matchup; pitcher baseline 8.2% barrel, 13.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.16,46.66,90.9,102.2317,0.343,0.1423,0.2545,75.03,49.62,39.95,16.81,4.7,0.1507,8.19,38.22,89.18,0.408,0.1669,30.98,In From LF,69,Rate Field,
152,664983,Jake McCarthy,COL,BOS,2026-06-24T00:40:00Z,Pre-Game,1,Sonny Gray,543243,R,44.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",12.5,37.8,54.7,93.2,80.0,55.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,1,Contact streak: 11/30 over last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.95,24.94,84.49,96.015,0.3852,0.128,0.3028,70.71,12.07,36.12,21.94,4.7,0.1662,8.12,38.46,88.83,0.4048,0.1509,20.75,In From RF,82,Coors Field,
153,666397,Edouard Julien,COL,BOS,2026-06-24T00:40:00Z,Pre-Game,9,Sonny Gray,543243,R,44.4,Longshot,Watch List,Platoon Edge,39.3,37.8,54.7,44.8,80.0,14.1,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,0,"Last 7 games: 3/14, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.63,48.53,90.74,100.2399,0.4191,0.1631,0.3381,71.11,12.63,32.92,20.28,2.3,0.0809,8.12,38.46,88.83,0.4048,0.1509,20.75,In From RF,82,Coors Field,
154,693304,Nick Gonzales,PIT,SEA,2026-06-23T22:40:00Z,Pre-Game,4,George Kirby,669923,R,44.3,Longshot,Watch List,Premium Lineup Spot,17.7,36.7,66.3,94.9,50.0,39.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","same-side matchup; pitcher baseline 6.9% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.59,37.54,86.91,98.5555,0.3932,0.1112,0.3183,70.5,11.75,40.37,21.19,3.6,0.0873,6.92,42.43,89.9,0.3857,0.1332,24.17,Out To RF,76,PNC Park,
155,691176,Jasson Dominguez,NYY,DET,2026-06-23T22:40:00Z,Pre-Game,2,Casey Mize,663554,R,44.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",21.7,35.4,50.1,95.5,75.0,19.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","switch hitter; pitcher baseline 8.3% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.5,40.99,89.62,100.1241,0.3581,0.0903,0.2997,73.96,32.13,43.74,20.42,4.4,0.1632,8.29,37.74,88.25,0.3679,0.1448,30.25,L To R,70,Comerica Park,
156,650489,Willi Castro,COL,BOS,2026-06-24T00:40:00Z,Pre-Game,6,Sonny Gray,543243,R,44.3,Longshot,Watch List,Platoon Edge,27.0,36.4,54.7,76.2,75.0,19.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","switch hitter; pitcher baseline 8.1% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.73,40.94,88.1,100.0379,0.3617,0.1274,0.3025,72.44,23.9,42.74,30.62,6.8,0.126,8.12,38.46,88.83,0.4048,0.1509,20.75,In From RF,82,Coors Field,
157,650490,Yandy Díaz,TB,KC,2026-06-23T22:40:00Z,Pre-Game,1,Luinder Avila,679883,R,43.9,Longshot,Watch List,Premium Lineup Spot,41.6,18.4,41.1,93.2,50.0,39.7,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,0,Contact streak: 10/26 over last 7 games,"same-side matchup; pitcher baseline 6.0% barrel, 2.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.88,47.46,91.25,103.0302,0.4562,0.1684,0.3621,73.74,38.59,22.06,21.75,15.9,0.1841,6.05,30.66,86.97,0.3305,0.12,23.66,None,72,Tropicana Field,
158,703607,Henry Bolte,ATH,SF,2026-06-24T01:45:00Z,Scheduled,8,Robbie Ray,592662,L,43.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.0,57.4,19.3,47.9,78.0,46.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 11.1% barrel, 16.4 HR allowed",EV profile; pitcher allows elevated contact,5.3,50.7,92.1,104.8191,0.338,0.109,0.306,76.9,72.8,34.2,19.7,2.0,0.099,11.07,39.24,89.46,0.4396,0.2045,37.02,,,Oracle Park,
159,673962,Josh Jung,TEX,MIA,2026-06-23T22:40:00Z,Pre-Game,4,Sandy Alcantara,645261,R,43.7,Longshot,Watch List,Premium Lineup Spot,33.6,34.9,35.0,94.9,50.0,23.4,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","same-side matchup; pitcher baseline 6.9% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.41,46.49,89.86,100.2936,0.4301,0.1515,0.3341,70.58,8.14,39.65,21.89,9.8,0.1432,6.92,38.49,88.74,0.3975,0.1358,24.66,None,72,loanDepot park,
160,680776,Jarren Duran,BOS,COL,2026-06-24T00:40:00Z,Pre-Game,1,Sean Sullivan,807743,L,43.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",40.8,16.6,54.7,88.7,50.0,18.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,1,"Last 7 games: 3/26, 1 HR","same-side matchup; pitcher baseline 0.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.82,41.9,90.47,102.2566,0.3918,0.1578,0.3029,75.22,52.12,40.23,21.46,13.2,0.1755,0.0,28.6,86.3,0.231,0.092,57.1,In From RF,82,Coors Field,
161,691777,Max Muncy,LAD,MIN,2026-06-23T23:40:00Z,Scheduled,5,Kendry Rojas,696070,L,43.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",43.2,19.9,27.1,81.9,78.0,36.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,17,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.78,45.56,90.18,102.0309,0.3754,0.1598,0.2859,74.15,47.43,44.22,25.1,5.5,0.1769,8.3,36.1,84.9,0.302,0.103,22.2,,,Target Field,
162,687859,Troy Johnston,COL,BOS,2026-06-24T00:40:00Z,Pre-Game,7,Sonny Gray,543243,R,43.3,Longshot,Watch List,Platoon Edge,24.7,37.8,54.7,64.3,80.0,33.7,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.64,38.32,89.32,98.8817,0.4139,0.1324,0.3345,70.11,4.74,38.67,22.25,3.3,0.1318,8.12,38.46,88.83,0.4048,0.1509,20.75,In From RF,82,Coors Field,
163,681082,Bryson Stott,PHI,WSH,2026-06-23T22:45:00Z,Pre-Game,6,PJ Poulin,676571,L,43.2,Longshot,Watch List,Projected Lineup,27.0,50.4,45.2,71.7,50.0,18.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 3.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.29,36.36,88.72,98.6603,0.3944,0.1446,0.3095,69.82,5.56,35.57,28.78,8.1,0.1473,8.7,46.59,91.33,0.4353,0.1797,28.7,In From CF,72,Nationals Park,
164,681624,Andy Pages,LAD,MIN,2026-06-23T23:40:00Z,Scheduled,2,Kendry Rojas,696070,L,42.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",40.1,19.9,27.1,95.5,78.0,8.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.61,43.57,89.23,100.4323,0.449,0.1805,0.3314,72.81,24.79,35.66,28.86,18.6,0.2072,8.3,36.1,84.9,0.302,0.103,22.2,,,Target Field,
165,669364,Xavier Edwards,MIA,TEX,2026-06-23T22:40:00Z,Pre-Game,4,Cal Quantrill,615698,R,42.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",13.5,52.6,35.0,94.9,75.0,9.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","switch hitter; pitcher baseline 10.6% barrel, 8.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.95,30.66,87.08,96.8427,0.3754,0.1096,0.3188,68.02,2.4,31.88,21.42,5.1,0.1169,10.61,40.66,88.72,0.4827,0.2073,27.54,None,72,loanDepot park,
166,642350,Jose Siri,LAA,BAL,2026-06-24T01:38:00Z,Scheduled,9,Shane Baz,669358,R,42.5,Longshot,Watch List,"Projected Lineup, Strong Barrel",49.0,43.8,28.2,40.2,50.0,28.9,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","same-side matchup; pitcher baseline 8.6% barrel, 13.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,15.8,36.59,86.72,99.5493,0.4138,0.212,0.2988,72.66,29.55,26.72,44.72,2.8,0.1747,8.59,40.31,89.98,0.4147,0.1581,24.45,,,Angel Stadium,
167,641933,Tyler O'Neill,BAL,LAA,2026-06-24T01:38:00Z,Scheduled,7,Ryan Johnson,696270,R,42.3,Longshot,Watch List,Projected Lineup,38.3,47.0,28.2,59.8,50.0,25.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,0,"Last 7 games: 7/24, 0 HR","same-side matchup; pitcher baseline 8.5% barrel, 4.7 HR allowed",fly-ball profile; pitcher allows elevated contact,8.87,40.5,88.8,99.9307,0.3865,0.1757,0.3019,72.6,22.63,48.45,38.51,4.1,0.1174,8.5,40.06,88.87,0.471,0.1882,33.39,,,Angel Stadium,
168,622268,Donovan Walton,LAA,BAL,2026-06-24T01:38:00Z,Scheduled,7,Shane Baz,669358,R,42.2,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",20.8,43.8,28.2,59.8,80.0,100.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.41,36.8,88.82,98.3758,0.4073,0.1229,0.3076,67.6,0.0,37.07,22.65,2.1,0.1421,8.59,40.31,89.98,0.4147,0.1581,24.45,,,Angel Stadium,
169,686681,Michael Massey,KC,TB,2026-06-23T22:40:00Z,Pre-Game,7,Shane McClanahan,663556,L,42.1,Longshot,Watch List,No major boost,34.4,39.5,41.1,64.3,50.0,31.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 8.5% barrel, 3.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,6.8,38.81,89.81,98.8468,0.3985,0.1647,0.2853,71.5,12.43,46.0,37.24,5.8,0.1523,8.5,42.0,90.0,0.38,0.142,26.1,None,72,Tropicana Field,
170,701678,Hao-Yu  Lee,DET,NYY,2026-06-23T22:40:00Z,Pre-Game,7,Carlos Rodón,607074,L,41.9,Longshot,Watch List,Platoon Edge,28.4,31.2,50.1,64.3,78.0,29.7,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,0,"Last 7 games: 7/22, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 8.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.0,29.5,87.8,97.6189,0.373,0.153,0.269,70.4,14.2,28.2,34.6,2.0,0.121,6.2,38.41,90.21,0.3363,0.1303,27.95,L To R,70,Comerica Park,
171,808982,Jung Hoo Lee,SF,ATH,2026-06-24T01:45:00Z,Scheduled,5,Aaron Civale,650644,R,41.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.1,58.1,19.3,81.9,80.0,40.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 9.8% barrel, 13.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.86,30.88,87.59,96.8104,0.3997,0.0989,0.3287,68.44,3.12,38.53,22.38,5.2,0.1326,9.8,45.33,90.18,0.4741,0.204,32.88,,,Oracle Park,
172,677942,Blaze Alexander,BAL,LAA,2026-06-24T01:38:00Z,Scheduled,9,Ryan Johnson,696270,R,41.8,Longshot,Watch List,Projected Lineup,40.0,47.0,28.2,40.2,50.0,59.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,1,Contact streak: 9/23 over last 7 games,"same-side matchup; pitcher baseline 8.5% barrel, 4.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.67,45.3,91.81,100.475,0.4293,0.1535,0.3365,72.38,25.67,33.74,22.13,4.2,0.1397,8.5,40.06,88.87,0.471,0.1882,33.39,,,Angel Stadium,
173,681351,Logan O'Hoppe,LAA,BAL,2026-06-24T01:38:00Z,Scheduled,8,Shane Baz,669358,R,41.8,Longshot,Watch List,"Projected Lineup, Strong Barrel",39.7,43.8,28.2,47.9,50.0,54.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,1,Contact streak: 8/22 over last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.83,40.95,88.38,99.9558,0.3788,0.1662,0.2905,72.14,24.25,44.66,31.31,8.5,0.1307,8.59,40.31,89.98,0.4147,0.1581,24.45,,,Angel Stadium,
174,694384,Nolan Schanuel,LAA,BAL,2026-06-24T01:38:00Z,Scheduled,2,Shane Baz,669358,R,41.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",12.7,43.8,28.2,95.5,80.0,42.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","platoon edge; pitcher baseline 8.6% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.17,30.96,87.5,96.9995,0.3782,0.1099,0.3207,67.85,6.66,40.38,19.54,7.1,0.1229,8.59,40.31,89.98,0.4147,0.1581,24.45,,,Angel Stadium,
175,608348,Carson Kelly,CHC,NYM,2026-06-23T23:10:00Z,Pre-Game,8,Kodai Senga,673540,R,41.5,Longshot,Watch List,Projected Lineup,31.5,48.3,36.3,47.9,50.0,58.1,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 8.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.78,39.53,88.59,99.3464,0.404,0.1554,0.3252,70.89,8.54,39.36,25.57,7.9,0.1293,10.66,38.92,89.18,0.4073,0.1711,31.22,In From LF,71,Citi Field,
176,668952,Ryan Kreidler,MIN,LAD,2026-06-23T23:40:00Z,Scheduled,8,Justin Wrobleski,680736,L,41.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",33.5,39.5,27.1,47.9,78.0,63.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,18,1,Contact streak: 9/18 over last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.07,32.66,88.69,99.2355,0.4013,0.17,0.3172,73.52,36.36,44.14,27.81,2.8,0.1645,6.25,45.42,90.95,0.4059,0.1458,27.02,,,Target Field,
177,605141,Mookie Betts,LAD,MIN,2026-06-23T23:40:00Z,Scheduled,4,Kendry Rojas,696070,L,41.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",32.8,19.9,27.1,90.4,78.0,40.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 8.3% barrel, 0.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.32,36.08,89.59,98.2268,0.4276,0.1567,0.3321,69.35,8.14,40.1,37.58,11.6,0.1655,8.3,36.1,84.9,0.302,0.103,22.2,,,Target Field,
178,669224,Austin Wells,NYY,DET,2026-06-23T22:40:00Z,Pre-Game,9,Casey Mize,663554,R,41.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",37.2,36.3,50.1,40.2,80.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,17,0,"Last 7 games: 1/17, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.82,44.85,89.83,100.764,0.3696,0.157,0.2975,72.91,25.74,45.05,33.21,9.1,0.1267,8.29,37.74,88.25,0.3679,0.1448,30.25,L To R,70,Comerica Park,
179,686797,Brooks Lee,MIN,LAD,2026-06-23T23:40:00Z,Scheduled,3,Justin Wrobleski,680736,L,41.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",19.1,38.9,27.1,92.1,75.0,39.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","switch hitter; pitcher baseline 6.2% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.03,32.34,87.83,97.1209,0.3502,0.1211,0.2799,69.92,8.77,41.5,27.39,13.2,0.169,6.25,45.42,90.95,0.4059,0.1458,27.02,,,Target Field,
180,678882,Ceddanne Rafaela,BOS,COL,2026-06-24T00:40:00Z,Pre-Game,2,Sean Sullivan,807743,L,41.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",24.3,16.6,54.7,95.5,78.0,13.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","platoon edge; pitcher baseline 0.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.89,36.95,86.97,98.185,0.3782,0.1348,0.2959,70.09,8.48,36.97,25.37,9.7,0.1615,0.0,28.6,86.3,0.231,0.092,57.1,In From RF,82,Coors Field,
