rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,660271,Shohei Ohtani,LAD,CHC,2026-08-05T00:05:00Z,Warmup,1,Javier Assad,665871,R,71.1,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",81.3,39.2,70.3,93.2,80.0,81.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 9.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.6,54.99,93.92,104.5101,0.5993,0.3078,0.4159,74.96,52.52,47.26,32.76,33.3,0.2756,6.3,44.18,89.55,0.4274,0.1558,26.01,Out To CF,83,Wrigley Field,
2,678545,Osleivis Basabe,SF,TEX,2026-08-05T00:05:00Z,Warmup,1,MacKenzie Gore,669022,L,67.7,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.1,47.8,42.1,93.2,78.0,68.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,4,12,2,Hot streak: 2 HR in last 5 games,"platoon edge; pitcher baseline 9.6% barrel, 17.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,27.3,45.5,89.3,102.7744,0.731,0.397,0.437,74.0,32.0,36.4,45.5,2.0,0.584,9.62,42.91,89.7,0.3912,0.1558,27.93,None,74,Globe Life Field,
3,670541,Yordan Alvarez,HOU,TOR,2026-08-05T00:10:00Z,Warmup,2,Trey Yesavage,702056,R,66.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",84.3,32.4,41.6,100.0,80.0,63.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,1,Contact streak: 11/25 over last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 7.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.95,53.53,94.56,105.0889,0.661,0.3392,0.4497,76.1,61.66,41.51,36.73,26.3,0.2697,6.65,42.25,90.01,0.3403,0.124,24.83,None,73,Daikin Park,
4,682998,Corbin Carroll,AZ,SD,2026-08-05T01:40:00Z,Pre-Game,1,Randy Vásquez,681190,R,62.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",57.6,65.5,41.7,93.2,80.0,25.3,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,30,1,"Last 7 games: 5/30, 1 HR","platoon edge; pitcher baseline 11.5% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.96,49.48,91.89,102.5467,0.4709,0.2187,0.3531,75.23,54.75,44.5,30.81,20.5,0.2449,11.46,43.92,90.92,0.5167,0.2259,29.16,None,72,Chase Field,
5,571970,Max Muncy,LAD,CHC,2026-08-05T00:05:00Z,Warmup,4,Javier Assad,665871,R,60.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",56.4,39.2,70.3,94.9,80.0,31.6,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 6.3% barrel, 9.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.46,47.02,90.67,101.3358,0.4823,0.2408,0.3579,71.38,14.13,53.04,35.02,20.4,0.2347,6.3,44.18,89.55,0.4274,0.1558,26.01,Out To CF,83,Wrigley Field,
6,682985,Riley Greene,DET,SEA,2026-08-05T01:40:00Z,Pre-Game,4,Emerson Hancock,676106,R,58.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",61.9,48.4,38.9,94.9,80.0,5.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 14.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.56,48.3,90.67,102.6542,0.4889,0.2354,0.3565,75.6,57.94,39.4,33.45,21.3,0.1951,8.54,43.48,89.56,0.4372,0.1766,28.73,None,72,T-Mobile Park,
7,606466,Ketel Marte,AZ,SD,2026-08-05T01:40:00Z,Pre-Game,4,Randy Vásquez,681190,R,58.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",49.8,64.0,41.7,94.9,75.0,8.8,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","switch hitter; pitcher baseline 11.5% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.12,44.48,90.45,102.4247,0.4913,0.2084,0.3627,74.67,45.58,49.82,27.43,21.7,0.2067,11.46,43.92,90.92,0.5167,0.2259,29.16,None,72,Chase Field,
8,666160,Mickey Moniak,COL,TB,2026-08-05T00:40:00Z,Pre-Game,3,Freddy Peralta,642547,R,57.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",50.7,31.3,64.2,96.6,80.0,60.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 18.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.05,43.06,89.42,100.4224,0.455,0.2168,0.3139,74.26,45.0,46.94,37.96,19.8,0.276,6.43,37.09,87.79,0.3624,0.1361,26.87,R To L,80,Coors Field,
9,686527,Dominic Canzone,SEA,DET,2026-08-05T01:40:00Z,Pre-Game,3,Troy Melton,675512,R,57.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",61.3,33.2,38.9,96.6,80.0,53.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.9% barrel, 7.7 HR allowed",EV profile; pitcher fly-ball pressure modest,14.5,47.88,92.02,102.945,0.5232,0.2437,0.3739,74.22,44.23,41.65,27.0,15.9,0.2342,6.92,40.1,89.33,0.3605,0.1428,24.07,None,72,T-Mobile Park,
10,518692,Freddie Freeman,LAD,CHC,2026-08-05T00:05:00Z,Warmup,3,Javier Assad,665871,R,57.3,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",43.6,39.2,70.3,96.6,80.0,45.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,28,0,Contact streak: 12/28 over last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 9.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.63,44.44,90.27,100.6218,0.4852,0.1951,0.3703,70.22,8.54,37.03,27.28,17.7,0.1867,6.3,44.18,89.55,0.4274,0.1558,26.01,Out To CF,83,Wrigley Field,
