rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
158,691594,Javier Sanoja,MIA,NYM,2026-09-07T17:10:00Z,In Progress,6,Jonah Tong,804636,R,37.4,Longshot,Watch List,Hot Hitter/Streak,10.3,39.8,35.0,76.2,50.0,81.2,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 1.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.08,32.27,87.31,97.4696,0.3441,0.0823,0.2862,68.86,6.46,37.94,18.97,7.4,0.1488,8.56,34.08,89.72,0.3898,0.1673,35.62,None,72,loanDepot park,
159,666126,Carlos Cortes,ATH,TOR,2026-09-08T02:05:00Z,Scheduled,6,Dylan Cease,656302,R,37.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",28.6,21.0,30.9,71.7,80.0,21.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.03,39.03,89.03,99.4428,0.3926,0.1413,0.307,70.76,14.34,30.48,22.31,6.8,0.1654,6.15,33.72,86.73,0.3065,0.11,25.05,,,Sutter Health Park,
160,702332,Caleb Durbin,BOS,LAA,2026-09-07T17:35:00Z,In Progress,6,Grayson Rodriguez,680570,R,37.0,Longshot,Watch List,No major boost,3.6,55.0,49.7,76.2,50.0,0.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,20,0,"Last 7 games: 2/20, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.02,25.92,83.94,95.5774,0.3305,0.0888,0.2959,68.81,4.95,40.46,19.75,11.7,0.1317,9.3,46.4,90.8,0.46,0.19,28.3,L To R,77,Fenway Park,
161,687637,Dylan Beavers,BAL,CLE,2026-09-07T17:35:00Z,In Progress,9,Joey Cantillo,676282,L,37.0,Longshot,Watch List,No major boost,31.4,35.9,45.1,44.8,50.0,10.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.69,35.49,88.31,99.1044,0.3849,0.16,0.3153,72.41,21.54,40.6,33.07,5.4,0.1471,7.55,40.12,88.59,0.3672,0.1368,26.18,In From LF,78,Oriole Park at Camden Yards,
162,702222,Justin Crawford,PHI,ATL,2026-09-07T17:05:00Z,In Progress,9,Grant Holmes,656550,R,36.8,Longshot,Watch List,Platoon Edge,11.0,50.7,47.8,44.8,80.0,7.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,12,0,"Last 7 games: 2/12, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.3,36.0,87.2,98.2372,0.317,0.062,0.282,69.1,5.7,26.4,16.4,2.0,0.083,8.98,43.09,90.8,0.4238,0.174,26.55,In From LF,77,Citizens Bank Park,
163,681230,BJ Murray Jr.,CHC,MIL,2026-09-07T18:10:00Z,Pre-Game,8,Robert Gasser,688107,L,36.7,Longshot,Watch List,Platoon Edge,22.3,34.7,43.6,52.4,75.0,7.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,3,1,6,0,"Last 3 games: 1/6, 0 HR","switch hitter; pitcher baseline 7.7% barrel, 9.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,0.0,50.0,86.8,97.7275,0.141,0.052,0.099,69.7,9.1,50.0,50.0,0.0,0.0,7.67,36.98,88.34,0.3918,0.1558,26.82,In From CF,78,American Family Field,
164,677587,Brayan Rocchio,CLE,BAL,2026-09-07T17:35:00Z,In Progress,9,Trevor Rogers,669432,L,36.6,Longshot,Watch List,Platoon Edge,14.6,35.5,45.1,44.8,75.0,69.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,3,Hot streak: 3 HR in last 7 games,"switch hitter; pitcher baseline 7.2% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.23,32.63,87.23,97.3543,0.351,0.1088,0.2922,69.93,6.94,44.2,25.79,10.6,0.1245,7.18,40.98,88.93,0.3872,0.1489,24.25,In From LF,78,Oriole Park at Camden Yards,
165,691781,Brady House,WSH,SD,2026-09-07T21:10:00Z,Scheduled,7,Nick Pivetta,601713,R,36.3,Longshot,Watch List,Projected Lineup,39.5,20.7,22.6,59.8,50.0,40.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,23,0,Contact streak: 9/23 over last 7 games,"same-side matchup; pitcher baseline 5.2% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.43,46.79,89.73,101.5495,0.4246,0.1602,0.3204,73.17,30.04,31.63,26.98,8.2,0.1384,5.23,34.92,87.43,0.2868,0.1106,33.3,,,Petco Park,
166,677956,Rece Hinds,BAL,CLE,2026-09-07T17:35:00Z,In Progress,8,Joey Cantillo,676282,L,35.9,Longshot,Watch List,Platoon Edge,18.6,35.9,45.1,52.4,78.0,0.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,10,0,"Last 7 games: 1/10, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.46,34.46,88.23,100.1179,0.2361,0.0901,0.1847,73.74,43.77,42.39,22.35,0.6,0.1224,7.55,40.12,88.59,0.3672,0.1368,26.18,In From LF,78,Oriole Park at Camden Yards,
167,595978,Austin Hedges,CLE,BAL,2026-09-07T17:35:00Z,In Progress,7,Trevor Rogers,669432,L,35.6,Longshot,Watch List,Platoon Edge,12.1,36.9,45.1,64.3,78.0,0.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,17,0,"Last 7 games: 1/17, 0 HR","platoon edge; pitcher baseline 7.2% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.17,31.5,86.73,97.6302,0.3029,0.0937,0.2672,69.89,10.37,48.37,24.43,5.0,0.1153,7.18,40.98,88.93,0.3872,0.1489,24.25,In From LF,78,Oriole Park at Camden Yards,
