rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
178,695720,Tommy White,ATH,TOR,2026-09-08T02:05:00Z,Scheduled,5,Dylan Cease,656302,R,33.9,Longshot,Watch List,Projected Lineup,21.7,21.0,30.9,81.9,50.0,21.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","same-side matchup; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.1,32.3,85.8,97.1776,0.392,0.126,0.298,69.4,13.3,27.4,24.2,2.0,0.074,6.15,33.72,86.73,0.3065,0.11,25.05,,,Sutter Health Park,
179,643289,Mauricio Dubón,ATL,PHI,2026-09-07T17:05:00Z,In Progress,7,Jesús Luzardo,666200,L,33.8,Longshot,Watch List,Platoon Edge,10.0,24.1,47.8,64.3,78.0,31.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","platoon edge; pitcher baseline 6.3% barrel, 15.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.09,28.4,85.83,96.1815,0.3604,0.1008,0.2948,68.87,4.03,31.61,25.86,9.8,0.1203,6.28,34.58,87.87,0.3235,0.1095,22.85,In From LF,77,Citizens Bank Park,
180,660688,Keibert Ruiz,WSH,SD,2026-09-07T21:10:00Z,Scheduled,6,Nick Pivetta,601713,R,33.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.1,20.0,22.6,71.7,75.0,61.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,1,Contact streak: 9/22 over last 7 games,"switch hitter; pitcher baseline 5.2% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.81,35.24,87.74,97.6371,0.3622,0.1087,0.2863,67.22,0.93,55.59,26.0,6.9,0.1396,5.23,34.92,87.43,0.2868,0.1106,33.3,,,Petco Park,
181,683766,Christian Koss,SF,STL,2026-09-08T00:10:00Z,Scheduled,9,Michael McGreevy,700241,R,32.7,Longshot,Watch List,Projected Lineup,12.1,54.2,19.3,40.2,50.0,54.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.72,30.45,85.29,97.6205,0.3194,0.0991,0.2585,69.79,6.35,40.33,18.14,3.0,0.0984,9.57,41.57,90.15,0.4731,0.1942,26.62,,,Oracle Park,
182,807727,Charles McAdoo,TOR,ATH,2026-09-08T02:05:00Z,Scheduled,6,Jacob Lopez,682052,L,32.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",14.2,24.5,30.9,71.7,78.0,8.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","platoon edge; pitcher baseline 6.1% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.1,28.8,85.2,96.623,0.334,0.102,0.275,73.6,35.3,22.0,25.4,2.0,0.102,6.11,31.38,85.08,0.3459,0.1387,34.23,,,Sutter Health Park,
183,805805,Walker Jenkins,MIN,DET,2026-09-07T19:10:00Z,Pre-Game,9,Troy Melton,675512,R,32.3,Longshot,Watch List,Platoon Edge,8.9,36.9,41.1,44.8,80.0,18.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,20,1,"Last 7 games: 1/20, 1 HR","platoon edge; pitcher baseline 7.2% barrel, 10.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.6,27.8,83.4,95.4627,0.217,0.077,0.24,72.0,18.9,44.4,22.2,1.0,0.154,7.2,40.59,89.4,0.3787,0.1526,25.33,In From LF,77,Comerica Park,
184,624431,Jose Trevino,CIN,LAD,2026-09-08T01:10:00Z,Scheduled,8,,,,31.5,Longshot,Watch List,Projected Lineup,11.8,41.2,27.6,47.9,60.0,30.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.31,34.89,86.85,97.7751,0.3151,0.0969,0.2388,68.66,2.85,36.0,21.57,4.7,0.1305,,,,,,,,,UNIQLO Field at Dodger Stadium,
185,623168,Tyler Heineman,LAA,BOS,2026-09-07T17:35:00Z,In Progress,9,Brayan Bello,678394,R,31.0,Longshot,Watch List,Platoon Edge,0.3,40.2,49.7,44.8,75.0,15.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,9,0,"Last 7 games: 2/9, 0 HR","switch hitter; pitcher baseline 7.5% barrel, 12.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.45,15.19,82.3,92.4473,0.2748,0.0559,0.252,65.47,0.49,44.83,21.68,1.6,0.0745,7.52,40.63,89.36,0.4496,0.1643,21.97,L To R,77,Fenway Park,
186,673490,Ha-Seong Kim,ATL,PHI,2026-09-07T17:05:00Z,In Progress,9,Jesús Luzardo,666200,L,30.9,Longshot,Watch List,Platoon Edge,11.9,24.1,47.8,44.8,78.0,15.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","platoon edge; pitcher baseline 6.3% barrel, 15.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.66,30.21,87.04,96.6143,0.2531,0.0706,0.2403,71.52,16.61,43.52,28.66,1.5,0.041,6.28,34.58,87.87,0.3235,0.1095,22.85,In From LF,77,Citizens Bank Park,
187,801501,Nate Furman,SF,STL,2026-09-08T00:10:00Z,Scheduled,8,Michael McGreevy,700241,R,30.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",0.2,54.2,19.3,47.9,80.0,8.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,16.7,80.9,92.3009,0.204,0.032,0.213,66.3,0.0,45.8,12.5,0.0,0.0,9.57,41.57,90.15,0.4731,0.1942,26.62,,,Oracle Park,
188,622268,Donovan Walton,ATH,TOR,2026-09-08T02:05:00Z,Scheduled,8,Dylan Cease,656302,R,30.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.6,21.0,30.9,47.9,80.0,28.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,1,"Last 7 games: 3/16, 1 HR","platoon edge; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.36,34.42,88.89,97.4956,0.3653,0.104,0.3153,67.92,0.42,36.58,21.11,3.5,0.1176,6.15,33.72,86.73,0.3065,0.11,25.05,,,Sutter Health Park,
189,703520,Brett Bateman,TOR,ATH,2026-09-08T02:05:00Z,Scheduled,1,Jacob Lopez,682052,L,30.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",1.7,24.5,30.9,88.7,50.0,42.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,0,Contact streak: 10/25 over last 7 games,"same-side matchup; pitcher baseline 6.1% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,16.0,84.0,94.2629,0.312,0.051,0.3,68.4,2.7,29.6,8.6,0.0,0.059,6.11,31.38,85.08,0.3459,0.1387,34.23,,,Sutter Health Park,
190,690984,Petey Halpin,CLE,BAL,2026-09-07T17:35:00Z,In Progress,8,Trevor Rogers,669432,L,29.8,Longshot,Watch List,No major boost,7.0,36.9,45.1,52.4,50.0,0.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,6,0,"Last 7 games: 0/6, 0 HR","same-side matchup; pitcher baseline 7.2% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.92,17.36,81.38,93.3788,0.3059,0.0896,0.2818,70.29,5.53,37.4,31.58,2.1,0.0693,7.18,40.98,88.93,0.3872,0.1489,24.25,In From LF,78,Oriole Park at Camden Yards,
191,669392,Samad Taylor,SD,WSH,2026-09-07T21:10:00Z,Scheduled,9,Jake Irvin,663623,R,29.6,Longshot,Watch List,Projected Lineup,1.4,61.6,22.6,40.2,50.0,16.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","same-side matchup; pitcher baseline 11.4% barrel, 21.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.96,20.48,81.72,93.8099,0.3014,0.064,0.2715,68.39,2.66,30.18,13.62,0.7,0.0539,11.37,45.7,89.49,0.4651,0.2106,28.46,,,Petco Park,
192,701675,Nathan Church,STL,SF,2026-09-08T00:10:00Z,Scheduled,9,Logan Webb,657277,R,29.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",15.3,30.2,19.3,40.2,80.0,22.4,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,0,"Last 7 games: 7/26, 0 HR","platoon edge; pitcher baseline 6.4% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.78,33.38,86.9,97.5556,0.3336,0.1067,0.2715,69.6,8.27,34.36,22.23,7.3,0.106,6.41,38.87,88.58,0.3833,0.1275,19.14,,,Oracle Park,
193,664702,Myles Straw,TOR,ATH,2026-09-08T02:05:00Z,Scheduled,9,Jacob Lopez,682052,L,28.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",10.3,24.5,30.9,40.2,78.0,43.8,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,17,0,Contact streak: 7/17 over last 7 games,"platoon edge; pitcher baseline 6.1% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.34,26.96,86.5,95.9001,0.3573,0.1025,0.2985,68.05,4.96,35.31,26.97,3.3,0.1099,6.11,31.38,85.08,0.3459,0.1387,34.23,,,Sutter Health Park,
194,676391,Ernie Clement,TOR,ATH,2026-09-08T02:05:00Z,Scheduled,7,Jacob Lopez,682052,L,28.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",4.5,24.5,30.9,59.8,78.0,16.1,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","platoon edge; pitcher baseline 6.1% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.19,21.8,84.78,94.5278,0.3359,0.0846,0.2722,67.39,2.61,40.52,27.06,9.0,0.114,6.11,31.38,85.08,0.3459,0.1387,34.23,,,Sutter Health Park,
195,664770,Nathan Lukes,TOR,ATH,2026-09-08T02:05:00Z,Scheduled,8,Jacob Lopez,682052,L,27.1,Longshot,Watch List,Projected Lineup,11.5,24.5,30.9,47.9,50.0,32.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,0,Contact streak: 10/30 over last 7 games,"same-side matchup; pitcher baseline 6.1% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.26,31.26,87.34,96.9612,0.3584,0.1029,0.2968,67.3,3.76,32.19,20.95,10.6,0.1296,6.11,31.38,85.08,0.3459,0.1387,34.23,,,Sutter Health Park,
196,696285,Jacob Young,WSH,SD,2026-09-07T21:10:00Z,Scheduled,8,Nick Pivetta,601713,R,26.7,Longshot,Watch List,Projected Lineup,17.3,20.7,22.6,47.9,50.0,28.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,16,0,"Last 7 games: 5/16, 0 HR","same-side matchup; pitcher baseline 5.2% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.77,32.1,87.67,97.867,0.3731,0.1125,0.3131,69.21,2.09,35.56,23.93,7.6,0.1176,5.23,34.92,87.43,0.2868,0.1106,33.3,,,Petco Park,
197,672016,Denzel Clarke,ATH,TOR,2026-09-08T02:05:00Z,Scheduled,9,Dylan Cease,656302,R,26.2,Longshot,Watch List,Projected Lineup,19.5,21.0,30.9,40.2,50.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,13,0,"Last 7 games: 1/13, 0 HR","same-side matchup; pitcher baseline 6.2% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.69,41.16,88.6,102.0845,0.2331,0.0541,0.215,76.12,63.12,45.44,10.44,0.9,0.0538,6.15,33.72,86.73,0.3065,0.11,25.05,,,Sutter Health Park,
198,683083,Nasim Nunez,WSH,SD,2026-09-07T21:10:00Z,Scheduled,9,Nick Pivetta,601713,R,22.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",5.4,20.0,22.6,40.2,75.0,0.8,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","switch hitter; pitcher baseline 5.2% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.04,27.85,86.08,96.1101,0.3026,0.0762,0.275,68.6,4.63,31.01,19.8,1.9,0.0748,5.23,34.92,87.43,0.2868,0.1106,33.3,,,Petco Park,
