player,team,opponent,pitcher,hitter_hand,pitcher_hand,ab,pa,home_run,k_percent,bb_percent,slg_percent,on_base_plus_slg,isolated_power,xslg,xwoba,xiso,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,pa,home_run,k_percent,bb_percent,batting_avg,slg_percent,on_base_plus_slg,isolated_power,babip,p_era,xslg,xwoba,xiso,exit_velocity_avg,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,pull_percent,batted_ball,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,batting_order,confirmed_lineup,public_attention
Coby Mayo,BAL,SEA,Emerson Hancock,R,RHP,162.0,178.0,8.0,31.5,7.300000000000001,0.383,0.647,0.185,0.383,0.294,0.165,75.60000000000001,91.7,19.5,27.1,10.3,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,7,Yes,
Blaze Alexander,BAL,SEA,Emerson Hancock,R,RHP,137.0,152.0,2.0,25.0,6.6000000000000005,0.394,0.723,0.117,0.431,0.338,0.135,72.60000000000001,92.30000000000001,9.8,42.2,4.9,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,8,Yes,
Sam Huff,BAL,SEA,Emerson Hancock,R,RHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,9,Yes,
Jarren Duran,BOS,TB,Ian Seymour,L,LHP,236.0,259.0,10.0,28.200000000000003,6.9,0.394,0.668,0.182,0.395,0.302,0.163,75.3,90.60000000000001,14.4,30.900000000000002,11.700000000000001,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,1,Yes,
Ceddanne Rafaela,BOS,TB,Ian Seymour,R,LHP,213.0,233.0,5.0,20.6,6.0,0.432,0.78,0.146,0.363,0.301,0.11800000000000001,69.8,87.10000000000001,10.100000000000001,37.6,6.800000000000001,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,2,Yes,
Wilyer Abreu,BOS,TB,Ian Seymour,L,LHP,241.0,268.0,7.0,19.0,9.0,0.423,0.764,0.145,0.47200000000000003,0.34800000000000003,0.2,73.60000000000001,89.80000000000001,17.400000000000002,33.7,11.5,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,3,Yes,
Willson Contreras,BOS,TB,Ian Seymour,R,LHP,215.0,253.0,13.0,24.900000000000002,9.9,0.54,0.931,0.242,0.537,0.399,0.258,76.4,90.60000000000001,16.5,34.2,15.700000000000001,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,4,Yes,
Mickey Gasper,BOS,TB,Ian Seymour,S,LHP,66.0,73.0,0.0,24.700000000000003,5.5,0.379,0.726,0.076,0.358,0.292,0.115,71.7,92.60000000000001,16.900000000000002,34.0,6.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,5,Yes,
Caleb Durbin,BOS,TB,Ian Seymour,R,LHP,182.0,200.0,1.0,14.5,5.5,0.291,0.544,0.099,0.295,0.268,0.065,68.2,85.30000000000001,8.1,23.700000000000003,1.9000000000000001,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,6,Yes,
Isiah Kiner-Falefa,BOS,TB,Ian Seymour,R,LHP,90.0,99.0,1.0,15.200000000000001,8.1,0.333,0.66,0.066,0.34700000000000003,0.301,0.082,68.2,83.4,10.700000000000001,38.2,4.0,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tropicana Field,100,72,0,None,7,Yes,
